,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,194.7855928793404,199.3408289241973,194.09240872737035,197.70687866210935,6584768.0,0.0,0.0,,,,,,,,,,
2019-11-01,197.06321500597068,200.43011816296507,194.2904632300615,198.4990997314453,3522957.0,0.0,0.0,,,,,,,,0.004007048589796058,,
2019-11-04,198.99424906256448,201.91553513555465,196.32052986203595,198.9447326660156,3965499.0,0.0,0.0,,,,,,,,0.002245012371205668,,
2019-11-05,198.05349439959463,199.5388956075916,195.7758761919428,198.59814453125,2326138.0,0.0,0.0,,,,,,,,-0.0017421327527552544,,
2019-11-06,197.06319498526577,207.65905219608587,196.66709410478427,205.5299835205078,6220311.0,0.0,0.0,,,,,,,,0.03490384568103089,,
2019-11-07,205.87659137933693,208.35225993902245,203.4999556061515,207.1144256591797,3959490.0,0.0,0.0,,,,,,,,0.007709055932044961,,
2019-11-08,206.6688295907533,209.93671544760764,204.19316077651263,206.0251617431641,4057743.0,0.0,0.0,,,,,,,,-0.005259237315550669,,
2019-11-11,204.9358452276444,210.18426572118383,204.0446105690525,208.7978973388672,2907157.0,0.0,0.0,,,,,,,,0.0134582376843837,,
2019-11-13,206.9659031498006,208.69887123837543,192.40897422782805,196.27101135253903,9836594.0,0.0,0.0,,,,,,,,-0.059995268850805195,,
2019-11-14,194.33996479692576,201.172803374973,192.1613796785832,200.33108520507807,4141184.0,0.0,0.0,201.78184204101564,,,,,,,0.020686059671065626,,
2019-11-15,200.0340049148888,203.0048069680802,198.84568711566837,201.61843872070312,3314555.0,0.0,0.0,202.17299804687502,,,,,,,0.00642612959594957,,
2019-11-18,201.81650906496188,203.59899349465928,198.1525225268674,199.1922912597656,2041767.0,0.0,0.0,202.24231719970703,,,,,,,-0.012033361017631972,,
2019-11-19,200.0340268709037,200.6281933908708,194.33998897730123,197.75640869140625,2954848.0,0.0,0.0,202.1234848022461,,,,,,,-0.007208524784158565,,
2019-11-20,196.5680758978262,205.43096597040747,196.1719749879884,203.697998046875,3488019.0,0.0,0.0,202.63347015380862,,,,,,,0.030044990171420594,,7.073336077851299
2019-11-21,204.886307200784,206.9658746649749,199.98448687551175,203.49993896484372,4409698.0,0.0,0.0,202.4304656982422,,,,,,,-0.0009723172732689633,,7.066768342966432
2019-11-22,202.757275731235,204.29219341694693,198.15253778438253,201.4699249267578,2545651.0,0.0,0.0,201.86601562500002,,,,,,,-0.00997550195057606,,7.000546006509143
