,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,2771.4343300256974,2793.144527546724,2757.1039529977343,2786.580078125,446046.0,0.0,0.0,,,,,,,,,,
2019-11-01,2788.8538489807443,2822.320095168513,2737.367316384177,2773.965576171875,748062.0,0.0,0.0,,,,,,,,-0.004526875811734388,,
2019-11-04,2776.8404852424537,2787.352319588628,2729.9019688781623,2756.288818359375,330025.0,0.0,0.0,,,,,,,,-0.0063723782170701515,,
2019-11-05,2767.401193666618,2793.745094912681,2738.354123694637,2785.678955078125,305513.0,0.0,0.0,,,,,,,,0.010662937977683917,,
2019-11-06,2783.705353393606,2807.3033488369856,2758.605667331102,2787.395263671875,348652.0,0.0,0.0,,,,,,,,0.0006161185913478029,,
2019-11-07,2783.705314570871,2812.022908707997,2765.642080047188,2802.455078125,326912.0,0.0,0.0,,,,,,,,0.0054028270225610076,,
2019-11-08,2795.5474795460345,2822.148857950796,2776.4545547232624,2785.03564453125,483871.0,0.0,0.0,,,,,,,,-0.006215776206270007,,
2019-11-11,2778.556954630953,2792.2866986933664,2763.9691015646385,2777.999267578125,278347.0,0.0,0.0,,,,,,,,-0.002526494397636081,,
2019-11-13,2771.6917818275306,2784.563415489268,2738.053954424705,2751.09716796875,305804.0,0.0,0.0,,,,,,,,-0.009683983694073639,,
2019-11-14,2750.239156703424,2784.1774072296776,2738.3115262197625,2774.523681640625,310906.0,0.0,0.0,2778.1019531250004,,,,,,,0.00851533487970979,,
2019-11-15,2780.27290659111,2790.956320767513,2745.9485497196147,2759.12060546875,311463.0,0.0,0.0,2775.3560058593753,,,,,,,-0.005551610993194678,,
2019-11-18,2767.401415720247,2767.401415720247,2700.254389121764,2708.964111328125,441118.0,0.0,0.0,2768.8558593750004,,,,,,,-0.01817843483942372,,
2019-11-19,2708.1916546934617,2721.4923424779195,2679.101847145215,2712.525146484375,285669.0,0.0,0.0,2764.4794921875,,,,,,,0.0013145375907190893,,
2019-11-20,2699.224583993342,2719.261301789487,2686.310002709757,2713.68359375,238889.0,0.0,0.0,2757.279956054688,,,,,,,0.0004270733737257171,,48.771215708434546
2019-11-21,2705.1024768684806,2753.671525562806,2697.894445736822,2735.95166015625,347577.0,0.0,0.0,2752.135595703125,,,,,,,0.008205844799864082,,49.27163457397379
2019-11-22,2728.7864429641018,2733.935096630072,2688.884377052834,2705.059814453125,285777.0,0.0,0.0,2742.3960693359377,,,,,,,-0.011291078769045448,,49.11418089750536
2019-11-25,2705.059869861413,2751.354806456345,2664.599906608031,2742.2158203125,332892.0,0.0,0.0,2738.1140869140627,,,,,,,0.013735742796092909,,51.80280367970601
2019-11-26,2745.862599137736,2769.97554314886,2719.132590567828,2727.19873046875,628851.0,0.0,0.0,2733.034033203125,,,,,,,-0.005476261106989955,,51.73424288694358
2019-11-27,2735.779889323208,2760.7509428758603,2728.7863853742283,2756.288818359375,308282.0,0.0,0.0,2733.5531982421876,,,,,,,0.010666654969300637,,50.435526424098356
2019-11-28,2754.5297405665888,2760.32197600236,2731.1892189326672,2742.859375,194094.0,0.0,0.0,2730.3867675781253,,,,2695.922686748521,2754.2443603515626,2812.5660339546043,-0.00487229178231352,,48.9139000416408
2019-11-29,2733.9348484298744,2742.515937094124,2700.554497325638,2725.353759765625,203765.0,0.0,0.0,2727.0100830078127,,,,2693.5484660719912,2751.1830444335938,2808.8176227951963,-0.006382250360310593,0.13368264737292967,48.44182701540661
2019-12-02,2714.284271725033,2760.879416131064,2696.2210379704143,2710.98046875,474666.0,0.0,0.0,2727.2117187500003,,,,2688.860196530119,2748.0337890625,2807.207381594881,-0.0052739175470787325,0.1339643799979424,49.60015209720968
2019-12-03,2717.6310964941717,2806.016320030294,2717.6310964941717,2797.220703125,864612.0,0.0,0.0,2735.6812744140625,,,,2687.191582528739,2750.0803833007812,2812.9691840728233,0.031811455438026215,0.1760428962002056,52.84555918171571
2019-12-04,2797.2206410592407,2812.881129348015,2769.9756819815107,2789.8408203125,458892.0,0.0,0.0,2743.2969970703125,,,,2686.904291949395,2750.2884765625004,2813.6726611756058,-0.0026382912167979278,0.17244915314884676,52.13555119491488
2019-12-05,2780.2728840330938,2820.0890538812764,2768.1307266880185,2782.93310546875,692533.0,0.0,0.0,2747.995141601563,,,,2687.1757241956666,2750.0653686523438,2812.955013109021,-0.0024760247227927357,0.17268274889931903,52.12289233765367
2019-12-06,2782.9328887036127,2795.7186267389143,2740.0274463043047,2751.182861328125,275871.0,0.0,0.0,2752.607446289063,,-1.7417070115975548,-1.7417070115975548,2689.3628516998037,2747.5017578125003,2805.640663925197,-0.011408913882346883,0.17595527987365245,52.377770058864805
2019-12-09,2766.457285586714,2780.1442905699387,2747.9222584655354,2767.873291015625,217098.0,0.0,0.0,2755.173193359375,,-0.6837975023677245,-1.5301251097515887,2690.266088906109,2746.643640136719,2803.0211913673293,0.006066637707768718,0.17640216738262124,50.93807449068898
2019-12-10,2771.6918858456597,2780.272975275522,2755.6023431646668,2773.837158203125,278890.0,0.0,0.0,2759.8370361328125,,0.6029666102281226,-1.1035067657556463,2690.493444416212,2746.435534667969,2802.3776249197263,0.00215467492925292,0.1763838202082157,49.061828606415155
2019-12-11,2780.4015615475,2810.1781089730034,2763.153697780057,2804.857666015625,327568.0,0.0,0.0,2764.6939208984377,,3.9344396053293167,-0.09591749153865359,2687.6508138087684,2749.123559570313,2810.5963053318574,0.011183247625320192,0.17676737396820522,48.91629879116739
2019-12-12,2811.422445295521,2817.42920805344,2794.517740576658,2798.679443359375,263581.0,0.0,0.0,2770.2759277343753,,6.046181102949049,1.132502227358887,2686.0259252829296,2750.3313476562503,2814.636770029571,-0.002202686692842515,0.17482855703928937,47.05881084013987
2019-12-13,2810.2205022269386,2810.2205022269386,2763.3249388232466,2774.179931640625,360095.0,0.0,0.0,2775.158544921875,,5.8010549391378845,2.0662127697146864,2686.03648314325,2751.084313964844,2816.1321447864384,-0.008753954218258753,0.17665647514374047,47.04715030896502
2019-12-16,2775.5532768852254,2814.597232395591,2757.232567807586,2763.453857421875,376835.0,0.0,0.0,2780.4058837890625,,4.738607058370235,2.600691627445796,2691.5407693643974,2753.8088012695316,2816.076833174666,-0.0038663945681441936,0.1635895897124759,47.784115614610755
2019-12-17,2767.4009601546577,2773.150247381336,2741.1427463144305,2745.176025390625,336920.0,0.0,0.0,2775.201416015625,,2.4791106803659204,2.576375438029821,2695.9376988408485,2755.4413452148438,2814.944991588839,-0.006614126008350318,0.16582279161253832,46.657214575488965
2019-12-18,2745.133599710279,2763.1109411073826,2739.255469343311,2757.661865234375,315871.0,0.0,0.0,2771.9835205078125,,1.6111296462872815,2.383326279681313,2701.3056581556557,2757.6402587890625,2813.9748594224693,0.004548283872606529,0.1663936821486911,45.02851866038774
2019-12-19,2751.0973256648213,2773.408158624049,2730.502710625534,2761.73779296875,409369.0,0.0,0.0,2769.8639892578126,,1.2162489298002583,2.1499108097051023,2703.465911770639,2758.9295654296875,2814.393219088736,0.0014780375309098037,0.16415072756470134,44.87687075596828
2019-12-20,2773.4080813499804,2780.1013729511087,2743.8892177491743,2749.16650390625,304173.0,0.0,0.0,2769.662353515625,,-0.05075551368554443,1.709777545026973,2711.1805573817346,2761.134899902344,2811.0892424229532,-0.0045519488108197725,0.15939386640498798,44.25796250210871
2019-12-23,2750.2390614080214,2767.401239638337,2732.6478287219484,2762.681640625,242195.0,0.0,0.0,2769.1431884765625,,-0.032731503941249684,1.3612757352333285,2712.963272425085,2762.158190917969,2811.353109410853,0.00491608518419917,0.15288344512561333,43.57906596027155
2019-12-24,2763.1108407138568,2775.982475065008,2754.5297511464223,2768.903076171875,172853.0,0.0,0.0,2768.6497802734375,,0.44841576915541737,1.1787037420177462,2717.687920863155,2764.243408203125,2810.798895543095,0.0022519552942290577,0.15138721778558847,41.998612957294
2019-12-26,2768.2592362900723,2779.414651687397,2749.380841002291,2771.734619140625,241386.0,0.0,0.0,2765.3374755859377,,1.0340388578811144,1.1497707651904199,2718.501224987207,2765.0156982421877,2811.5301714971683,0.0010226226382270553,0.1468548665693011,41.14398422356628
2019-12-27,2764.183232984616,2795.7187343620885,2763.53965132385,2781.946044921875,211224.0,0.0,0.0,2763.6641357421877,,2.24870900783435,1.3695584137192058,2721.062893509572,2766.9700317382812,2812.8771699669906,0.00368412823894948,0.14598088780718796,40.5036341389
2019-12-30,2780.272983749909,2797.435162661945,2770.8767326954203,2790.52734375,332557.0,0.0,0.0,2765.2988769531253,,3.822042849006266,1.8600553007766178,2727.454934495414,2770.2287109375,2813.0024873795865,0.003084638842578924,0.143698430881998,39.50754812658748
2019-12-31,2789.7120928945496,2789.7120928945496,2724.96781692024,2733.076904296875,526252.0,0.0,0.0,2762.261181640625,,0.7072956405918376,1.6295033687396618,2733.9344159692196,2771.333532714844,2808.732649460468,-0.020587664041994747,0.16199485184570045,41.36840374824268
2020-01-01,2731.3608517059465,2740.5855231341084,2696.2642786301326,2703.129150390625,320021.0,0.0,0.0,2758.056494140625,,-3.995712970949171,0.5044601008018952,2720.7323303039257,2766.6289550781253,2812.525579852325,-0.010957523317096207,0.1171160255509753,41.57932094508075
2020-01-02,2707.2907151324325,2722.3505686888598,2670.4779259938337,2678.157958984375,452413.0,0.0,0.0,2750.1061035156254,,-9.521341076319004,-1.5007001346222846,2702.3981169390077,2761.044812011719,2819.69150708443,-0.009237883214955334,0.1201337772596882,42.314558212933996
2020-01-03,2682.019444585948,2684.3792441292567,2630.1038546331565,2636.153564453125,424311.0,0.0,0.0,2737.5476806640627,,-16.90908067690134,-4.582376243078096,2674.6632023403276,2753.705834960938,2832.748467581548,-0.015684061647797343,0.1295852190635803,43.168903304588724
2020-01-06,2634.394429319412,2635.767487414524,2598.396801411461,2606.634521484375,355754.0,0.0,0.0,2723.2944824218753,,-24.741392002900284,-8.614179395042534,2644.67705885977,2746.4784179687504,2848.2797770777306,-0.011197770633242232,0.1293984788097302,42.782321857236944
