,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,2985.5879543032534,3026.272495863967,2946.1251753924557,2956.62451171875,488894.0,0.0,0.0,,,,,,,,,,
2019-11-01,2982.3297015434964,2982.3297015434964,2929.561881445908,2958.3896484375,320106.0,0.0,0.0,,,,,,,,0.000597010784343377,,
2019-11-04,2977.8043937700268,2985.950363236266,2920.7826075063454,2932.413330078125,283144.0,0.0,0.0,,,,,,,,-0.008780560185198905,,
2019-11-05,2946.1255409734717,2968.7532333004565,2898.426409742898,2925.081787109375,330794.0,0.0,0.0,,,,,,,,-0.002500173796630034,,
2019-11-06,2932.4132944427897,2948.705233177287,2888.198694543355,2921.552001953125,347320.0,0.0,0.0,,,,,,,,-0.0012067304141051283,,
2019-11-07,2940.6946541322263,2947.5735604260453,2900.779319744894,2917.885986328125,288996.0,0.0,0.0,,,,,,,,-0.0012548178579566693,,
2019-11-08,2921.687616272166,2937.481701229855,2844.75346280775,2858.330078125,376182.0,0.0,0.0,,,,,,,,-0.020410635810369837,,
2019-11-11,2857.425048230597,2891.81914130401,2814.8849857450614,2823.52880859375,464906.0,0.0,0.0,,,,,,,,-0.012175385130495098,,
2019-11-13,2960.606970441643,2985.9499833344485,2896.3443306063155,2959.4755859375,1702409.440556331,0.0,0.0,,,,,,,,0.0481478272613971,,
2019-11-14,2964.1375347019684,2964.1375347019684,2896.345046838833,2924.222412109375,515326.0,0.0,0.0,2917.750415039063,,,,,,,-0.011911966429335341,,
2019-11-15,2923.6790340797997,2950.651289447996,2882.903885409737,2892.317138671875,261412.0,0.0,0.0,2911.319677734375,,,,,,,-0.010910686309419715,,
2019-11-18,2899.060061673706,2911.8672476747515,2829.3667664039976,2842.852783203125,429862.0,0.0,0.0,2899.7659912109375,,,,,,,-0.017101981939457556,,
2019-11-19,2842.85271633861,2858.6470226480096,2814.8849765048835,2824.2529296875,261351.0,0.0,0.0,2888.949951171875,,,,,,,-0.006542672074164924,,
2019-11-20,2823.936012484757,2837.5126279293954,2769.629550706204,2820.587158203125,504339.0,0.0,0.0,2878.50048828125,,,,,,,-0.0012979614700375786,,74.10568317370569
2019-11-21,2817.6000385044017,2817.6000385044017,2771.122673540234,2781.078857421875,295648.0,0.0,0.0,2864.4531738281253,,,,,,,-0.014007119285907477,,72.34559756579037
2019-11-22,2771.6660841640432,2780.490884334049,2729.940530355413,2735.82373046875,349622.0,0.0,0.0,2846.2469482421875,,,,,,,-0.01627250763938337,,70.83079253012406
2019-11-25,2738.403827859266,2756.053431112697,2719.215585439999,2752.071044921875,437144.0,0.0,0.0,2835.621044921875,,,,,,,0.005938728534363946,,68.40272489745078
2019-11-26,2758.768291388798,2790.447061138997,2752.432537438758,2765.330322265625,620959.0,0.0,0.0,2829.801196289063,,,,,,,0.004817926982014553,,66.25795999171301
2019-11-27,2769.629384259529,2805.8336899361243,2769.629384259529,2797.7783203125,235618.0,0.0,0.0,2813.6314697265625,,,,,,,0.011733859707685923,,64.41834625448345
2019-11-28,2815.246725336072,2815.246725336072,2769.6293885030864,2804.249755859375,234706.0,0.0,0.0,2801.634204101563,,,,2715.196555321859,2859.692309570313,3004.1880638187668,0.00231306229656969,,63.075417010090746
2019-11-29,2792.2573366945758,2801.308413961008,2760.57856626206,2767.5478515625,221117.0,0.0,0.0,2789.1572753906253,,,,2707.618446316693,2850.2384765625,2992.8585068083075,-0.013087958453125603,0.23594239848052745,61.68940076632104
2019-12-02,2767.547734839695,2796.737457792849,2761.981410945028,2785.016357421875,387666.0,0.0,0.0,2783.3736328125,,,,2705.3665087610857,2841.569812011719,2977.7731152623523,0.006311907434414454,0.23802369416302585,59.76558977214246
2019-12-03,2778.4092568076926,2820.315790443204,2739.896877284557,2759.0400390625,522267.0,0.0,0.0,2776.8523437500003,,,,2698.8769684271456,2832.901147460938,2966.92532649473,-0.009327169045219352,0.2382103387547667,61.240827156892806
2019-12-04,2751.4368128065025,2776.2821959861626,2736.638434474308,2759.899658203125,263755.0,0.0,0.0,2770.7835937500004,,,,2694.043347951115,2824.642041015625,2955.2407340801356,0.00031156457624925693,0.23848768689805597,59.69817961081866
2019-12-05,2773.6121955058397,2800.991705879104,2752.432761821407,2790.356689453125,278358.0,0.0,0.0,2771.711376953125,,,,2694.6291041453505,2818.082275390625,2941.5354466358995,0.011035557455675526,0.2434770925957455,58.90251992845282
2019-12-06,2796.8280112476577,2804.2045503987238,2769.357904962068,2778.318603515625,206989.0,0.0,0.0,2775.960864257813,,-36.79609721482393,-36.79609721482393,2695.475325337361,2811.1039062500004,2926.7324871626397,-0.004314174593879394,0.2435643194765483,57.184243179038745
2019-12-09,2792.0763731702245,2792.0763731702245,2758.270511023265,2768.181396484375,206624.0,0.0,0.0,2777.5718994140625,,-35.70554552519252,-36.57798687689765,2691.6568924628637,2806.596472167969,2921.536051873074,-0.0036486841424243632,0.23415336345672474,55.51435881960451
2019-12-10,2775.1054370062584,2786.826537227624,2753.428152338806,2769.041259765625,185130.0,0.0,0.0,2777.9429931640625,,-34.381922125967776,-36.13877392671167,2688.087138685828,2803.872094726563,2919.6570507672977,0.00031062389276304003,0.23077298456662607,53.93464639597693
2019-12-11,2762.479156385594,2773.2498490679463,2742.7477653535207,2752.432373046875,315341.0,0.0,0.0,2773.4083984375,,-34.200093108316196,-35.75103776303258,2700.4382128731327,2793.5199340820313,2886.60165529093,-0.005998064008679971,0.140660550212682,52.26089191872327
2019-12-12,2759.311163884633,2787.7314546104017,2742.6570511820582,2781.8935546875,254614.0,0.0,0.0,2771.172778320313,,-31.462790372672316,-34.89338828496052,2715.185243733743,2786.403491210938,2857.6217386881326,0.01070368955441836,0.14571508789557605,51.74757131226757
