,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,181.97704258314027,184.63681873694108,180.47790783026005,181.73524475097656,6501134.0,0.0,0.0,,,,,,,,,,
2019-11-01,181.8803232011295,187.97363121828724,181.2032922565937,187.393310546875,6921052.0,0.0,0.0,,,,,,,,0.031133563572940615,,
2019-11-04,189.08590482539267,197.40375615831925,189.08590482539267,191.4555206298828,15421372.0,0.0,0.0,,,,,,,,0.02167745514049013,,
2019-11-05,192.47105332508676,196.04965789758813,190.8751937108339,192.0841827392578,8912298.0,0.0,0.0,,,,,,,,0.003283593532882767,,
2019-11-06,192.47105994591348,196.96849338309124,191.16534584703356,194.8890380859375,13028120.0,0.0,0.0,,,,,,,,0.014602219228467606,,
2019-11-07,196.2431235182584,200.49877441088643,192.71288091295744,198.46766662597656,17556268.0,0.0,0.0,,,,,,,,0.01836239008199647,,
2019-11-08,198.32256807264008,200.20858805193063,196.4365480933496,197.1619415283203,10082727.0,0.0,0.0,,,,,,,,-0.006579031838556126,,
2019-11-11,197.25865805242,197.25865805242,192.95465982009648,193.5833282470703,6851401.0,0.0,0.0,,,,,,,,-0.018150629140238905,,
2019-11-13,190.58504309690449,195.3242744263795,186.03924707019357,186.81298828125,13457979.0,0.0,0.0,,,,,,,,-0.03497377603292018,,
2019-11-14,187.00645090411575,187.0547986644288,181.6385360323646,182.3155670166016,6720055.0,0.0,0.0,190.58987884521486,,,,,,,-0.024074457060113352,,
2019-11-15,182.31555765002133,183.9114173707464,180.96149575111323,181.5901641845703,4558349.0,0.0,0.0,190.57537078857422,,,,,,,-0.003978831012083739,,
2019-11-18,182.36394098802643,188.45724974517225,181.0582266978632,187.24826049804688,8873375.0,0.0,0.0,190.5608657836914,,,,,,,0.031158605637503722,,
2019-11-19,187.24823468593536,187.6351052884177,184.39500864950017,186.03924560546875,3476640.0,0.0,0.0,190.01923828125,,,,,,,-0.006456748326325479,,
2019-11-20,186.6679254734344,187.49004400184387,184.00814933326893,184.4917449951172,4437118.0,0.0,0.0,189.25999450683594,,,,,,,-0.008318140644546168,,5.682247489582076
2019-11-21,183.9597897683222,186.5712034325869,181.88033429226317,182.41229248046875,6342754.0,0.0,0.0,188.01231994628907,,,,,,,-0.011271249641567782,,5.611434750349337
2019-11-22,181.83196772852327,185.0237020285832,180.9131389283373,184.00814819335935,4635776.0,0.0,0.0,186.56636810302734,,,,,,,0.0087486193566777,,5.504229632484805
2019-11-25,185.21714244732445,194.06693734506487,184.1048783045636,192.7128753662109,16931103.0,0.0,0.0,186.12146148681643,,,,,,,0.04730620496057858,,5.829555312429142
2019-11-26,193.58333263535852,196.24310870821,191.06864411229068,192.180908203125,16163735.0,0.0,0.0,185.9812194824219,,,,,,,-0.0027604131902189133,,5.782763118392726
2019-11-27,192.85794899205268,196.8234394242611,192.85794899205268,196.33984375,7251212.0,0.0,0.0,186.93390502929688,,,,,,,0.021640732088117787,,5.701317982874396
2019-11-28,196.3398312397418,198.5643741512345,193.53498241101263,197.40374755859372,5421765.0,0.0,0.0,188.4427230834961,,,,178.28459631958253,189.51630096435548,200.74800560912843,0.00541868521576494,,5.6533232512563565
2019-11-29,196.3398292906245,197.79061620656503,190.1014485037136,193.5833282470703,10212511.0,0.0,0.0,189.6420394897461,,,,179.34085514825648,190.10870513916018,200.87655513006388,-0.01935332717221805,0.3331359807238639,5.798740712084576
2019-12-02,193.438264862938,195.90460569157412,191.93911535861656,194.21202087402344,5195682.0,0.0,0.0,190.33841552734376,,,,179.61569346315048,190.44964065551758,201.2835878478847,0.003247658941738729,0.316608934925393,5.667794256432646
2019-12-03,193.53497862740304,193.92184923133075,188.21542665347627,189.56948852539065,5815771.0,0.0,0.0,190.69143981933595,,,,179.52522292691353,190.35533905029297,201.1854551736724,-0.02390445415139464,0.3203116007325724,5.691279968155111
2019-12-04,187.8285529872674,195.1308504669068,186.47449103103705,194.50218200683597,6574810.0,0.0,0.0,191.69248352050784,,,,179.5183911755995,190.4762390136719,201.43408685174427,0.026020503192868194,0.333580942530819,5.903071358706157
