,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1259.229713375048,1297.9062066416589,1245.7581894105208,1268.1624755859375,7559742.0,0.0,0.0,,,,,,,,,,
2019-11-01,1282.4550010965406,1338.320957800982,1271.0596459513506,1332.5267333984375,7803620.0,0.0,0.0,,,,,,,,0.05075395231416335,,
2019-11-04,1327.7947332327633,1346.0948956669713,1303.700464396145,1305.921630859375,3641707.0,0.0,0.0,,,,,,,,-0.019965905277719687,,
2019-11-05,1307.5633195025198,1313.647302337624,1269.9008605212805,1274.825927734375,2656825.0,0.0,0.0,,,,,,,,-0.02381130872649473,,
2019-11-06,1275.936608559501,1307.177114244348,1265.0724368688338,1296.940673828125,3214840.0,0.0,0.0,,,,,,,,0.017347267272052047,,
2019-11-07,1303.7006057581252,1349.9095258743462,1303.7006057581252,1334.506591796875,5563949.0,0.0,0.0,,,,,,,,0.02896502417328639,,
2019-11-08,1320.165782816735,1404.0853713516813,1309.0601861230316,1374.0037841796875,8506906.0,0.0,0.0,,,,,,,,0.029596850720407852,,
2019-11-11,1367.4369720853026,1405.0028842313548,1359.131940605612,1395.49072265625,3521409.0,0.0,0.0,,,,,,,,0.01563819454062898,,
2019-11-13,1395.4423400315195,1412.29382840295,1360.2424748707476,1365.6986083984375,4578522.0,0.0,0.0,,,,,,,,-0.021348844370032483,,
2019-11-14,1351.69599478022,1351.69599478022,1306.790753692902,1327.939697265625,5279888.0,0.0,0.0,1327.6016845703125,,,,,,,-0.02764805565489492,,
2019-11-15,1329.8710659874591,1340.5903577067293,1299.547934275984,1312.391845703125,4476838.0,0.0,0.0,1332.0246215820314,,,,,,,-0.011708251206372311,,
2019-11-18,1314.7095192062884,1332.5750441579164,1312.874657931795,1327.263671875,2034198.0,0.0,0.0,1331.4983154296876,,,,,,,0.011331848960024038,,
2019-11-19,1334.603056004308,1360.6770665051158,1327.4086076677904,1344.984375,4880427.0,0.0,0.0,1335.40458984375,,,,,,,0.013351305773303013,,
2019-11-20,1353.9170091386986,1428.0347912010347,1353.9170091386986,1418.908935546875,7334715.0,0.0,0.0,1349.8128906250001,,,,,,,0.05496313706014244,,52.36183369742181
2019-11-21,1429.3385848698151,1450.5358601507346,1388.2961614801932,1396.552978515625,6229283.0,0.0,0.0,1359.7741210937502,,,,,,,-0.01575573771591876,,53.06739548121607
2019-11-22,1400.2225832884178,1410.7005668608074,1387.7167626090995,1396.552978515625,2062280.0,0.0,0.0,1365.978759765625,,,,,,,0.0,,50.918567536251196
2019-11-25,1396.5528914482936,1447.735204484418,1396.5528914482936,1445.5140380859375,3029183.0,0.0,0.0,1373.1297851562501,,,,,,,0.035058504993023876,,50.93740650052786
2019-11-26,1443.7275287433747,1469.3186856073878,1429.724820270613,1463.9107666015625,6748616.0,0.0,0.0,1379.9717895507813,,,,,,,0.012726772643443018,,50.12715356025978
2019-11-27,1466.90441830798,1484.6733959972248,1456.2816740016024,1474.0023193359375,4156766.0,0.0,0.0,1390.8021606445313,,,,,,,0.006893557288196073,,48.57462273421425
2019-11-28,1473.6644558960527,1521.7565672066005,1467.8702312988205,1514.4654541015625,5080043.0,0.0,0.0,1409.4547363281251,,,,1234.5668708535065,1368.528210449219,1502.4895500449313,0.02745120155838987,,48.95403081804038
2019-11-29,1502.635554957042,1527.357555934845,1498.8210709781197,1515.2862548828125,5852032.0,0.0,0.0,1429.7441772460938,,,,1240.7849081315994,1380.8843994140625,1520.9838906965256,0.0005419739215755115,0.3858958122339635,47.495634685089314
2019-12-02,1537.400849782876,1541.7948503701327,1507.6571178471263,1521.9495849609375,3906554.0,0.0,0.0,1449.2127685546875,,,,1239.4209805662465,1390.3555419921877,1541.2901034181289,0.004397406797991721,0.35343735204888344,46.541498816369106
2019-12-03,1525.0398127125711,1525.812423118302,1480.3277852210915,1491.7230224609375,3594869.0,0.0,0.0,1463.8866333007813,,,,1247.7730452177377,1399.6456115722658,1551.518177926794,-0.019860422972404645,0.3533311848608004,46.46600875071491
2019-12-04,1485.638992991279,1500.7039511636558,1470.767128457045,1491.336669921875,3417501.0,0.0,0.0,1471.1294067382814,,,,1264.999616284877,1410.4711486816407,1555.9426810784043,-0.00025899750372226915,0.3356205288861025,45.285352604707484
2019-12-05,1491.3369264080936,1495.7791418034049,1455.219568580137,1457.9718017578125,3222397.0,0.0,0.0,1477.2712890625,,,,1281.4968492673358,1418.522705078125,1555.5485608889142,-0.02237245877271321,0.350370963531069,44.947796934604646
2019-12-06,1464.973056674486,1466.5664919476942,1406.0651091088014,1415.5772705078125,2990724.0,0.0,0.0,1479.173718261719,,41.76450706733476,41.76450706733476,1291.0454279084584,1422.576239013672,1554.1070501188856,-0.029077744301286734,0.36055723041736004,46.058767356339516
2019-12-09,1407.0306797211745,1433.925511621586,1395.7802049304494,1400.270751953125,2831428.0,0.0,0.0,1474.6493896484376,,34.8343549576025,40.37847664538831,1293.8084396102122,1423.8895874023438,1553.9707351944753,-0.010812916308833187,0.3496813279387494,45.49352016596789
2019-12-10,1409.9279676183326,1411.3765237494474,1360.290753948708,1363.1878662109375,2751068.0,0.0,0.0,1464.5770996093752,,26.212419937388404,37.54526530378833,1290.038628883575,1422.2744445800781,1554.5102602765812,-0.026482653937078604,0.3584302177755228,45.89296656845157
2019-12-11,1370.0444184983332,1382.8883307347976,1348.2678608361102,1371.9276123046875,3263070.0,0.0,0.0,1454.36962890625,,19.79401476048065,33.99501519512679,1290.8561767762806,1422.5858947753907,1554.3156127745008,0.006411255785339964,0.3509224492145515,45.08778823489698
2019-12-12,1375.4040471064693,1401.2366314561957,1372.4586024850366,1394.62158203125,2490582.0,0.0,0.0,1442.3852416992188,,16.226908753573753,30.44139390681618,1300.7278411632415,1425.919989013672,1551.1121368641025,0.01654166701145332,0.3388302421814593,43.96073330036921
2019-12-13,1400.0294149262224,1442.7134858204647,1400.0294149262224,1434.456787109375,3512530.0,0.0,0.0,1434.302294921875,,16.227359313024863,27.598586988057917,1318.1771869481636,1432.0232360839846,1545.8692852198055,0.028563450896913256,0.3462430708135494,44.25581690671532
2019-12-16,1452.901909794667,1455.3161701964527,1432.3806963794882,1442.1826171875,2909431.0,0.0,0.0,1426.3255981445313,,16.624593028981053,25.403788196242544,1334.5481166522054,1437.7691833496094,1540.9902500470134,0.005385892518723789,0.34537032168327847,42.7329352574474
2019-12-17,1448.6525885275792,1456.7645259378664,1435.229278964386,1441.5546875,2861481.0,0.0,0.0,1421.3087646484375,,16.702796640013048,23.663589884996647,1348.5637038780258,1442.5976989746096,1536.6316940711934,-0.0004354023408801311,0.34408701469773895,41.21881466573548
2019-12-18,1449.5217069281243,1452.4188189339768,1438.898962906666,1449.32861328125,2573443.0,0.0,0.0,1417.107958984375,,17.159422200580593,22.362756348113436,1350.6843839940166,1444.1186828613281,1537.5529817286397,0.0053927373332827155,0.28625510581023345,39.24031762013372
2019-12-19,1441.796149217948,1454.157208233482,1427.5036820989735,1438.802490234375,2656772.0,0.0,0.0,1415.1910278320313,,16.53594131930481,21.19739334235171,1355.3176219015504,1446.2311584472657,1537.144694992981,-0.007262758045633366,0.28111820817637184,38.3412610854462
