,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,219.0908869501283,219.83451605679696,211.0504335796087,211.93348693847656,6994856.0,0.0,0.0,,,,,,,,,,
2019-11-01,211.65464082497863,222.62313200252208,211.46873707963996,220.8570251464844,9208037.0,0.0,0.0,,,,,,,,0.04210537153384508,,
2019-11-04,221.87949425994327,236.8914586901,221.87949425994327,232.56912231445312,17613567.0,0.0,0.0,,,,,,,,0.05303022242647981,,
2019-11-05,235.49714011565788,236.24075500743967,227.0383859779637,228.7115478515625,10394354.0,0.0,0.0,,,,,,,,-0.016586786863627023,,
2019-11-06,228.61861748048665,233.59162424639155,227.08489384500768,230.7565460205078,7121343.0,0.0,0.0,,,,,,,,0.008941385724312134,,
2019-11-07,232.56911344595628,236.8449701781285,225.9694388001806,234.84646606445312,12103874.0,0.0,0.0,,,,,,,,0.017723961094398666,,
2019-11-08,234.9394245300293,238.42517266845704,230.98890997314453,232.3832092285156,7150985.0,0.0,0.0,,,,,,,,-0.010488796690095836,,
2019-11-11,231.54665692945517,235.40421288876445,230.5706445230194,234.1493377685547,5599046.0,0.0,0.0,,,,,,,,0.007600069496855655,,
2019-11-13,233.77752900243405,236.7520315049207,229.91997306408297,231.2213134765625,6493201.0,0.0,0.0,,,,,,,,-0.012504943724788165,,
2019-11-14,230.52414235360504,232.10434533141665,227.03839423333883,228.4326934814453,4522524.0,0.0,0.0,228.58607482910156,,,,,,,-0.012060393365942224,,
2019-11-15,228.6650899355209,232.38322147918797,225.13286213232803,227.503173828125,5246862.0,0.0,0.0,230.1430435180664,,,,,,,-0.004069118299810381,,
2019-11-18,228.57213055577537,233.4521781979196,227.54965289326336,232.01141357421875,4846338.0,0.0,0.0,231.25848236083985,,,,,,,0.019816161991215386,,
2019-11-19,231.82549745731083,233.1733314967684,229.22281670805307,230.4311981201172,4461546.0,0.0,0.0,231.04468994140626,,,,,,,-0.006810938435130365,,
2019-11-20,230.2452870842746,234.52114392295948,228.6186045757493,231.17481994628903,4799567.0,0.0,0.0,231.29101715087893,,,,,,,0.0032270883119924765,,7.841271443217634
2019-11-21,230.5241413019241,231.4071946516538,226.94543424135912,227.96792602539065,3840421.0,0.0,0.0,231.0121551513672,,,,,,,-0.01387215926736085,,7.599877798008852
2019-11-22,227.73555501302084,235.17181803385415,227.08488483540717,233.54513549804688,4927891.0,0.0,0.0,230.88202209472658,,,,,,,0.024464886661446528,,7.634667469468718
2019-11-25,235.0788347231054,242.60805592523752,234.5211235644385,241.8179473876953,11369913.0,0.0,0.0,231.82549591064455,,,,,,,0.03542275402999184,,7.7366855378774275
2019-11-26,242.8404684716363,244.2812331099898,233.4057152742908,235.4042053222656,12880492.0,0.0,0.0,231.95098266601565,,,,,,,-0.026523019216381227,,7.960887844864684
2019-11-27,236.1943069997296,239.7265205448251,234.14932334703732,235.12533569335935,4739906.0,0.0,0.0,232.3413848876953,,,,,,,-0.0011846416614540445,,7.790624227216332
2019-11-28,235.72953390024009,246.23324364552937,234.4746588928068,245.35020446777344,9945852.0,0.0,0.0,234.03313598632815,,,,217.93673791170352,231.30960540771486,244.6824729037262,0.04348688644829379,,8.074049979038207
2019-11-29,244.0953503161279,250.5091217867865,241.7250243513215,243.11932373046875,12038238.0,0.0,0.0,235.59475097656252,,,,221.82737937668267,232.86889724731446,243.91041511794626,-0.009092638590393776,0.3623097604472544,8.124767654497264
2019-12-02,248.6500535110524,250.462654033017,244.6995386421852,249.2077789306641,10547869.0,0.0,0.0,237.31438751220705,,,,222.521560897872,234.28643493652345,246.0513089751749,0.025043073939055693,0.3451191445863287,8.06895070078662
2019-12-03,248.4176583693257,248.650041585761,236.56611433112587,239.1223297119141,9848751.0,0.0,0.0,238.18350067138672,,,,222.69477657583465,234.6140953063965,246.53341403695836,-0.040470041754017694,0.3366079222705486,8.39557312212602
2019-12-04,236.10133574905387,245.39666392815047,230.29175563711848,241.49261474609372,15220113.0,0.0,0.0,239.2152801513672,,,,223.2977567739718,235.25314865112307,247.20854052827434,0.009912437023490206,0.3307061213150034,8.874811348476447
2019-12-05,242.3757233512634,243.35172162865857,232.47620283603064,233.73106384277344,6962695.0,0.0,0.0,239.79159393310547,,,,223.6009263276746,235.40187454223633,247.20282275679804,-0.032139909998824656,0.3522475365027401,9.017719023058696
2019-12-06,235.0788546409884,238.61109652955,232.4761739795991,236.19430541992188,7854850.0,0.0,0.0,240.05651092529297,,4.4886722390846785,4.4886722390846785,223.66638102902834,235.4692665100098,247.27215199099123,0.010538785631016623,0.34859330415704887,8.811804989265282
2019-12-09,235.17183058423623,241.213794611104,234.102873391363,240.60960388183597,6291970.0,0.0,0.0,239.93567657470703,,4.38973651581307,4.468885094430357,223.96373960702815,235.8805862426758,247.79743287832346,0.018693500904114924,0.35175229888405196,8.690313291442118
2019-12-10,238.23927245423775,240.8884469096816,232.6620892019417,233.3127593994141,5357914.0,0.0,0.0,239.72653198242188,,3.7153004314062343,4.3181681618255325,223.89206163932434,235.83875732421876,247.78545300911318,-0.03032648890443035,0.36904416226029746,8.65717360689196
2019-12-11,233.49866234430863,236.84498646777368,229.1763400197506,232.3367462158203,6247501.0,0.0,0.0,239.447673034668,,3.07002694141849,4.068539917744124,224.0244087128904,235.89452896118166,247.76464920947294,-0.004183282500735075,0.3664541493559771,8.58656452411561
2019-12-12,234.2422988189005,239.49415421027055,232.5691367049133,237.588623046875,6112551.0,0.0,0.0,238.67151489257813,,2.9220336191537797,3.839238658026055,224.97253469200103,236.35232543945312,247.73211618690522,0.02260458974567947,0.37132964081341924,8.484481914853799
2019-12-13,244.46716511253297,245.7685055651884,237.5421474926326,239.44769287109372,12372614.0,0.0,0.0,238.30435180664062,,2.912231228124085,3.653837172045661,226.25713888724061,236.94955139160157,247.64196389596253,0.007824742617629221,0.37105491921061545,8.466044497546799
2019-12-16,240.93491095172303,241.86444374340857,234.38168775008637,235.26475524902344,5733217.0,0.0,0.0,236.91004943847656,,2.558041175205318,3.4346779726775925,226.62830177257518,237.11221847534182,247.59613517810845,-0.017469108062453387,0.37200784630249145,8.3958096043879
2019-12-17,236.42668834153253,243.16580156875415,235.6830592176817,240.7025451660156,11197549.0,0.0,0.0,237.06807098388674,,2.658615526651289,3.2794654834723316,227.50114330155222,237.62578582763672,247.75042835372122,0.023113491484248794,0.37882244914017826,8.360469369769529
2019-12-18,239.72652978843507,247.58109415835355,238.2392714715928,245.76849365234372,13485427.0,0.0,0.0,237.49565887451172,,3.0877288222754657,3.2411181512329583,228.09309263709733,238.35546951293946,248.6178463887816,0.02104650984406531,0.38454257056950647,8.430566035268903
2019-12-19,244.7459898883849,248.37119072416743,243.81645703143383,246.1867828369141,7841049.0,0.0,0.0,238.7412307739258,,3.421753890552168,3.2772452990968004,229.63922203436536,239.26641235351565,248.89360267266593,0.0017019642280189373,0.3792315066841891,8.153720867944953
2019-12-20,245.8614606067314,247.95290970452024,244.23477797511788,246.04737854003903,7162934.0,0.0,0.0,239.7265380859375,,3.635431046950373,3.348882448667515,230.20806276182208,239.89152450561525,249.57498624940843,-0.000566254188257509,0.37175883251480424,7.836893072334767
2019-12-23,245.76848435577065,251.53159947787583,243.9094186218131,245.11782836914065,8467465.0,0.0,0.0,240.17736053466797,,3.6928198490728903,3.41766992874859,230.1377903807084,240.0565185546875,249.9752467286666,-0.003777931617942931,0.3517367356267153,7.821556485458193
2019-12-24,245.1178321766771,248.92889429681568,244.42068251561383,247.9528961181641,5683009.0,0.0,0.0,241.641374206543,,3.909027652616402,3.5159414735221524,230.4395290391805,240.68395309448243,250.92837714978435,0.011566142568601334,0.33805265323237355,7.58488900658274
2019-12-26,248.18527163706543,252.83293589993184,247.90642312813003,250.1837615966797,11054938.0,0.0,0.0,243.42607574462892,,4.20235938794923,3.653225056407568,230.73405751037507,241.43687438964844,252.1396912689218,0.008997134187343603,0.3383862914229486,7.395004989812674
2019-12-27,251.0668209728371,252.18224333932585,246.41915686140769,249.9513702392578,7560504.0,0.0,0.0,244.6623504638672,,4.368285569933619,3.796237159112778,230.45198375541443,241.66693267822268,252.88188160103093,-0.0009288826578461862,0.3033876665051864,7.278439381820209
2019-12-30,250.50912530161577,254.22725703150988,247.8134854708613,251.9963836669922,6645670.0,0.0,0.0,245.91721954345704,,4.602977824937142,3.957585292277651,230.03168467364162,242.11078567504885,254.18988667645607,0.008181645196731147,0.30187979790434427,7.216677394593663
2019-12-31,250.97387466919983,253.7624732766354,249.25423318786287,251.0203399658203,5377354.0,0.0,0.0,247.49277801513674,,4.662517832315245,4.098571800285169,229.88579778179155,242.20141372680666,254.51702967182177,-0.0038732448734728475,0.28977136565291284,7.0232175870350115
2020-01-01,251.6245701709191,254.22725097298255,247.11632988244023,249.2077789306641,6952048.0,0.0,0.0,248.34330139160159,,4.520935759866006,4.183044592201337,230.1128742600813,242.70568618774416,255.29849811540703,-0.007220773565214,0.24848033699017527,7.029482122999819
2020-01-02,252.83292794098588,257.4805920575481,252.41462682365903,256.9693603515625,10780926.0,0.0,0.0,249.46338806152346,,4.940874934671683,4.334610660695406,229.45883206688057,243.4795234680176,257.5002148691546,0.031145020649848476,0.2679090253496195,7.118291480420119
2020-01-03,256.9693983221445,256.9693983221445,251.67104909952707,253.2512664794922,5943349.0,0.0,0.0,250.16983642578126,,4.936610227442316,4.455010574044787,230.56811830615658,244.45553359985354,258.3429488935505,-0.014469016333245155,0.2431514467516042,6.988295604862786
2020-01-06,251.43863922667708,251.6710224422285,243.81645840975256,245.62905883789065,4529599.0,0.0,0.0,250.1280044555664,,4.306054663204378,4.4252193918767055,231.5632893825681,244.92727127075196,258.29125315893583,-0.030097411742731617,0.27022346497063343,7.163046495211132
2020-01-07,247.39516765952223,251.11329913925832,244.56010375306025,246.55859375,4465297.0,0.0,0.0,250.27208099365237,,3.8315523542694336,4.306485984355251,231.9942294893364,245.22472076416017,258.455212038984,0.003784303520548926,0.2631696380011404,7.119485701710199
2020-01-08,242.97990372715785,245.86146150134857,238.88996448335192,244.0023956298828,8088132.0,0.0,0.0,249.87703094482424,,3.2236550908750417,4.089919805659209,233.68348035374132,245.75920257568362,257.8349247976259,-0.010367507703702539,0.2398029496118524,7.158710242062905
2020-01-09,248.8359760210681,259.52560468656554,248.8359760210681,258.50311279296875,13317832.0,0.0,0.0,250.70896606445314,,3.7969835349902894,4.031332551525425,235.43028487695295,247.06752090454103,258.7047569321291,0.05942858522209549,0.3121950734463926,7.756174443107178
2020-01-10,258.41015867493746,260.26922456468526,255.62155984031585,258.31719970703125,7625227.0,0.0,0.0,251.5455490112305,239.4997250366211,4.191103477961974,4.063286736812735,236.33663580569274,248.10394973754885,259.871263669405,-0.0007191908984337525,0.30619755830295214,7.534138034625909
2020-01-13,258.45660488805424,260.1762463824925,255.9933484394714,258.9678649902344,4540953.0,0.0,0.0,252.2426971435547,240.44041259765626,4.502630265236604,4.151155442497509,237.11007612557498,249.07995834350587,261.0498405614368,0.002518861631904734,0.3059815730196424,7.2947637423684215
2020-01-14,258.41013431319857,263.9873314566489,258.41013431319857,261.10577392578125,7428691.0,0.0,0.0,253.2512405395508,241.2453875732422,4.857256781413383,4.292375710280684,239.08694930302087,250.37200927734375,261.65706925166666,0.008255498942417061,0.295372183710872,7.172080413874274
2020-01-15,260.12976131673935,263.4295914297346,256.7834375432107,262.593017578125,5538475.0,0.0,0.0,254.5897644042969,241.84586547851563,5.192981014892268,4.472496771203001,239.90229698124176,251.46653289794924,263.0307688146567,0.00569594318035449,0.28788306883522563,7.134514233349248
2020-01-16,262.5930247125826,262.9183668767951,256.6904855633241,257.8988952636719,4791447.0,0.0,0.0,254.68271789550784,242.4296124267578,5.046463983463525,4.5872902136551055,240.49541881705431,252.07305297851565,263.650687139977,-0.017876036300380926,0.2913708468636876,7.0697547390722315
2020-01-17,257.2946702438024,259.8508854691429,253.62303266765824,254.0877990722656,4733742.0,0.0,0.0,254.76637115478516,242.89623748779297,4.588660033333241,4.587564177590733,241.1853932414102,252.4681037902832,263.7508143391562,-0.014777481646479629,0.2978217072508742,7.009618886387405
2020-01-20,254.22728059987423,255.6215801278443,249.7190397860184,252.22879028320312,3823115.0,0.0,0.0,255.4263442993164,243.24388397216796,4.037663592988594,4.477584060670305,241.8829662620547,252.7771743774414,263.6713824928281,-0.007316403211213407,0.29947574542908434,6.930541847490154
2020-01-21,250.9738790085653,251.810452931842,245.7220238805082,248.41766357421875,4799667.0,0.0,0.0,255.61225128173828,243.56457305908202,3.2731844231726654,4.236704133170777,242.42347648682826,252.94216613769532,263.46085578856236,-0.015109800529532036,0.3047333190638264,6.900272172861923
2020-01-22,249.39365624723828,250.3231891119199,246.0938259244553,247.11631774902344,3334351.0,0.0,0.0,255.92364349365235,243.8239126586914,2.5376884142545464,3.896900989387531,242.29631099512883,252.90033721923828,263.50436344334776,-0.005238539830347055,0.30272039383812543,6.709492959619257
2020-01-23,247.25574886979663,249.9978822435732,245.4896420512881,247.8599395751953,3529142.0,0.0,0.0,254.859326171875,244.15668518066406,1.9866273195452209,3.514846255419069,242.01397732964875,252.78414611816407,263.5543149066794,0.003009197583330403,0.3011020254092152,6.55226061909539
2020-01-24,247.9064212000524,254.5990406662737,246.605052522898,252.73997497558597,5991335.0,0.0,0.0,254.30160369873047,244.64283081054688,1.8970086315144385,3.191278730638143,242.2317926426475,252.92357635498047,263.6153600673134,0.019688681473716496,0.30931192874464963,6.655241156543983
2020-01-27,246.7445350322188,247.16280784303535,240.09835168926648,244.28125,17151836.0,0.0,0.0,252.83294219970705,244.97839233398437,1.1708002177767298,2.7871830280658605,241.20269594996952,252.53781967163087,263.87294339329225,-0.0334680929536495,0.3306066447943733,7.082839880099376
2020-01-28,242.42215585673227,243.3052234107904,233.8704706596833,237.2632598876953,11168567.0,0.0,0.0,250.44869079589844,245.08342926025392,0.06029809160261834,2.241806040773212,238.70483943593547,251.84996566772463,264.9950918995138,-0.028729139515639046,0.3445992587157745,7.320549841543471
2020-01-29,240.74902034193704,245.95441023896507,240.0983359671488,242.8404693603516,7832991.0,0.0,0.0,248.47343597412112,245.3316146850586,-0.39522184818309825,1.7144004629819498,237.8485123823627,251.531600189209,265.2146879960553,0.02350641846232815,0.3561926471221946,7.418449877952491
2020-01-30,242.8869205149388,243.63056380955027,237.2632581619523,238.84347534179688,5511254.0,0.0,0.0,246.5678939819336,245.48498779296875,-1.048702706439144,1.161779829097731,236.1261587166238,250.62530593872071,265.1244531608176,-0.01645934069013666,0.3387677134115731,7.343368147212882
2020-01-31,239.95892258988204,240.7490312616499,231.54666083665043,233.03390502929688,6329214.0,0.0,0.0,244.46250457763674,245.58630737304688,-1.9864218992330223,0.5321394834315804,233.2850105472001,249.61443786621095,265.9438651852218,-0.024323755564962468,0.34477687887321745,7.476154024197637
2020-02-03,228.2003293956961,235.1718262204119,226.57364680326245,233.77752685546875,7021154.0,0.0,0.0,242.61737823486328,245.5909552001953,-2.6455847312379603,-0.10340535950232788,231.35181572849328,249.02186126708986,266.6919068056865,0.0031910456380945806,0.33125045348533155,7.556298695122766
2020-02-04,235.404212843181,241.399711545748,231.174835205143,240.14483642578125,5839343.0,0.0,0.0,241.79009552001955,245.55749298095702,-2.6565404619019546,-0.6140323799822532,230.63557285341773,248.70117340087893,266.76677394834013,0.027236619601374468,0.34701657939456254,7.746911384085783
2020-02-05,241.21375820829343,252.50757589607312,238.28573560288237,250.27670288085935,7218905.0,0.0,0.0,242.10613403320315,245.85494293212892,-1.8753783408092772,-0.8663015721476581,231.06905331489264,249.01488876342773,266.9607242119628,0.042190648801267994,0.3772208535852676,8.20940630616471
2020-02-06,251.9963540734228,257.94535846920434,248.882413441908,256.9693603515625,8567243.0,0.0,0.0,243.01707611083987,246.29182342529296,-0.7381423064633168,-0.8406697190107899,231.14272613834862,248.93820114135744,266.73367614436626,0.026741032599782555,0.3249002042157412,8.270373357674112
2020-02-07,255.9933275084019,260.26918406285245,253.53007126122503,259.6184997558594,5258442.0,0.0,0.0,243.7049285888672,246.57718933105468,0.3629990818111537,-0.5999359588464012,231.0621783940404,249.00326614379884,266.9443538935573,0.010309164488219835,0.3269728388585336,8.160997603670776
2020-02-10,256.5510927851897,260.0833066288728,253.9484118863806,258.31719970703125,4972983.0,0.0,0.0,245.10852355957033,246.88114685058594,1.1270902550094775,-0.25453071607522537,231.0998173563251,248.9707328796387,266.8416484029523,-0.005012354859348811,0.3274340186240355,8.016275970729447
2020-02-11,260.31567102621,272.8178995768229,258.9678653739393,268.4026184082031,10958494.0,0.0,0.0,248.22245941162112,247.26504364013672,2.4715835771557124,0.2906921425709622,230.23308906010138,249.33557510375977,268.4380611474182,0.039042768784309345,0.3547340834442464,8.47944910637675
2020-02-12,268.30968668613104,274.5840342469381,268.1702624137543,273.0038452148437,9119052.0,0.0,0.0,251.23879699707032,247.9426739501953,3.8459781469482266,1.001749343446415,228.86310418280033,249.85611648559572,270.8491287883911,0.017143002679812724,0.3587847208246362,8.33190072972011
2020-02-13,271.6095096944556,273.8403828575681,268.0772678496938,272.678466796875,6220243.0,0.0,0.0,254.62229614257814,248.56639099121094,4.858925241946736,1.7731845231464791,227.57864692511197,250.59509506225587,273.61154319939976,-0.0011918455496940927,0.35121840882428196,8.148416035302553
2020-02-14,271.051750083128,275.83883797524544,267.98427505000825,268.7743835449219,6086218.0,0.0,0.0,258.19634399414065,249.2672573852539,5.307885742520966,2.4801247670213766,227.01363853049924,251.32942428588868,275.6452100412781,-0.014317534119264952,0.35091291635104926,8.127426527440742
2020-02-17,268.7744119799024,270.4010944315479,265.195704912864,267.8448791503906,6084235.0,0.0,0.0,261.60307922363285,249.90026885986327,5.531454391904276,3.0903906919979565,226.7486614940838,252.11022872924806,277.4717959644123,-0.003458307232526492,0.3496670840117967,7.918709598243823
2020-02-18,268.6350065353482,268.77443079611754,261.2917023415376,264.73095703125,5463097.0,0.0,0.0,264.0616912841797,250.38269592285158,5.411462221637407,3.5546049979258467,227.0477673826335,252.92589340209963,278.8040194215658,-0.011625841528193681,0.3474541892084619,7.887568087982118
2020-02-19,266.9618658854048,269.5645467137345,260.1762585513202,261.059326171875,4952306.0,0.0,0.0,265.13995361328125,250.93762725830078,4.9808671133185385,3.839857421004385,227.6574195613279,253.6230438232422,279.5886680851565,-0.013869291678424989,0.35162961723952335,7.99476237901299
2020-02-20,260.919888828177,265.7069774512634,257.4806058508416,261.9423522949219,6960354.0,0.0,0.0,265.6372528076172,251.5297393798828,4.652503913606495,4.002386719524807,228.26128629628454,254.32716445922853,280.3930426221725,0.0033824730033413797,0.3516325225509632,8.011305894827906
2020-02-24,258.36366948563096,258.36366948563096,237.96041188534397,240.7025451660156,10565578.0,0.0,0.0,263.74565734863285,251.59201782226563,2.7490021441368526,3.7517098044472164,226.99322938722213,253.72529296875,280.4573565502779,-0.0810858074031201,0.45496127156079913,9.152065503024334
2020-02-25,245.3966619162598,247.99934243823256,240.19127250522413,244.09532165527344,9928181.0,0.0,0.0,262.32346954345707,251.68497039794923,1.4759058404641507,3.2965490116506033,226.9706762577895,253.71599655151368,280.4613168452379,0.01409530791175384,0.44254048398226925,9.056065819451769
2020-02-26,237.96040344052943,245.1178175471004,237.54211650556573,242.42214965820312,8111249.0,0.0,0.0,259.72542266845704,251.82811828613282,0.3328420312159892,2.7038076155636803,227.7743665594985,253.97394104003908,280.17351552057966,-0.0068545844538276945,0.43012176386698636,8.950325478171976
2020-02-27,240.7490222209364,240.7490222209364,230.8030229813367,234.3352508544922,10258174.0,0.0,0.0,255.8585632324219,251.70077239990235,-1.1761537719348496,1.9278153380639744,226.38180492352564,253.5486801147461,280.7155553059666,-0.033358745540012946,0.4386924909890392,9.140954135221579
2020-02-28,228.20032165165225,228.20032165165225,216.2558184905608,219.0908966064453,10723581.0,0.0,0.0,250.49980621337892,251.1672204589844,-3.4926965608314617,0.8437129582848872,222.09210594899983,252.56105117797853,283.02999640695725,-0.06505361098024764,0.4915304193189011,9.779416865843707
2020-03-02,225.13286536111733,229.12985966459237,214.58267546478223,218.4402313232422,10865535.0,0.0,0.0,245.46639099121094,250.61228942871094,-5.323585388532308,-0.38974671107855197,218.92527303566632,251.83136749267578,284.7374619496852,-0.002969841710821597,0.4855361428579588,10.119971675412739
2020-03-03,222.39074016551064,231.5466446503409,221.83301476753925,229.0833740234375,11580274.0,0.0,0.0,241.59024047851562,250.2730093383789,-5.9049956911764525,-1.4927965070981322,218.11686429121352,251.59665985107424,285.07645541093495,0.04872336307154823,0.5187208407307289,10.333288936247452
2020-03-04,229.17632729770295,231.2677762128814,220.15986147786523,228.29327392578125,10790561.0,0.0,0.0,237.94647216796875,249.93651824951172,-6.354955847428897,-2.465228375164285,216.33604424834851,251.00408172607422,285.6721192037999,-0.003448963073048761,0.5082925506033259,10.388619350445216
2020-03-05,231.17483342224912,234.9394445695688,227.13137374690683,229.7340545654297,7130730.0,0.0,0.0,234.81394500732424,249.57214141845705,-6.52918521902518,-3.278019743936464,214.08781706048575,249.97694931030276,285.86608156011977,0.006311095438216174,0.482176130717144,10.204294455603556
