,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1579.1786876435165,1600.1653283253363,1561.282806328646,1569.7572021484375,2481421.0,0.0,0.0,,,,,,,,,,
2019-11-01,1567.2647635421822,1581.1726941559314,1558.2918736745744,1575.1409912109375,2219737.0,0.0,0.0,,,,,,,,0.0034296954045704986,,
2019-11-04,1579.228569417256,1591.9900610834875,1560.2858024861146,1566.317626953125,1434393.0,0.0,0.0,,,,,,,,-0.005601634588297544,,
2019-11-05,1563.8750322698886,1565.021592575668,1545.6302286269329,1549.2193603515625,2263394.0,0.0,0.0,,,,,,,,-0.010916219231231428,,
2019-11-06,1551.7615086860594,1583.1666222824254,1536.3580968888834,1566.317626953125,2247235.0,0.0,0.0,,,,,,,,0.011036698248905408,,
2019-11-07,1572.2498447919131,1582.219723325787,1554.2541653572234,1579.228759765625,2511912.0,0.0,0.0,,,,,,,,0.008242985069136566,,
2019-11-08,1574.1441432785437,1601.162489717183,1567.2649027617756,1595.4298095703125,3913627.0,0.0,0.0,,,,,,,,0.010258836602679455,,
2019-11-11,1590.0959306025438,1614.5221326863232,1587.2046415255732,1612.0296630859375,2923574.0,0.0,0.0,,,,,,,,0.010404627904060382,,
2019-11-13,1612.1293499805467,1623.096216306945,1596.2772188591384,1600.963134765625,2603834.0,0.0,0.0,,,,,,,,-0.0068649656850158225,,
2019-11-14,1601.162441769992,1605.5492125263231,1579.2786077630858,1592.7877197265625,2639298.0,0.0,0.0,1580.7191894531252,,,,,,,-0.005106560458220222,,
2019-11-15,1601.1622721604915,1624.0929896322791,1597.672815153915,1617.86181640625,2068406.0,0.0,0.0,1585.5296508789063,,,,,,,0.01574227147104823,,
2019-11-18,1621.750191658325,1630.0750152550386,1611.6806394520115,1622.2984619140625,2014974.0,0.0,0.0,1590.2453979492188,,,,,,,0.0027422895223943033,,
2019-11-19,1624.990414622709,1626.1867512833046,1609.2878570136877,1618.9088134765625,1596482.0,0.0,0.0,1595.5045166015625,,,,,,,-0.0020894111145866034,,
2019-11-20,1618.111191332103,1618.908830249171,1591.3918697442807,1594.632080078125,1562436.0,0.0,0.0,1600.045788574219,,,,,,,-0.014995738608837295,,28.382090255297857
2019-11-21,1598.620075684135,1600.0657810486705,1582.7181685925502,1590.44482421875,1673814.0,0.0,0.0,1602.4585083007814,,,,,,,-0.0026258444889493138,,27.593913269642314
2019-11-22,1587.15455823442,1589.0987573174066,1560.3854621907074,1564.3734130859375,1862434.0,0.0,0.0,1600.9729736328127,,,,,,,-0.01639252788641643,,27.770016752385196
2019-11-25,1569.258746355075,1601.162354921379,1565.3206933537151,1598.8194580078125,2018421.0,0.0,0.0,1601.3119384765625,,,,,,,0.02201906823123867,,28.41422568688921
2019-11-26,1596.1774778603,1605.6488620199957,1586.506744820393,1599.5672607421875,1556808.0,0.0,0.0,1600.0656982421876,,,,,,,0.0004677218122592919,,27.75193222351161
2019-11-27,1600.115546093509,1619.108212663246,1596.875335692551,1613.026611328125,2040883.0,0.0,0.0,1601.2720458984377,,,,,,,0.008414369883822381,,27.357713991167557
2019-11-28,1612.1293516743665,1621.2019167588498,1602.259147629714,1610.1353759765625,2237760.0,0.0,0.0,1603.0068115234376,,,,1550.5272377347342,1591.8630004882814,1633.1987632418286,-0.001792428798916057,,26.756646501022427
2019-11-29,1605.1503070122867,1617.114160232254,1587.5036721938782,1610.3345947265625,1730478.0,0.0,0.0,1602.2540893554688,,,,1553.1158142850647,1593.8918701171876,1634.6679259493105,0.0001237279504395783,0.15970034453414184,26.960492325119105
2019-12-02,1609.6367806448063,1631.5705119388203,1595.379806622653,1628.0810546875,2289704.0,0.0,0.0,1602.8323486328127,,,,1554.134614042901,1596.5388732910158,1638.9431325391306,0.011020355657173742,0.16326054068653997,27.619793253051125
2019-12-03,1629.5764510411132,1645.0297609163883,1626.5355897717109,1641.78955078125,2321783.0,0.0,0.0,1605.1204223632812,,,,1555.950085572824,1600.3124694824219,1644.6748533920197,0.008420032930351429,0.16252332650696955,26.967963102453005
