,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,276.11404480798666,299.1274526801306,275.5492924346981,294.04473876953125,107231883.65192631,0.0,0.0,,,,,,,,,,
2019-11-01,294.04471103970127,296.4919519434992,290.4679942203401,295.12713623046875,44894016.0,0.0,0.0,,,,,,,,0.003681063859421352,,
2019-11-04,297.4331956304031,300.256928500312,293.9976597169132,295.83306884765625,31535656.0,0.0,0.0,,,,,,,,0.002391961058559655,,
2019-11-05,295.45660844275227,303.0806937509525,294.4212338682685,300.4452209472656,50080853.0,0.0,0.0,,,,,,,,0.015590387232823133,,
2019-11-06,300.209916032388,300.209916032388,295.5507447135057,298.89215087890625,32157080.0,0.0,0.0,,,,,,,,-0.005169228731489728,,
2019-11-07,299.5510088402658,304.3042812299432,298.186193068241,299.4568786621094,33926772.0,0.0,0.0,,,,,,,,0.0018894031895535512,,
2019-11-08,297.62145737015726,302.1394184933433,296.0213305799267,297.4331970214844,25423362.0,0.0,0.0,,,,,,,,-0.0067578398922284455,,
2019-11-11,296.20961931518747,300.86876178412854,294.7036225549695,299.551025390625,20491942.0,0.0,0.0,,,,,,,,0.0071203496796883314,,
2019-11-13,297.48022110130614,299.8804110716686,287.6912870615269,288.7737121582031,32675829.0,0.0,0.0,,,,,,,,-0.035978221801670984,,
2019-11-14,288.914976128304,291.3151378257602,282.0909543214001,288.0207824707031,43617772.0,0.0,0.0,295.75779113769534,,,,,,,-0.0026073345869083164,,
2019-11-15,293.6682582767437,304.6808294519216,291.83282017271404,302.986572265625,95199897.0,0.0,0.0,296.6519744873047,,,,,,,0.0519607983373358,,
2019-11-18,304.96316065603685,310.4694456905592,304.72784957528376,305.99853515625,39009263.0,0.0,0.0,297.73911437988284,,,,,,,0.009940912127236023,,
2019-11-19,306.6574220021526,312.3048885489657,303.17483486631795,310.9871520996094,41372145.0,0.0,0.0,299.25452270507816,,,,,,,0.016302747791952843,,
2019-11-20,312.49313363748195,312.96375582669504,305.99855317124127,309.48114013671875,29972583.0,0.0,0.0,300.1581146240234,,,,,,,-0.004842682254629804,,9.247723030819161
2019-11-21,309.9047286081544,313.29321430138964,307.3633571571028,311.88134765625,34116162.0,0.0,0.0,301.4570343017578,,,,,,,0.00775558574739299,,9.010732610352566
2019-11-22,311.9754193160512,314.1873203322062,308.9634262150176,309.95172119140625,28974967.0,0.0,0.0,302.5065185546875,,,,,,,-0.0061870531192219635,,8.740244146555138
2019-11-25,309.6693633394093,317.6699395958986,309.0575603117533,316.3522033691406,27561300.0,0.0,0.0,304.39841918945314,,,,,,,0.020649932683489913,,8.731110942097292
2019-11-26,318.1405864323305,320.02307510944485,313.0578727490212,315.7874755859375,36464072.0,0.0,0.0,306.0220642089844,,,,,,,-0.0017851235970187673,,8.604974614834887
2019-11-27,316.21103765417024,325.2469600568558,314.4226504843293,323.3644714355469,33971305.0,0.0,0.0,309.48114013671875,,,,,,,0.023993972007757547,,8.763498540384287
2019-11-28,326.4706104097121,330.3767687396545,324.25868042966096,328.7766418457031,42538227.0,0.0,0.0,313.5567260742188,,,,283.1762846817144,304.65725860595705,326.13823253019973,0.016737059535728793,,8.638412737793097
2019-11-29,328.35311510531096,328.35311510531096,320.5878487953686,321.764404296875,23081823.0,0.0,0.0,315.43450927734375,,,,283.9128507098468,306.04324188232425,328.1736330548017,-0.02132827170890994,0.28632490749775635,8.606297045831772
2019-12-02,323.6939196973665,324.11749113613035,316.44635558311046,318.6112060546875,20648850.0,0.0,0.0,316.69577636718753,,,,285.0364248771982,307.21744537353516,329.3984658698721,-0.009799711217522433,0.2909031839291575,8.53949979634521
2019-12-03,320.964318802277,322.79975674857,313.7638053717002,316.493408203125,26482178.0,0.0,0.0,317.2464019775391,,,,286.36400384426776,308.2504623413086,330.13692083834945,-0.0066469659927749225,0.29332269239612346,8.57496062352554
2019-12-04,314.4697601875352,322.79977888310054,312.35196028482363,321.764404296875,26789483.0,0.0,0.0,318.4747283935547,,,,286.98230060494336,309.31642150878906,331.65054241263476,0.01665436295711742,0.29392603383967486,8.708736193150637
2019-12-05,322.8467999479331,324.35279659637973,315.45802633250526,316.44635009765625,30429507.0,0.0,0.0,318.9312286376953,,,,288.19036928802524,310.1941314697266,332.19789365142793,-0.016527789053732866,0.30109605696194264,8.722024341059482
2019-12-06,316.9170048312459,317.81116978744103,299.3157228469849,301.1982116699219,47027528.0,0.0,0.0,318.0558776855469,,4.397280437869142,4.397280437869142,288.43485236664145,310.2811981201172,332.12754387359297,-0.04818554052852486,0.3518020520886619,9.420125955302101
2019-12-09,300.20990187320695,308.39871061855376,296.25666404821294,298.09210205078125,52435239.0,0.0,0.0,316.22986755371096,,2.8930679165877677,4.096437933612867,288.54354238370485,310.3141433715821,332.0847443594593,-0.010312510163720923,0.3530020735476729,9.614548856376295
2019-12-10,298.5627384253413,303.6925032265768,293.9035671047377,294.9859924316406,52155809.0,0.0,0.0,314.14971923828125,,1.4448755862331382,3.5661254641369213,287.7795658803337,310.0858917236328,332.39221756693195,-0.010419966170762462,0.3540267179307428,9.627005089623637
2019-12-11,292.9152357227858,297.1978857698128,289.9032424928023,294.42120361328125,52557951.0,0.0,0.0,311.2553924560547,,0.24762035476976507,2.90242444226349,289.02610328081914,310.36826629638676,331.7104293119544,-0.0019146292802030285,0.32852071199211186,9.460407817294127
2019-12-12,295.5507101440769,303.9748581172815,295.12713871935847,302.9394836425781,37804216.0,0.0,0.0,308.6716766357422,,-0.05763629776225798,2.3104122942583407,292.0244763330668,311.1142013549805,330.2039263768942,0.028932291304961666,0.342487766704576,9.467068294915993
2019-12-13,306.0926800944922,313.8579461338179,305.9044197310121,313.01080322265625,40955226.0,0.0,0.0,307.79631652832035,,0.4583530360401369,1.9400004426147,292.88254077506144,311.6154129028321,330.3482850306027,0.03324531836847222,0.31189720480209365,9.570739308939121
2019-12-16,316.21103611068315,317.43464221876263,311.36360495487645,312.3519287109375,35027613.0,0.0,0.0,307.17038879394534,,0.8094775897079103,1.713895872033342,293.37734303610046,311.9330825805664,330.48882212503236,-0.0021049577360755523,0.31066229644920307,9.32076059143534
2019-12-17,313.66971229779585,316.0228234178093,311.2224709880816,313.3402709960937,26734601.0,0.0,0.0,306.8550750732422,,1.1505683185316684,1.6012303613330072,293.49064215417184,312.05073852539067,330.6108348966095,0.0031641945968927665,0.305657142864003,8.997874294170508
2019-12-18,315.3168740965836,315.83454702694235,306.6574141241313,307.7398681640625,26449075.0,0.0,0.0,305.45262145996094,,0.9857767980835206,1.47813964868311,293.33995321205305,311.96367492675785,330.58739664146265,-0.01787323031995791,0.3121394587607815,9.010678480501973
2019-12-19,308.1163397499637,310.23413951019404,305.43378764210576,308.86932373046875,27516289.0,0.0,0.0,304.6949188232422,,0.9298286436331864,1.3684774476731252,293.14047525208883,311.8130737304688,330.4856722088487,0.003670163288053807,0.31111136179608156,8.709940865329566
2019-12-20,310.94008730185,319.5524676512323,310.94008730185,317.9994201660156,51839714.0,0.0,0.0,306.3750396728516,,1.5601360676217837,1.4068091716628568,293.37455824593565,312.21545867919923,331.0563591124628,0.029559738485114728,0.32758283745828987,8.850883940717708
2019-12-23,315.9757218015911,318.9406355904485,310.94005907078747,312.8695983886719,30150335.0,0.0,0.0,307.85278930664066,,1.6534271156713203,1.4561327604645495,293.2924273373751,312.0413284301758,330.79022952297646,-0.016131544436985612,0.32505136143191976,8.790147696356517
