,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1048.3138915484635,1049.2129712719657,1015.0483923325052,1023.724365234375,1027095.0,0.0,0.0,,,,,,,,,,
2019-11-01,1030.1077153581084,1047.324945955039,1022.7354191813664,1028.624267578125,781208.0,0.0,0.0,,,,,,,,0.004786349246096444,,
2019-11-04,1029.433856054094,1036.806267692221,1018.6450076776548,1024.17431640625,611249.0,0.0,0.0,,,,,,,,-0.004326119178922672,,
2019-11-05,1024.0392232256029,1035.906919577509,1014.1494574926116,1024.218994140625,541907.0,0.0,0.0,,,,,,,,4.362317396489068e-05,,
2019-11-06,1022.3760312974962,1036.3116582669386,1015.9476432699092,1024.44384765625,1010183.0,0.0,0.0,,,,,,,,0.00021953656094186869,,
2019-11-07,1040.7436271464223,1066.9766649957155,1027.6497351983658,1040.698486328125,1706981.0,4.871765,0.0,,,,,,,,0.015866793196193996,,
2019-11-08,1040.6983590182083,1049.7738119485305,1003.2676875729342,1008.0989990234376,901268.0,0.0,0.0,,,,,,,,-0.03132462258084712,,
2019-11-11,1006.60887590229,1035.325333376487,1004.3513827773412,1011.3497924804688,840105.0,0.0,0.0,,,,,,,,0.0032246768027546224,,
2019-11-13,1011.3497938737412,1040.246814634586,1011.3497938737412,1021.824951171875,1130931.0,0.0,0.0,,,,,,,,0.010357602057458726,,
2019-11-14,1027.2432480555997,1030.945699850672,1003.9450446236305,1026.9722900390625,897236.0,0.0,0.0,1023.4130310058595,,,,,,,0.005037397903901564,,
2019-11-15,1025.8435549496517,1036.408994420448,1014.3299321126332,1018.8450317382812,485356.0,0.0,0.0,1022.92509765625,,,,,,,-0.007913804860764206,,
2019-11-18,1020.4255366420872,1026.6565543258023,1014.0592096194636,1017.1295776367188,626778.0,0.0,0.0,1021.7756286621094,,,,,,,-0.0016837242643620298,,
2019-11-19,1016.4519821511406,1020.4252787913324,1009.4985998959348,1016.9035034179688,601809.0,0.0,0.0,1021.0485473632813,,,,,,,-0.00022226688095661196,,
2019-11-20,1020.4250614268774,1028.0557805243131,1012.2977934900596,1017.2645263671876,405608.0,0.0,0.0,1020.3531005859376,,,,,,,0.0003550218363939095,,25.45060610348549
2019-11-21,1023.585893486007,1033.5192478897245,1011.4401867700752,1019.3867797851562,703790.0,0.0,0.0,1019.8473937988282,,,,,,,0.002086235549319193,,25.209781461782903
2019-11-22,1019.4319513928588,1035.6413498642444,1011.8464846421384,1030.539306640625,476894.0,0.0,0.0,1018.8314758300781,,,,,,,0.010940427202537517,,25.10871601609169
2019-11-25,1033.9257470653035,1043.0012008194228,1024.4439128244503,1035.144775390625,985265.0,0.0,0.0,1021.536053466797,,,,,,,0.004468988926791262,,24.640756871726037
2019-11-26,1041.9175547696873,1042.0981180302158,997.985020102759,1007.2411499023438,1604929.0,0.0,0.0,1021.1251892089845,,,,,,,-0.02695625399621171,,26.031638375706805
2019-11-27,1009.588983526593,1036.8153422710925,1009.588983526593,1026.2950439453125,989987.0,0.0,0.0,1021.5721984863281,,,,,,,0.018916913834205573,,26.28467794663837
2019-11-28,1027.559425498305,1046.6134909274483,1019.341872594857,1033.6549072265625,1384472.0,0.0,0.0,1022.2404602050782,,,,1005.8763700107045,1022.8267456054688,1039.777121200233,0.007171293795746214,,26.35517368849215
2019-11-29,1030.3135160020656,1037.582997248827,1007.3314110921618,1017.8968505859376,508911.0,0.0,0.0,1022.1456420898438,,,,1005.4568669434807,1022.5353698730469,1039.613872802613,-0.015244987984341818,0.1993006046655937,26.633488864790227
2019-12-02,1020.4254095386684,1020.6963675874316,985.5232976207774,990.9866943359376,780962.0,0.0,0.0,1019.5313537597657,,,,998.9934301838828,1020.6534912109375,1042.3135522379923,-0.02643701690845157,0.21878391215619022,27.243458943494797
2019-12-03,988.8192309789667,995.9080355900704,971.1649872376364,984.6201171875,852393.0,0.0,0.0,1016.3030151367188,,,,992.0165527609978,1018.67578125,1045.3350097390023,-0.006424482977245072,0.21923526531288048,27.064858186990456
2019-12-04,981.594966408984,1001.461674885746,971.390654170114,983.4913330078124,465079.0,0.0,0.0,1012.9256958007813,,,,986.0522983372699,1016.6393981933594,1047.2264980494488,-0.001146415922225863,0.21913774275224057,27.279584081893425
2019-12-05,983.4914001801792,1014.8717328259982,981.8658783359522,1001.2810668945312,1137984.0,0.0,0.0,1011.1151245117188,,,,984.4136020943818,1015.4812591552735,1046.5489162161653,0.018088348407008903,0.23036037631676518,27.688603396761465
2019-12-06,1000.7393156299516,1001.281118561027,965.3405436307394,968.9977416992188,513029.0,0.0,0.0,1004.9609680175781,,-8.985892898761449,-8.985892898761449,976.9856058133969,1011.8962219238282,1046.8068380342595,-0.03224202100958429,0.2462720691631715,28.278029934870478
2019-12-09,967.3271170788064,997.849547196616,959.0191710868748,987.3743896484376,686174.0,0.0,0.0,1000.1839294433594,,-9.389848298676725,-9.066683978744503,974.3656590985395,1010.8599914550782,1047.354323811617,0.018964593165092358,0.23521814169377359,29.031768947361236
2019-12-10,977.9826780243318,984.303861543329,964.9339306022476,968.9072265625,455340.0,0.0,0.0,996.3505371093751,,-10.986859669945261,-9.450719116984654,967.923876640455,1008.7378631591797,1049.5518496779046,-0.01870330371087814,0.24283273546600137,28.560961097277573
2019-12-11,966.24337406067,980.7822226164108,960.599528111735,973.3773193359376,634769.0,0.0,0.0,991.0587646484375,,-11.783650731310559,-9.917305439849835,963.2094610759277,1006.3154815673829,1049.421502058838,0.004613540544327055,0.23978339497714765,27.9625134835203
2019-12-12,979.2922645018508,1002.3646504275116,977.0797989896474,993.5150146484376,849379.0,0.0,0.0,987.0447753906251,,-10.767234484144183,-10.087291248708706,962.282675006739,1004.6426177978516,1047.0025605889641,0.020688478057243387,0.25226105956007333,28.035714741238422
2019-12-13,999.3848374488044,1011.1242790785552,992.9282294036074,998.0302734375,901103.0,0.0,0.0,985.0581176757813,,-9.508301412683409,-9.971493281503646,961.6681807987171,1003.6018798828126,1045.535578966908,0.004544731305002214,0.2519582663985818,27.33288152221767
2019-12-16,996.0435371466418,1005.5705120726396,990.8962396106524,994.2825927734376,585023.0,0.0,0.0,985.3877075195313,,-8.692572944159338,-9.715709214034785,960.8183806454034,1002.4595306396485,1044.1006806338937,-0.003755077139247831,0.25214971888069776,26.428695160772637
2019-12-17,978.8406373710624,1001.4616127199948,964.4373255301848,986.8776245117188,1604333.0,0.0,0.0,985.6134582519531,,-8.508787609789351,-9.474324893185699,959.3432955241906,1000.9582366943359,1042.5731778644813,-0.007447548931801773,0.2531509219596594,27.185523162846735
2019-12-18,993.3344782777792,1017.4454457060318,976.2220348767592,1005.61572265625,857228.0,0.0,0.0,987.8258972167969,,-6.863205169191019,-8.952100948386763,959.3684093592333,1000.3757965087891,1041.383183658345,0.01898725604788365,0.26327764639685336,28.188229424734303
2019-12-19,1005.6156280886825,1026.7014798262378,1005.2545015676,1022.366943359375,1005647.0,0.0,0.0,989.9344848632813,,-4.235813364382807,-8.008843431585971,959.2215893402885,1000.5248046875,1041.8280200347115,0.0166576758156467,0.27012693844163693,27.70671148429884
2019-12-20,1022.3218199577,1074.1559271883689,1012.2981818852932,1067.473388671875,2032643.0,0.0,0.0,999.782049560547,,1.2606097409344557,-6.154952797081886,953.2943975469909,1002.3715087890625,1051.4486200311342,0.04411962417748527,0.3101904512549883,30.146071042782904
2019-12-23,1065.48674956494,1069.0537795271089,1045.4846140617046,1049.9095458984375,799206.0,0.0,0.0,1006.035565185547,,4.250702339896861,-4.073821769686136,951.6943949663482,1003.1097473144532,1054.5250996625582,-0.01645365866711679,0.31675234977867966,29.676292072970142
2019-12-24,1046.613357508036,1050.5866544197054,1036.228480796306,1042.09814453125,586372.0,0.0,0.0,1013.354656982422,,5.967987141968138,-2.0654599873552812,950.7047098999271,1004.8525970458985,1059.0004841918699,-0.0074400708115317515,0.30118382118630704,28.58214075514366
2019-12-26,1038.3955916758068,1054.3792856725795,1036.5895066604862,1044.03955078125,539917.0,0.0,0.0,1020.4208801269532,,7.396667930999456,-0.17303440368433387,949.6683254400516,1005.7398223876953,1061.811319335339,0.00186297831944926,0.29439071931971045,27.811257773497204
2019-12-27,1050.4963038019848,1056.2756855248415,1041.1498927482228,1051.71533203125,534458.0,0.0,0.0,1026.2409118652345,,9.01243928090173,1.6640603332328792,948.2677625950765,1006.6428436279298,1065.017924660783,0.007352002368354871,0.2944414926032881,26.905153130863024
2019-12-30,1055.6436183663689,1061.964803087853,1045.0329249606348,1050.0447998046875,439131.0,0.0,0.0,1031.442364501953,,10.05615964586002,3.3424801957583075,947.0233629659856,1008.2502410888673,1069.477119211749,-0.0015883882032375896,0.28835783246650415,26.19277634488839
2019-12-31,1047.3808664137982,1063.2742803589738,1042.188428048543,1057.5400390625,740696.0,0.0,0.0,1037.7681091308593,,11.325795931128482,4.939143342832343,947.3071688297637,1011.5779083251954,1075.848647820627,0.007138018548548342,0.26885649793390276,25.82799605671284
2020-01-01,1060.790692010902,1063.2741153346271,1029.5458981708412,1031.66796875,439312.0,0.0,0.0,1042.2471435546875,,10.256226982758108,6.002560070817496,950.3380800198435,1013.9303009033204,1077.5225217867974,-0.02446438844569454,0.28474773676938947,26.392297564360923
