,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,649.687656716833,653.4741350942882,633.8961578092773,635.9615478515625,4178139.0,0.0,0.0,,,,,,,,,,
2019-11-01,637.5966948850088,657.4758521264546,636.8221604366182,654.4208374023438,4136257.0,0.0,0.0,,,,,,,,0.029025795054970382,,
2019-11-04,654.4208923531642,669.179645930766,648.3968984378021,662.2090454101562,4936914.0,0.0,0.0,,,,,,,,0.01190091690650763,,
2019-11-05,664.3605659452796,667.4155813587972,658.1644465350773,665.436279296875,3303839.0,0.0,0.0,,,,,,,,0.004873436732836911,,
2019-11-06,674.6874204641329,674.6874204641329,660.574040148479,664.2745361328125,9486591.0,0.0,0.0,,,,,,,,-0.001745836829470826,,
2019-11-07,666.9421779725496,666.9421779725496,658.3794904729227,662.3811645507812,2060900.0,0.0,0.0,,,,,,,,-0.002850284752828003,,
2019-11-08,664.3604783048439,669.3947951161717,662.897497834653,663.8010864257812,2368591.0,0.0,0.0,,,,,,,,0.002143662819825254,,
2019-11-11,662.5963142853093,666.511899834847,660.9612092085508,662.9835815429688,1345883.0,0.0,0.0,,,,,,,,-0.0012315509864775365,,
2019-11-13,660.9181922499822,665.9094910093584,641.9856398678213,651.4949340820312,2434874.0,0.0,0.0,,,,,,,,-0.01732870583944157,,
2019-11-14,650.5914493956686,657.0457296476098,643.9650444986623,652.61376953125,2564424.0,0.0,0.0,657.5576782226562,,,,,,,0.0017173356087492042,,
2019-11-15,652.6136994769677,656.8305164656119,644.8255459806517,647.1060791015625,1787358.0,0.0,0.0,658.6721313476563,,,,,,,-0.008439433378249817,,
2019-11-18,647.1490533258761,652.5706372835681,643.2764858525165,646.9769287109375,2216434.0,0.0,0.0,657.9277404785157,,,,,,,-0.00019958148253573782,,
2019-11-19,648.8701438403001,659.1969896308619,647.1490028752065,656.744384765625,2725437.0,0.0,0.0,657.3812744140625,,,,,,,0.015097070113687883,,
2019-11-20,658.2504683848875,665.2210691865203,650.5483510632915,663.8441772460938,2343750.0,0.0,0.0,657.2220642089844,,,,,,,0.010810587262200189,,13.683070723800272
2019-11-21,666.9420514225263,671.2449033671877,656.4430821725427,658.4654541015625,2102137.0,0.0,0.0,656.6411560058594,,,,,,,-0.008102388073726097,,13.76298147171775
2019-11-22,658.3364484839254,658.3364484839254,639.231772415067,649.0422973632812,1819912.0,0.0,0.0,655.3072692871094,,,,,,,-0.014310783777014668,,14.153745772773304
2019-11-25,649.0423095356351,658.9388707115197,646.1593667215388,657.088623046875,1837243.0,0.0,0.0,654.6360229492188,,,,,,,0.012397228526217496,,14.055585645430988
2019-11-26,659.1970431679069,660.789077679895,650.8494983042417,657.1316528320312,2968850.0,0.0,0.0,654.050830078125,,,,,,,6.548551237539613e-05,,13.761585197589719
2019-11-27,656.4863132138986,662.2521471957424,651.7531745388883,660.531005859375,1369944.0,0.0,0.0,654.9544372558594,,,,,,,0.005173016720003698,,13.528541444680032
2019-11-28,658.4656857296752,664.4466100166226,655.754867040936,659.4122924804688,1096867.0,0.0,0.0,655.6342895507813,,,,641.8526315366342,656.5959838867188,671.3393362368034,-0.0016936576314851015,,13.183055839751928
2019-11-29,659.1970798671999,664.6616821693906,652.6567643145734,655.281494140625,1236902.0,0.0,0.0,656.4518310546875,,,,646.2119405918259,657.5619812011719,668.9120218105179,-0.006264363565782527,0.17040241918403343,13.098903126542305
2019-12-02,652.398591503384,653.947660699961,630.1958791448617,644.0941162109375,4333335.0,0.0,0.0,656.1635498046876,,,,644.3153532858091,657.0456451416017,669.7759369973942,-0.017072629136825057,0.14905412130545384,13.955096831486664
