,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,4024.0773133118346,4066.3413037693294,3993.5257832784914,4044.0869140625,763791.0,0.0,0.0,,,,,,,,,,
2019-11-01,4043.89140362253,4078.834807539293,4032.9105254447,4063.1689453125,255083.0,0.0,0.0,,,,,,,,0.004718501767023264,,
2019-11-04,4072.197649126388,4193.914773334721,4072.197649126388,4137.30224609375,875545.0,0.0,0.0,,,,,,,,0.018245192798781895,,
2019-11-05,4148.331989227532,4148.331989227532,4035.448650534916,4048.186279296875,386308.0,0.0,0.0,,,,,,,,-0.02153963174457807,,
2019-11-06,4060.484882130191,4076.980506643719,4017.586059141471,4036.71728515625,417808.0,0.0,0.0,,,,,,,,-0.0028331191672872347,,
2019-11-07,4060.4845614896335,4133.934432463696,4060.4845614896335,4087.22900390625,615076.0,0.0,0.0,,,,,,,,0.012513068214051293,,
2019-11-08,4070.244834679607,4094.500465765131,4027.541426641901,4048.0390625,371096.0,0.0,0.0,,,,,,,,-0.009588388947327275,,
2019-11-11,4034.130570641301,4080.006238877484,4009.728619451843,4038.08349609375,275634.0,0.0,0.0,,,,,,,,-0.0024593553205738417,,
2019-11-13,4038.083561153762,4072.588016011701,4006.898152991552,4017.14697265625,519389.0,0.0,0.0,,,,,,,,-0.005184767342664709,,
2019-11-14,4031.2024386498633,4033.154594794488,3897.577445870432,3907.630859375,573058.0,0.0,0.0,4042.7591064453127,,,,,,,-0.027262162431870074,,
2019-11-15,3947.1136094866206,3996.063831991201,3918.953660343104,3979.86083984375,621773.0,0.0,0.0,4036.3364990234377,,,,,,,0.018484340785532405,,
2019-11-18,3978.396321501317,4046.1360410263615,3972.686408042818,4027.6396484375,498006.0,0.0,0.0,4032.7835693359375,,,,,,,0.012005145535597617,,
2019-11-19,4031.202677898472,4031.202677898472,3987.5231815701527,4002.066650390625,561897.0,0.0,0.0,4019.260009765625,,,,,,,-0.006349375882421793,,
2019-11-20,3999.968413071917,4031.202915077359,3977.518614755505,4015.63427734375,836453.0,0.0,0.0,4016.004809570313,,,,,,,0.003390155171903775,,79.76647406092538
2019-11-21,4011.6806665175286,4011.6806665175286,3966.7810775492057,3979.714111328125,213325.0,0.0,0.0,4010.3044921875003,,,,,,,-0.008945079042254167,,77.55838304189815
2019-11-22,3987.08382409744,3999.821690814129,3933.643548744927,3983.52099609375,222219.0,0.0,0.0,3999.93369140625,,,,,,,0.0009565724218201233,,76.74550868670556
2019-11-25,4019.489793035566,4030.2266526089975,3997.088847312881,4015.048828125,413582.0,0.0,0.0,3996.6346679687504,,,,,,,0.007914564040748528,,74.59980496017285
2019-11-26,4017.0007889935705,4050.5777801605486,3991.085629596196,4014.462890625,674879.0,0.0,0.0,3994.2726074218754,,,,,,,-0.0001459353360525606,,73.52068678904281
2019-11-27,4025.003974145852,4148.331525524807,4025.003974145852,4133.3486328125,640193.0,0.0,0.0,4005.8927734375,,,,,,,0.02961435824083325,,77.83125451124026
2019-11-28,4148.283394775624,4197.135914018299,4107.532133284864,4191.962890625,782062.0,0.0,0.0,4034.3259765625003,,,,3915.1674636868966,4038.5425415039062,4161.917619320916,0.014180816335499058,,78.67214924139704
