,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,30168.2995905416,30415.29671843365,29986.80170101768,30065.900390625,0.0,0.0,0.0,,,,,,,,,,
2019-11-01,30195.80038596474,30408.647528192298,30028.55232456548,30330.19921875,0.0,0.0,0.0,,,,,,,,0.008790650693681235,,
2019-11-04,30415.545910002347,30606.694072874478,30226.89771799409,30332.74609375,0.0,0.0,0.0,,,,,,,,8.397158823880702e-05,,
2019-11-05,30402.896303912286,30452.344947395,30090.99954177924,30219.498046875,0.0,0.0,0.0,,,,,,,,-0.0037335243741196678,,
2019-11-06,30224.848214035075,30698.64349304481,30013.301842622957,30609.244140625,0.0,0.0,0.0,,,,,,,,0.012897172982338834,,
2019-11-07,30722.243102651384,30820.99195675099,30462.197292147182,30632.794921875,364800.0,0.0,0.0,,,,,,,,0.000769400941160292,,
2019-11-08,30570.945429551837,31108.038795840886,30503.69621124581,30749.04296875,0.0,0.0,0.0,,,,,,,,0.003794888686176945,,
2019-11-11,30664.29429856328,31204.836849586,30625.44514032785,31115.189453125,0.0,0.0,0.0,,,,,,,,0.011907573342920363,,
2019-11-13,31084.38820903183,31198.136885111817,30487.74476273556,30541.1953125,0.0,0.0,0.0,,,,,,,,-0.01844739340217494,,
2019-11-14,30615.444918648664,30788.841340652827,30337.99697172592,30749.591796875,0.0,0.0,0.0,30534.540234375003,,,,,,,0.0068234554097399425,,
2019-11-15,30912.04018114848,31165.086060599657,30860.339611725954,31008.0390625,0.0,0.0,0.0,30628.754101562503,,,,,,,0.008404900700218931,,
2019-11-18,31036.44088790875,31203.18895432626,30901.491280886665,30991.740234375,0.0,0.0,0.0,30694.908203125,,,,,,,-0.0005256323397989648,,
2019-11-19,31044.789331885862,31297.686781249668,30973.94054650013,31235.88671875,0.0,0.0,0.0,30785.222265625,,,,,,,0.007877792035188902,,
2019-11-20,31291.98509140052,31471.28378401357,31205.18727437674,31353.484375,0.0,0.0,0.0,30898.6208984375,,,,,,,0.0037648252892212852,,446.1338402336855
2019-11-21,31412.884028155822,31462.783837429382,31242.63601160887,31349.583984375,0.0,0.0,0.0,30972.6548828125,,,,,,,-0.0001244005475866672,,429.99198206131604
2019-11-22,31389.235052575805,31393.83460853124,31054.83854565552,31111.23828125,0.0,0.0,0.0,31020.499218750003,,,,,,,-0.007602834641882161,,423.4922735480593
2019-11-25,31064.738132880226,31591.23200647545,31049.38870211476,31555.533203125,0.0,0.0,0.0,31101.1482421875,,,,,,,0.014280849828557374,,431.94591860610427
2019-11-26,31692.480765520988,31849.97893252371,31465.48340736468,31717.98046875,0.0,0.0,0.0,31161.42734375,,,,,,,0.005147980374133221,,428.55660478845607
2019-11-27,31832.379409167108,31916.429211913863,31734.130552974955,31875.578125,0.0,0.0,0.0,31294.865625000002,,,,,,,0.004968716605562973,,412.12032895812797
2019-11-28,31981.32781222473,32156.6773383503,31905.52986435876,32122.576171875,498300.0,0.0,0.0,31432.1640625,,,,29872.20284191565,30983.3521484375,32094.501454959354,0.007748817791049856,,402.761677843283
2019-11-29,32073.77780940563,32086.57648885629,31770.4317238143,31945.728515625,0.0,0.0,0.0,31525.933007812502,,,,29974.52654700656,31077.3435546875,32180.16056236844,-0.005505400790514425,0.12423216879676825,399.14616143024125
2019-12-02,32007.92809407514,32023.726738247213,31720.230272035475,31871.078125,0.0,0.0,0.0,31613.866796875,,,,30055.83378885502,31154.3875,32252.941211144982,-0.002336787861591194,0.12370951549784437,392.3140403432053
2019-12-03,31919.728858988845,31936.22866734216,31502.583313545103,31612.982421875,0.0,0.0,0.0,31651.576367187503,,,,30170.795791167617,31218.399316406252,32266.002841644888,-0.008098116483939988,0.1291280630049275,395.2662770184803
2019-12-04,31548.934677299923,32017.37846007812,31443.63511797976,31978.9296875,516800.0,0.0,0.0,31714.1208984375,,,,30315.09006591346,31306.3708984375,32297.65173096154,0.011575853892601407,0.13136953908863716,408.01463880990013
2019-12-05,32083.42732389064,32126.57525914025,31627.932625937872,31712.580078125,393300.0,0.0,0.0,31750.4205078125,,,,30409.556485802354,31361.5376953125,32313.51890482265,-0.008328909440615595,0.13147942742565272,414.4880669807913
2019-12-06,31796.77984698372,31883.32766652407,31250.286215544977,31341.185546875,485400.0,0.0,0.0,31773.415234375003,,323.77268101501613,323.77268101501613,30505.26238722239,31396.957226562503,32288.652065902617,-0.011711268220215953,0.1399724400380436,430.09902298067004
2019-12-09,31321.037054273773,31537.2845457178,31121.689757405835,31316.287109375,494500.0,0.0,0.0,31749.490625000002,,279.85303108687003,314.9887510293869,30583.152595121785,31425.31943359375,32267.48627206572,-0.0007944318973754916,0.13978348792473347,429.06300621861976
2019-12-10,31386.036441268017,31412.436525760266,31125.63907018504,31159.98828125,505400.0,0.0,0.0,31693.69140625,,230.45044762176258,298.081090347862,30588.471228500846,31427.559375,32266.647521499155,-0.004990975704722289,0.13500468291402806,418.9011811726631
2019-12-11,31151.288330894116,31337.48538554564,30996.040135285613,31256.38671875,815400.0,0.0,0.0,31631.772265625,,196.2449816490771,277.71386860810503,30723.261045205447,31463.3189453125,32203.376845419556,0.0030936609035250306,0.11606541045638272,413.3686146789032
