,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,32310.099609375,32533.75,32208.099609375,32319.75,52900.0,0.0,0.0,,,,,,,,,,
2019-11-01,32396.099609375,32591.30078125,32338.25,32449.849609375,32900.0,0.0,0.0,,,,,,,,0.00402539033795124,,
2019-11-04,32541.099609375,32644.900390625,32228.30078125,32255.69921875,23800.0,0.0,0.0,,,,,,,,-0.005983090614044229,,
2019-11-05,32257.0,32390.05078125,32064.75,32361.44921875,30800.0,0.0,0.0,,,,,,,,0.003278490392746747,,
2019-11-06,32360.599609375,32543.05078125,32181.900390625,32393.0,29100.0,0.0,0.0,,,,,,,,0.0009749495777129358,,
2019-11-07,32587.80078125,32608.05078125,32340.75,32535.900390625,31000.0,0.0,0.0,,,,,,,,0.0044114589764763235,,
2019-11-08,32489.55078125,32551.44921875,31907.400390625,31947.5,29000.0,0.0,0.0,,,,,,,,-0.018084650603200858,,
2019-11-11,31928.400390625,32061.30078125,31751.650390625,31802.55078125,18400.0,0.0,0.0,,,,,,,,-0.004537106776743127,,
2019-11-13,31913.900390625,31999.94921875,31525.150390625,31582.44921875,24500.0,0.0,0.0,,,,,,,,-0.006920877636952483,,
2019-11-14,31587.0,31602.349609375,31347.650390625,31439.44921875,24700.0,0.0,0.0,32108.759765625,,,,,,,-0.004527831233402391,,
2019-11-15,31447.150390625,31624.19921875,31235.30078125,31289.69921875,27800.0,0.0,0.0,32005.7546875,,,,,,,-0.004763124155199638,,
2019-11-18,31342.94921875,31422.349609375,31076.650390625,31165.25,18800.0,0.0,0.0,31877.2947265625,,,,,,,-0.0039773223091714716,,
2019-11-19,31241.099609375,31248.599609375,30924.75,30972.94921875,21800.0,0.0,0.0,31749.019726562503,,,,,,,-0.006170359013645044,,
2019-11-20,31009.30078125,31210.900390625,30786.30078125,31089.349609375,20600.0,0.0,0.0,31621.809765625003,,,,,,,0.003758130677285809,,366.6997767857143
2019-11-21,31128.75,31128.75,30839.44921875,30893.55078125,22300.0,0.0,0.0,31471.86484375,,,,,,,-0.006297939023657051,,361.1712771045918
2019-11-22,30964.150390625,31066.849609375,30745.150390625,30809.55078125,25000.0,0.0,0.0,31299.229882812502,,,,,,,-0.0027190140943909036,,358.3518443649781
2019-11-25,30798.900390625,31127.849609375,30783.150390625,31085.599609375,19200.0,0.0,0.0,31213.03984375,,,,,,,0.008959845928457888,,357.3766568210511
2019-11-26,31137.80078125,31281.0,30912.099609375,31055.349609375,51000.0,0.0,0.0,31138.319726562502,,,,,,,-0.000973119398696709,,358.1997806641903
2019-11-27,31120.400390625,31256.099609375,31096.349609375,31221.94921875,19300.0,0.0,0.0,31102.269726562503,,,,,,,0.005364602603755708,,346.95336775960527
2019-11-28,31277.599609375,31290.30078125,31101.099609375,31263.400390625,26000.0,0.0,0.0,31084.66484375,,,,30428.547468617107,31596.712304687502,32764.877140757897,0.001327629213172532,,335.68535376784774
2019-11-29,31243.25,31260.599609375,30892.099609375,30975.5,25100.0,0.0,0.0,31053.244921875,,,,30380.95148296249,31529.4998046875,32678.048126412512,-0.009208863624167174,0.09940800905434712,338.22931287371574
2019-12-02,30977.0,31018.55078125,30823.05078125,30889.5,22600.0,0.0,0.0,31025.669921875,,,,30352.697752200827,31451.482324218752,32550.266896236677,-0.0027763877903503875,0.09674261770392376,328.03436195416464
2019-12-03,30898.19921875,30983.849609375,30603.19921875,30677.5,20500.0,0.0,0.0,30996.125,,,,30289.577823629745,31372.57236328125,32455.56690293276,-0.0068631735703070795,0.09721899351126985,331.7926497163672
2019-12-04,30629.849609375,30771.44921875,30543.099609375,30705.55078125,24100.0,0.0,0.0,30957.7451171875,,,,30270.530048628385,31289.77744140625,32309.024834184118,0.0009143763751935374,0.09570986835765138,324.40386112055523
2019-12-05,30739.599609375,30833.80078125,30665.05078125,30795.099609375,22900.0,0.0,0.0,30947.9,,,,30304.97711199806,31209.882421875,32114.78773175194,0.0029163726377343657,0.09691365004981548,313.2857281833727
2019-12-06,30854.75,30883.5,30482.5,30536.44921875,21200.0,0.0,0.0,30920.58984375,,-332.0948597731549,-332.0948597731549,30390.24793217736,31109.909863281253,31829.571794385145,-0.00839907627856018,0.09543882498029801,319.5510333131318
2019-12-09,30562.0,30574.5,30298.69921875,30375.0,16200.0,0.0,0.0,30849.5298828125,,-349.500793119616,-335.57604644244714,30352.394013008266,31031.284863281253,31710.17571355424,-0.005287098627395959,0.07811462183312476,316.4260153086224
2019-12-10,30424.0,30431.75,30024.25,30059.0,26700.0,0.0,0.0,30749.894921875002,,-382.9543242906766,-345.051702012093,30236.58316127771,30944.107324218752,31651.631487159793,-0.010403292181069945,0.08277121844367084,322.9312999294351
2019-12-11,30072.80078125,30250.150390625,29985.400390625,30102.44921875,25500.0,0.0,0.0,30637.944921875,,-401.6902356194041,-356.37940873355524,30136.03100694431,30870.107324218752,31604.183641493193,0.001445464544728603,0.08257722029624369,318.7754927916183
2019-12-12,30155.599609375,30351.80078125,30135.150390625,30227.94921875,23600.0,0.0,0.0,30534.399804687502,,-402.48983075089563,-365.60149313702334,30073.4385224558,30809.53232421875,31545.626125981704,0.004169095979134729,0.08530793309567529,313.8166406279313
2019-12-13,30380.0,30489.25,30245.849609375,30426.25,20900.0,0.0,0.0,30479.474804687503,,-383.717943233336,-369.22478315628587,30046.88251259455,30766.35986328125,31485.83721396795,0.006560179779811159,0.08970932644505011,310.0655078152219
2019-12-16,30459.80078125,30523.349609375,30008.25,30043.099609375,22300.0,0.0,0.0,30394.834765625,,-393.37799910815374,-374.05542634665943,29950.085352950984,30710.252343750002,31470.41933454902,-0.012592757590074388,0.09785654496294695,324.7108007837775
2019-12-17,30115.650390625,30334.80078125,30084.349609375,30182.05078125,28700.0,0.0,0.0,30345.28984375,,-386.1263776591368,-376.4696166091549,29887.383670789437,30670.707421875002,31454.031172960567,0.0046250611182490076,0.0989785646866815,322.3529701474362
2019-12-18,30186.849609375,30331.900390625,29964.80078125,30291.05078125,34700.0,0.0,0.0,30303.83984375,,-367.9058685461823,-374.7568669965604,29855.55131441227,30630.79248046875,31406.03364652523,0.0036114179513511147,0.09888095721543151,325.5491586636908
2019-12-19,30341.05078125,30515.80078125,30303.69921875,30386.099609375,25200.0,0.0,0.0,30262.939843750002,,-342.31239012560036,-368.2679716223684,29833.027318377808,30605.419921875,31377.812525372192,0.003137851796935154,0.09820200558769385,318.3492187591414
2019-12-20,30372.150390625,30443.94921875,30152.80078125,30356.349609375,29100.0,0.0,0.0,30244.929882812503,,-320.5697533285056,-358.72832796359586,29809.061121212188,30582.75986328125,31356.458605350315,-0.000979066098724335,0.09794717416880404,316.4063058120599
2019-12-23,30392.150390625,30548.5,30173.75,30217.94921875,32400.0,0.0,0.0,30229.224804687503,,-310.2482247187181,-349.0323073146203,29786.297420569535,30539.377343750002,31292.45726693047,-0.0045591908251794155,0.09178384723735913,320.5737125397699
2019-12-24,30241.94921875,30302.19921875,30132.650390625,30197.55078125,17300.0,0.0,0.0,30243.0798828125,,-300.17251313368615,-339.26034847843346,29768.54867800677,30496.48740234375,31224.426126680733,-0.0006750437414642096,0.09180826499951424,309.78622079585773
2019-12-26,30218.849609375,30264.099609375,30040.650390625,30063.55078125,26800.0,0.0,0.0,30239.1900390625,,-298.92354412720306,-331.19298760818737,29768.71393591334,30438.56748046875,31108.421025024163,-0.004437445969399656,0.0887961348576703,303.61929207829644
2019-12-27,30147.400390625,30172.400390625,30063.599609375,30145.44921875,21600.0,0.0,0.0,30230.9400390625,,-288.4362695619275,-322.64164399893536,29819.358799969403,30382.669921875,30945.981043780597,0.0027241771305031026,0.08959867151063229,289.7071718852038
2019-12-30,30206.400390625,30367.75,30163.5,30225.349609375,23000.0,0.0,0.0,30210.850000000002,,-270.953212605531,-312.3039577202545,29848.823203996646,30345.16240234375,30841.501600690855,0.0026504959353965685,0.08643228963892087,284.892429696975
2019-12-31,30254.75,30309.349609375,30098.099609375,30121.5,18200.0,0.0,0.0,30218.6900390625,,-261.9476561348747,-302.2326974031786,29869.499724064943,30306.762402343753,30744.025080622563,-0.0034358447699407435,0.08662219814599936,279.6322561471911
2020-01-02,30271.30078125,30357.30078125,30220.05078125,30266.19921875,18000.0,0.0,0.0,30227.104882812502,,-241.0676848220537,-289.9996948869536,29883.27458209529,30286.19736328125,30689.12014446721,0.004803851692312788,0.08648371003562721,276.5014365116774
2020-01-03,30302.150390625,30306.05078125,30050.75,30109.25,20100.0,0.0,0.0,30208.9248046875,,-233.70998732935186,-278.74175337543323,29895.99137341183,30256.38232421875,30616.77327502567,-0.005185626963453371,0.08771227444514508,274.9871039929862
2020-01-06,30024.75,30049.30078125,29765.150390625,29799.30078125,17700.0,0.0,0.0,30150.244921875,,-248.54195172451,-272.70179304524856,29884.556780616967,30206.5923828125,30528.627985008035,-0.010294152752061247,0.09236909672400791,279.9237115202729
2020-01-07,29903.05078125,30049.349609375,29841.150390625,29861.80078125,18600.0,0.0,0.0,30100.7900390625,,-252.7199867733034,-268.7054317908595,29854.786750499596,30172.8599609375,30490.933171375407,0.0020973646482109753,0.0896349922508899,277.7897912777534
2020-01-08,29685.150390625,29932.80078125,29660.099609375,29893.19921875,18100.0,0.0,0.0,30068.3150390625,,-250.80698416671657,-265.1257422660309,29822.703740960795,30148.769921875002,30474.83610278921,0.0010514582737326528,0.08852603901732824,277.426318463271
2020-01-09,30071.400390625,30170.650390625,30035.30078125,30123.599609375,25800.0,0.0,0.0,30060.919921875,,-229.201277998538,-257.9408494125323,29828.283352886912,30151.999902343752,30475.716451800592,0.007707451749777494,0.08572382952729099,277.4280937069659
