,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,15436.2998046875,15657.75,15417.0,15559.400390625,0.0,0.0,0.0,,,,,,,,,,
2019-11-01,15575.349609375,15636.2998046875,15411.7998046875,15471.2001953125,0.0,0.0,0.0,,,,,,,,-0.0056686114566242285,,
2019-11-04,15474.0,15803.349609375,15428.5,15591.2998046875,0.0,0.0,0.0,,,,,,,,0.007762785553727669,,
2019-11-05,15613.099609375,15613.099609375,15422.7998046875,15533.4501953125,0.0,0.0,0.0,,,,,,,,-0.0037103775887631363,,
2019-11-06,15554.0498046875,15647.0498046875,15440.400390625,15561.2998046875,0.0,0.0,0.0,,,,,,,,0.0017928798190245399,,
2019-11-07,15635.5,15639.7001953125,15532.150390625,15624.400390625,24300.0,0.0,0.0,,,,,,,,0.004054968847685414,,
2019-11-08,15646.400390625,15658.150390625,15355.7001953125,15383.2998046875,0.0,0.0,0.0,,,,,,,,-0.015431029665763374,,
2019-11-11,15343.25,15354.0498046875,15228.7998046875,15308.5498046875,0.0,0.0,0.0,,,,,,,,-0.0048591655203406026,,
2019-11-13,15307.900390625,15374.0498046875,15192.2998046875,15240.9501953125,0.0,0.0,0.0,,,,,,,,-0.004415807521774617,,
2019-11-14,15292.900390625,15410.2998046875,15217.2998046875,15388.75,0.0,0.0,0.0,15466.26005859375,,,,,,,0.00969754528382083,,
2019-11-15,15425.0498046875,15471.150390625,15287.099609375,15310.650390625,0.0,0.0,0.0,15441.38505859375,,,,,,,-0.005075110673381511,,
2019-11-18,15326.7998046875,15373.849609375,15251.0,15295.25,0.0,0.0,0.0,15423.7900390625,,,,,,,-0.001005861294725241,,
2019-11-19,15318.650390625,15371.7998046875,15256.849609375,15304.849609375,0.0,0.0,0.0,15395.14501953125,,,,,,,0.0006276202987856028,,
2019-11-20,15349.0498046875,15349.0498046875,15235.0,15318.5,0.0,0.0,0.0,15373.650000000001,,,,,,,0.000891899690189657,,193.728515625
2019-11-21,15353.7001953125,15435.400390625,15279.400390625,15293.9501953125,0.0,0.0,0.0,15346.9150390625,,,,,,,-0.0016026245838365316,,191.03362165178572
2019-11-22,15216.5498046875,15220.0498046875,14931.349609375,14995.900390625,0.0,0.0,0.0,15284.065039062501,,,,,,,-0.019488085215476292,,203.28840481505102
2019-11-25,15002.2001953125,15112.900390625,14950.9501953125,15100.599609375,0.0,0.0,0.0,15255.795019531251,,,,,,,0.006981856108850604,,200.3356755648688
2019-11-26,15174.650390625,15212.650390625,14867.4501953125,14922.150390625,0.0,0.0,0.0,15217.155078125,,,,,,,-0.011817359798031668,,210.68314126112818
2019-11-27,14957.5,15049.0,14946.5498046875,15022.150390625,0.0,0.0,0.0,15195.275097656251,,,,,,,0.0067014470020907435,,204.69503184069046
2019-11-28,15069.150390625,15136.2001953125,15042.650390625,15121.7998046875,14700.0,0.0,0.0,15168.580078125,,,,14915.854742057743,15317.420068359375,15718.985394661007,0.006633498631773094,,198.2203727583197
2019-11-29,15132.9501953125,15147.25,14964.25,14998.0498046875,0.0,0.0,0.0,15137.320019531251,,,,14880.950599454829,15289.3525390625,15697.754478670171,-0.00818354968312962,0.12565592588866506,197.1332032755826
2019-12-02,15056.849609375,15070.650390625,14819.400390625,14852.0,0.0,0.0,0.0,15092.99501953125,,,,14817.257867175824,15258.392529296876,15699.527191417928,-0.0097379197021904,0.12812119509978223,200.99868875589812
2019-12-03,14870.900390625,14956.4501953125,14808.400390625,14920.75,0.0,0.0,0.0,15054.585058593751,,,,14788.128889384623,15224.8650390625,15661.601188740378,0.004629006194451835,0.12540520178883988,197.2166256081554
2019-12-04,14918.5,15188.5498046875,14896.599609375,15175.150390625,27200.0,0.0,0.0,15040.250097656251,,,,14793.54464676232,15206.950048828126,15620.355450893932,0.01705010744265545,0.1425006778683722,203.98330915846572
2019-12-05,15164.150390625,15385.4501953125,15101.7998046875,15367.5,28800.0,0.0,0.0,15047.605078125001,,,,14809.225330401736,15197.26005859375,15585.294786785766,0.01267530168886033,0.1504717064619452,209.67381497750387
2019-12-06,15383.4501953125,15390.0498046875,15269.25,15289.599609375,16900.0,0.0,0.0,15076.975,,-77.24258300419388,-77.24258300419388,14841.896953970076,15180.52001953125,15519.143085092424,-0.005069164836505657,0.15022648115993556,203.32567138536072
