,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,40211.98828125,40392.21875,40054.890625,40129.05078125,64885.54993729007,0.0,0.0,,,,,,,,,,
2019-11-01,40196.0703125,40283.30078125,40014.23046875,40165.03125,57000.0,0.0,0.0,,,,,,,,0.000896618984240094,,
2019-11-04,40293.8515625,40483.2109375,40186.2890625,40301.9609375,62600.0,0.0,0.0,,,,,,,,0.0034091766703157056,,
2019-11-05,40445.671875,40466.55078125,40053.55078125,40248.23046875,45400.0,0.0,0.0,,,,,,,,-0.0013331973804779906,,
2019-11-06,40311.8515625,40606.91015625,40037.53125,40469.78125,37700.0,0.0,0.0,,,,,,,,0.005504609237964253,,
2019-11-07,40625.640625,40688.26953125,40421.0703125,40653.73828125,30200.0,0.0,0.0,,,,,,,,0.004545540538349213,,
2019-11-08,40630.55859375,40749.328125,40263.94140625,40323.609375,42600.0,0.0,0.0,,,,,,,,-0.008120505523160237,,
2019-11-11,40316.5,40417.44140625,40150.96875,40345.078125,29500.0,0.0,0.0,,,,,,,,0.0005324114168536731,,
2019-11-13,40346.4296875,40447.171875,40061.23046875,40116.05859375,37700.0,0.0,0.0,,,,,,,,-0.005676517233166201,,
2019-11-14,40178.9296875,40348.609375,40026.98828125,40286.48046875,27800.0,0.0,0.0,40303.901953125,,,,,,,0.0042482208116665365,,
2019-11-15,40408.19921875,40650.05859375,40308.08984375,40356.69140625,25800.0,0.0,0.0,40326.666015625,,,,,,,0.0017427915440382247,,
2019-11-18,40431.078125,40542.3984375,40221.96875,40284.19140625,28700.0,0.0,0.0,40338.58203125,,,,,,,-0.0017964802731269547,,
2019-11-19,40455.359375,40544.12890625,40290.2109375,40469.69921875,39100.0,0.0,0.0,40355.355859375006,,,,,,,0.004604977933632348,,
2019-11-20,40729.80078125,40816.37890625,40575.9609375,40651.640625,32300.0,0.0,0.0,40395.696875,,,,,,,0.004495743970484023,,351.72879464285717
2019-11-21,40737.30859375,40744.8515625,40534.12109375,40575.171875,21800.0,0.0,0.0,40406.2359375,,,,,,,-0.0018810741417647492,,341.65748565051024
2019-11-22,40653.171875,40653.171875,40276.828125,40359.41015625,21700.0,0.0,0.0,40376.803125000006,,,,,,,-0.005317579908587833,,344.1350759611881
2019-11-25,40439.66015625,40931.7109375,40393.8984375,40889.23046875,28600.0,0.0,0.0,40433.365234375,,,,,,,0.013127553411925952,,360.43262633896035
2019-11-26,41022.8515625,41120.28125,40710.19921875,40821.30078125,32800.0,0.0,0.0,40480.9875,,,,,,,-0.0016613100007327741,,363.9790124040346
2019-11-27,40979.390625,41075.76171875,40848.69921875,41020.609375,32400.0,0.0,0.0,40571.442578125,,,,,,,0.00488246552499727,,356.15629276803213
2019-11-28,41161.5390625,41163.7890625,40996.078125,41130.171875,30900.0,0.0,0.0,40655.81171875,,,,39904.306703498696,40479.856835937506,41055.406968376315,0.0026709135156528507,,342.695910248887
2019-11-29,41138.26171875,41143.21875,40664.1796875,40793.80859375,46700.0,0.0,0.0,40699.5234375,,,,39945.69796141076,40513.0947265625,41080.49149171424,-0.00817801788604855,0.08306052482939807,352.4347068382522
2019-12-02,41072.94140625,41093.98828125,40707.62890625,40802.171875,39800.0,0.0,0.0,40751.321484375,,,,39987.84935236909,40544.9517578125,41102.05416325591,0.00020501349440760208,0.08308997407209079,354.8578974212342
2019-12-03,40852.609375,40885.03125,40554.0390625,40675.44921875,33700.0,0.0,0.0,40771.896484375,,,,40015.38793451931,40563.626171875,41111.86440923069,-0.003105782129397938,0.08359351331833965,353.1532038554318
2019-12-04,40606.01171875,40886.87109375,40475.828125,40850.2890625,44500.0,0.0,0.0,40791.761328125,,,,40051.99055571349,40593.7291015625,41135.46764741151,0.004298412116107819,0.08436493373154218,357.2881870621867
2019-12-05,40988.140625,41002.41015625,40720.171875,40779.58984375,33000.0,0.0,0.0,40812.203125,,,,40064.8326582214,40609.219531250004,41153.60640427861,-0.0017306907826730722,0.08285939298056226,351.92747950417333
2019-12-06,40952.12890625,40952.12890625,40337.53125,40445.1484375,33100.0,0.0,0.0,40820.776953125,,117.40126086352393,117.40126086352393,40050.237898205654,40598.7900390625,41147.342179919346,-0.008201195929910976,0.08665613452383478,370.6896349860181
2019-12-09,40527.23828125,40645.62890625,40336.55859375,40487.4296875,32600.0,0.0,0.0,40780.596875,,93.37083494837862,112.59517568049486,40070.346704038726,40606.9810546875,41143.61540533628,0.0010453973253512494,0.0815631599948643,366.2882548084454
2019-12-10,40588.80859375,40588.80859375,40208.69921875,40239.87890625,31400.0,0.0,0.0,40722.4546875,,54.86018208567839,101.04817696153157,40052.99536435528,40601.721093750006,41150.44682314473,-0.006114262702293205,0.08457705535265364,367.27547767927075
2019-12-11,40285.19921875,40466.12890625,40135.37109375,40412.5703125,55500.0,0.0,0.0,40661.650781250006,,36.91585969265725,88.2217135077567,40106.44597890914,40616.546679687504,41126.64738046587,0.004291548855112959,0.08327806971337089,364.66707302360857
2019-12-12,40561.33984375,40712.6484375,40490.69140625,40581.7109375,41300.0,0.0,0.0,40606.8046875,,35.07737966460991,77.59284673912734,40143.67608799595,40631.308203125,41118.940318254055,0.0041853468782628855,0.08323963872138629,360.05357673620796
