,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,385.18750369133176,385.9110869794181,379.784742585084,381.8590087890625,2529130.0,0.0,0.0,,,,,,,,,,
2019-11-01,382.0519861364456,383.25795831490666,374.1890534214159,376.0221252441406,3665336.0,0.0,0.0,,,,,,,,-0.015285441512645215,,
2019-11-04,376.2633106592671,381.0389721485527,376.0221162293573,377.2280883789063,3146855.0,0.0,0.0,,,,,,,,0.0032071600414009804,,
2019-11-05,377.9034701933511,379.0611858698396,372.8866139338567,376.2633361816406,1395899.0,0.0,0.0,,,,,,,,-0.002557477099363381,,
2019-11-06,376.2633106592671,380.5083267371434,374.8161440798084,377.2280883789063,2277683.0,0.0,0.0,,,,,,,,0.002564034559030093,,
2019-11-07,376.7457063578325,378.1928729635604,374.3819891247383,376.6974792480469,1615593.0,0.0,0.0,,,,,,,,-0.0014066002697191715,,
2019-11-08,377.4210649468895,377.4210649468895,371.9218200331406,372.5489196777344,1206504.0,0.0,0.0,,,,,,,,-0.011012974067662329,,
2019-11-11,372.5489131487765,375.4432463278829,369.0274803360663,374.2372741699219,2300763.0,0.0,0.0,,,,,,,,0.00453190011568938,,
2019-11-13,377.228084501761,377.9998948924679,356.38888008320464,357.73956298828125,5392849.0,0.0,0.0,,,,,,,,-0.044083559603284916,,
2019-11-14,358.8008533329934,360.9233762428634,352.9639594948731,356.0994873046875,2662084.0,0.0,0.0,372.59233703613285,,,,,,,-0.004584552152671728,,
2019-11-15,356.0994358521493,357.8360238419018,352.6262304299671,353.3980407714844,2362065.0,0.0,0.0,369.746240234375,,,,,,,-0.0075862129250742205,,
2019-11-18,353.39809577416884,354.50761379646593,351.2756022833141,352.77099609375,1835202.0,0.0,0.0,367.42112731933594,,,,,,,-0.0017743298077304015,,
2019-11-19,354.5558204287131,355.18292007290813,348.8153810827952,351.2273254394531,2758083.0,0.0,0.0,364.82105102539066,,,,,,,-0.0043758434547908065,,
2019-11-20,351.6614738516711,363.817678836314,351.179084998651,353.78399658203125,6385953.0,0.0,0.0,362.5731170654297,,,,,,,0.007279248957578144,,7.487365989631554
2019-11-21,355.0381801058692,362.9975958283513,355.0381801058692,358.9937744140625,6556285.0,0.0,0.0,360.74968566894535,,,,,,,0.01472587195114472,,7.610668365109302
2019-11-22,359.1385096248881,362.3222643535573,357.4019214897376,358.36669921875,3679373.0,0.0,0.0,358.91660766601564,,,,,,,-0.0017467578548847618,,7.418502257874327
2019-11-25,358.8973161309869,365.8437275751102,358.4149272652195,361.5022277832031,3050808.0,0.0,0.0,357.81193847656255,,,,,,,0.008749497571310716,,7.422682693480462
2019-11-26,363.7694342810892,364.6859849091233,355.4723692896817,357.3536682128906,4348236.0,0.0,0.0,356.1235778808594,,,,,,,-0.01147588936243138,,7.550606473906258
2019-11-27,358.8972922124904,361.164525619035,354.31459829311046,359.8138427734375,1417796.0,0.0,0.0,356.331005859375,,,,,,,0.006884425093073965,,7.500557963336133
2019-11-28,362.756434757375,364.3965687128715,357.4501571212964,359.4761962890625,1649478.0,0.0,0.0,356.66867675781253,,,,344.39291999458146,364.6305068969727,384.8680937993639,-0.0009383921468180123,,7.460976079638916
2019-11-29,358.89731827123126,371.3912017461862,357.7395732094134,368.5933227539063,30111277.0,0.0,0.0,358.18820495605473,,,,345.2168448447242,363.9672225952149,382.71760034570553,0.02536225363170508,0.21734138532129813,7.903165540862767
2019-12-02,367.67680504013526,369.8475549695268,362.6117218715551,364.4447937011719,3783084.0,0.0,0.0,359.3555847167969,,,,345.4658060045549,363.3883560180664,381.31090603157793,-0.011255030399734633,0.21444570939273863,7.855498937799118
2019-12-03,366.61551933673616,366.61551933673616,346.8858039532536,349.2012939453125,4189825.0,0.0,0.0,359.1529815673828,,,,344.23005443316765,361.98701629638674,379.74397815960583,-0.04182663607580128,0.25680242987748236,8.703657255347933
2019-12-04,348.7671191912796,357.30540725088787,344.7632978470521,354.8934631347656,4369308.0,0.0,0.0,359.26392822265626,,,,344.1840068975534,360.918522644043,377.6530383905326,0.016300538652484375,0.2664827764049426,8.977832408811349
2019-12-05,355.0381975874048,360.4409586566185,352.28857522298824,355.4241027832031,3179935.0,0.0,0.0,358.90696105957034,,,,344.72444232591295,359.8283233642578,374.9322044026027,0.0014952082908217257,0.2662251907929843,8.918871767726984
2019-12-06,357.5948875741507,358.22198725893344,350.60024848712925,353.2533874511719,2376977.0,0.0,0.0,358.3956298828125,,-4.563183287944412,-4.563183287944412,345.4514514016824,358.6561187744141,371.8607861471458,-0.006107394841917357,0.26641308241577594,8.826219410875355
2019-12-09,355.27938199046326,364.2035755638829,352.0956274116119,360.4409484863281,4988293.0,0.0,0.0,358.289501953125,,-4.0371833289430015,-4.45798329614413,346.43468169936205,358.05072021484375,369.66675873032545,0.02034675756973381,0.2770584096589786,9.060628606689333
2019-12-10,360.7304036433953,362.6117320788985,353.1568922324583,353.9769592285156,2108098.0,0.0,0.0,357.95183105468755,,-4.062996743063422,-4.378985985527988,347.9963689964772,357.03770446777344,366.0790399390697,-0.017933559671724386,0.28199933842787756,9.088786552385825
2019-12-11,355.9547005052127,357.7877720217013,352.14381728085664,356.67828369140625,1710192.0,0.0,0.0,357.6382751464844,,-3.83498449183935,-4.270185686790261,347.9479486552844,356.9846405029297,366.02133235057505,0.007631356766208963,0.23738452042020464,8.842727137275741
2019-12-12,358.36669488090195,363.2388105763685,357.8360494707605,359.37969970703125,2012086.0,0.0,0.0,357.6286254882813,,-3.4099600826093592,-4.098140565954081,348.06323621250624,357.1486511230469,366.2340660335875,0.007573816907681996,0.23822006206938276,8.679712833539064
2019-12-13,359.42795826850244,367.48385880173225,359.42795826850244,363.6730041503906,2699035.0,0.0,0.0,357.1365936279297,,-2.715424756670984,-3.8215974040974614,348.32489233052075,357.6623992919922,366.9999062534636,0.011946430048384249,0.23944074936375306,8.638601852193489
2019-12-16,363.9624009732154,367.0497015060575,354.0252020676522,355.3758850097656,3579883.0,0.0,0.0,356.2297027587891,,-2.7610817636863203,-3.609494276015233,348.66128862172246,357.792643737793,366.92399885386357,-0.022814778787357715,0.2544826697521088,8.95188025120862
2019-12-17,356.19595397903964,359.862097620081,354.60404715124105,358.1737365722656,4226416.0,0.0,0.0,357.1269470214844,,-2.556078548423102,-3.398811130496807,349.5197853254383,358.13996429443364,366.760143263429,0.007872935898346478,0.2550892221938301,8.688035266753714
2019-12-18,358.99377411759355,362.56343380336426,356.0994411299903,361.3092346191406,3960881.0,0.0,0.0,357.7685241699219,,-2.1309765332370603,-3.1452442110448575,350.0335876139654,358.5162261962891,366.9988647786128,0.008754126075467772,0.25561598923355955,8.529175081512303
2019-12-19,360.82685474268266,361.0680491643021,354.6522834377607,356.63006591796875,2769484.0,0.0,0.0,357.8891204833985,,-2.123704240385962,-2.9409362169130784,349.8795200196828,358.3980407714844,366.91656152328596,-0.012950592602772093,0.25503759427635025,8.39544480293142
2019-12-20,357.1607273819241,364.6859818979853,357.1607273819241,359.1867370605469,10808900.0,0.0,0.0,358.482455444336,,-1.9023443917341183,-2.7332178518772863,349.91362870958034,358.43904266357424,366.96445661756815,0.007168972520578798,0.2562840187904001,8.371192744151786
2019-12-23,358.94555887378374,361.0198546410703,351.4203040171331,353.9769592285156,4275342.0,0.0,0.0,357.8360565185547,,-2.097632173726936,-2.6061007162472163,349.44757154713125,358.06277923583986,366.67798692454846,-0.01450437138817029,0.2593171161658264,8.458932592707887
2019-12-24,355.0381624543551,358.89727291581545,353.1086072236249,355.6170349121094,2948878.0,0.0,0.0,358.0000640869141,,-2.104573154094794,-2.505795203816732,349.29911577929,357.9759475708008,366.65277936231166,0.0046332837232352375,0.25691616578394355,8.268199242670933
2019-12-26,355.8099993482288,357.5466168512153,349.3460065080345,350.8414001464844,2503435.0,0.0,0.0,357.4163757324219,,-2.444526659347389,-2.493541494922863,348.3628754119791,357.52732543945314,366.6917754669272,-0.013429150734596496,0.25967665055465805,8.26337146413592
