,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1758.6651010937555,1766.8503132492767,1736.709426174409,1742.58349609375,1297114.0,0.0,0.0,,,,,,,,,,
2019-11-01,1748.7464719789073,1753.561302573563,1696.746301556627,1700.9351806640625,1527660.0,0.0,0.0,,,,,,,,-0.023900327027685186,,
2019-11-04,1709.26487616996,1723.7093680812554,1700.7907272288362,1719.76123046875,821893.0,0.0,0.0,,,,,,,,0.01106805833561375,,
2019-11-05,1714.0796908164486,1731.220534744443,1702.1388874379245,1727.416748046875,1251974.0,0.0,0.0,,,,,,,,0.0044515002678822135,,
2019-11-06,1722.7463471090027,1747.7834656248406,1714.657408386279,1731.02783203125,1136777.0,0.0,0.0,,,,,,,,0.002090453266970993,,
2019-11-07,1742.9686649551854,1763.0946802317098,1731.6056177991838,1759.2908935546875,1380635.0,0.0,0.0,,,,,,,,0.016327329347600728,,
2019-11-08,1758.3760554608723,1759.1464753418004,1724.479696592298,1728.379638671875,1077136.0,0.0,0.0,,,,,,,,-0.017570292096695583,,
2019-11-11,1723.6612428449216,1727.5131075112304,1702.5241825083858,1708.2537841796875,860384.0,0.0,0.0,,,,,,,,-0.011644348291242723,,
2019-11-13,1708.061135961007,1720.8204369061702,1691.6425167815523,1704.88330078125,983760.0,0.0,0.0,,,,,,,,-0.0019730577679100136,,
2019-11-14,1712.1539552717722,1733.3392123111307,1701.0316483062738,1706.231689453125,1116800.0,0.0,0.0,1722.8763793945313,,,,,,,0.0007908979290589535,,
2019-11-15,1714.8982988812056,1717.9316658594278,1691.25754968178,1695.4945068359375,729613.0,0.0,0.0,1718.16748046875,,,,,,,-0.006292921813349395,,
2019-11-18,1695.494463087225,1700.0685523261689,1670.2647968311978,1674.59814453125,1273055.0,0.0,0.0,1715.533776855469,,,,,,,-0.012324641702132877,,
2019-11-19,1683.2168074167655,1683.2650027490374,1654.8574984120255,1657.6019287109375,1187377.0,0.0,0.0,1709.3178466796876,,,,,,,-0.010149429506904228,,
2019-11-20,1665.8351258605778,1684.0832869392184,1651.920194801919,1659.672119140625,1374382.0,0.0,0.0,1702.5433837890625,,,,,,,0.0012489068658947389,,31.66783479228903
2019-11-21,1663.9092354033614,1670.6018031312926,1647.635083945648,1656.6387939453125,913095.0,0.0,0.0,1695.1044799804688,,,,,,,-0.0018276653324049708,,31.04632653467158
2019-11-22,1646.6721017667787,1650.4757710054146,1613.9312529597198,1620.4312744140625,1275334.0,0.0,0.0,1681.2185180664064,,,,,,,-0.021856013310554645,,31.879270424023087
2019-11-25,1621.6349213439594,1654.375768924538,1604.4459998740704,1647.3460693359375,1320689.0,0.0,0.0,1673.1151611328125,,,,,,,0.016609649138996874,,33.168591754483415
2019-11-26,1654.3757293135327,1664.823887796082,1625.1015369030763,1646.9609375,2714721.0,0.0,0.0,1666.9858764648438,,,,,,,-0.00023378927057671195,,33.63671740723501
2019-11-27,1650.5239938067828,1666.8944184828126,1641.4720884171795,1651.823974609375,883771.0,0.0,0.0,1661.6799438476564,,,,,,,0.0029527337283159483,,33.049975454263446
2019-11-28,1654.6165344155202,1663.5721663444522,1638.7275934477586,1651.1016845703125,691147.0,0.0,0.0,1656.1669433593752,,,,1613.6622322754754,1689.5216613769533,1765.3810904784311,-0.0004372681654734034,,32.46387527157988
2019-11-29,1651.48694860426,1656.6869893284402,1615.2312495171138,1642.9647216796875,1890290.0,0.0,0.0,1650.9139648437501,,,,1610.2049166975094,1684.5407226562502,1758.876528614991,-0.004928202161420869,0.17668348529624028,33.1061513101332
2019-12-02,1643.0128632122608,1677.968582862164,1635.4536021451513,1673.8759765625,1476972.0,0.0,0.0,1650.8417480468752,,,,1609.1102236593895,1683.187762451172,1757.2653012429544,0.018814314437141544,0.17432395468524198,33.77821055348174
2019-12-03,1675.5610327678078,1686.1054646610858,1661.1165411060165,1672.1424560546875,1374317.0,0.0,0.0,1652.2958007812501,,,,1608.5456147536415,1680.8068237304688,1753.068032707296,-0.0010356325869330663,0.16864820726533328,33.150404339309425
2019-12-04,1667.0869351322026,1670.168497311029,1646.912841511966,1656.5906982421875,853421.0,0.0,0.0,1651.9876586914063,,,,1607.5926702345535,1677.2655212402344,1746.9383722459154,-0.009300498146069036,0.16943729754497,32.58463363955315
2019-12-05,1653.798064451581,1673.7796117612,1643.783193133471,1652.305419921875,971984.0,0.0,0.0,1651.5543212890625,,,,1607.4593914893328,1673.3294006347658,1739.1994097801987,-0.002586805735936837,0.1687381200098075,32.399761138708556
2019-12-06,1659.0945889153638,1682.879808460919,1649.4167310055595,1653.0760498046875,1031777.0,0.0,0.0,1654.8187988281252,,-16.701669942245417,-16.701669942245417,1614.8189764420574,1668.0186584472658,1721.2183404524742,0.0004663967529978663,0.15432912640117236,32.475712304183624
2019-12-09,1661.1166451554875,1668.7241014171304,1647.6351187600228,1662.4166259765625,751290.0,0.0,0.0,1656.3258544921875,,-15.340165359210687,-16.429369025638472,1619.286138202633,1664.7205078125,1710.154877422367,0.005650421329967514,0.14722788920421018,31.662374472249624
2019-12-10,1662.0797815325143,1667.85757915082,1645.709354947316,1649.7056884765625,686580.0,0.0,0.0,1656.6003295898438,,-15.050425833008603,-16.1535803871125,1620.6098190831794,1661.793103027344,1702.9763869715084,-0.007646060140028443,0.14437554054768004,30.982792310196366
2019-12-11,1654.375768417259,1677.1017449857186,1649.8016794184337,1673.82763671875,827804.0,0.0,0.0,1658.8006958007813,,-12.844154721746918,-15.491695254039382,1623.579287303815,1660.240319824219,1696.9013523446229,0.014621970701006237,0.15554858785890321,30.726596895836348
2019-12-12,1675.8979310479815,1689.0424410575731,1664.1015970098088,1685.8165283203125,802332.0,0.0,0.0,1662.2721801757814,,-10.065810449780429,-14.406518293187592,1626.8521276777287,1659.2195617675782,1691.5869958574276,0.007162560432485643,0.15807642568334088,30.313328835259778
2019-12-13,1686.1538269371274,1692.6056534983777,1671.2760460722222,1679.3648681640625,960033.0,0.0,0.0,1665.912194824219,,-8.251971410105625,-13.175608916571198,1629.0355121480532,1658.4130798339845,1687.7906475199159,-0.0038270239067345058,0.15712867992804816,29.671634448895183
