,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,0.44171800485815116,0.409231436263384,0.4353040403228292,0.4247517856100133,0.1683333037965269,0.0,0.0,,,,,,,,,,
2019-11-01,0.4300555638157427,0.4092315202796315,0.4314492694099674,0.43646883375247486,0.16219184177648605,0.0,0.0,,,,,,,,0.02758563598651853,,
2019-11-04,0.44847251427563983,0.4141421784621794,0.4387196753309035,0.4308798532990303,0.1488460445766385,0.0,0.0,,,,,,,,-0.012804993211987581,,
2019-11-05,0.43569240659376085,0.4048663277596294,0.4338890101626006,0.42641869455238496,0.13734997861834453,0.0,0.0,,,,,,,,-0.010353602547179874,,
2019-11-06,0.43097888057691036,0.41012443590706016,0.43208365560405715,0.4354393448271893,0.1482106911036675,0.0,0.0,,,,,,,,0.02115444371939046,,
2019-11-07,0.44366177537234475,0.4151839110615053,0.43574322768928164,0.4231830291323187,0.1914503890548798,0.0,0.0,,,,,,,,-0.028147010233387948,,
2019-11-08,0.4299583680180774,0.39524323546494255,0.426276933409645,0.41411345288920615,0.13990056629987702,0.0,0.0,,,,,,,,-0.021431805197170917,,
2019-11-11,0.41780989687249415,0.39484637024561176,0.4247154931568107,0.4221535402070333,0.11729183552308436,0.0,0.0,,,,,,,,0.019415180216273198,,
2019-11-13,0.42782020285058364,0.3967313251392106,0.4116870625264476,0.40009231620973534,0.17919855045374516,0.0,0.0,,,,,,,,-0.05225876818770403,,
2019-11-14,0.4057586493623485,0.38125496413461624,0.41110160395750683,0.4047007337062026,0.15199166323503147,0.0,0.0,0.42182015841855885,,,,,,,0.011518385406960485,,
2019-11-15,0.4113468867018475,0.3829414493246819,0.4143708197581596,0.4056811764519555,0.1797265389540705,0.0,0.0,0.41991309750275313,,,,,,,0.002422636442425352,,
2019-11-18,0.4123672872261971,0.3849255417252432,0.4159322513334559,0.41161311952845464,0.15003943861947322,0.0,0.0,0.4174275260803511,,,,,,,0.01462217973330504,,
2019-11-19,0.41936488654591453,0.40942991484328317,0.42842394482976554,0.43597855227398624,0.287462659930805,0.0,0.0,0.4179373959778467,,,,,,,0.05919498575129167,,
2019-11-20,0.44171802653202774,0.4130509278580875,0.4442824335373039,0.43691000894581883,0.16881076264168451,0.0,0.0,0.41898652741719,,,,,,,0.0021364736108560045,,0.01771838191364262
2019-11-21,0.4426899201003358,0.4082393992481185,0.43749987264972123,0.42578139474652316,0.09988061544525245,0.0,0.0,0.41802073240912335,,,,,,,-0.02547118164252382,,0.018500683898218174
2019-11-22,0.4314161895346037,0.39931073044140997,0.43086372250267935,0.4205847236237265,0.08638848048363156,0.0,0.0,0.4177609018582641,,,,,,,-0.012205021607133215,,0.01906996821299639
2019-11-25,0.42611938396795424,0.41597753219850697,0.43330342962360224,0.4427929659483976,0.12853784717364716,0.0,0.0,0.4206288531641832,,,,,,,0.052803254795672494,,0.018616306626344916
2019-11-26,0.45027057706733986,0.4211364210946127,0.4469662280074186,0.44034179897840303,0.29169375934092534,0.0,0.0,0.4224476790413201,,,,,,,-0.005535695366669979,,0.018833466499733487
2019-11-27,0.44852122251796467,0.4228725670851503,0.45126026232938543,0.440979158889877,0.1611935858385207,0.0,0.0,0.4265363633093342,,,,,,,0.0014474208738590733,,0.018736021170699148
2019-11-28,0.44589711442451463,0.4148367436400544,0.448674051849725,0.43872393621556377,0.17803499758873279,0.0,0.0,0.4299386835602704,,,,0.400366228222088,0.42587942098941467,0.45139261375674133,-0.005114125302407735,,0.019265049319207965
2019-11-29,0.4435646495760994,0.41553115282085284,0.43964690008058804,0.42739919740375015,0.25055496466509297,0.0,0.0,0.43211048565544985,,,,0.4004959034101443,0.4260117915791015,0.45152767974805874,-0.0258129039174404,0.4309504380676093,0.01954560175317246
2019-12-02,0.4332141458949147,0.40526319640311403,0.44047640763382945,0.4325468223470142,0.15800129684336386,0.0,0.0,0.4342038559373058,,,,0.40056538197031094,0.42581569100882843,0.4510660000473459,0.012044067875029763,0.4214980422835277,0.019730630270848436
2019-12-03,0.4387537515503581,0.4042214216423101,0.4339377636688456,0.42185932323545033,0.0973219295218233,0.0,0.0,0.4327919330334522,,,,0.4001701050102828,0.42536466450564947,0.45055922400101617,-0.024708305689481458,0.4283124518480925,0.020344542444695267
2019-12-04,0.4269940928813236,0.406255254929933,0.43262033699450897,0.4281835756425974,0.15232295303178858,0.0,0.0,0.4319192897031301,,,,0.4002318511627224,0.42545290856016005,0.4506739659575977,0.014991377596311528,0.43019133178201563,0.020005937149039702
2019-12-05,0.4368586420557542,0.40427107685793573,0.4287166776871556,0.41779029350261637,0.1551795445933227,0.0,0.0,0.4311201795787394,,,,0.3995747724033741,0.4245704559939314,0.4495661395844887,-0.02427295844868238,0.4315573072251044,0.020284977265869843
2019-12-06,0.42694542245779066,0.39459826779981577,0.41866476742766856,0.4063674022261256,0.14056306153670478,0.0,0.0,0.42969844743897934,,-0.0008462726750751992,-0.0008462726750751992,0.39750293661827313,0.42372967464862166,0.4499564126789702,-0.027341207907740084,0.4309117932199782,0.020492623582793468
