,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,0.057132043954226185,0.05445770135998695,0.0578935713421972,0.055687619101893536,0.1957893680897232,0.0,0.0,,,,,,,,,,
2019-11-01,0.05615018340187982,0.05572101573859487,0.058322526626825945,0.05782072649924811,0.21328838566393313,0.0,0.0,,,,,,,,0.038304876950324473,,
2019-11-04,0.058254112785907385,0.056048573874987954,0.059228202020184965,0.056967493174828916,0.2745022313106218,0.0,0.0,,,,,,,,-0.01475653067815208,,
2019-11-05,0.05287744164651933,0.05024653289430852,0.052125994219885084,0.050425857040315734,0.5402407255325559,0.0,0.0,,,,,,,,-0.11483103380444348,,
2019-11-06,0.05021251188883464,0.04706481428601691,0.048837081898496414,0.047392090380878764,0.43065788074107064,0.0,0.0,,,,,,,,-0.06016291715203692,,
2019-11-07,0.047500806869656555,0.044959247720382685,0.04840810065708375,0.04691805982415926,0.217234754775402,0.0,0.0,,,,,,,,-0.010002313738639357,,
2019-11-08,0.0466592289326398,0.04734553995057456,0.04931373007584316,0.047439480189082096,0.34041518783666636,0.0,0.0,,,,,,,,0.011113425552485179,,
2019-11-11,0.04712676185464903,0.044865656697998225,0.04845574321317812,0.04687064592964934,0.18345104384955202,0.0,0.0,,,,,,,,-0.011990735504805783,,
2019-11-13,0.04679950139827487,0.044350968562113395,0.04793143807939703,0.04710766722958574,0.2243826104220591,0.0,0.0,,,,,,,,0.0050569241203153315,,
2019-11-14,0.04740728666165143,0.04556751029171253,0.049456726399767746,0.04729727463501223,0.1456166844712541,0.0,0.0,0.05039269140046537,,,,,,,0.004024979723627808,,
2019-11-15,0.047641047100010527,0.0469244299113469,0.05021937295355793,0.049145982967380354,0.1288190074419751,0.0,0.0,0.04973852778701406,,,,,,,0.03908699489842493,,
2019-11-18,0.04890340572474137,0.04687765055216276,0.05017171828675549,0.04786610889444499,0.14328015735591698,0.0,0.0,0.04874306602653375,,,,,,,-0.026042292689208324,,
2019-11-19,0.047687799287778644,0.04659689043827429,0.05021937227824625,0.04933560241596014,0.0924433193004533,0.0,0.0,0.04797987695064688,,,,,,,0.030700083116338206,,
2019-11-20,0.04974494970680241,0.04729873986802311,0.05098201553943008,0.04871935426201746,0.17054427324735164,0.0,0.0,0.04780922667281706,,,,,,,-0.012490942114113501,,0.002350344486306066
2019-11-21,0.04848261582057745,0.045988620711627425,0.05031470966810874,0.04834013945116449,0.09493027872761256,0.0,0.0,0.04790403157984563,,,,,,,-0.0077836583960763095,,0.0023775151337406355
2019-11-22,0.04810858875201691,0.0454739294234981,0.04869407454761838,0.047439480189082096,0.13922099038370772,0.0,0.0,0.047956173616337916,,,,,,,-0.018631705913721763,,0.0024124219118781894
2019-11-25,0.04637873381503483,0.043742710273501816,0.045738835001191545,0.044879744086364644,0.2800201486389858,0.0,0.0,0.047700200006066173,,,,,,,-0.05395792897634999,,0.0025041610549997673
2019-11-26,0.04600468486122138,0.04360231480382184,0.04354618770558321,0.041466696378731606,0.2674779601333193,0.0,0.0,0.0471598050509744,,,,,,,-0.07604873372417442,,0.0024205464354127436
2019-11-27,0.04184359958403049,0.03957831656831202,0.04354617056776756,0.04137187461128843,0.0998840221403911,0.0,0.0,0.04658622578914466,,,,,,,-0.002286696933296306,,0.0023961841321001156
2019-11-28,0.04142282186136407,0.04028018190806532,0.043212513601466725,0.042556963046240494,0.18465642758234146,0.0,0.0,0.04611219463026749,,,,0.039591804336264844,0.048252443015366416,0.05691308169446799,0.028644784556818292,,0.0023565023362485567
2019-11-29,0.04282544972036758,0.040420572196155226,0.04359386521019994,0.04141930657052829,0.11627874417452094,0.0,0.0,0.04533952699058228,,,,0.03909789020520456,0.04753902738879815,0.055980164572391744,-0.026732557830221104,0.6197725076164449,0.0023407800872368933
2019-12-02,0.04165661748942479,0.03873612025472233,0.04178256324651795,0.04141930657052829,0.16484596373580684,0.0,0.0,0.04469484675819061,,,,0.03930881061413276,0.04671895639236216,0.05412910217059157,0.0,0.591202876260011,0.0023652376749918264
2019-12-03,0.04114231171455827,0.038361788689834427,0.04149655981180276,0.039428362576207056,0.2161490522892901,0.0,0.0,0.04370412277421531,,,,0.039403203403839404,0.045841999862431065,0.05228079632102273,-0.04806801849594167,0.6021065180695298,0.0024146862611134
2019-12-04,0.03969294473118245,0.037051647690703786,0.041162886941154005,0.0396653778545668,0.1492419080250339,0.0,0.0,0.042798725133470245,,,,0.038691260630862305,0.04530397590314362,0.05191669117542493,0.006011288901527134,0.4843532621203108,0.002411974019998391
2019-12-05,0.040254007132693566,0.03845537866709647,0.04244988070553198,0.040423843605732625,0.1550631426777784,0.0,0.0,0.04200709554892706,,,,0.038090177014840056,0.04495556356438631,0.05182095011393257,0.019121606604801222,0.45979517638711703,0.0024385832222103047
2019-12-06,0.040908530835616595,0.039110418375470156,0.04249752919525739,0.04099266582201209,0.20535234276778155,0.0,0.0,0.04136241411222005,,-0.0030783428794896803,-0.0030783428794896803,0.0376483693230174,0.04465929386427895,0.0516702184055405,0.014071453022314717,0.46596645266360226,0.0024125191055899093
2019-12-09,0.041189070773180674,0.0400462467346343,0.04302186704959742,0.04085046026794222,0.14698882548098102,0.0,0.0,0.04095948573037781,,-0.0029745542474739206,-0.0030575851530865285,0.037253511434432084,0.04432984286822196,0.05140617430201184,-0.0034690486997677183,0.46158894676034395,0.002385139257161011
2019-12-10,0.041235822586413375,0.038081044768965046,0.038922612627519455,0.03819589637620494,0.3000437337183105,0.0,0.0,0.040632405730125144,,-0.0030585789921477383,-0.0030577839208987706,0.03644252385972269,0.04389610539054974,0.05134968692137679,-0.06498247202909668,0.5053780346466256,0.00241258756014788
2019-12-11,0.03922542113081407,0.03602226791013891,0.03777864572534078,0.03701081998440616,0.3377342540663353,0.0,0.0,0.04019630026743692,,-0.0031791151633707784,-0.003082050169393172,0.03552011193525606,0.043391263028290765,0.05126241412132547,-0.03102627518219614,0.507639825595319,0.0023955190534277475
2019-12-12,0.03791631158583073,0.03485250572718054,0.03882727802212008,0.03734263896547916,0.27390390419661254,0.0,0.0,0.03967486785936078,,-0.0032132352588264967,-0.003108287187279837,0.034817030945022975,0.04289353124481411,0.05097003154460525,0.008965458782399516,0.5099405898302766,0.0023785758536990246
2019-12-13,0.03838384676617478,0.03649016357757045,0.03963758938409736,0.03848030146276805,0.23610744300065825,0.0,0.0,0.03938096734858476,,-0.0031185885999200913,-0.0031103474698078878,0.03460338063816948,0.0423602471695835,0.050117113700997515,0.03046550883403243,0.49946472443881595,0.0023726026083361086
2019-12-16,0.038944884350885244,0.03751954081457739,0.040590892292802556,0.03947576442756367,0.15640622050243733,0.0,0.0,0.0391866131342883,,-0.0029344288202461585,-0.003075163739895542,0.034520073300457615,0.04194072994623943,0.049361386592021245,0.025869416999209083,0.5134573364426476,0.0023538874813145657
2019-12-17,0.039552706768489106,0.03672412958331952,0.04106757777620445,0.03866993897607777,0.09634021242717841,0.0,0.0,0.03911077077427537,,-0.0028170577781112052,-0.0030235425475386747,0.03468945836744748,0.04140744677424531,0.04812543518104313,-0.020413169020819244,0.49256384820282384,0.0023822980072381074
2019-12-18,0.03889813584828627,0.0360690423007985,0.04073390250535664,0.038906930168130925,0.10522352527003892,0.0,0.0,0.03903492600563178,,-0.0026753085568248583,-0.0029538957493959114,0.03502392730083541,0.04091682556955098,0.04680972383826655,0.006128563900754225,0.49655378564270763,0.002397912197812476
2019-12-19,0.03880462151055623,0.03611583410626653,0.0405908987768104,0.03857510516548129,0.07670539360110934,0.0,0.0,0.03885005216160664,,-0.002558647885522909,-0.002874846176621311,0.035545101304652896,0.040428573855266825,0.045312046405880754,-0.008528686308986622,0.4965026686043815,0.0024259967595304703
2019-12-20,0.03871112081762496,0.03574152131206288,0.03963759347763827,0.03734263896547916,0.07636196275178464,0.0,0.0,0.03848504947595335,,-0.0025305736089997824,-0.002805991663097005,0.036063307020807185,0.039923731794086675,0.043784156567366166,-0.03194978198283671,0.5015342132432531,0.0024551101233796085
2019-12-23,0.0373552946533666,0.03541400006593932,0.03963761110437423,0.037390058881565734,0.18837364060029305,0.0,0.0,0.038139009337315705,,-0.002476474762275735,-0.002740088282932751,0.03627611238497702,0.03954924753384673,0.042822382682716445,0.001269859801028339,0.4771106558391159,0.002443671695916427
2019-12-24,0.03749552965582128,0.03518002753700138,0.039637587141210386,0.03810108063033841,0.0844044212121372,0.0,0.0,0.03812952776272904,,-0.0023527525718053943,-0.0026626211407072796,0.03617405928430105,0.039380966746427076,0.0425878742085531,0.019016331346919157,0.4141725525562194,0.002429661450468443
2019-12-26,0.038196856897885,0.036022277383299474,0.03949461615770158,0.037390058881565734,0.18541143743908137,0.0,0.0,0.038167451652445006,,-0.002282334164273231,-0.0025865637454204698,0.03599978436704434,0.039181875959940944,0.04236396755283755,-0.018661458861786606,0.4173954424097712,0.002404600150223478
2019-12-27,0.03791631622798531,0.03700485949965942,0.04025725376562043,0.03819589637620494,0.14217164211564554,0.0,0.0,0.03825277739351758,,-0.002140853619905049,-0.0024974217203173857,0.036161732966834,0.03896382262643917,0.041765912286044336,0.02155218576123996,0.4105810265241242,0.002437642631211422
2019-12-30,0.03871114100423539,0.03611585948798877,0.04068626517677063,0.038432923697717995,0.07158610607519833,0.0,0.0,0.03824803961701258,,-0.0019877528895581587,-0.0023954879541655404,0.03624292573977741,0.038814503482798655,0.0413860812258199,0.00620557033610325,0.40412603573667527,0.002441408786165298
2019-12-31,0.03875787982389898,0.03723880946522334,0.04068624009885078,0.03852770331412466,0.18490966234007572,0.0,0.0,0.038153233505668675,,-0.0018379067490848847,-0.0022839717131494094,0.036392018704623164,0.038669923319978476,0.04094782793533379,0.0024661047687166704,0.4044975620792974,0.002427973615805833
2020-01-01,0.0388513905472676,0.036256219522399415,0.040495574375594236,0.03862251303841454,0.12310566524849856,0.0,0.0,0.038148490911902345,,-0.0016923030408888332,-0.002165637978697294,0.03637846247360505,0.03862963084308885,0.04088079921257264,0.0024608195177604486,0.3684842170359184,0.002416795771228648
2020-01-02,0.039178660990258636,0.03892326676308135,0.04097223548411231,0.041466696378731606,0.2182639132789496,0.0,0.0,0.03840446753296242,,-0.0013454699655859048,-0.0020016043760750163,0.03618384477443258,0.03871969676929709,0.0412555487641616,0.07364055615666953,0.4534062070101985,0.0024120048194050136
2020-01-03,0.04156310585815969,0.039016852721488755,0.04140123754994412,0.03938097878958036,0.1803523070140235,0.0,0.0,0.03848505489537232,,-0.0012140647422024808,-0.0018440964493005093,0.036233153158037934,0.038667553528489475,0.041101953898941015,-0.05029861964651261,0.48568861130803764,0.0024147075935362877
2020-01-06,0.03810333099435028,0.03620942672322965,0.03692065964673339,0.03558872831424766,0.3074048952096411,0.0,0.0,0.03830966383024917,,-0.0013815079426174326,-0.001751578747963894,0.03585789150030845,0.038397356653101254,0.04093682180589406,-0.09629650130321488,0.587927179014409,0.0024687679130230324
2020-01-07,0.037028009101785046,0.03443139999460997,0.03658700385509726,0.03501989405481489,0.28011337764008876,0.0,0.0,0.03807264734757409,,-0.001540280764046699,-0.0017093191511804548,0.035425000953348634,0.038105828342444886,0.04078665573154114,-0.01598355115164496,0.5887831495106172,0.0023750936563526506
2020-01-08,0.03394225575942688,0.03270013088040911,0.035776671719804594,0.03416662460093583,0.16693793285192818,0.0,0.0,0.03767920174463383,,-0.0017117829453408631,-0.0017098119100125366,0.034722175577497315,0.037904364753681426,0.04108655392986554,-0.024365277991517664,0.5522555443157356,0.0023711414790707317
2020-01-09,0.03576564954353239,0.0327937161407247,0.0370636481251938,0.035636124144027635,0.3538067228714759,0.0,0.0,0.03750380827088002,,-0.0017171565115164308,-0.0017112808303133154,0.034522515308016574,0.0378356299616625,0.04114874461530843,0.04300979567795982,0.5682316290378999,0.0024087044822983916
2020-01-10,0.03576566070749942,0.03405707165364081,0.03820763524772169,0.03582575563576069,0.1903605391816494,0.0,0.0,0.03726679419683559,0.042339865096089356,-0.001687841105287434,-0.0017065928853081391,0.034337355329182605,0.03775978579517658,0.04118221626117056,0.005321327621562677,0.567507592328043,0.0024203335266837957
2020-01-13,0.03688773724699234,0.03466533525369316,0.03873194723163916,0.03658417923588999,0.23827156899005195,0.0,0.0,0.03708191975065279,0.041957796298769286,-0.0015889218846957057,-0.0016830586851856524,0.034222646305065815,0.03766497968383267,0.04110731306259953,0.021169786559149584,0.5615004456922116,0.0024550376744834155
2020-01-14,0.03749553324260708,0.03555435970213661,0.0391132760940145,0.03833809590869817,0.17567089250234513,0.0,0.0,0.03706295901011014,0.041568143686958284,-0.0013617275258420158,-0.0016187924533169252,0.03425078408789527,0.037608096257889405,0.04096540842788354,0.04794194401626872,0.5811125702449704,0.002460327616172065
2020-01-15,0.03875788012340484,0.03971869749137132,0.04059089955032947,0.04213033434087759,0.3323595428132158,0.0,0.0,0.03741374114035645,0.041271400510279256,-0.0008833586441141239,-0.001471705691476365,0.03390601252942175,0.037781116026129394,0.04165621952283704,0.09891566970906962,0.6745924689851246,0.0024455044751334394
2020-01-16,0.04418129560520285,0.04215181598495427,0.04521448782183079,0.0439316649081957,0.46430492612697283,0.0,0.0,0.03766023799330286,0.04114151666763686,-0.00036220353356042345,-0.0012498052598931765,0.03333380976218144,0.03803235276313263,0.04273089576408382,0.04275614223099922,0.6876983039402348,0.0024911222612634225
2020-01-17,0.043807268667865766,0.043742684104058634,0.04554814943803789,0.046633636672866234,0.2799515521377499,0.0,0.0,0.03838550378163145,0.04112634759347661,0.0002542773442152646,-0.0009489887390714883,0.0324215942805405,0.03843527933850188,0.044448964396463266,0.06150396918297685,0.7112749383103336,0.002428648137590477
2020-01-20,0.04698650975334664,0.043789477961824315,0.04454716716653045,0.04322061907311644,0.23455562188215776,0.0,0.0,0.039148692857518326,0.04105239877845576,0.00048014849426274153,-0.0006631612924046423,0.032391984631121265,0.038729178343883744,0.04506637205664622,-0.07318789275844018,0.757467620480737,0.00245832746426558
2020-01-21,0.04231112514810472,0.04098202669931177,0.04473780265388539,0.04326799683816646,0.13794785408972066,0.0,0.0,0.03997350313585349,0.040968969111437444,0.0006558913478058731,-0.00039935076436253917,0.03242185951392561,0.03902307524171378,0.04562429096950195,0.0010961843228083357,0.7574896204477594,0.002442632100661229
2020-01-22,0.0432929830185736,0.040093038019467835,0.04106757180162202,0.03938097878958036,0.3988726198258509,0.0,0.0,0.04049493855471794,0.040819175768636064,0.0004951640350973827,-0.0002204478044705548,0.032498043524365326,0.03908707014967588,0.04567609677498643,-0.08983586790774145,0.8321474032954251,0.002494941151949615
2020-01-23,0.039599451826211725,0.039625128026812,0.041210564834930914,0.039570586195006856,0.5585879028452301,0.0,0.0,0.04088838475981586,0.04066843414794448,0.0003774421454924709,-0.00010086981447794967,0.03265098284331701,0.03919609651534793,0.04574121018737885,0.004814695095304744,0.8282164644342193,0.0024474157871925387
