,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,2337.810649811134,2356.0273561732997,2332.9961922017237,2345.791259765625,673886.0,0.0,0.0,,,,,,,,,,
2019-11-01,2349.087769421362,2393.3283441039653,2317.078497158236,2348.350341796875,1427332.0,0.0,0.0,,,,,,,,0.0010909248726187482,,
2019-11-04,2352.557388701059,2355.116359728236,2288.365188566886,2293.13623046875,760461.0,0.0,0.0,,,,,,,,-0.023511871438176124,,
2019-11-05,2306.582335395169,2323.931581994606,2288.4090419388176,2311.787109375,508321.0,0.0,0.0,,,,,,,,0.008133349714873894,,
2019-11-06,2307.448930871293,2339.4581941090155,2290.967152793641,2323.366943359375,601239.0,0.0,0.0,,,,,,,,0.005009039948970839,,
2019-11-07,2316.124206590021,2319.160324463828,2292.702725849223,2308.18701171875,440308.0,0.0,0.0,,,,,,,,-0.006533591985550147,,
2019-11-08,2308.1433417964,2335.208118645548,2290.663852323068,2296.12890625,444717.0,0.0,0.0,,,,,,,,-0.005224059145784388,,
2019-11-11,2285.7629728648144,2304.803726430227,2242.95362716086,2250.197021484375,570373.0,0.0,0.0,,,,,,,,-0.020004053187344883,,
2019-11-13,2242.3896096107537,2279.430200264022,2234.061888436431,2245.9462890625,692298.0,0.0,0.0,,,,,,,,-0.0018890489949502376,,
2019-11-14,2251.0642860493786,2262.471328643233,2235.449967302215,2248.158203125,461170.0,0.0,0.0,2297.104931640625,,,,,,,0.0009848472660596297,,
2019-11-15,2255.401779427312,2268.3702973024656,2194.8962893830603,2206.1298828125,682624.0,0.0,0.0,2283.1387939453125,,,,,,,-0.018694556394687645,,
2019-11-18,2208.558849607848,2214.1973541335547,2165.83633454768,2171.171142578125,808951.0,0.0,0.0,2265.4208740234376,,,,,,,-0.01584618408314542,,
2019-11-19,2186.004689691371,2186.004689691371,2136.6461764507285,2141.720703125,1011599.0,0.0,0.0,2250.2793212890624,,,,,,,-0.013564310466172902,,
2019-11-20,2149.571151501784,2155.6433863930315,2113.3980231490414,2143.065185546875,918063.0,0.0,0.0,2233.40712890625,,,,,,,0.0006277580544995498,,48.06663740788128
2019-11-21,2148.703739199916,2168.5685376631086,2113.6149376926646,2119.600341796875,677663.0,0.0,0.0,2213.03046875,,,,,,,-0.010949197396444177,,48.55856330520719
2019-11-22,2125.238787130389,2132.568799717478,2104.4631116289365,2117.99560546875,471953.0,0.0,0.0,2194.011328125,,,,,,,-0.0007570938240011316,,47.097643646873934
2019-11-25,2132.22201512234,2167.7879641133964,2105.937868999228,2150.438720703125,1144301.0,0.0,0.0,2179.442309570313,,,,,,,0.015317838786164328,,48.15139018025209
2019-11-26,2159.1135621844137,2181.4507153488366,2143.932972655194,2163.971435546875,1342442.0,0.0,0.0,2170.819750976563,,,,,,,0.006293001848164836,,47.39184393120855
2019-11-27,2165.0987989597534,2198.149193167604,2161.325465496546,2188.823974609375,1008253.0,0.0,0.0,2165.10751953125,,,,,,,0.011484689055620168,,46.636978484054964
2019-11-28,2183.402660571483,2186.005047532832,2133.9573083058594,2139.42236328125,544359.0,0.0,0.0,2154.2339355468753,,,,2069.071647381122,2225.66943359375,2382.267219806378,-0.022569933398569164,,47.22481332830215
2019-11-29,2148.4870202825678,2154.5592557290106,2102.728388882585,2111.0126953125,757233.0,0.0,0.0,2144.7222167968753,,,,2059.933622917206,2213.9305053710937,2367.9273878249815,-0.01327913013173232,0.18489952429027232,47.55381715102525
2019-12-02,2108.8004954321827,2122.679889889984,2081.909168670193,2087.93798828125,671750.0,0.0,0.0,2136.3989013671876,,,,2050.583648287617,2200.9098876953126,2351.236127103008,-0.010930633947624946,0.1844032242099721,47.069310298794235
2019-12-03,2083.643945918979,2112.18336404549,2081.909021734201,2101.340087890625,506622.0,0.0,0.0,2132.36083984375,,,,2041.2807190717183,2191.3200805664064,2341.3594420610943,0.006418820714310325,0.17670882796293436,45.86966972825817
2019-12-04,2099.258695370157,2132.872858364204,2092.318997203644,2115.740478515625,457308.0,0.0,0.0,2129.628369140625,,,,2038.8031337023078,2181.517749023438,2324.2323643445675,0.006852955743805955,0.17556886185703008,45.489969116279745
2019-12-05,2120.9452951232797,2146.969163775099,2074.1023315500047,2078.960205078125,948025.0,0.0,0.0,2125.56435546875,,,,2035.695443312682,2169.2974121093753,2302.8993809060685,-0.017384113888724406,0.17769604509399878,47.44545933833792
2019-12-06,2091.4515869916104,2096.3094605422,2039.403849447232,2049.119384765625,750661.0,0.0,0.0,2118.6767333984376,,-53.86052019051658,-53.86052019051658,2029.0301933821231,2156.344030761719,2283.657868141315,-0.014353723673791396,0.18045639344895645,48.12118446381151
2019-12-09,2061.6971548465485,2077.571753818916,2046.86367983256,2066.077880859375,428294.0,0.0,0.0,2110.240649414063,,-54.00123400836674,-53.88866295408661,2029.077876723158,2144.841479492188,2260.6050822612174,0.008275992223698347,0.18733226401050196,46.87739085827898
2019-12-10,2081.9092425563304,2087.200846594265,2014.2471921732497,2021.1868896484373,805888.0,0.0,0.0,2095.962194824219,,-56.87118070587758,-54.485166504444805,2016.2803892905927,2133.390972900391,2250.501556510189,-0.021727637484926565,0.18922931172484075,48.73998111276014
2019-12-11,2027.258911908753,2033.2877311002435,1963.066717008775,1991.9532470703125,1264067.0,0.0,0.0,2076.2751220703126,,-60.68039870721395,-55.724212944998634,2000.1220446233592,2120.6913208007813,2241.2605969782035,-0.014463601920161717,0.1914875121970343,50.27434061123931
2019-12-12,2005.5726113982776,2033.6783020352168,2001.5389968713305,2024.7001953125,871422.0,0.0,0.0,2064.802905273438,,-60.536720757144394,-56.68671450742779,1997.1310832141737,2109.5184204101565,2221.905757606139,0.016439616888775044,0.20616714294606447,49.66367735078681
2019-12-13,2036.8014240693024,2046.343509105402,2012.6859304396935,2028.2568359375,924706.0,0.0,0.0,2056.5273193359376,,-59.475967813509214,-57.24456516864407,1992.142237478976,2100.6247680664064,2209.1072986538366,0.001756625812174173,0.20105182218108228,48.52038458756694
2019-12-16,2030.0781343745923,2036.7575500394896,1998.7626685479756,2002.4927978515625,593867.0,0.0,0.0,2047.982800292969,,-59.905149030119446,-57.77668194093915,1980.7702327777604,2092.190850830078,2203.611468882396,-0.012702552077941798,0.19891793589009024,47.76856293784887
2019-12-17,2010.777087460909,2019.6685737190944,1992.560383907553,1999.4566650390625,810022.0,0.0,0.0,2037.7944580078126,,-59.79636979602765,-58.18061951195685,1969.1403893798274,2085.0776489257814,2201.0149084717355,-0.0015161766453080094,0.195775629918108,46.292822000255484
2019-12-18,2008.131439155047,2012.512165319728,1986.531716576569,2005.529052734375,952321.0,0.0,0.0,2026.7733154296875,,-58.58270388586948,-58.26103638673938,1960.5344867570482,2078.2008422851563,2195.8671978132647,0.003037018906930866,0.19661124147145023,44.84193819617717
2019-12-19,2004.7922630926712,2061.611045353872,1991.476631696967,2050.420654296875,1767354.0,0.0,0.0,2023.9193603515625,,-53.602533528104004,-57.3293358150123,1958.0839092370907,2074.7418579101563,2191.399806583222,0.0223839198446385,0.21409670427586772,46.648543586229174
2019-12-20,2055.0181968013007,2103.596085792805,2051.548347587622,2076.0107421875,1615264.0,0.0,0.0,2026.60849609375,,-47.164589490323124,-55.296386550074466,1957.6748176068565,2072.642614746094,2187.610411885331,0.012480408757587602,0.21984354534794917,47.11474986549351
2019-12-23,2081.9093831870737,2112.5742581900427,2065.774500754264,2099.345458984375,1192490.0,0.0,0.0,2029.9352539062502,,-39.82205059908574,-52.20151935987672,1959.980500855105,2070.0879516601562,2180.1954024652077,0.011240171509077523,0.21629949042595598,47.09225040622817
2019-12-24,2099.2149626353544,2124.024464544168,2098.4343314227144,2110.231689453125,1173285.0,0.0,0.0,2038.839733886719,,-32.78451404145471,-48.31811829619232,1964.1815216755958,2067.4009643554687,2170.6204070353415,0.005185535530687124,0.21583176506756113,45.55638488588713
2019-12-26,2110.2317504487955,2129.5761990800306,2103.63916506609,2115.4365234375,754276.0,0.0,0.0,2051.1880615234377,,-26.492062591222748,-43.9529071551984,1973.658456674965,2063.731591796875,2153.804726918785,0.0024664751318013156,0.21114253298589017,44.155002680748105
2019-12-27,2125.282291820247,2132.22198909966,2100.559620262338,2118.73291015625,599490.0,0.0,0.0,2060.5913330078124,,-20.9993579304205,-39.36219731024282,1975.7022942218266,2062.697119140625,2149.691944059424,0.001558253666431586,0.19623342403609784,43.262671691931956
2019-12-30,2121.8125100882007,2155.643535392142,2117.4751991517983,2150.482177734375,699880.0,0.0,0.0,2072.8138671875,,-14.06328104578779,-34.30241405735181,1971.7895646039362,2064.6705932617188,2157.551621919501,0.014985025920885686,0.19729923470041952,42.89879058824708
2019-12-31,2139.595362742266,2146.101328775336,2110.9256967333213,2119.25341796875,443409.0,0.0,0.0,2084.4899291992188,,-10.793735665902204,-29.60067837906189,1970.8180146264322,2066.236364746094,2161.6547148657555,-0.014521747768459048,0.20056418095871772,42.66005418916184
2020-01-01,2129.5331635850844,2136.1693773994266,2105.6347461073246,2110.1455078125,314519.0,0.0,0.0,2095.5588134765626,,-8.78471934644449,-25.43748657253841,1970.53593427499,2066.6766357421875,2162.817337209385,-0.004297697518864774,0.20020391329123366,41.79395255365756
2020-01-02,2123.373825203284,2127.0171237601908,2096.6993649440565,2107.455810546875,546945.0,0.0,0.0,2105.7514892578124,,-7.308029467545111,-21.811595151539752,1970.9026403506507,2066.26240234375,2161.6221643368494,-0.0012746501393703369,0.19874068405079345,40.974224429548755
