,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,0.22601001840447155,0.2118154590617385,0.2805919992995223,0.2382607772029992,0.08264868249240434,0.0,0.0,,,,,,,,,,
2019-11-01,0.2260814862054057,0.20964737749193119,0.2715874905534048,0.24108802821764086,0.07479873271738761,0.0,0.0,,,,,,,,0.011866204113960555,,
2019-11-04,0.2363057043191259,0.21152119387600088,0.2739607194491367,0.22610157731577796,0.07008327893762331,0.0,0.0,,,,,,,,-0.062161738235852915,,
2019-11-05,0.21775864658639454,0.20336466928426433,0.2693191550284424,0.23599834613601134,0.1053660735577545,0.0,0.0,,,,,,,,0.043771339137592014,,
2019-11-06,0.22672719830721988,0.20942693294796144,0.2775903073693613,0.24115865388224722,0.046477493682079485,0.0,0.0,,,,,,,,0.021865864022885484,,
2019-11-07,0.24394733813538538,0.21383626911505305,0.25874490702855635,0.21203474300738723,0.09460114889509928,0.0,0.0,,,,,,,,-0.12076660076681556,,
2019-11-08,0.20448505042582688,0.18087874510384805,0.22733514908400632,0.17538169139939752,0.07085941739279682,0.0,0.0,,,,,,,,-0.17286342364521234,,
2019-11-11,0.16595554419612935,0.14773769764739253,0.21690001557308425,0.17181175869119691,0.04411540707996767,0.0,0.0,,,,,,,,-0.020355218835646727,,
2019-11-13,0.167892904979547,0.14395337962545884,0.21997126404524114,0.17863343787847175,0.03414910492297851,0.0,0.0,,,,,,,,0.039704379020621516,,
2019-11-14,0.17262860472726516,0.14079393451939515,0.21229355469800848,0.16311720180746092,0.05733317713391807,0.0,0.0,0.2083586215538591,,,,,,,-0.08686075941485749,,
2019-11-15,0.15228740504741856,0.14696620628467594,0.20468530818076802,0.15509358873748647,0.03907678620373353,0.0,0.0,0.20004190270730782,,,,,,,-0.04918925153856735,,
