,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1360.5484892716852,1365.601167658582,1347.916793304443,1353.2451171875,2210277.0,0.0,0.0,,,,,,,,,,
2019-11-01,1356.598145143787,1360.5944440581195,1327.4763896193915,1331.5185546875,2287220.0,0.0,0.0,,,,,,,,-0.016055156766539902,,
2019-11-04,1339.2354554366286,1348.6058325772235,1332.0697937581567,1334.0908203125,1459894.0,0.0,0.0,,,,,,,,0.0019318285997176332,,
2019-11-05,1336.6630612771244,1340.8889151936187,1315.5336795524688,1322.6993408203125,2401916.0,0.0,0.0,,,,,,,,-0.008538758620285747,,
2019-11-06,1322.8831527432617,1347.6412335575162,1320.8161478171,1334.871826171875,2434431.0,0.0,0.0,,,,,,,,0.00920276057899394,,
2019-11-07,1341.2104565411432,1341.2104565411432,1314.6150398990126,1318.335693359375,1999085.0,0.0,0.0,,,,,,,,-0.012387805696612908,,
2019-11-08,1313.6504505916078,1330.2324678551036,1304.5097405761376,1307.2657470703125,2217408.0,0.0,0.0,,,,,,,,-0.008396910092644205,,
2019-11-11,1303.7746885698198,1314.385357842617,1293.5316213798842,1301.753662109375,2097492.0,0.0,0.0,,,,,,,,-0.004216499187935208,,
2019-11-13,1303.0857654945808,1304.371924293347,1276.076991431442,1279.7056884765625,2929404.0,0.0,0.0,,,,,,,,-0.016937132020113377,,
2019-11-14,1283.3805297292,1291.6025720169678,1264.9611723303915,1268.176513671875,3000518.0,0.0,0.0,1315.1662963867188,,,,,,,-0.009009239318465867,,
2019-11-15,1271.0700380170356,1279.429901068546,1255.085179615955,1265.60400390625,3409434.0,0.0,0.0,1306.402185058594,,,,,,,-0.0020285108089381776,,
2019-11-18,1275.112151887138,1280.440475188493,1250.5377642336937,1253.5234375,2733161.0,0.0,0.0,1298.602673339844,,,,,,,-0.009545297240656336,,
2019-11-19,1253.523539035329,1266.109256351254,1250.7675327201173,1254.671875,2396206.0,0.0,0.0,1290.660778808594,,,,,,,0.0009161675527107338,,
2019-11-20,1260.413715794367,1280.027274147421,1254.3045452536585,1268.498046875,3914075.0,0.0,0.0,1285.2406494140625,,,,,,,0.011019751179964787,,24.535008994911227
2019-11-21,1290.729725344855,1302.5805758565311,1272.3563484716187,1279.4300537109375,5719318.0,0.0,0.0,1279.6964721679688,,,,,,,0.008618071476632627,,25.21697470824122
2019-11-22,1280.394704296593,1285.1717374396028,1259.4949880470883,1266.5228271484375,2363205.0,0.0,0.0,1274.515185546875,,,,,,,-0.01008826275814223,,25.24981575711788
2019-11-25,1266.384852071571,1276.030873795729,1259.586680999443,1268.543701171875,2956576.0,0.0,0.0,1270.6429809570313,,,,,,,0.0015956080538930273,,24.620842688487027
2019-11-26,1267.1658429999234,1267.7630001748212,1248.9762672392524,1252.1456298828125,4853977.0,0.0,0.0,1265.682177734375,,,,,,,-0.012926690088732484,,24.259884920211
2019-11-27,1253.9829321846628,1258.5762762585994,1207.2686453811666,1226.8822021484375,7904745.0,0.0,0.0,1260.3998291015625,,,,,,,-0.02017610981618756,,26.19186677429827
2019-11-28,1234.6907938874597,1243.8774813419795,1219.257114106994,1240.1109619140625,4503913.0,0.0,0.0,1257.5932739257814,,,,1215.704665880057,1286.3797851562501,1357.0549044324432,0.01078242046584399,,26.079616807204495
2019-11-29,1240.2029024943977,1240.3865914008545,1219.9921885278222,1222.3348388671875,2515083.0,0.0,0.0,1253.266357421875,,,,1210.915812330379,1279.8342712402346,1348.7527301500902,-0.014334300391505517,0.15515875047167366,25.673530097620766
2019-12-02,1222.3347771504066,1233.6803140349043,1212.9642884082596,1224.906982421875,3044008.0,0.0,0.0,1250.4047119140625,,,,1205.9089254402556,1274.5036926269531,1343.0984598136506,0.0021042871993006695,0.15138627616485026,25.319422635408195
2019-12-03,1224.9990419582416,1224.9990419582416,1203.456300369576,1206.39599609375,3068849.0,0.0,0.0,1245.5771240234376,,,,1199.1277279718531,1268.1189514160158,1337.1101748601784,-0.015112156754568562,0.1544073331421829,25.049659703498012
2019-12-04,1203.456050839612,1205.29338832181,1177.8711488284428,1180.5811767578125,9612217.970214091,0.0,0.0,1236.7854370117188,,,,1186.887596815092,1261.0130432128908,1335.1384896106897,-0.02139829659541692,0.16474713787816536,25.297887386484387
2019-12-05,1188.7573663558758,1206.212072662492,1180.6271703204409,1196.2904052734375,6644324.0,0.0,0.0,1228.4714721679688,,,,1183.0254490350942,1254.0839721679688,1325.1424953008434,0.013306351841697817,0.17019652003779076,25.3216737092126
2019-12-06,1202.3997775948997,1202.5376003595154,1178.7440532180794,1185.81787109375,3302384.0,0.0,0.0,1220.4009765625,,-32.533064122166934,-32.533064122166934,1176.8882620553031,1247.4580810546877,1318.0279000540722,-0.008754173847355884,0.1687030470388396,25.212521811514268
2019-12-09,1188.7574746063135,1193.258974334266,1168.3630712898828,1172.221435546875,3038475.0,0.0,0.0,1210.76875,,-33.97208780792448,-32.820868859318445,1168.4947245412304,1240.7058654785158,1312.917006415801,-0.011465871680896633,0.16981543436085306,25.18990618529062
2019-12-10,1173.1400793581106,1179.5707610773798,1164.0912139387196,1174.9774169921875,2759100.0,0.0,0.0,1203.0519287109375,,-34.51463558461364,-33.159622204377484,1162.4476135307805,1234.3670532226563,1306.2864929145321,0.0023510757965510276,0.17199968083209144,24.4963091105313
2019-12-11,1178.6062299412156,1183.9345544612386,1152.9294788351926,1161.47314453125,3949135.0,0.0,0.0,1196.5110229492188,,-35.56574455827922,-33.64084667515783,1153.0617759171737,1228.4554260253906,1303.8490761336075,-0.011493218733945487,0.16805152745866198,24.961221004496633
2019-12-12,1166.7095615484511,1178.5144350774096,1165.0559125885868,1175.62060546875,3264836.0,0.0,0.0,1190.0619873046876,,-34.9310047922304,-33.89887829857234,1147.3993164437634,1223.8276306152345,1300.2559447867056,0.01218061821240779,0.1775463698438739,24.39551168604399
2019-12-13,1183.1993139163028,1201.6186663110452,1180.7649315614472,1199.1383056640625,3655956.0,0.0,0.0,1187.7423339843751,,-32.27513933261366,-33.57413050538061,1145.872115420858,1220.504345703125,1295.1365759853918,0.02000449812287486,0.19654374644249661,24.509979482919075
2019-12-16,1207.5442261809994,1210.8055454584971,1194.2695061426757,1197.0255126953125,3969819.0,0.0,0.0,1184.954187011719,,-29.982329270154196,-32.855770258335326,1143.989228421728,1217.6794494628907,1291.3696705040534,-0.0017619260086766397,0.1948412117551061,23.940412328126385
2019-12-17,1202.7212906022985,1217.2363042189213,1197.760568208299,1210.7596435546875,3719446.0,0.0,0.0,1185.3905517578125,,-26.812246339803096,-31.64706547462888,1143.7422553200595,1215.483837890625,1287.2254204611904,0.01147354898764874,0.20062153917635223,23.674010842089416
2019-12-18,1217.00661079661,1218.1089686066157,1207.6820991441011,1212.0457763671875,2961222.0,0.0,0.0,1188.5370117187501,,-23.921670903554286,-30.101986560413962,1145.1686405960975,1212.6612243652344,1280.1538081343713,0.001062252792572549,0.19528846821528356,22.727786457834068
2019-12-19,1209.657186942576,1213.5615294863433,1200.7920102677006,1205.0638427734375,1936623.0,0.0,0.0,1189.41435546875,,-21.90348218866984,-28.462285686065137,1148.7775229568904,1208.9429138183593,1269.1083046798283,-0.005760453713783531,0.19135257068500625,22.016481655034685
2019-12-20,1206.2121518755482,1219.9003396222995,1200.975784496559,1204.880126953125,3297390.0,0.0,0.0,1191.3205810546876,,-20.084045823492943,-26.786637713550697,1151.8044378647078,1205.8607788085938,1259.9171197524797,-0.00015245318446344136,0.18965904720212562,21.795629760085095
2019-12-23,1201.5268523054765,1214.4800589475096,1198.8626905646747,1204.6043701171875,3394916.0,0.0,0.0,1194.5588745117188,,-18.448250228553434,-25.118960216551244,1156.8850881906078,1202.6638122558595,1248.4425363211112,-0.00022886661483478843,0.189256367663621,21.354325375995796
2019-12-24,1207.7278385652112,1211.7240250138116,1192.4319821591564,1195.18798828125,1803814.0,0.0,0.0,1196.579931640625,,-17.66079176465655,-23.627326526172304,1160.007170067442,1199.8159301757812,1239.6246902841203,-0.007816991262468598,0.1863752312266896,21.20701948161432
2019-12-26,1193.9479395853227,1200.4244874009644,1173.1400686410511,1175.2530517578125,3723801.0,0.0,0.0,1197.9579223632813,,-18.338088879322868,-22.569478996802417,1158.0907365903463,1197.23447265625,1236.3782087221539,-0.01667933138460098,0.1822852353527606,21.641119430064244
2019-12-27,1177.3199522277073,1195.9688601049986,1176.0337935811615,1193.90185546875,2459664.0,0.0,0.0,1199.7860473632813,,-17.265649957516644,-21.50871318894526,1161.0799357352669,1194.9240173339845,1228.768098932702,0.01586790494442436,0.18785506953153205,21.575025781287234
2019-12-30,1196.0148343006847,1200.8837112529711,1191.0540007622485,1196.38232421875,2072838.0,0.0,0.0,1199.51044921875,,-16.042171136974275,-20.415404778551064,1162.1805455568956,1193.6263916015625,1225.0722376462295,0.0020776152902670653,0.18231784022446265,20.736074689104047
2019-12-31,1194.269493497513,1203.4561819090322,1186.1392966817568,1192.6158447265625,3043254.0,0.0,0.0,1199.0694824218751,,-15.182222450946028,-19.368768313030056,1164.0310694250672,1192.011834716797,1219.9926000085268,-0.003148223954785534,0.18208111515853123,20.491846870402
2020-01-01,1201.9861649616869,1211.6321864357003,1197.025331489473,1203.4100341796875,3123998.0,0.0,0.0,1198.334521484375,,-13.525723584998786,-18.2001593674238,1164.1598826485679,1191.8625366210938,1219.5651905936197,0.00905085195778188,0.1778746427022034,20.386453644597413
