,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_50,MACD,MACD_Signal,Upper_BB,Middle_BB,Lower_BB,Daily_Return,Volatility_20,ATR
2019-10-31,1291.4261458993378,1305.1023683218723,1289.1305181278517,1300.413330078125,1533763.0,0.0,0.0,,,,,,,,,,
2019-11-01,1300.9996678079012,1302.5137495942888,1257.2845957250972,1271.7911376953125,2491686.0,0.0,0.0,,,,,,,,-0.02201007304430891,,
2019-11-04,1280.6807446025618,1280.6807446025618,1252.4490857271735,1268.762939453125,1706003.0,0.0,0.0,,,,,,,,-0.002381049963656068,,
2019-11-05,1265.050795434772,1276.0406189472362,1247.9555144153833,1254.10986328125,2881634.0,0.0,0.0,,,,,,,,-0.011549104814009503,,
2019-11-06,1138.0573550981226,1171.2710461481963,1123.4042561054428,1129.3631591796875,6296698.198266818,0.0,0.0,,,,,,,,-0.09947031576258836,,
2019-11-07,1134.1498543878486,1151.7335730605284,1129.7050333578093,1140.2064208984375,6296698.198266818,0.0,0.0,,,,,,,,0.009601217846193943,,
2019-11-08,1140.2063238701655,1145.823344634835,1127.311645639723,1129.998046875,2796511.0,0.0,0.0,,,,,,,,-0.00895309291048696,,
2019-11-11,1129.99805458023,1136.8361668621071,1111.339800631979,1128.9722900390625,2357413.0,0.0,0.0,,,,,,,,-0.0009077509813173457,,
2019-11-13,1128.9723743116597,1140.0110898038513,1123.5019079272556,1132.2449951171875,2336007.0,0.0,0.0,,,,,,,,0.002898835610935846,,
2019-11-14,1137.0804702427113,1149.0960589931344,1135.1267237302668,1142.0625,2571355.0,0.0,0.0,1189.7924682617188,,,,,,,0.008670830893623416,,
2019-11-15,1145.872367524543,1147.6307871429092,1129.167858138976,1131.6588134765625,1506407.0,0.0,0.0,1172.9170166015626,,,,,,,-0.009109559698735836,,
2019-11-18,1133.319609628909,1137.568984734891,1126.139614553665,1132.0008544921875,1132129.0,0.0,0.0,1158.93798828125,,,,,,,0.000302247472075301,,
2019-11-19,1132.000681557825,1140.792540122487,1126.432432918544,1136.298828125,1109428.0,0.0,0.0,1145.6915771484375,,,,,,,0.0037967936294009963,,
