,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,1758.6652242906061,1766.8504370195124,1736.709547833235,1742.5836181640625,1297114,0.0,0.0
2019-11-01,1748.7465974804732,1753.5614284206727,1696.746423326318,1700.935302734375,1527660,0.0,0.0
2019-11-04,1709.2649974952312,1723.7094904318108,1700.7908479526043,1719.7613525390625,821893,0.0,0.0
2019-11-05,1714.0798119442793,1731.2206570835556,1702.1390077219419,1727.4168701171875,1251974,0.0,0.0
2019-11-06,1722.746590081624,1747.783712128646,1714.657650218053,1731.028076171875,1136777,0.0,0.0
2019-11-07,1742.9690277685163,1763.095047234437,1731.6059782472023,1759.291259765625,1380635,0.0,0.0
2019-11-08,1758.376428027483,1759.1468480716483,1724.4800619769117,1728.3800048828125,1077136,0.0,0.0
2019-11-11,1723.661119673606,1727.5129840646637,1702.5240608475058,1708.253662109375,860384,0.0,0.0
2019-11-13,1708.061135961007,1720.8204369061702,1691.6425167815523,1704.88330078125,983760,0.0,0.0
2019-11-14,1712.1537102837444,1733.3389642917548,1701.0314049097103,1706.2314453125,1116800,0.0,0.0
2019-11-15,1714.8980519465558,1717.931418487992,1691.2573061512503,1695.4942626953125,729613,0.0,0.0
2019-11-18,1695.4943394936695,1700.0684283991836,1670.264675076766,1674.5980224609375,1273055,0.0,0.0
2019-11-19,1683.2165595034419,1683.2647548286154,1654.8572546756154,1657.6016845703125,1187377,0.0,0.0
2019-11-20,1665.835003336971,1684.0831630734438,1651.9200733017674,1659.6719970703125,1374382,0.0,0.0
2019-11-21,1663.9092354033614,1670.6018031312926,1647.6350839456481,1656.6387939453125,913095,0.0,0.0
2019-11-22,1646.6721017667787,1650.4757710054146,1613.9312529597198,1620.4312744140625,1275334,0.0,0.0
2019-11-25,1621.6351616741308,1654.3760141069815,1604.4462376568024,1647.3463134765625,1320689,0.0,0.0
2019-11-26,1654.3758519334187,1664.82401119037,1625.1016573532027,1646.9610595703125,2714721,0.0,0.0
2019-11-27,1650.5242377552697,1666.8946648508586,1641.4723310277893,1651.82421875,883771,0.0,0.0
2019-11-28,1654.6166567456949,1663.5722893367404,1638.727714603222,1651.101806640625,691147,0.0,0.0
2019-11-29,1651.4868259007565,1656.6868662385796,1615.2311295073653,1642.964599609375,1890290,0.0,0.0
2019-12-02,1643.0128632122608,1677.9685828621639,1635.4536021451513,1673.8759765625,1476972,0.0,0.0
2019-12-03,1675.5610327678078,1686.1054646610858,1661.1165411060163,1672.1424560546875,1374317,0.0,0.0
2019-12-04,1667.0868122884467,1670.1683742401997,1646.9127201547922,1656.590576171875,853421,0.0,0.0
2019-12-05,1653.7983088127555,1673.779859074799,1643.7834360148724,1652.3056640625,971984,0.0,0.0
2019-12-06,1659.094466400616,1682.8796841897679,1649.416609205467,1653.075927734375,1031777,0.0,0.0
2019-12-09,1661.1166451554875,1668.7241014171304,1647.6351187600228,1662.4166259765625,751290,0.0,0.0
2019-12-10,1662.0796585465785,1667.8574557373545,1645.709233172713,1649.70556640625,686580,0.0,0.0
2019-12-11,1654.3756477655486,1677.1016226766292,1649.8015591003063,1673.8275146484375,827804,0.0,0.0
2019-12-12,1675.8982951042963,1689.0428079692774,1664.1019585035986,1685.81689453125,802332,0.0,0.0
2019-12-13,1686.1537043733365,1692.6055304656138,1671.2759245898733,1679.36474609375,960033,0.0,0.0
2019-12-16,1679.4129085102566,1687.1166374483769,1664.0536459597088,1667.32763671875,707437,0.0,0.0
2019-12-17,1670.9389046903568,1684.1796899520068,1666.1722690159968,1680.76123046875,873024,0.0,0.0
2019-12-18,1684.4687127935897,1716.0058574807356,1669.4464628036765,1712.5872802734375,1476506,0.0,0.0
2019-12-19,1712.9242121420857,1740.8502301253022,1709.842649972812,1736.32421875,2554245,0.0,0.0
2019-12-20,1738.1055587908618,1742.0056183891725,1728.5240934265146,1732.61669921875,1419128,0.0,0.0
2019-12-23,1729.2947661780959,1747.3984603883907,1720.0501965264884,1740.609619140625,659899,0.0,0.0
2019-12-24,1744.8947851279509,1758.3763121653633,1732.4244196381792,1736.661376953125,896574,0.0,0.0
2019-12-26,1732.761409909209,1752.309553308493,1730.4984628411344,1742.5836181640625,1161570,0.0,0.0
2019-12-27,1743.9315463231999,1758.3760373198027,1733.916675722308,1745.13525390625,930468,0.0,0.0
2019-12-30,1742.9686248894473,1751.1056413394062,1732.0870610401983,1735.5538330078125,562492,0.0,0.0
2019-12-31,1738.1538310294338,1738.1538310294338,1715.1389174576886,1718.8463134765625,928396,0.0,0.0
2020-01-01,1723.9018731710175,1735.7945986006644,1717.16111043985,1726.790771484375,397285,0.0,0.0
2020-01-02,1724.672219690429,1733.2426411653034,1717.3537011179042,1724.335205078125,411266,0.0,0.0
2020-01-03,1713.8870785791923,1713.8870785791923,1682.3499394154835,1686.538818359375,1318628,0.0,0.0
2020-01-06,1673.5870221293173,1673.635217458053,1631.264705623672,1643.927734375,1871804,0.0,0.0
2020-01-07,1647.6350487053037,1676.0425495450502,1647.6350487053037,1660.538818359375,1033650,0.0,0.0
2020-01-08,1633.190662835847,1671.7093105442395,1632.227696643137,1664.7760009765625,1006057,0.0,0.0
2020-01-09,1697.7091447881753,1709.264737378906,1676.523891705169,1706.905517578125,1781733,0.0,0.0
2020-01-10,1706.3761581033698,1730.7392507214079,1694.820563353234,1726.1651611328125,1256612,0.0,0.0
2020-01-13,1732.3760934267684,1740.9945933975816,1727.8982773462944,1738.0576171875,823821,0.0,0.0
2020-01-14,1738.1539126012408,1754.1873226179769,1737.9613663897594,1751.7799072265625,775629,0.0,0.0
2020-01-15,1750.190881094206,1776.6724487586298,1743.0649084673191,1774.0242919921875,1252925,0.0,0.0
2020-01-16,1767.9576803305092,1779.5614696170544,1761.02437097521,1767.1873779296875,1031569,0.0,0.0
2020-01-17,1767.6207591461666,1770.7985946726285,1747.7836786450166,1762.2763671875,862204,0.0,0.0
2020-01-20,1769.9316838076825,1793.2836116272344,1765.694609476901,1780.2835693359375,1091453,0.0,0.0
2020-01-21,1771.8096059526213,1774.3134121027963,1727.4168878108464,1743.6910400390625,2101561,0.0,0.0
2020-01-22,1747.783584240968,1751.3465120209657,1701.4167400251551,1713.3575439453125,3415306,0.0,0.0
2020-01-23,1713.1168441981824,1722.746506054271,1692.0278612234315,1710.32421875,1885275,0.0,0.0
2020-01-24,1717.5948065755122,1733.2430084227444,1714.3206977560187,1720.628173828125,1195596,0.0,0.0
2020-01-27,1720.8207465678029,1738.876364361953,1714.07998259132,1722.1207275390625,969054,0.0,0.0
2020-01-28,1727.5611084020206,1727.5611084020206,1707.3388211799233,1713.212890625,873291,0.0,0.0
2020-01-29,1720.820511359105,1737.046467489033,1715.0427144547095,1730.4019775390625,873805,0.0,0.0
2020-01-30,1733.3392215633655,1741.9096445576802,1719.8576942845393,1738.154052734375,1005975,0.0,0.0
2020-01-31,1742.9686868731503,1756.4502126279704,1722.4574613834868,1729.150146484375,1169614,0.0,0.0
2020-02-03,1703.2946992532743,1803.539459380569,1699.6353805925037,1798.48388671875,2854532,0.0,0.0
2020-02-04,1800.746829160301,1826.5061755132626,1786.3505312090415,1821.258056640625,1830049,0.0,0.0
2020-02-05,1819.0429175371548,1820.0058836131404,1797.0391662107934,1804.116943359375,1344016,0.0,0.0
2020-02-06,1808.450357000431,1812.6874314000167,1776.6724753278995,1788.0355224609375,995386,0.0,0.0
