,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2771.4343300256974,2793.144527546724,2757.1039529977343,2786.580078125,446046,0.0,0.0
2019-11-01,2788.8538489807443,2822.320095168513,2737.367316384177,2773.965576171875,748062,0.0,0.0
2019-11-04,2776.8404852424537,2787.3523195886282,2729.9019688781623,2756.288818359375,330025,0.0,0.0
2019-11-05,2767.401193666618,2793.7450949126815,2738.354123694637,2785.678955078125,305513,0.0,0.0
2019-11-06,2783.705353393606,2807.3033488369856,2758.605667331102,2787.395263671875,348652,0.0,0.0
2019-11-07,2783.705314570871,2812.0229087079974,2765.642080047188,2802.455078125,326912,0.0,0.0
2019-11-08,2795.5474795460345,2822.148857950796,2776.4545547232624,2785.03564453125,483871,0.0,0.0
2019-11-11,2778.556954630953,2792.2866986933664,2763.9691015646385,2777.999267578125,278347,0.0,0.0
2019-11-13,2771.6917818275306,2784.563415489268,2738.053954424705,2751.09716796875,305804,0.0,0.0
2019-11-14,2750.239156703424,2784.1774072296776,2738.3115262197625,2774.523681640625,310906,0.0,0.0
2019-11-15,2780.27290659111,2790.956320767513,2745.9485497196147,2759.12060546875,311463,0.0,0.0
2019-11-18,2767.401415720247,2767.401415720247,2700.2543891217633,2708.964111328125,441118,0.0,0.0
2019-11-19,2708.1916546934617,2721.4923424779195,2679.101847145215,2712.525146484375,285669,0.0,0.0
2019-11-20,2699.224583993342,2719.261301789487,2686.310002709757,2713.68359375,238889,0.0,0.0
2019-11-21,2705.1024768684806,2753.671525562806,2697.894445736822,2735.95166015625,347577,0.0,0.0
2019-11-22,2728.7864429641018,2733.935096630072,2688.884377052834,2705.059814453125,285777,0.0,0.0
2019-11-25,2705.0598698614135,2751.354806456345,2664.599906608031,2742.2158203125,332892,0.0,0.0
2019-11-26,2745.862599137736,2769.9755431488597,2719.132590567828,2727.19873046875,628851,0.0,0.0
2019-11-27,2735.779889323208,2760.7509428758603,2728.7863853742283,2756.288818359375,308282,0.0,0.0
2019-11-28,2754.5297405665888,2760.32197600236,2731.1892189326672,2742.859375,194094,0.0,0.0
2019-11-29,2733.9348484298744,2742.5159370941237,2700.554497325638,2725.353759765625,203765,0.0,0.0
2019-12-02,2714.2842717250332,2760.879416131064,2696.2210379704143,2710.98046875,474666,0.0,0.0
2019-12-03,2717.6310964941713,2806.016320030294,2717.6310964941713,2797.220703125,864612,0.0,0.0
2019-12-04,2797.2206410592407,2812.881129348015,2769.9756819815107,2789.8408203125,458892,0.0,0.0
2019-12-05,2780.2728840330938,2820.0890538812764,2768.1307266880185,2782.93310546875,692533,0.0,0.0
2019-12-06,2782.9328887036127,2795.7186267389143,2740.0274463043047,2751.182861328125,275871,0.0,0.0
2019-12-09,2766.457285586714,2780.1442905699387,2747.9222584655354,2767.873291015625,217098,0.0,0.0
2019-12-10,2771.6918858456593,2780.272975275522,2755.6023431646668,2773.837158203125,278890,0.0,0.0
2019-12-11,2780.4015615475,2810.1781089730034,2763.153697780057,2804.857666015625,327568,0.0,0.0
2019-12-12,2811.422445295521,2817.4292080534397,2794.517740576658,2798.679443359375,263581,0.0,0.0
2019-12-13,2810.2205022269386,2810.2205022269386,2763.3249388232466,2774.179931640625,360095,0.0,0.0
2019-12-16,2775.5532768852254,2814.597232395591,2757.232567807586,2763.453857421875,376835,0.0,0.0
2019-12-17,2767.4009601546577,2773.1502473813357,2741.1427463144305,2745.176025390625,336920,0.0,0.0
2019-12-18,2745.133599710279,2763.1109411073826,2739.255469343311,2757.661865234375,315871,0.0,0.0
2019-12-19,2751.0973256648213,2773.4081586240495,2730.502710625534,2761.73779296875,409369,0.0,0.0
