,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,810.1173407794921,822.2840734202341,808.1219778711683,811.5490112304688,4232870,0.0,0.0
2019-11-01,814.9062111762828,840.9457340366195,809.1695427332229,836.5309448242188,6564390,0.0,0.0
2019-11-04,846.0338617331374,872.9712606326596,843.0657838044434,868.6412963867188,5528120,0.0,0.0
2019-11-05,877.9597039290405,886.7143832887455,863.5332077814033,882.5241088867188,5984200,0.0,0.0
2019-11-06,877.9597085930109,885.4423197457922,870.0829937668832,875.2509765625,3203030,0.0,0.0
2019-11-07,877.7601667565715,883.915844527936,874.1735310124908,881.2420654296875,2133830,0.0,0.0
2019-11-08,877.460851984704,892.92491475419,872.9712853742082,879.84033203125,2949040,0.0,0.0
2019-11-11,877.8599367996746,890.4306987779053,875.4654769497052,888.2657470703125,1749780,0.0,0.0
2019-11-13,886.7392708282388,900.6070675009494,883.5017993570688,895.7533569335938,3606730,0.0,0.0
2019-11-14,895.9130311480636,906.9922651824354,887.9365720938363,904.0840454101562,3486340,0.0,0.0
2019-11-15,904.9170583719623,911.8808554847749,901.265510123738,903.6848754882812,2959190,0.0,0.0
2019-11-18,904.4481322197564,910.4840929863816,899.4547315480172,908.3141479492188,2117600,0.0,0.0
2019-11-19,904.8970663942019,916.7694998917814,904.5279291327652,913.1578979492188,2376530,0.0,0.0
2019-11-20,911.3820941332639,916.3705018734569,903.8994825229743,905.8200073242188,2439930,0.0,0.0
2019-11-21,906.3937026704725,909.5862958602598,901.106002549639,903.41064453125,1733280,0.0,0.0
2019-11-22,903.8794022327138,905.8947382067603,896.0176676948466,901.8341674804688,1557720,0.0,0.0
2019-11-25,903.0014672087145,919.8623082797599,899.4298114169521,915.3727416992188,1484370,0.0,0.0
2019-11-26,914.8740243294818,919.3635915153953,906.8526862123646,910.0153198242188,2950940,0.0,0.0
2019-11-27,911.980663183166,923.883057435105,910.0152597959318,920.7053833007812,1473510,0.0,0.0
2019-11-28,923.3044006811257,926.3223508273283,916.8743357976838,921.8677368164062,1646350,0.0,0.0
2019-11-29,920.8600537818179,921.4387261204397,907.4213127784385,908.912841796875,1488770,0.0,0.0
2019-12-02,908.8878642129283,908.8878642129283,887.9365523046171,892.75537109375,3207500,0.0,0.0
2019-12-03,895.41918239378,910.6138527661493,890.5804512809221,906.8675537109375,1808800,0.0,0.0
2019-12-04,904.787425891216,906.6929708382862,893.4288118220343,900.931396484375,2164590,0.0,0.0
2019-12-05,899.4098489523677,900.9313375579147,891.4333904379755,894.4713134765625,1192460,0.0,0.0
2019-12-06,899.1105585251098,901.4550856367086,880.3790644521023,883.2573852539062,1670270,0.0,0.0
2019-12-09,887.6072813379288,897.38954111927,880.0598183692816,890.829833984375,1498330,0.0,0.0
2019-12-10,888.9342245529361,897.214968899223,885.8414362323769,890.6502075195312,1439350,0.0,0.0
2019-12-11,892.9249511787978,907.8901738242525,891.4334221932926,905.8049926757812,2258810,0.0,0.0
2019-12-12,907.8902008194291,916.2707501075295,906.0145546539367,914.7991333007812,1919850,0.0,0.0
2019-12-13,917.8670121104116,925.3396370638484,912.0954512242051,918.8946533203125,2153570,0.0,0.0
2019-12-16,922.8554518665629,927.8438597144902,912.8786361707081,926.6566162109375,1970750,0.0,0.0
