,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,3937.5204268757852,3982.557795142041,3928.473676936408,3960.481689453125,1251220,0.0,0.0
2019-11-01,3961.9075464187213,4041.558703345978,3954.040765487634,4002.077392578125,1875612,0.0,0.0
2019-11-04,4018.941993362794,4107.934958960869,4008.272574937839,4044.509033203125,1863158,0.0,0.0
2019-11-05,4102.5263662416755,4184.144220603626,4066.142503453818,4157.39697265625,2934652,0.0,0.0
2019-11-06,4189.060352223786,4208.727302234227,4107.098242025247,4118.40673828125,2076695,0.0,0.0
2019-11-07,4134.681786774341,4168.6072784901935,4118.456551605891,4155.4794921875,1141603,0.0,0.0
2019-11-08,4149.727054615138,4169.394007480612,4078.9260242994296,4090.185546875,1509693,0.0,0.0
2019-11-11,4090.7258965399556,4118.259628535898,4073.910557040969,4099.625,769302,0.0,0.0
2019-11-13,4097.510873094985,4105.476084402544,4063.1921391021106,4075.532958984375,899015,0.0,0.0
2019-11-14,4088.7593572506557,4150.710256602939,4051.7853911309994,4140.43408203125,1383629,0.0,0.0
2019-11-15,4149.923928514614,4176.523290283989,4106.01707199202,4117.86669921875,1193171,0.0,0.0
2019-11-18,4129.0759234525785,4139.450046942048,4076.122567484969,4085.710205078125,927364,0.0,0.0
2019-11-19,4095.64280043863,4112.507115939808,4057.5380805065774,4066.8798828125,829535,0.0,0.0
2019-11-20,4071.0591027342716,4112.359702327228,4058.6688268263447,4069.633056640625,813879,0.0,0.0
2019-11-21,4071.0592754375693,4090.7262284590065,4043.5255412075567,4054.9814453125,702853,0.0,0.0
2019-11-22,4061.2254963672835,4074.7955008810277,3973.707561941935,4010.386474609375,1222615,0.0,0.0
2019-11-25,4031.725169949973,4080.0566085792116,3994.653013353501,4072.73095703125,1389304,0.0,0.0
2019-11-26,4075.975853290333,4104.4439587286415,4018.9416917726394,4030.102783203125,1502727,0.0,0.0
2019-11-27,4052.375794856789,4056.2107547840196,4026.8087551416043,4049.77001953125,485064,0.0,0.0
2019-11-28,4051.3920036643267,4070.1245828833326,3997.3078871105554,4033.74072265625,969708,0.0,0.0
2019-11-29,4026.808414384462,4066.1423183100737,3994.702211335221,4006.354736328125,831983,0.0,0.0
2019-12-02,4007.141520481714,4009.4524834008666,3854.8210713528297,3884.66552734375,2065404,0.0,0.0
2019-12-03,3874.340314814813,3928.4736480171528,3821.7804337969123,3898.53076171875,1984382,0.0,0.0
2019-12-04,3892.0897579313814,3937.422177822116,3869.4727633804914,3924.392822265625,1430830,0.0,0.0
2019-12-05,3924.392822265625,3966.8241747082348,3901.9232338230727,3924.392822265625,1255304,0.0,0.0
2019-12-06,3943.2241353894533,3960.7277718358805,3861.999522256373,3885.845703125,1171355,0.0,0.0
2019-12-09,3903.4965433487982,3905.31559227723,3815.6343434372816,3879.15869140625,1268942,0.0,0.0
2019-12-10,3884.223017588706,3928.4736595612358,3879.797953391453,3920.45947265625,1159480,0.0,0.0
2019-12-11,3934.865660455479,3987.4747602516472,3917.706291808013,3969.577880859375,1365981,0.0,0.0
2019-12-12,3982.557540019952,3997.307753131137,3943.272853782179,3989.58837890625,1087056,0.0,0.0
2019-12-13,4002.224610097174,4021.1540508206062,3973.80596135281,4004.14208984375,861656,0.0,0.0
2019-12-16,4019.875707426598,4019.875707426598,3964.414999726916,3972.183349609375,826069,0.0,0.0
2019-12-17,3989.392043038881,4085.8093243271323,3979.5585669273837,4066.8798828125,1379484,0.0,0.0
2019-12-18,4071.5019049441735,4089.595405387236,4032.757624028334,4050.753173828125,1109775,0.0,0.0
2019-12-19,4044.5578637510002,4075.976013259494,4017.2702065117674,4023.711181640625,736104,0.0,0.0
2019-12-20,4038.60882699748,4075.97603796069,4013.041787917389,4066.732666015625,1054234,0.0,0.0
2019-12-23,4069.6820455398697,4114.32592585637,4061.225161038912,4090.7255859375,1137879,0.0,0.0
2019-12-24,4088.7593133794844,4111.081495919051,4056.9479225471787,4070.5673828125,751979,0.0,0.0
2019-12-26,4080.8432472503855,4126.5689070936005,4064.421151547705,4117.37451171875,1265020,0.0,0.0
2019-12-27,4128.093158367365,4189.060708586225,4122.193072862314,4181.8330078125,1126648,0.0,0.0
2019-12-30,4203.663576691993,4210.251717510594,4159.560340877472,4172.638671875,831910,0.0,0.0
2019-12-31,4176.276964286373,4195.353810358331,4148.34999043514,4164.23095703125,779608,0.0,0.0
2020-01-01,4167.23062713955,4181.194356325662,4150.710578092808,4160.8388671875,407042,0.0,0.0
2020-01-02,4169.393712676419,4224.215339912672,4164.476974807697,4175.3427734375,863844,0.0,0.0
2020-01-03,4149.726827062199,4164.280179324522,4103.509490362691,4123.619140625,1176850,0.0,0.0
2020-01-06,4094.6596178011364,4133.993523831887,3917.460419147627,3930.1455078125,2866735,0.0,0.0
2020-01-07,3987.474692869484,4023.8585556650874,3929.653803438747,3940.9130859375,2149042,0.0,0.0
2020-01-08,3884.22300080266,3992.7355039563877,3884.22300080266,3982.508544921875,1630576,0.0,0.0
2020-01-09,4037.5264252225525,4078.9254512179327,4012.0578208700977,4055.52197265625,1419388,0.0,0.0
2020-01-10,4061.323748863998,4116.194349237078,4049.425147664771,4075.828125,1106624,0.0,0.0
2020-01-13,4098.592839682885,4112.605543129498,4076.959192256536,4095.151123046875,645152,0.0,0.0
2020-01-14,4100.559761525906,4132.420129830019,4081.335506742392,4123.1767578125,703434,0.0,0.0
2020-01-15,4120.177730623544,4149.727135822093,4100.608728019274,4137.189453125,616976,0.0,0.0
2020-01-16,4120.225906946049,4159.510830505504,4118.259212002399,4149.97216796875,578728,0.0,0.0
2020-01-17,4146.7763861683625,4171.3600735419,4132.02617374424,4161.28076171875,671129,0.0,0.0
2020-01-20,4158.577125765401,4182.128493555464,4056.4563783968074,4083.449462890625,848639,0.0,0.0
2020-01-21,4080.8432192515434,4116.391135952503,4048.49070182991,4069.68212890625,897922,0.0,0.0
2020-01-22,4116.293336167161,4116.785010000913,4054.6867008281497,4073.222900390625,797901,0.0,0.0
2020-01-23,4054.3422776810085,4094.5121243885346,4016.9750677484644,4057.095458984375,1154522,0.0,0.0
2020-01-24,4051.392453100787,4135.616086101828,4042.542323955664,4124.65185546875,864892,0.0,0.0
2020-01-27,4104.4926256852095,4137.926441994097,4084.825674915276,4095.00341796875,782155,0.0,0.0
2020-01-28,4081.040252667438,4178.2442662591975,4081.040252667438,4142.84375,1052764,0.0,0.0
2020-01-29,4174.212171110963,4369.996776172494,4144.908604410931,4345.4130859375,4581413,0.0,0.0
2020-01-30,4389.664477159875,4410.314780479847,4272.498685543516,4291.62451171875,3577774,0.0,0.0
2020-01-31,4297.2290868853,4346.494898533865,4261.631711084887,4293.197265625,1736927,0.0,0.0
2020-02-03,4179.424055861266,4304.013905539641,4179.424055861266,4286.75634765625,1094181,0.0,0.0
