,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2985.588447367764,3026.272995647457,2946.1256619397586,2956.625,488894,0.0,0.0
2019-11-01,2982.3299476597704,2982.3299476597704,2929.5621232075264,2958.389892578125,320106,0.0,0.0
2019-11-04,2977.804641689724,2985.950611834164,2920.782850678644,2932.41357421875,283144,0.0,0.0
2019-11-05,2946.1255409734713,2968.7532333004565,2898.426409742898,2925.081787109375,330794,0.0,0.0
2019-11-06,2932.4132944427897,2948.705233177287,2888.198694543355,2921.552001953125,347320,0.0,0.0
2019-11-07,2940.694900181262,2947.573807050641,2900.7795624541977,2917.88623046875,288996,0.0,0.0
2019-11-08,2921.687616272166,2937.481701229855,2844.75346280775,2858.330078125,376182,0.0,0.0
2019-11-11,2857.424801159084,2891.8188912585597,2814.8847423518378,2823.528564453125,464906,0.0,0.0
2019-11-13,2960.607214675601,2985.950229659067,2896.3445695389555,2959.475830078125,1853222,0.0,0.0
2019-11-14,2964.1370397557653,2964.1370397557653,2896.344563212494,2924.221923828125,515326,0.0,0.0
2019-11-15,2923.6790340797993,2950.6512894479956,2882.9038854097375,2892.317138671875,261412,0.0,0.0
2019-11-18,2899.0598127060707,2911.866997607251,2829.366523421535,2842.8525390625,429862,0.0,0.0
2019-11-19,2842.8529620870813,2858.6472697618087,2814.885219835702,2824.253173828125,261351,0.0,0.0
2019-11-20,2823.936012484757,2837.5126279293954,2769.629550706204,2820.587158203125,504339,0.0,0.0
2019-11-21,2817.600533197771,2817.600533197771,2771.123160073451,2781.079345703125,295648,0.0,0.0
2019-11-22,2771.6660841640432,2780.490884334049,2729.940530355413,2735.82373046875,349622,0.0,0.0
2019-11-25,2738.4035849310817,2756.053186618788,2719.2153442140343,2752.07080078125,437144,0.0,0.0
2019-11-26,2758.7685349500857,2790.447307497085,2752.432780440686,2765.33056640625,620959,0.0,0.0
2019-11-27,2769.6291425752456,2805.833445092569,2769.6291425752456,2797.778076171875,235618,0.0,0.0
