,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,128.41546568492845,129.6561948219809,127.79510111640224,128.7566680908203,6655719,0.0,0.0
2019-11-01,127.17470892995,129.0358022313639,125.22056474986941,128.47747802734375,7118433,0.0,0.0
2019-11-04,127.79510611600655,133.75060999325456,127.67103509064981,133.37838745117188,8489492,0.0,0.0
2019-11-05,134.6190958095888,134.9602981760411,130.02840231953718,130.98995971679688,12681517,0.0,0.0
2019-11-06,131.1450468987829,133.28531192127878,130.98995577924035,131.76541137695312,4344694,0.0,0.0
2019-11-07,132.44781810087315,132.60290922277113,130.83486664672984,131.82745361328125,3529240,0.0,0.0
2019-11-08,131.88948877802702,133.99872416834677,129.09784869118644,129.81126403808594,6324778,0.0,0.0
2019-11-11,129.6251684329802,130.77284661566833,127.64000380288131,130.18350219726562,3485203,0.0,0.0
2019-11-13,133.9366745729004,133.99871480134198,127.91914158844949,128.57052612304688,12228149,0.0,0.0
2019-11-14,129.3459917873256,129.3459917873256,125.15853162154887,125.53075408935547,4889669,0.0,0.0
2019-11-15,125.90297391590809,126.8645407881895,124.38308277766257,124.78631591796875,4544919,0.0,0.0
2019-11-18,125.31363575800795,125.31363575800795,122.98726875754988,124.25901794433594,5894876,0.0,0.0
2019-11-19,124.66228525395871,124.87941668655252,122.9873024479959,123.82479858398438,3836452,0.0,0.0
2019-11-20,124.01087279550626,126.55437129919889,123.73171063437219,125.96502685546875,4456738,0.0,0.0
2019-11-21,125.93398222250232,126.33721532498804,121.46736011569443,121.96365356445312,4650473,0.0,0.0
2019-11-22,122.18079594823874,123.66967654442088,121.77756277807104,123.45254516601562,4335573,0.0,0.0
2019-11-25,123.51459396398704,125.09651609962928,123.11135129987214,124.50717163085938,3884393,0.0,0.0
2019-11-26,124.69326284531547,125.37566757266436,121.71551139162814,122.67707824707031,8027053,0.0,0.0
2019-11-27,122.52198451787086,125.127513434669,121.71550880252576,124.6932601928711,4378518,0.0,0.0
2019-11-28,124.41410774079112,128.0122238893712,123.94883434569917,127.70204162597656,7855291,0.0,0.0
2019-11-29,128.04323414275956,129.53211468200786,126.46131217719967,127.32981872558594,5422867,0.0,0.0
2019-12-02,127.29879900395666,128.0432345429015,125.4687255431306,127.70204162597656,3284647,0.0,0.0
2019-12-03,128.1052602595686,128.2293312576591,126.55434911841161,127.54693603515625,2619997,0.0,0.0
2019-12-04,126.92660133458293,127.17474338893679,124.78633588522733,125.77892303466797,5343182,0.0,0.0
2019-12-05,125.62381159745698,125.99603408489091,121.37431097429906,121.83958435058594,6745934,0.0,0.0
2019-12-06,121.8396010046005,122.2118235429128,118.42759577878314,119.11000061035156,5644775,0.0,0.0
2019-12-09,119.07897166796906,120.1025788395059,118.48962724763602,118.89286041259766,3992473,0.0,0.0
2019-12-10,119.10997633828018,119.38913845212095,115.72899192396338,116.1322250366211,4431410,0.0,0.0
2019-12-11,116.81464407356799,117.46602872985785,114.76743921066196,116.1012191772461,8520046,0.0,0.0
2019-12-12,116.81465720826061,118.39658884683436,115.54290787270084,117.96232604980469,8081188,0.0,0.0
2019-12-13,118.92387581411512,122.14976940384479,118.67573379414026,121.74653625488281,5851149,0.0,0.0
2019-12-16,122.21181610957301,122.39792736740922,119.10999336567521,119.48221588134766,3154315,0.0,0.0
2019-12-17,120.00951273186512,121.90162638317776,119.14100620307138,121.71551513671875,3652710,0.0,0.0
2019-12-18,121.49838949911599,123.14235161589613,120.84700488955768,122.67707824707031,3623918,0.0,0.0
2019-12-19,122.4599396127086,122.89420230395346,121.12615982105757,122.1497573852539,2015809,0.0,0.0
2019-12-20,122.11876810529252,125.74789512197941,121.68450533805455,124.56920623779297,5806708,0.0,0.0
2019-12-23,124.44512244369905,125.5307603183265,121.77755320141226,122.36689758300781,6665480,0.0,0.0
2019-12-24,122.70810860916345,123.88679745552076,122.45995711213283,123.42152404785156,3113553,0.0,0.0
2019-12-26,123.08031397690613,124.94140749147232,121.09514945457109,122.39791870117188,8630191,0.0,0.0
2019-12-27,123.14236363966285,127.48491550604894,122.61504998376836,126.24418640136719,5046833,0.0,0.0
2019-12-30,126.27518524148894,127.95016735732828,124.81732500277104,127.67100524902344,4696784,0.0,0.0
2019-12-31,127.17474052839665,131.7964548153725,126.8335381118253,131.1140594482422,10534842,0.0,0.0
2020-01-01,131.11405403206086,131.88950973495687,129.2839710004167,131.48626708984375,6447592,0.0,0.0
2020-01-02,131.8274450383638,132.01355626573766,129.22191625316054,130.9589385986328,5958343,0.0,0.0
2020-01-03,130.27656185243782,131.889513547492,128.84972142466106,131.4242401123047,6452638,0.0,0.0
2020-01-06,130.24553523546737,130.24553523546737,126.21316566492031,127.6089859008789,6853058,0.0,0.0
2020-01-07,128.1052794335332,129.15989727416624,126.77149943891082,127.6089859008789,5243225,0.0,0.0
2020-01-08,125.93397505866288,126.89554178605658,122.95622400151227,124.19695281982422,7295998,0.0,0.0
2020-01-09,126.08908997160016,126.36825211523536,122.42894305280208,122.8321762084961,10321169,0.0,0.0
2020-01-10,123.54558490554729,128.13628783004685,123.42151390023885,127.36083221435547,13533598,0.0,0.0
2020-01-13,127.36083523296702,131.51727553838353,127.17472398758784,131.2381134033203,9863555,0.0,0.0
2020-01-14,130.98998546974482,132.44784611029132,130.12147878985297,132.1066436767578,5417581,0.0,0.0
2020-01-15,131.88947757759283,133.13020639971126,131.0830019500139,131.79641723632812,4863227,0.0,0.0
2020-01-16,131.79644067888452,131.9515318092353,128.4774961689848,130.431640625,6937929,0.0,0.0
2020-01-17,130.27655473413668,130.61775712783322,127.85713678976457,128.97378540039062,5985342,0.0,0.0
2020-01-20,129.03581654740057,130.1524745453399,124.38308277766257,124.78631591796875,8110607,0.0,0.0
2020-01-21,124.78632035081901,127.32981868836758,124.78632035081901,125.40668487548828,6347967,0.0,0.0
2020-01-22,123.51458297936337,123.70068476746764,118.45860632827166,119.0479507446289,19096395,0.0,0.0
2020-01-23,119.14100947084093,121.0951539472302,117.77620940272686,118.33453369140625,16369722,0.0,0.0
2020-01-24,119.73038049732402,121.77758578763124,119.20306674499774,120.3197250366211,10626281,0.0,0.0
2020-01-27,120.31970757267604,120.97109227041146,119.10999854317436,119.94749450683594,7195361,0.0,0.0
2020-01-28,120.28865757769555,120.50578891168811,116.87665325844569,117.34192657470703,10274562,0.0,0.0
2020-01-29,118.48961739455603,119.73034637250949,116.62852392762584,118.52063751220703,10602818,0.0,0.0
2020-01-30,118.73777479204104,119.32712870575732,116.31835675788193,116.59751892089844,10859103,0.0,0.0
2020-01-31,117.1248140030879,117.52804712278231,111.66560476578094,112.72022247314453,35281395,0.0,0.0
2020-02-03,108.50174295851541,111.32440321472146,106.79574065120535,110.82810974121094,15284598,0.0,0.0
2020-02-04,112.13089188876216,113.52671211974261,111.51052734165975,113.2165298461914,10043759,0.0,0.0
2020-02-05,114.14708740574879,114.14708740574879,110.73508207568564,111.20035552978516,9468632,0.0,0.0
2020-02-06,111.78969655428462,112.65821265468273,110.57998750424292,111.63460540771484,6917941,0.0,0.0
2020-02-07,111.8517228668919,115.41881879367347,110.48692284028206,114.79845428466797,13470302,0.0,0.0
2020-02-10,114.70539974008608,114.76743998053428,110.20775682193,110.95220184326172,19665611,0.0,0.0
2020-02-11,111.66561566638154,112.59616246360139,109.33924867333192,111.26238250732422,16397703,0.0,0.0
2020-02-12,112.28598363882082,113.77485477359383,110.54896100424445,111.85173034667969,14669421,0.0,0.0
2020-02-13,111.85173851586612,112.25497171673084,109.0911179577605,110.30082702636719,11781999,0.0,0.0
2020-02-14,110.42488371012719,110.98320798742557,108.0674966590683,108.40869903564453,15392705,0.0,0.0
2020-02-17,108.40870845695967,108.68787061986959,103.47681202551071,104.1281967163086,15997350,0.0,0.0
2020-02-18,104.2832975661647,107.91242495384778,102.3601634364088,106.60966491699219,27643844,0.0,0.0
2020-02-19,109.4012689911112,110.76606881863708,108.0984999258307,110.269775390625,21092109,0.0,0.0
