,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,507.56071601479323,513.9510990086342,505.7714444371371,508.16326904296875,3601190,0.0,0.0
2019-11-01,508.30925717261016,516.5528771165245,499.51791246020485,503.3065185546875,15004275,0.0,0.0
2019-11-04,504.88585379510334,513.0564254511236,501.83675962268615,510.82891845703125,4044245,0.0,0.0
2019-11-05,510.09860979960814,520.2684606944472,509.7699749220741,514.09716796875,4218310,0.0,0.0
2019-11-06,514.9004966728418,525.837161471756,514.9004966728418,522.678466796875,4502345,0.0,0.0
2019-11-07,522.5507568069169,526.4214940733847,516.5255052621841,524.203125,2205775,0.0,0.0
2019-11-08,522.1855115411729,522.1855115411729,513.476353663026,515.265625,1594930,0.0,0.0
2019-11-11,513.48549415974,516.2242296704617,510.3177168311359,514.1063232421875,1533320,0.0,0.0
2019-11-13,514.8821815956856,515.5851414115035,503.01432989223895,504.50238037109375,2283415,0.0,0.0
2019-11-14,506.66605042898516,507.0950922307323,497.5277943700576,499.1893005371094,3242840,0.0,0.0
2019-11-15,501.73624364463916,501.73624364463916,495.2180965106159,498.5958251953125,1894225,0.0,0.0
2019-11-18,498.99750083779503,503.74465270667883,498.81496307798585,499.7278747558594,2113865,0.0,0.0
2019-11-19,500.4582329892779,504.0094730730235,497.4456353552384,500.8233642578125,2384625,0.0,0.0
2019-11-20,501.4350388071448,522.9066845949416,501.18853481217604,518.287353515625,4989880,0.0,0.0
2019-11-21,516.3429100664817,527.6630390750087,513.0929461722479,525.7002563476562,4794695,0.0,0.0
2019-11-22,521.272660543984,530.3561444942542,519.0816498405009,524.2396240234375,2747755,0.0,0.0
2019-11-25,522.1855908424175,536.0618624423136,520.3689051320893,533.2592163085938,2343975,0.0,0.0
2019-11-26,533.1861503118866,543.1825461282748,530.7943257428152,541.5119018554688,5280840,0.0,0.0
2019-11-27,540.4437551405996,546.277274586554,537.2120676098345,542.634765625,2792575,0.0,0.0
2019-11-28,541.922694587164,544.5701610771143,537.3489975849942,543.5020141601562,1282180,0.0,0.0
2019-11-29,543.1276980980416,543.1276980980416,528.630655602337,532.017578125,2802065,0.0,0.0
2019-12-02,532.7752936397562,532.7752936397562,520.7249026942026,524.32177734375,2990275,0.0,0.0
2019-12-03,525.6545460898515,527.1790930284172,520.6609458327605,521.8842163085938,1906680,0.0,0.0
2019-12-04,522.1855393647962,526.9144157097412,521.8569044959692,525.4446411132812,2380810,0.0,0.0
2019-12-05,525.8007166029364,525.8372130169648,520.1954246053363,524.3035278320312,2168805,0.0,0.0
2019-12-06,527.2430811511013,538.4353891638717,524.3126698212347,527.80908203125,4942595,0.0,0.0
2019-12-09,529.3062366737948,537.1573113806011,528.0099175531668,531.08642578125,2646785,0.0,0.0
2019-12-10,531.086400029575,531.086400029575,525.3807017052349,529.0323486328125,1742585,0.0,0.0
2019-12-11,529.4887983325765,532.3735748550956,524.9242397262612,527.2612915039062,2032640,0.0,0.0
2019-12-12,529.4888519702383,532.9214093050618,527.6630283427547,530.5204467773438,2019050,0.0,0.0
2019-12-13,523.1167479596228,523.2171548869054,506.3008721481151,515.1561279296875,6842090,0.0,0.0
2019-12-16,517.6209633167097,520.350560539681,510.5733113376474,514.2158203125,2301945,0.0,0.0
2019-12-17,516.3429036989178,519.4468261783796,513.2390369391717,516.14208984375,1835550,0.0,0.0
2019-12-18,518.5338537537381,525.152463682813,516.1603055842983,524.6412353515625,2656160,0.0,0.0
2019-12-19,524.7416429832084,528.0920133779435,518.7255859804385,523.9291381835938,1991375,0.0,0.0
2019-12-20,523.1532291472922,526.0654199917401,521.4095921417378,522.7971801757812,1756605,0.0,0.0
2019-12-23,523.5731261229053,532.775235766868,523.5731261229053,531.0224609375,1961175,0.0,0.0
2019-12-24,532.9396178239303,532.9396178239303,526.94178128148,528.7493286132812,1089215,0.0,0.0
2019-12-26,528.8589340989934,532.18194643296,522.1855510512356,523.2080078125,1284800,0.0,0.0
2019-12-27,524.9242194931655,530.401689609616,522.4776228608492,529.0505981445312,1868265,0.0,0.0
2019-12-30,526.257151745952,534.6011231789679,524.9242804703564,527.4530639648438,1899395,0.0,0.0
2019-12-31,527.6629626857551,532.2001070900325,522.9249487331967,524.842041015625,1516190,0.0,0.0
2020-01-01,525.8371450452973,527.3891060964908,522.2219946140157,525.7276000976562,773895,0.0,0.0
2020-01-02,526.5310336428196,528.1012152379683,522.2220608501427,523.0802001953125,1494155,0.0,0.0
2020-01-03,523.080085581729,528.9410183382369,520.7338960167842,526.5491943359375,1723390,0.0,0.0
2020-01-06,524.1939800519187,529.0871740517867,521.1266096985433,525.6272583007812,1788685,0.0,0.0
2020-01-07,527.66295695024,531.3146037111413,524.2030417033808,526.60400390625,1788175,0.0,0.0
2020-01-08,524.9242261375401,530.4016963233232,523.2809962257469,528.9866943359375,1395115,0.0,0.0
2020-01-09,531.6067964877992,536.1713554055887,529.6714279642335,533.2317504882812,1877480,0.0,0.0
2020-01-10,534.9663132953638,549.2077150474229,534.0808155973172,535.5140380859375,5635735,0.0,0.0
