,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2160.2550939132366,2173.2099358126334,2136.875181148069,2159.593994140625,1376540,0.0,0.0
2019-11-01,2164.279221042792,2193.121040371199,2098.455821630589,2105.747802734375,1870250,0.0,0.0
2019-11-04,2131.0299628601533,2134.8627505631393,2065.872571909393,2083.187255859375,1570140,0.0,0.0
2019-11-05,2084.0779582042746,2102.9831616115034,2034.2996831849214,2039.7279052734375,1494120,0.0,0.0
2019-11-06,2047.666556341941,2084.0780346484426,2015.4855543261388,2070.23681640625,1444450,0.0,0.0
2019-11-07,2076.4125966781576,2079.2871872596224,2028.612936935307,2052.836181640625,1055860,0.0,0.0
2019-11-08,2036.1682035542,2113.370185366693,2031.377219545837,2078.29541015625,1874110,0.0,0.0
2019-11-11,2073.5380975146354,2090.5603625603826,2041.9222784202539,2048.327880859375,944160,0.0,0.0
2019-11-13,2047.6665558714003,2091.168596895792,2031.3772103169717,2045.9609375,1589070,0.0,0.0
2019-11-14,2060.123209868658,2081.6826388091436,2046.2293556625668,2065.695068359375,980830,0.0,0.0
2019-11-15,2093.660254574735,2098.4512391389794,2035.334696200925,2043.263916015625,1195330,0.0,0.0
2019-11-18,2053.3200065426804,2067.7888730466243,2036.1683759147713,2057.957763671875,694660,0.0,0.0
2019-11-19,2069.705328470882,2088.864588001608,2052.8601519105823,2083.824462890625,906060,0.0,0.0
2019-11-20,2083.7907927760516,2083.7907927760516,2050.062308017226,2059.14599609375,735750,0.0,0.0
2019-11-21,2064.9140137828817,2107.841275334322,2055.332046201523,2103.6826171875,1303740,0.0,0.0
2019-11-22,2085.6399619947224,2200.4991342542703,2069.70526017384,2180.20458984375,2512270,0.0,0.0
2019-11-25,2180.8563227631735,2243.7141381179686,2180.8563227631735,2228.890625,1971380,0.0,0.0
2019-11-26,2237.3702650823484,2246.9714153886835,2177.6937424471043,2185.23486328125,1997340,0.0,0.0
2019-11-27,2202.9714901115076,2242.180833938162,2191.6263541540275,2205.927490234375,1340190,0.0,0.0
2019-11-28,2219.711088949947,2219.711088949947,2194.7500127665394,2212.6298828125,943210,0.0,0.0
2019-11-29,2208.835174490907,2211.513493571521,2170.315710651723,2192.48828125,1115780,0.0,0.0
2019-12-02,2176.543912332862,2179.897600949708,2073.5808059528395,2080.542236328125,2399780,0.0,0.0
2019-12-03,2080.5329655039554,2107.2618866125167,2033.4854043718926,2047.93017578125,2054080,0.0,0.0
2019-12-04,2043.426598670413,2085.893948524012,2025.1490405608938,2051.307861328125,1597410,0.0,0.0
2019-12-05,2078.3289568538867,2078.3289568538867,2043.354772010564,2052.175048828125,911910,0.0,0.0
2019-12-06,2060.1233954639324,2073.0256013176327,1980.1139519656822,2004.5479736328125,1432060,0.0,0.0
2019-12-09,2012.2133094926733,2031.281332518244,1999.6704289803188,2011.9403076171875,984820,0.0,0.0
2019-12-10,2024.4783834628988,2047.2355590100656,2007.7050256924692,2037.0498046875,979760,0.0,0.0
2019-12-11,2037.026145308125,2072.0482909884868,2012.42439156937,2064.128662109375,1075180,0.0,0.0
2019-12-12,2067.9516685579783,2117.711000558142,2067.9516685579783,2103.582275390625,1254760,0.0,0.0
2019-12-13,2108.8426137320894,2152.014105167118,2092.3904494922417,2111.36279296875,1401330,0.0,0.0
2019-12-16,2124.5572332093907,2124.5572332093907,2069.705143630367,2074.592041015625,890300,0.0,0.0
2019-12-17,2076.029523063067,2101.1246440433915,2072.2014141110185,2079.76171875,1160650,0.0,0.0
2019-12-18,2084.0782981789066,2105.3935009241554,2052.0746146681463,2082.722412109375,1014430,0.0,0.0
2019-12-19,2085.0460473606445,2156.513125773594,2080.1544708970937,2148.962646484375,1809760,0.0,0.0
2019-12-20,2141.6659221264067,2165.429017403573,2116.728708172374,2129.2236328125,1326790,0.0,0.0
2019-12-23,2119.5411901826183,2150.1939004669093,2108.033235751872,2124.911865234375,939940,0.0,0.0
2019-12-24,2127.1587641287874,2149.2356582530265,2085.462928732463,2095.447265625,1162270,0.0,0.0
2019-12-26,2107.07513090649,2127.197267218012,2098.5568627992607,2112.412353515625,964810,0.0,0.0
2019-12-27,2125.611106396408,2138.7144947573097,2098.642638058318,2129.338623046875,797560,0.0,0.0
2019-12-30,2133.909109765857,2192.0285690309197,2125.3237032338648,2183.20361328125,1158460,0.0,0.0
2019-12-31,2182.7726547307457,2182.7726547307457,2145.0916064135417,2157.404296875,1142680,0.0,0.0
2020-01-01,2157.403932042844,2165.021783664135,2108.1288493103107,2115.296142578125,1086480,0.0,0.0
2020-01-02,2116.6568577986523,2140.7891017943616,2057.3541572310155,2069.78662109375,2285820,0.0,0.0
2020-01-03,2074.496287467953,2076.024583450518,2022.7536548936948,2030.347412109375,1572970,0.0,0.0
2020-01-06,2021.7954786972582,2021.7954786972582,1987.2524333287658,1998.841796875,1258710,0.0,0.0
2020-01-07,2007.4222794674388,2045.730968501158,1984.789558949148,1993.413330078125,1371520,0.0,0.0
2020-01-08,1983.4675015295454,1983.4675015295454,1897.2393753977367,1906.0643310546875,2892860,0.0,0.0
2020-01-09,1939.1989583628588,1964.303670684156,1902.9790682823093,1947.908935546875,2592870,0.0,0.0
2020-01-10,1948.0142449366308,1987.3003167725394,1940.3678525965222,1957.8597412109375,2169260,0.0,0.0
2020-01-13,1973.8855666662814,1973.895157992443,1922.4495068420629,1943.2232666015625,1320920,0.0,0.0
2020-01-14,1942.2649720628256,1971.9019344771737,1940.8276768195624,1963.3165283203125,1162260,0.0,0.0
2020-01-15,1958.5543815647832,1978.6765156219558,1945.1396255266684,1976.2618408203125,1079560,0.0,0.0
2020-01-16,1983.3715552902863,2069.705184572523,1978.6764843251203,2063.5966796875,2921950,0.0,0.0
2020-01-17,2060.990469359209,2085.9945886414675,2022.1355394443647,2040.2119140625,1834850,0.0,0.0
2020-01-20,2048.6252139577164,2064.904971852495,2012.6928259673448,2047.197509765625,1005930,0.0,0.0
2020-01-21,2046.5169437498068,2057.727800462459,2009.3676319854642,2017.632080078125,1032360,0.0,0.0
2020-01-22,2027.5445914173577,2039.0429539395734,2006.8474453034557,2021.79541015625,786810,0.0,0.0
2020-01-23,2018.9208589006466,2030.9942333583533,1991.1811055617507,2004.140625,1059580,0.0,0.0
2020-01-24,2010.296772661402,2028.981609204251,1993.0492312372337,2005.58251953125,770750,0.0,0.0
2020-01-27,1997.8405642598184,2027.6213991847533,1990.6540874099628,2021.3355712890625,971080,0.0,0.0
2020-01-28,2033.9643212897092,2033.9643212897092,2000.2358403731255,2020.51611328125,972770,0.0,0.0
2020-01-29,2034.8269793727816,2034.8269793727816,1925.9757206892655,1934.8150634765625,2869250,0.0,0.0
2020-01-30,1935.5576904541824,1971.9691717597561,1935.5576904541824,1949.001220703125,1385590,0.0,0.0
2020-01-31,1959.5126747827069,1977.881234630461,1936.6117453123052,1944.114501953125,1021230,0.0,0.0
2020-02-03,1873.016173302516,1952.3836959343798,1869.6002575609564,1905.2259521484375,1486370,0.0,0.0
2020-02-04,1916.3938808476548,1929.8038423501903,1863.6930491243443,1869.6961669921875,1500920,0.0,0.0
2020-02-05,1888.797553031284,1897.2297319602844,1854.6953604485834,1867.242919921875,1283330,0.0,0.0
2020-02-06,1880.4613776754738,1977.8715883147415,1845.5829878374668,1953.87841796875,3945750,0.0,0.0
