,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,1207.3651345765918,1213.3170726819114,1177.9898105122697,1181.1097412109375,6608853,0.0,0.0
2019-11-01,1189.4134843859667,1193.9733827320792,1178.4697049183194,1190.4215087890625,5756130,0.0,0.0
2019-11-04,1196.5651352495124,1199.973105743774,1179.861603365458,1187.349365234375,4967588,0.0,0.0
2019-11-05,1191.3334004662604,1194.9813658911983,1179.8617034759336,1189.8934326171875,6183905,0.0,0.0
2019-11-06,1192.7252900858566,1208.612981795967,1178.901692858493,1206.3570556640625,6065168,0.0,0.0
2019-11-07,1210.533104461551,1218.8848720275728,1199.9733390776673,1213.125,8481517,0.0,0.0
2019-11-08,1208.613071809642,1216.2929007012044,1201.365186419274,1205.34912109375,6625748,0.0,0.0
2019-11-11,1202.4212425221424,1217.7328543209658,1200.45323951783,1214.1329345703125,7143305,0.0,0.0
2019-11-13,1211.44500369463,1219.1728786577169,1203.4292054490952,1207.22119140625,4646748,0.0,0.0
2019-11-14,1213.2208666318043,1225.8925358686345,1206.8849148285146,1222.9166259765625,5527609,0.0,0.0
2019-11-15,1232.4684171991116,1233.5724159499728,1220.2286908929932,1226.756591796875,4639506,0.0,0.0
2019-11-18,1225.8925250277744,1228.2444254414663,1208.3248718828709,1211.5408935546875,4565146,0.0,0.0
2019-11-19,1214.660990737833,1223.9727364470427,1210.62901023625,1220.996826171875,5285289,0.0,0.0
2019-11-20,1222.0527028170936,1231.604442583384,1216.2928314762432,1222.388671875,5527129,0.0,0.0
2019-11-21,1219.4128290398273,1235.4924707532043,1217.5888462443172,1231.988525390625,6009763,0.0,0.0
2019-11-22,1232.2765535505823,1232.2765535505823,1211.4929934198335,1214.1329345703125,3844005,0.0,0.0
2019-11-25,1213.5569554530025,1228.2926033417746,1213.5569554530025,1220.228759765625,3946778,0.0,0.0
2019-11-26,1227.2845854216143,1228.532604466545,1216.2448316014422,1224.020751953125,4358001,0.0,0.0
2019-11-27,1224.9327222051568,1234.2925137737307,1220.3247779435949,1227.2366943359375,4790333,0.0,0.0
2019-11-28,1228.9644751126923,1231.7005076886403,1211.492912628609,1214.660888671875,6183020,0.0,0.0
2019-11-29,1216.964716314708,1228.6765245059703,1201.8931005065876,1223.924560546875,7783813,0.0,0.0
2019-12-02,1222.964673040861,1222.964673040861,1208.2290251793631,1215.0928955078125,4473102,0.0,0.0
2019-12-03,1217.4448830318777,1218.212912829605,1203.6212841519396,1205.1572265625,3495953,0.0,0.0
2019-12-04,1202.3730872051024,1206.5970160981276,1184.8054335480351,1201.55712890625,5697807,0.0,0.0
2019-12-05,1205.3491762017886,1208.3731324030732,1191.093516607041,1195.7493896484375,6386247,0.0,0.0
2019-12-06,1198.9651183571573,1209.5729278123194,1188.6453493301872,1196.1812744140625,6887325,0.0,0.0
2019-12-09,1199.4932288023683,1199.8291978664565,1188.0215317113855,1193.205322265625,4132675,0.0,0.0
2019-12-10,1200.9331318464885,1203.4770983685107,1195.2692351258245,1199.4931640625,4894450,0.0,0.0
2019-12-11,1200.069263144525,1203.8132032423048,1192.7734489860954,1198.7733154296875,5527321,0.0,0.0
2019-12-12,1202.8531809818005,1218.64478201459,1202.8531809818005,1213.0289306640625,6456574,0.0,0.0
2019-12-13,1214.3729197169757,1221.4287389360613,1208.8530428091713,1213.2689208984375,5887593,0.0,0.0
2019-12-16,1218.4528213548247,1219.1728052949595,1198.245225227753,1207.029052734375,5663788,0.0,0.0
