,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2322.8964746046167,2340.996966614523,2318.1127310585184,2330.826171875,673886,0.0,0.0
2019-11-01,2334.1016196440164,2378.059958861832,2302.296552500274,2333.368896484375,1427332,0.0,0.0
2019-11-04,2337.5496596900416,2340.0923062084485,2273.76696248611,2278.507568359375,760461,0.0,0.0
2019-11-05,2291.867248787084,2309.1058140280547,2273.8098937835075,2297.038818359375,508321,0.0,0.0
2019-11-06,2292.729186450745,2324.534255278075,2276.3525494046685,2308.545654296875,601239,0.0,0.0
2019-11-07,2301.348473535078,2304.3652224704238,2278.0764103195547,2293.4619140625,440308,0.0,0.0
2019-11-08,2293.4187475594645,2320.3108670827005,2276.050766927591,2281.48095703125,444717,0.0,0.0
2019-11-11,2271.181101802688,2290.100386162101,2228.644855438744,2235.842041015625,570373,0.0,0.0
2019-11-13,2228.0849058845515,2264.88920634415,2219.8103091019952,2231.618896484375,692298,0.0,0.0
2019-11-14,2236.703705786632,2248.0379775796946,2221.1889980008286,2233.816162109375,461170,0.0,0.0
2019-11-15,2241.0137250386315,2253.8995118712583,2180.8942222226915,2192.05615234375,682624,0.0,0.0
2019-11-18,2194.469507342947,2200.0720414347497,2152.0195374935206,2157.3203125,808951,0.0,0.0
2019-11-19,2172.0588453130626,2172.0588453130626,2123.015219843542,2128.057373046875,1011599,0.0,0.0
2019-11-20,2135.8580159949906,2141.8915132153156,2099.915653211678,2129.3935546875,918063,0.0,0.0
2019-11-21,2134.9963491561216,2154.734422591704,2100.1313923230587,2106.07861328125,677663,0.0,0.0
2019-11-22,2111.681105595533,2118.9643573306626,2091.0379657855165,2104.484130859375,471953,0.0,0.0
2019-11-25,2118.619962962321,2153.9590266244263,2092.503490901296,2136.720458984375,1144301,0.0,0.0
2019-11-26,2145.339377475684,2167.5340295327346,2130.255633359242,2150.166259765625,1342442,0.0,0.0
2019-11-27,2151.2867723874765,2184.126324982352,2147.5375105195626,2174.860595703125,1008253,0.0,0.0
2019-11-28,2169.473401758965,2172.059186504804,2120.343491588023,2125.773681640625,544359,0.0,0.0
2019-11-29,2134.7809147305115,2140.8144128240265,2089.3141969543794,2097.545654296875,757233,0.0,0.0
2019-12-02,2095.3475806094148,2109.138432641398,2068.627804797448,2074.6181640625,671750,0.0,0.0
2019-12-03,2070.3518052035092,2098.7091624926024,2068.627948579693,2087.93505859375,506622,0.0,0.0
2019-12-04,2085.8662838093223,2119.2660021967654,2078.9708580777215,2102.242919921875,457308,0.0,0.0
2019-12-05,2107.414756561266,2133.272606335024,2060.870626968502,2065.697509765625,948025,0.0,0.0
2019-12-06,2078.109140380449,2082.936023054226,2026.3934421544734,2036.0469970703125,750661,0.0,0.0
2019-12-09,2048.5449251264968,2064.3182549226867,2033.8060776238628,2052.897705078125,428294,0.0,0.0
2019-12-10,2068.627824906116,2073.8856714671006,2001.3974205966672,2008.2928466796875,805888,0.0,0.0
2019-12-11,2014.3262867139892,2020.3166458654168,1950.5435972758912,1979.245849609375,1264067,0.0,0.0
2019-12-12,1992.7781312429597,2020.7045226119185,1988.7702490184613,2011.78369140625,871422,0.0,0.0
2019-12-13,2023.8075825341843,2033.2887935256135,1999.845934487685,2015.3175048828125,924706,0.0,0.0
2019-12-16,2017.1277463904003,2023.7645523532847,1986.012049934968,1989.7183837890625,593867,0.0,0.0
2019-12-17,1997.9498669378222,2006.7846323114688,1979.849372025961,1986.70166015625,810022,0.0,0.0
2019-12-18,1995.3208923430561,1999.673672380054,1973.8589616699392,1992.735107421875,952321,0.0,0.0
2019-12-19,1992.0026616034438,2048.4589676143105,1978.7719774724828,2037.3399658203125,1767354,0.0,0.0
2019-12-20,2041.9079804463065,2090.1759614108455,2038.460267520268,2062.7666015625,1615264,0.0,0.0
2019-12-23,2068.628036877833,2099.0972881770363,2052.5960854193395,2085.952880859375,1192490,0.0,0.0
2019-12-24,2085.8233281684134,2110.474561492645,2085.0476768782873,2096.769775390625,1173285,0.0,0.0
2019-12-26,2096.770079887527,2115.9911256770565,2090.2195501759816,2101.941650390625,754276,0.0,0.0
2019-12-27,2111.724397819932,2118.619824425058,2087.1594405391697,2105.216796875,599490,0.0,0.0
2019-12-30,2108.2764140001727,2141.8916143869296,2103.9667729249477,2136.76318359375,699880,0.0,0.0
2019-12-31,2125.946062416175,2132.4105243939252,2097.459291214547,2105.73388671875,443409,0.0,0.0
2020-01-01,2115.9478101439436,2122.5416882427776,2092.201852582597,2096.683837890625,314519,0.0,0.0
2020-01-02,2109.8279416388173,2113.447998081002,2083.323648840697,2094.011474609375,546945,0.0,0.0
2020-01-03,2085.8665754750673,2110.862497247289,2081.5569337902016,2096.511474609375,544720,0.0,0.0
2020-01-06,2093.58082285594,2093.58082285594,2034.1940437360458,2041.175537109375,624665,0.0,0.0
2020-01-07,2049.665170245465,2068.5413128298896,2014.3261155860607,2023.8504638671875,620687,0.0,0.0
2020-01-08,2001.397306030907,2021.264793381678,1991.528270100857,1997.561767578125,595883,0.0,0.0
2020-01-09,2017.7740769435675,2038.4603553915151,2004.931429913149,2029.4532470703125,732115,0.0,0.0
2020-01-10,2031.5649942240693,2058.0261508321173,2026.3934244466639,2037.1243896484375,578287,0.0,0.0
2020-01-13,2053.888807503666,2053.888807503666,2027.5570669813872,2039.96875,434063,0.0,0.0
2020-01-14,2040.1843243569415,2084.8322532205093,2035.0558929621175,2078.453857421875,787340,0.0,0.0
2020-01-15,2085.823323096778,2138.0562616383945,2080.694891858118,2134.39306640625,1051367,0.0,0.0
2020-01-16,2133.2294605256448,2133.2294605256448,2091.9000395318276,2098.364501953125,590255,0.0,0.0
2020-01-17,2107.4147641804516,2133.1863370421174,2087.245725456689,2115.172119140625,457663,0.0,0.0
2020-01-20,2115.171935391475,2120.041745854068,2077.333369212206,2082.073974609375,320280,0.0,0.0
2020-01-21,2077.247155874128,2079.5311816446256,2047.0796660585288,2067.50732421875,568473,0.0,0.0
2020-01-22,2076.1268508824583,2077.247399864998,2050.52762003271,2067.809326171875,346888,0.0,0.0
2020-01-23,2066.042353010212,2098.6664267788333,2051.3895703647495,2094.2705078125,315469,0.0,0.0
2020-01-24,2103.1046709765724,2133.099812468639,2091.9858820936697,2127.798828125,519690,0.0,0.0
2020-01-27,2116.8959019965896,2153.527854698078,2090.2192632332603,2116.680419921875,897656,0.0,0.0
2020-01-28,2117.542020571753,2162.5346287240836,2103.104723799767,2127.971435546875,904634,0.0,0.0
2020-01-29,2141.0298043320513,2163.439939160003,2128.9628086554617,2143.055419921875,787135,0.0,0.0
2020-01-30,2143.572579755543,2173.7832092664657,2123.791367023224,2139.564697265625,797868,0.0,0.0
2020-01-31,2161.716057784581,2173.696776324502,2147.968344240274,2156.415283203125,574957,0.0,0.0
2020-02-03,2060.870519927132,2128.1009258469635,2032.4268866533575,2048.07080078125,1507692,0.0,0.0
2020-02-04,2078.9710425554636,2141.5471207951164,2069.3174877609517,2122.110595703125,1187298,0.0,0.0
2020-02-05,2130.6868338018803,2136.6340551118915,2021.6960384552765,2045.5714111328125,2176980,0.0,0.0
2020-02-06,2064.3182029192994,2091.899907509453,2029.8410721816076,2078.36767578125,1632634,0.0,0.0
2020-02-07,2137.5821339956324,2151.3729864730235,2087.030124555879,2106.07861328125,2709754,0.0,0.0
2020-02-10,2111.293312192285,2118.145599900566,2047.2088606950474,2056.30224609375,949025,0.0,0.0
2020-02-11,2081.5564358656743,2105.9921825463316,2060.0082325958433,2065.567626953125,680119,0.0,0.0
