,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,181.97704258314027,184.63681873694108,180.47790783026005,181.73524475097656,6501134,0.0,0.0
2019-11-01,181.8803232011295,187.97363121828724,181.2032922565937,187.393310546875,6921052,0.0,0.0
2019-11-04,189.08590482539267,197.40375615831925,189.08590482539267,191.4555206298828,15421372,0.0,0.0
2019-11-05,192.47106861460801,196.0496734713867,190.87520887358326,192.08419799804688,8912298,0.0,0.0
2019-11-06,192.47107501538753,196.9685088046907,191.16536081427702,194.88905334472656,13028120,0.0,0.0
2019-11-07,196.24312351825841,200.49877441088643,192.71288091295744,198.46766662597656,17556268,0.0,0.0
2019-11-08,198.32258342125255,200.20860354650625,196.43656329599884,197.16195678710938,10082727,0.0,0.0
2019-11-11,197.25865805241997,197.25865805241997,192.95465982009648,193.5833282470703,6851401,0.0,0.0
2019-11-13,190.58504309690446,195.3242744263795,186.03924707019354,186.81298828125,13457979,0.0,0.0
2019-11-14,187.00643525272608,187.05478300899267,181.63852083023926,182.3155517578125,6720055,0.0,0.0
2019-11-15,182.31557296976428,183.91143282458742,180.9615109570761,181.59017944335938,4558349,0.0,0.0
2019-11-18,182.36391126649096,188.457219030554,181.05819718913207,187.24822998046875,8873375,0.0,0.0
2019-11-19,187.24825004388472,187.63512067809785,184.39502377343024,186.0392608642578,3476640,0.0,0.0
2019-11-20,186.66791003465966,187.490028495074,184.0081341144767,184.49172973632812,4437118,0.0,0.0
2019-11-21,183.95977438008498,186.57118782590493,181.88031907797236,182.4122772216797,6342754,0.0,0.0
2019-11-22,181.83196772852332,185.0237020285832,180.9131389283373,184.00814819335938,4635776,0.0,0.0
2019-11-25,185.21714244732445,194.06693734506487,184.10487830456358,192.71287536621094,16931103,0.0,0.0
2019-11-26,193.5833172652197,196.24309312689016,191.06862894181322,192.18089294433594,16163735,0.0,0.0
2019-11-27,192.85793400386328,196.82342412788879,192.85793400386328,196.33982849121094,7251212,0.0,0.0
2019-11-28,196.33984641629294,198.56438949973696,193.53499737075634,197.4037628173828,5421765,0.0,0.0
2019-11-29,196.3398292906245,197.79061620656506,190.10144850371356,193.5833282470703,10212511,0.0,0.0
2019-12-02,193.438264862938,195.90460569157415,191.93911535861656,194.21202087402344,5195682,0.0,0.0
2019-12-03,193.53499420538154,193.9218648404491,188.21544180327447,189.5695037841797,5815771,0.0,0.0
2019-12-04,187.82853825202776,195.1308351587984,186.47447640202418,194.50216674804688,6574810,0.0,0.0
2019-12-05,192.5194385639638,194.8406918692851,190.7784912058885,192.0358428955078,4443222,0.0,0.0
2019-12-06,192.47107447699815,194.1152967847157,189.23097762147978,191.4555206298828,3819461,0.0,0.0
2019-12-09,192.13253871017727,195.6144331642039,190.63340405735642,192.32598876953125,5743160,0.0,0.0
2019-12-10,192.1809094227611,194.01858175783988,191.2137181174043,192.5677947998047,4876818,0.0,0.0
2019-12-11,193.43825522660077,193.43825522660077,188.3121385114623,190.14981079101562,4757660,0.0,0.0
2019-12-12,190.8268450215359,197.5488215548786,190.8268450215359,194.84068298339844,10621630,0.0,0.0
2019-12-13,200.2085829937444,202.14296543812839,198.56436086765135,201.41757202148438,14246993,0.0,0.0
2019-12-16,203.1101835972406,204.70604342223712,199.43485351384726,199.87008666992188,8779955,0.0,0.0
2019-12-17,201.07905429669108,207.75268275418742,200.01515278016305,206.6887664794922,16629136,0.0,0.0
2019-12-18,207.51090770821946,208.4297365418048,205.23800212572576,206.6404266357422,11721371,0.0,0.0
2019-12-19,205.4314211208169,210.12230471272244,204.222432025807,209.20347595214844,6847801,0.0,0.0
2019-12-20,209.2034892981684,210.94443665767898,207.75270229160435,208.4297332763672,8175626,0.0,0.0
2019-12-23,209.6870609024095,212.15340148215395,206.35025412189262,208.0911865234375,10295626,0.0,0.0
2019-12-24,211.08948807027298,211.1378505838927,208.0911893238545,209.1551055908203,7782646,0.0,0.0
2019-12-26,209.63870592339094,210.4608243989065,207.26909028442554,207.9461212158203,7436907,0.0,0.0
2019-12-27,209.0100461157897,210.02558517562798,207.36580909703272,208.38136291503906,5252162,0.0,0.0
2019-12-30,209.20347199309376,211.81488543726215,204.2224281610157,210.79933166503906,11352906,0.0,0.0
2019-12-31,209.88049858227032,212.20175164949865,208.42971172571086,209.05838012695312,9432449,0.0,0.0
2020-01-01,209.0583991011597,210.31575077592893,206.2051876426011,207.26910400390625,5085208,0.0,0.0
2020-01-02,208.91331662941207,213.94270833737548,208.91331662941207,212.92715454101562,15238841,0.0,0.0
2020-01-03,212.10505766086118,212.73372611035722,208.96168589704453,209.3485565185547,8658243,0.0,0.0
2020-01-06,207.94612327978663,208.5747917027143,201.22414689749215,202.43313598632812,7798846,0.0,0.0
2020-01-07,203.64213180945504,206.2051828592784,200.8856306924866,201.99790954589844,12767569,0.0,0.0
2020-01-08,199.24139714008788,201.80444804469107,197.79061026770862,200.595458984375,12470053,0.0,0.0
2020-01-09,204.5609800942852,204.9962132705115,202.04627656338081,203.83558654785156,8676205,0.0,0.0
2020-01-10,205.33469953331831,207.17235695320375,203.3035920623571,204.56094360351562,7800086,0.0,0.0
2020-01-13,205.81832507291185,206.0117603939484,202.62659062221687,204.27081298828125,6614653,0.0,0.0
2020-01-14,205.5281587475626,207.70433925194857,203.88393642921582,204.99620056152344,7981507,0.0,0.0
2020-01-15,204.17410049247863,207.9461408653737,203.11018410106269,206.6404266357422,9564560,0.0,0.0
2020-01-16,206.9789403231035,207.70433380554428,202.1429837734983,202.7716522216797,6986058,0.0,0.0
2020-01-17,202.6265806430804,205.0445589323773,201.32086646359275,203.15853881835938,8678002,0.0,0.0
2020-01-20,203.20690269180386,203.88393366569125,199.96680585925714,200.49876403808594,3977566,0.0,0.0
2020-01-21,199.24143012381822,201.65940864473833,197.9357158192535,198.4193115234375,4479791,0.0,0.0
2020-01-22,198.85453331924822,200.98235118626818,196.33983008484518,196.92015075683594,6268889,0.0,0.0
2020-01-23,196.92015306779496,198.61273782976903,196.09803456585465,197.88734436035156,5560681,0.0,0.0
2020-01-24,197.7906207697532,200.8856299768639,195.6144403456361,198.6610870361328,5749852,0.0,0.0
2020-01-27,196.8717831123907,196.8717831123907,190.92354803303115,191.74566650390625,7942736,0.0,0.0
2020-01-28,192.8579484567602,192.8579484567602,187.82855641003817,189.5695037841797,6308211,0.0,0.0
2020-01-29,191.16532942280173,193.8251051483099,190.63338608423297,191.26205444335938,8978837,0.0,0.0
2020-01-30,190.82685729286385,191.26209045097946,186.3777711566026,187.10316467285156,8588693,0.0,0.0
2020-01-31,188.40886973012016,188.7473778329835,182.07376371175613,183.13768005371094,6008376,0.0,0.0
2020-02-03,177.8664965733476,179.51073379701373,174.38461630962084,175.8354034423828,7678833,0.0,0.0
2020-02-04,176.99600892967717,184.10487092930032,176.99600892967717,183.04095458984375,9235507,0.0,0.0
2020-02-05,183.863066723027,191.0686387482857,182.12211948167456,189.85964965820312,7411014,0.0,0.0
2020-02-06,189.9563698480314,190.87521341100057,186.32940238842156,187.63511657714844,7348886,0.0,0.0
2020-02-07,187.63510900604058,191.89074475033317,186.52284493324098,190.92355346679688,6977770,0.0,0.0
2020-02-10,189.4727591859041,190.48831294582558,183.37946614270953,184.5884552001953,5385023,0.0,0.0
2020-02-11,186.08759598549764,190.48831925206818,185.70072537756147,187.2965850830078,7530810,0.0,0.0
2020-02-12,187.87690575307977,189.95636109753016,184.9269694035214,187.2965850830078,10581151,0.0,0.0
2020-02-13,188.31214278656512,190.5366857238066,186.08759984932362,188.84410095214844,6711481,0.0,0.0
2020-02-14,189.08590356099236,190.53669054483632,187.10315839810534,187.63511657714844,3798528,0.0,0.0
2020-02-17,187.6351156347528,188.31214660551257,183.5245525345069,184.00814819335938,3484321,0.0,0.0
2020-02-18,182.9442338647361,183.23439421489164,175.78702393779878,178.30172729492188,8152961,0.0,0.0
2020-02-19,179.89758797571767,182.41229134531233,178.3500759393258,181.92869567871094,4317249,0.0,0.0
2020-02-20,181.63853163964365,184.73354089142657,179.31726363218027,183.71798706054688,6207445,0.0,0.0
2020-02-24,180.7680566123439,180.7680566123439,172.06333450083775,173.1756134033203,14690243,0.0,0.0
2020-02-25,175.06163842398442,175.4968715899793,168.33966133668625,168.72653198242188,10694830,0.0,0.0
2020-02-26,167.2757422547802,167.51754009404937,162.24635014961518,164.3258056640625,16855158,0.0,0.0
2020-02-27,164.37417277468356,164.71269566238323,160.69884256350272,162.82667541503906,7657497,0.0,0.0
2020-02-28,156.6849830215379,156.8784183205483,149.0441780243718,150.7851104736328,14033411,0.0,0.0
2020-03-02,155.28256791280754,156.15303418932885,142.03204990543725,144.83689880371094,11441351,0.0,0.0
2020-03-03,147.10980343456188,155.1858419786506,145.8524517860796,154.07357788085938,21836942,0.0,0.0
2020-03-04,154.75059671744125,156.39481885593068,151.75229800277404,155.33091735839844,12074078,0.0,0.0
2020-03-05,157.36201317303056,162.3914047133962,149.7695707275092,150.3982391357422,12338386,0.0,0.0
2020-03-06,144.06313622742536,146.4811143942441,135.40677734184789,145.1754150390625,11173720,0.0,0.0
2020-03-09,139.17880914244216,141.01648129537446,135.6969296431757,138.7435760498047,10550403,0.0,0.0
2020-03-11,137.34114587745287,137.67966868957217,132.601915056779,133.27894592285156,9682790,0.0,0.0
2020-03-12,125.73486304601742,125.73486304601742,114.27364815956257,116.25638580322266,15926851,0.0,0.0
2020-03-13,110.16308691438213,125.73486485525461,99.71741826708133,123.26852416992188,15365436,0.0,0.0
2020-03-16,116.83671138876748,124.81603957259492,110.6950407621907,111.85567474365234,20577663,0.0,0.0
2020-03-17,113.16138093096991,116.88506592168504,110.11472689162701,111.61387634277344,11615932,0.0,0.0
2020-03-18,115.09575603040076,115.09575603040076,104.60173269168091,105.61727905273438,12105333,0.0,0.0
2020-03-19,99.62070482297051,104.35994371269564,94.34951514076737,96.47733306884766,11569487,0.0,0.0
2020-03-20,97.879755534278,104.1664989152901,95.46177731081181,102.03868103027344,13928853,0.0,0.0
2020-03-23,91.83481548223298,96.67077221914013,82.11454686850024,85.01612091064453,14591356,0.0,0.0
2020-03-24,86.12838665473105,91.68973652887827,82.21125900913292,85.83822631835938,16845493,0.0,0.0
2020-03-25,86.03167438219812,94.01100364587563,85.16120800215583,91.44795227050781,7876385,0.0,0.0
2020-03-26,94.30116402527972,94.39788169205275,89.22340903930312,91.44795227050781,11013083,0.0,0.0
2020-03-27,94.30114894261013,96.04209618241491,87.33737474155859,88.5463638305664,9158997,0.0,0.0
2020-03-30,85.20955072341626,88.44964005199711,83.71040865927964,85.88658905029297,9970397,0.0,0.0
2020-03-31,88.93323621275238,94.05935300420374,88.01440743838087,92.5602035522461,15557731,0.0,0.0
2020-04-01,91.8348084391647,92.27004893955716,88.01440586163916,88.64308166503906,9270755,0.0,0.0
2020-04-03,89.07831586299551,90.38402262178674,85.49971106051827,85.88658905029297,8216768,0.0,0.0
2020-04-07,89.12668228762848,103.05423887673983,87.0472194580906,100.53953552246094,23639659,0.0,0.0
2020-04-08,96.23553015517288,108.13198557824984,95.65521687628507,97.5412368774414,24227474,0.0,0.0
2020-04-09,101.55508266631406,105.42384772026888,98.50842871050789,104.02142333984375,14943427,0.0,0.0
2020-04-13,105.42384711337374,110.5983188674336,101.65179973166565,110.06636810302734,23259069,0.0,0.0
2020-04-15,116.06296192719967,119.93172732477298,110.06637851259477,111.32372283935547,45561393,0.0,0.0
2020-04-16,114.99904260872643,117.90061639677293,110.69503706234055,116.59490966796875,18971910,0.0,0.0
2020-04-17,119.93171731922928,121.57593952439166,115.19247862676556,120.07679748535156,14577288,0.0,0.0
