,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2015.6644817072145,2036.3797402374619,2010.3576968921502,2025.3006591796875,1752830,0.0,0.0
2019-11-01,2015.7578256636455,2033.6334203619983,1998.347515127234,2029.02490234375,1609685,0.0,0.0
2019-11-04,2029.0248546898322,2036.0075264627335,2001.5130824444989,2009.2869873046875,1523698,0.0,0.0
2019-11-05,2004.9576819806755,2025.6729401297678,1995.3215046855055,2022.3211669921875,2167085,0.0,0.0
2019-11-06,2016.5954640889963,2033.3538751479075,2006.3542128863282,2029.11767578125,1093243,0.0,0.0
2019-11-07,2038.9402019028412,2038.9402019028412,1981.2167806617563,1990.759765625,1970785,0.0,0.0
2019-11-08,1987.7336379318535,1997.1834282411721,1939.3204533077521,1942.48583984375,1537851,0.0,0.0
2019-11-11,1937.7377051599738,1955.1943818136867,1925.4016536580166,1937.7843017578125,1050170,0.0,0.0
2019-11-13,1940.2516388129184,1950.3996970592532,1929.4982793277272,1946.768798828125,868433,0.0,0.0
2019-11-14,1946.3963504081446,1946.3963504081446,1919.25689949419,1926.332763671875,1291198,0.0,0.0
2019-11-15,1920.0017019812562,1954.2167886816133,1909.1087810632796,1915.7655029296875,958290,0.0,0.0
2019-11-18,1917.7207915245137,1932.198241393438,1897.424449208312,1914.3690185546875,1200573,0.0,0.0
2019-11-19,1917.953750443099,1917.953750443099,1889.9764671321004,1897.19189453125,1413218,0.0,0.0
2019-11-20,1903.0107961598662,1911.2504396955378,1877.9197746158059,1886.7178955078125,989673,0.0,0.0
2019-11-21,1887.183169472559,1917.8603245226354,1877.872941700124,1907.3397216796875,1397175,0.0,0.0
2019-11-22,1908.5968530912794,1911.5760807677118,1869.4938931742875,1888.440185546875,835864,0.0,0.0
2019-11-25,1882.6210865863372,1924.377434338877,1882.6210865863372,1920.1412353515625,862520,0.0,0.0
2019-11-26,1916.975923502331,1937.2256691731302,1892.1176604837917,1916.370849609375,3188224,0.0,0.0
2019-11-27,1920.2812904478274,1955.0548587051271,1914.043482599443,1948.8636474609375,1259986,0.0,0.0
2019-11-28,1953.2394188037636,1953.6119643385798,1924.4243059336065,1943.184326171875,1026831,0.0,0.0
2019-11-29,1940.251656882689,1940.717168316682,1890.9074448794345,1894.910888671875,1298616,0.0,0.0
2019-12-02,1897.4244739511435,1919.7690212400676,1889.2780244187231,1902.2657470703125,1600494,0.0,0.0
2019-12-03,1900.217585033985,1911.483052131993,1880.805781870865,1888.533203125,1199012,0.0,0.0
2019-12-04,1887.1832619309425,1910.458832502365,1882.528147816658,1906.7347412109375,1046309,0.0,0.0
2019-12-05,1906.5485303910084,1906.5485303910084,1887.4625630401522,1896.912353515625,961085,0.0,0.0
2019-12-06,1903.0106422679887,1907.665756363556,1882.5281402474916,1886.298828125,657658,0.0,0.0
2019-12-09,1889.9763713116076,1891.8850135998794,1853.852639542695,1869.633544921875,964222,0.0,0.0
2019-12-10,1875.9179514649986,1900.7762159444605,1872.2869396426531,1885.6470947265625,1610623,0.0,0.0
2019-12-11,1888.021319778687,1889.9764450952866,1860.1837129558535,1871.77490234375,967708,0.0,0.0
2019-12-12,1871.3557828952694,1894.1658409454853,1863.9076006747907,1868.8885498046875,955318,0.0,0.0
2019-12-13,1879.223145873647,1884.390368480522,1862.0458186566425,1867.818115234375,1212988,0.0,0.0
2019-12-16,1862.045556597354,1872.2868071586397,1832.3925038385896,1838.5372314453125,1683941,0.0,0.0
2019-12-17,1842.4942215528743,1857.3439905615808,1815.4945588823166,1826.0616455078125,2189167,0.0,0.0
2019-12-18,1824.804917270947,1830.9496457929301,1775.786537962163,1795.5242919921875,3986106,0.0,0.0
2019-12-19,1798.6432042011409,1830.7634949826268,1796.920834526968,1816.518798828125,2035095,0.0,0.0
2019-12-20,1815.4945148143204,1824.711663542658,1798.2239958927826,1809.0704345703125,2169685,0.0,0.0
2019-12-23,1814.7962443789545,1826.6667854156772,1810.2808064009173,1815.866943359375,807062,0.0,0.0
2019-12-24,1817.3565272777664,1829.2736647200138,1806.5566853989926,1812.142822265625,790621,0.0,0.0
2019-12-26,1816.2394212724848,1819.4514046449422,1804.7877947571806,1810.7928466796875,862164,0.0,0.0
2019-12-27,1812.6082988079052,1819.6374527064065,1800.5980820455977,1815.4013671875,937907,0.0,0.0
2019-12-30,1815.401362400137,1819.4512888098213,1794.5464291574417,1803.6239013671875,1117498,0.0,0.0
2019-12-31,1806.184198832797,1812.3289264699117,1787.6568227229689,1790.3568115234375,706593,0.0,0.0
2020-01-01,1796.8740450994812,1806.0911937603516,1785.7017712439404,1802.9722900390625,543035,0.0,0.0
2020-01-02,1806.184223405326,1817.9150878994565,1796.8739954496286,1804.3687744140625,663275,0.0,0.0
2020-01-03,1804.229379993377,1806.1845054393157,1786.4002679441685,1794.5001220703125,1598825,0.0,0.0
2020-01-06,1794.4069539697468,1796.315596364622,1779.417508090118,1783.3277587890625,683129,0.0,0.0
2020-01-07,1786.8655164959216,1797.8050344424253,1785.7017379909744,1788.2154541015625,808935,0.0,0.0
2020-01-08,1778.253651400944,1802.5068422113031,1774.9484748086586,1796.2689208984375,1889685,0.0,0.0
2020-01-09,1807.6275766503113,1812.9809583836397,1797.8052394881886,1801.575927734375,1544334,0.0,0.0
2020-01-10,1807.0222514653262,1822.4772078671253,1798.4102902020973,1819.2186279296875,1003336,0.0,0.0
2020-01-13,1825.7359946825966,1860.0441674671051,1822.0119029035397,1857.2510986328125,2040089,0.0,0.0
2020-01-14,1857.856120013928,1875.9644692089369,1845.659743259046,1870.23876953125,1610737,0.0,0.0
2020-01-15,1872.4266525225244,1887.1833421621186,1859.5784915607774,1882.202392578125,1559491,0.0,0.0
2020-01-16,1882.52818711781,1912.9725886007132,1877.0351296182273,1907.8985595703125,2468958,0.0,0.0
2020-01-17,1913.2519348585474,1921.5379472085388,1899.333188870406,1918.1864013671875,994719,0.0,0.0
2020-01-20,1918.3725522916682,1932.7102130362555,1908.5968125202232,1920.560546875,829399,0.0,0.0
2020-01-21,1917.6744302088464,1931.8725295222023,1910.5985652046074,1913.6243896484375,750000,0.0,0.0
2020-01-22,1920.70016925751,1921.1656806897101,1887.3695052518838,1910.1795654296875,983169,0.0,0.0
2020-01-23,1910.2260753392675,1918.6984739409988,1894.6314430683121,1915.020751953125,708017,0.0,0.0
2020-01-24,1915.1139515827583,1935.5964537387235,1908.6433884072226,1930.6619873046875,914993,0.0,0.0
2020-01-27,1923.493227876811,1926.0535407406355,1914.8812664257653,1919.1640625,429312,0.0,0.0
2020-01-28,1919.7691614126554,1922.5622300277078,1901.8003745290507,1918.4658203125,777052,0.0,0.0
2020-01-29,1919.8158480456493,1941.9276422850746,1919.8158480456493,1931.127685546875,873433,0.0,0.0
2020-01-30,1931.77930841512,1934.665570301607,1908.0848212649355,1916.1383056640625,952768,0.0,0.0
2020-01-31,1921.6314049634386,1925.588252575403,1880.7129910009944,1893.9334716796875,1930834,0.0,0.0
2020-02-03,1931.7793635748683,2044.1074151245027,1931.7793635748683,2028.65234375,4012542,0.0,0.0
2020-02-04,2026.836638828415,2052.160413568654,1992.3887951735453,2006.912841796875,1932121,0.0,0.0
2020-02-05,2017.899067047235,2033.3541390610415,2005.3302571217203,2011.2889404296875,1514368,0.0,0.0
2020-02-06,2016.5953804841918,2044.758820123918,1986.8492475479507,2007.657470703125,1302116,0.0,0.0
2020-02-07,2015.6642347172622,2022.1813939057245,1993.8783934931635,2010.9625244140625,908152,0.0,0.0
2020-02-10,2011.1025297485187,2038.521106955654,2003.281801503881,2010.357666015625,1389847,0.0,0.0
2020-02-11,2019.388697376757,2029.304000475482,1999.5578638787908,2004.1663818359375,777506,0.0,0.0
2020-02-12,2008.3096278334124,2115.2840702177937,2006.3543887849232,2104.437744140625,4753325,0.0,0.0
2020-02-13,2100.3875260536784,2131.064683157173,2079.020597345812,2125.8974609375,2950407,0.0,0.0
2020-02-14,2116.214742843347,2139.1179937608754,2091.3098839031536,2099.5029296875,1728651,0.0,0.0
2020-02-17,2092.939371928056,2131.111308871584,2088.4704167770064,2097.22216796875,1420851,0.0,0.0
2020-02-18,2097.2221412863337,2106.8580913045475,2068.8259446530355,2080.27734375,1194605,0.0,0.0
2020-02-19,2094.987342348541,2148.9866617392177,2086.6547342130057,2134.043701171875,1299800,0.0,0.0
2020-02-20,2124.7800515598096,2131.995477794103,2087.8184942455246,2093.171875,1555224,0.0,0.0
2020-02-24,2082.511759647751,2105.973487791701,2057.6534973607036,2062.35498046875,1409245,0.0,0.0
2020-02-25,2085.3979769193243,2122.4527315628757,2072.2240945996787,2079.53271484375,2237493,0.0,0.0
2020-02-26,2084.373875182871,2100.108069470071,2050.438139825836,2081.953125,2896154,0.0,0.0
2020-02-27,2087.306857896497,2103.83251526378,2048.2504905927985,2099.41015625,2446802,0.0,0.0
2020-02-28,2039.964011903384,2075.62200092406,2006.3540001454908,2024.74169921875,3837330,0.0,0.0
