,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,585.2672264636843,589.1052461177984,572.1423282800647,574.7009887695312,4595842,0.0,0.0
2019-11-01,577.1174627920994,577.8281985837153,550.583326571773,558.875244140625,7558094,0.0,0.0
2019-11-04,560.0597787496495,563.4239164449017,551.4362079995863,555.7006225585938,3128961,0.0,0.0
2019-11-05,552.7629489257772,559.680766282214,546.8875210110576,549.7778930664062,2653917,0.0,0.0
2019-11-06,559.3490356487217,559.3964064641242,546.8874456872427,549.4461059570312,2763550,0.0,0.0
2019-11-07,549.4461514991323,552.9524597268914,542.054510649155,549.9673461914062,3279435,0.0,0.0
2019-11-08,547.7404465247845,565.2719314049031,546.6506283827897,549.6357421875,8374614,0.0,0.0
2019-11-11,551.2467742314351,556.2219255190116,540.1592826511549,544.8975219726562,3492576,0.0,0.0
2019-11-13,543.9497942041561,550.4885866432379,542.0544987539674,544.6131591796875,3342543,0.0,0.0
2019-11-14,545.0870148310177,549.3040590215855,538.0270272993698,548.1668701171875,2193683,0.0,0.0
2019-11-15,553.1893659598118,559.9176417503298,549.3987750153334,552.5260009765625,3063043,0.0,0.0
2019-11-18,549.730376541671,552.0994956576752,541.8649126445017,543.6654663085938,3212994,0.0,0.0
2019-11-19,543.7128053254573,544.8973648141838,530.35099742855,531.2986450195312,3208662,0.0,0.0
2019-11-20,532.814946272837,538.6903738779598,528.3136194701763,531.1091918945312,2876499,0.0,0.0
2019-11-21,531.1565958287923,533.1940617497954,521.3958349845615,522.9120483398438,3346254,0.0,0.0
2019-11-22,525.7075048593374,525.9444167587783,510.9715962820778,517.4155883789062,2798026,0.0,0.0
2019-11-25,518.8371771852409,523.9070698446341,517.6526174199778,519.1214599609375,3054435,0.0,0.0
2019-11-26,521.2062841056332,523.9544858304862,508.8394920234566,510.403076171875,4408905,0.0,0.0
2019-11-27,513.6250392102405,525.4706351329859,506.99150549350304,511.682373046875,6630809,0.0,0.0
2019-11-28,513.5303879649986,514.8570602379586,508.17615452959234,513.5777587890625,2426425,0.0,0.0
2019-11-29,514.5727629846818,515.3308696678899,500.59495772865233,502.7745361328125,3328894,0.0,0.0
2019-12-02,497.51503568411135,509.36063177182825,496.0935641535853,506.18603515625,4087250,0.0,0.0
2019-12-03,509.12371493805324,509.12371493805324,494.67208785046773,495.5249938964844,3052238,0.0,0.0
2019-12-04,495.43022361511265,501.5425630655014,491.97134409097123,498.0362548828125,2612985,0.0,0.0
2019-12-05,498.03624380917677,503.34310570384787,494.6721059972755,497.27813720703125,2332044,0.0,0.0
2019-12-06,500.1684761203869,500.26327560027687,481.49983260181546,483.4898986816406,3409528,0.0,0.0
