,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,1416.0307131647298,1432.7590562202806,1398.4178896411513,1413.850341796875,802610,0.0,0.0
2019-11-01,1413.8503657976876,1425.4472212590276,1404.7034981808895,1415.0611572265625,493920,0.0,0.0
2019-11-04,1417.766395748471,1427.537710875544,1400.0495363724365,1401.208251953125,395810,0.0,0.0
2019-11-05,1403.729216584271,1407.9858078744523,1381.538224274369,1385.77587890625,832650,0.0,0.0
2019-11-06,1388.1216668903983,1401.9319172801158,1379.9537322059184,1385.7237548828125,786590,0.0,0.0
2019-11-07,1391.4322984708238,1399.0043055023411,1376.392320553624,1391.550537109375,474380,0.0,0.0
2019-11-08,1395.2161234913292,1404.675215853982,1359.6499593012406,1368.8536376953125,820290,0.0,0.0
2019-11-11,1370.622443574563,1381.0179765420578,1329.1064745435315,1334.53125,1453410,0.0,0.0
2019-11-13,1334.5310111614697,1355.4497803332506,1330.917689436132,1346.3359375,666510,0.0,0.0
2019-11-14,1347.9204833251304,1352.739862534031,1333.73184665855,1346.1563720703125,604760,0.0,0.0
2019-11-15,1349.0415387303244,1365.609036399658,1338.7500422375936,1352.229248046875,758370,0.0,0.0
2019-11-18,1357.370284979125,1357.370284979125,1329.8585518067612,1332.365234375,649780,0.0,0.0
2019-11-19,1334.677806689444,1344.3165654749773,1325.1808419020492,1335.349365234375,447870,0.0,0.0
2019-11-20,1335.3398884653284,1351.60959497467,1322.6174567029652,1345.9010009765625,794180,0.0,0.0
2019-11-21,1346.974600899378,1350.7724399117967,1335.7277274894293,1341.2470703125,404840,0.0,0.0
2019-11-22,1342.2450259460245,1352.7398598003488,1333.9209795981506,1340.4951171875,431320,0.0,0.0
2019-11-25,1347.7457144372675,1379.1357702286068,1338.934624662958,1370.3199462890625,745770,0.0,0.0
2019-11-26,1362.0003960704676,1381.0273492510078,1345.5983638561324,1373.876220703125,1992480,0.0,0.0
2019-11-27,1377.2436095131472,1390.4863365276967,1345.7307041882414,1377.4990234375,719190,0.0,0.0
2019-11-28,1384.385210711742,1390.4862777844442,1378.5678470683454,1386.6600341796875,456780,0.0,0.0
2019-11-29,1390.3920352978585,1390.3920352978585,1363.1498026005859,1367.2125244140625,468730,0.0,0.0
2019-12-02,1367.2122896455187,1383.9879735254888,1351.3162365588005,1377.0213623046875,749540,0.0,0.0
2019-12-03,1376.6098161826274,1376.6098161826274,1353.1985665146244,1357.7105712890625,548720,0.0,0.0
2019-12-04,1355.4876227849225,1359.744213365894,1343.2853733593222,1353.2410888671875,558880,0.0,0.0
2019-12-05,1361.6975113121096,1361.6975113121096,1345.0826742100965,1351.6708984375,793350,0.0,0.0
2019-12-06,1352.7446645519526,1354.953440955022,1338.3668915289304,1340.0032958984375,584870,0.0,0.0
2019-12-09,1346.0287814908386,1349.7178504366186,1324.7458246506812,1346.2652587890625,977120,0.0,0.0
2019-12-10,1350.680704937565,1352.4801750390882,1332.4203259094033,1338.1177978515625,618000,5.5,0.0
2019-12-11,1339.7607253590186,1344.2236992637772,1330.3598722436004,1335.677490234375,483060,0.0,0.0
2019-12-12,1336.7312773101826,1351.5067762241724,1336.7312773101826,1344.123779296875,668410,0.0,0.0
2019-12-13,1347.452108255545,1366.3961560118087,1330.4546271882057,1358.0494384765625,1560500,0.0,0.0
2019-12-16,1354.0993177626008,1370.2991871193938,1342.4194525966745,1343.8106689453125,670720,0.0,0.0
2019-12-17,1349.816798684575,1352.874414690463,1337.1019242702196,1343.5733642578125,814250,0.0,0.0
2019-12-18,1348.4017795938857,1355.9984093380767,1334.6709084241793,1347.556640625,937160,0.0,0.0
2019-12-19,1347.6419604357627,1357.80252143987,1338.9058833079828,1356.5111083984375,686920,0.0,0.0
2019-12-20,1354.0992159139287,1422.2790124221658,1350.4955230452706,1410.90771484375,4230330,0.0,0.0
2019-12-23,1404.047016134109,1423.7365161971054,1375.9395103277407,1379.9752197265625,1250310,0.0,0.0
2019-12-24,1384.4858179250875,1388.5926996539486,1373.2666006297727,1385.0555419921875,396860,0.0,0.0
2019-12-26,1386.3850148155816,1397.3051707541974,1382.5866997064977,1386.3138427734375,459240,0.0,0.0
2019-12-27,1391.0188047170616,1394.8977964854364,1383.9633842064932,1392.4764404296875,293850,0.0,0.0
2019-12-30,1393.9719807625045,1414.8722165363818,1386.3943615318083,1410.3046875,877200,0.0,0.0
2019-12-31,1411.4537786365809,1417.1797659189872,1396.8302437245086,1403.9853515625,627650,0.0,0.0
2020-01-01,1407.1807694919453,1410.0627734477084,1397.0439699934334,1403.38720703125,238590,0.0,0.0
2020-01-02,1410.0200190274106,1410.4046262449504,1394.6605362162868,1398.6678466796875,461160,0.0,0.0
2020-01-03,1400.6285237644224,1404.901627735229,1382.2161796337027,1385.777099609375,400000,0.0,0.0
2020-01-06,1380.8772503590358,1380.8772503590358,1355.5235463314514,1368.974365234375,651360,0.0,0.0
2020-01-07,1369.6295982800634,1381.3284730413582,1354.179933935054,1357.0191650390625,722370,0.0,0.0
2020-01-08,1347.6040725936734,1372.1411525116987,1340.8383246963406,1366.5623779296875,394880,0.0,0.0
2020-01-09,1376.4143955600214,1393.5068130281693,1372.1412911929845,1390.5108642578125,557080,0.0,0.0
2020-01-10,1390.51078292093,1397.675395886775,1383.5599178932337,1394.5369873046875,392740,0.0,0.0
2020-01-13,1400.4293169319753,1400.4293169319753,1386.4799444685925,1391.916259765625,269900,0.0,0.0
2020-01-14,1391.8829317018344,1414.3974044849424,1387.0494928961275,1411.8905029296875,503780,0.0,0.0
2020-01-15,1408.0352800496062,1419.6200933077782,1397.6705919075564,1411.0928955078125,414680,0.0,0.0
2020-01-16,1410.2193184295238,1462.161343393337,1409.9440194261942,1458.068603515625,2032080,0.0,0.0
2020-01-17,1462.2561964886168,1481.342704303298,1458.424614152915,1466.09716796875,963990,0.0,0.0
2020-01-20,1446.2226767034526,1469.8908572175114,1446.2226767034526,1463.9892578125,687700,0.0,0.0
2020-01-21,1458.6527335239591,1471.999114647617,1443.3597853968568,1451.027587890625,632580,0.0,0.0
2020-01-22,1459.4075340476513,1479.9184108806323,1452.950352491264,1476.471435546875,556270,0.0,0.0
2020-01-23,1471.8467730779805,1483.716505118932,1467.5736695432379,1476.4854736328125,428610,0.0,0.0
2020-01-24,1481.3426486564636,1505.0821141798042,1471.8611200362843,1496.108642578125,506320,0.0,0.0
2020-01-27,1490.8384620467416,1504.6073523013135,1477.5396085814873,1487.6146240234375,313620,0.0,0.0
2020-01-28,1487.4203137450393,1491.7883532129995,1459.198858523681,1463.9324951171875,531070,0.0,0.0
2020-01-29,1479.9181851389617,1509.8251572369975,1466.1492960247397,1506.672607421875,642510,0.0,0.0
2020-01-30,1500.5244176316053,1501.3648041676115,1469.1171442618231,1473.822265625,472520,0.0,0.0
2020-01-31,1477.544462247886,1484.8799345473733,1453.8335098475684,1458.5006103515625,596490,0.0,0.0
2020-02-03,1480.2982465998307,1566.8048422847196,1474.695709132224,1547.908203125,2037520,0.0,0.0
2020-02-04,1557.3091536856248,1567.5551455152936,1531.390359913499,1562.5888671875,1164160,0.0,0.0
2020-02-05,1564.5257614546124,1565.0859804021322,1543.639783672493,1555.870361328125,575110,0.0,0.0
2020-02-06,1557.2140052053614,1571.500341385728,1534.3101734822114,1546.384033203125,740840,0.0,0.0
2020-02-07,1551.6115831848929,1555.8846873001512,1537.8046719062297,1550.453125,414070,0.0,0.0
2020-02-10,1547.8135017820446,1554.7549787085622,1529.9613733094473,1535.6778564453125,612700,0.0,0.0
2020-02-11,1542.1157257247594,1547.81795014769,1514.5779449082459,1519.05517578125,733500,0.0,0.0
2020-02-12,1521.7947544213687,1564.2029703094781,1516.3299245350888,1547.5948486328125,1290110,0.0,0.0
2020-02-13,1550.4721508127939,1563.149003299957,1545.662474411727,1558.467529296875,1512280,0.0,0.0
2020-02-14,1566.8048900516776,1593.6209838663626,1543.0654220205915,1553.1737060546875,1657080,0.0,0.0
2020-02-17,1558.543452466757,1577.7248944350015,1554.7451379450956,1575.2037353515625,1397880,0.0,0.0
2020-02-18,1573.4422952558414,1573.4422952558414,1555.8893480740549,1557.674560546875,900130,0.0,0.0
2020-02-19,1570.470293878785,1598.283492493919,1564.506911523093,1593.8726806640625,950000,0.0,0.0
2020-02-20,1589.5947636008082,1589.5947636008082,1569.2168415378883,1570.5556640625,657320,0.0,0.0
2020-02-24,1566.7100692361375,1574.0930675134996,1549.4276657041437,1551.3505859375,665160,0.0,0.0
2020-02-25,1554.745335467959,1570.6839313453418,1548.7012759907261,1555.45751953125,909160,0.0,0.0
2020-02-26,1571.0778964878878,1571.0778964878878,1533.574291863826,1542.1300048828125,1168390,0.0,0.0
2020-02-27,1547.813316616709,1551.6923086025504,1524.7860326118284,1544.37109375,901990,0.0,0.0
2020-02-28,1523.3141585477479,1531.5803156121399,1488.9394547469085,1498.3260498046875,1406730,0.0,0.0
2020-03-02,1514.5780942135689,1549.237718313127,1509.925135192471,1529.7666015625,1172320,0.0,0.0
2020-03-03,1531.6942180882422,1566.7099329327907,1531.6942180882422,1553.4537353515625,933720,0.0,0.0
2020-03-04,1557.0241239169738,1579.3867483218885,1521.2250538473863,1570.74560546875,1117110,0.0,0.0
2020-03-05,1571.5526523632836,1598.6299012472293,1565.142996530382,1574.050048828125,850900,0.0,0.0
2020-03-06,1553.3303132157273,1573.0293177509736,1538.3269241204716,1560.09130859375,862120,0.0,0.0
2020-03-09,1542.9990896433326,1552.5612969034519,1490.9431162926494,1522.302978515625,1236840,0.0,0.0
2020-03-11,1519.8148962462478,1538.3174224452598,1497.751450087872,1523.93603515625,1237320,0.0,0.0
2020-03-12,1506.9292525164278,1508.1922664851113,1428.641280664817,1478.0716552734375,2228660,0.0,0.0
2020-03-13,1456.7488171945945,1505.557190808159,1334.15821702016,1423.589599609375,2616200,0.0,0.0
2020-03-16,1405.3764999127536,1417.8207104415353,1281.2333403657778,1367.12744140625,2212280,0.0,0.0
2020-03-17,1376.889220916712,1403.1925065639352,1353.1497515905617,1380.782470703125,1769800,0.0,0.0
2020-03-18,1381.6370467981567,1399.4891732191545,1272.4354932711547,1285.42578125,2129220,0.0,0.0
2020-03-19,1234.5000403930342,1277.0315986095027,1194.2900355656227,1245.8759765625,2147100,0.0,0.0
2020-03-20,1253.2540968428766,1370.5365790471421,1248.6960724177109,1343.2266845703125,2049250,0.0,0.0
2020-03-23,1210.750793420304,1329.391093766267,1210.7175257114054,1229.1962890625,1959270,0.0,0.0
2020-03-24,1318.8700014758097,1318.8700014758097,1158.486121043369,1279.87548828125,2586670,0.0,0.0
2020-03-25,1215.460674050951,1378.7882021265475,1215.460674050951,1371.5809326171875,1987220,0.0,0.0
2020-03-26,1395.8521802141174,1433.8638435689486,1334.3052921310302,1416.7381591796875,2053440,0.0,0.0
2020-03-27,1462.3512807865256,1475.0756592699508,1405.3765555610764,1434.6805419921875,1752440,0.0,0.0
2020-03-30,1423.4185359872638,1508.8806228710887,1394.7127891281898,1486.912109375,2014700,0.0,0.0
2020-03-31,1504.9872347071039,1559.6781895662778,1490.957186885084,1547.8702392578125,1839190,0.0,0.0
2020-04-01,1547.836940493047,1562.6265813937255,1471.8468869069252,1486.5225830078125,1275120,0.0,0.0
2020-04-03,1513.5996108333054,1513.5996108333054,1424.842536433439,1434.3050537109375,1907760,0.0,0.0
2020-04-07,1478.9687841334994,1633.2753185936558,1464.8247912437546,1617.953857421875,2469010,0.0,0.0
2020-04-08,1581.0484339401812,1665.945539979941,1572.0702096379368,1602.057861328125,2484450,0.0,0.0
2020-04-09,1655.7755762548359,1665.9408903993758,1573.9266914107504,1599.06201171875,2075080,0.0,0.0
2020-04-13,1599.5654531223217,1611.8150425537071,1550.6764035985057,1576.2960205078125,829070,0.0,0.0
2020-04-15,1581.7227602786998,1651.4123576689242,1581.7227602786998,1645.2305908203125,1555790,0.0,0.0
2020-04-16,1644.6704996913668,1709.398576398297,1619.2359987972807,1699.2950439453125,2257400,0.0,0.0
2020-04-17,1744.3712504864059,1744.3712504864059,1635.497281117542,1645.07861328125,1872710,0.0,0.0
2020-04-20,1660.7943119101335,1660.7943119101335,1607.6369092059454,1612.04296875,1351970,0.0,0.0
2020-04-21,1595.292003895552,1637.0734611404355,1585.7962181580783,1615.7412109375,1337540,0.0,0.0
2020-04-22,1615.076666681626,1680.7543151927985,1596.9254789294826,1675.25146484375,2022410,0.0,0.0
2020-04-23,1671.2537946775924,1690.2501216078958,1643.3409096566024,1655.690185546875,1871000,0.0,0.0
