,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,997.153372760259,1004.3891654529702,978.3204561773118,982.7808837890625,849468,0.0,0.0
2019-11-01,984.5650106439427,1000.1269585707432,984.5650106439427,988.7280883789062,655253,0.0,0.0
2019-11-04,994.1797769206929,994.2788733371684,980.9967471130542,989.9176025390625,875743,0.0,0.0
2019-11-05,991.2061668543098,994.1797853548728,957.6042535985795,961.271728515625,1230007,0.0,0.0
2019-11-06,965.8807715944628,971.3819532093834,933.2700675373521,960.4291381835938,1420970,0.0,0.0
2019-11-07,964.8400410611453,982.2852442058986,959.685757246153,977.7752685546875,1351432,0.0,0.0
2019-11-08,997.1533146308824,1013.012611881473,967.912735325106,973.5626220703125,5656687,0.0,0.0
2019-11-11,973.3644320754137,973.3644320754137,959.9336009422856,961.42041015625,2078020,0.0,0.0
2019-11-13,975.842461511379,992.1478148927926,957.7034009389882,979.4603881835938,4039409,0.0,0.0
2019-11-14,990.214884947604,1004.091770222145,976.2389032633266,991.1069946289062,3441700,0.0,0.0
2019-11-15,999.3340561151107,1016.9775135487278,986.6961776572683,994.0310668945312,2687762,0.0,0.0
2019-11-18,996.0630622896884,1004.0918077276289,987.241303550561,991.2556762695312,2144563,0.0,0.0
2019-11-19,946.5522416311064,961.4698807743655,921.8216382682061,928.3140258789062,60449782,0.0,0.0
2019-11-20,931.7337511029618,940.3572564309393,927.8680230426346,931.4364013671875,2976893,0.0,0.0
2019-11-21,934.1622675240727,937.1358860356894,907.944852213634,921.4252319335938,2642185,0.0,0.0
2019-11-22,922.8128981303099,937.4331884068105,922.8128981303099,934.3604736328125,3125980,0.0,0.0
2019-11-25,935.203004852667,946.0071761139269,935.203004852667,943.2317504882812,3604001,0.0,0.0
2019-11-26,948.9807934440917,969.3500677534098,929.602664787641,950.5171508789062,43473998,0.0,0.0
2019-11-27,955.5226775341256,956.712136950242,934.9056028156457,939.8616333007812,1542111,0.0,0.0
2019-11-28,945.4619487278338,964.146220692534,939.861670357873,962.60986328125,1885171,0.0,0.0
2019-11-29,961.4698731850854,961.4698731850854,946.6513305656938,951.6073608398438,1071258,0.0,0.0
2019-12-02,950.715367652999,950.715367652999,930.0486838942085,935.5498657226562,643539,0.0,0.0
2019-12-03,937.780124569544,957.5051513695911,937.780124569544,954.9280395507812,1612054,0.0,0.0
2019-12-04,954.333224498132,966.4259510623915,951.6074077130843,963.7001342773438,1122303,0.0,0.0
2019-12-05,960.4787842206441,965.9304181868088,946.601897761316,957.9016723632812,814043,0.0,0.0
2019-12-06,962.4611367414734,965.4347550836201,936.888031098696,955.720947265625,1235405,0.0,0.0
2019-12-09,956.3156744797344,956.3156744797344,930.1478686087039,933.7161865234375,861577,0.0,0.0
2019-12-10,941.6458364685727,959.487547054293,938.6722180376192,941.4971313476562,1610114,0.0,0.0
2019-12-11,941.6458432724771,963.4028303825098,916.3700864267422,958.05029296875,1616587,0.0,0.0
2019-12-12,962.4611676856351,962.4611676856351,947.2461775451744,951.9544067382812,862822,0.0,0.0
2019-12-13,956.4147823420105,974.0582386794074,954.7792680908912,966.3268432617188,1119572,0.0,0.0
2019-12-16,965.236429379748,971.1836656180685,955.4235258855682,961.0238037109375,526157,0.0,0.0
2019-12-17,966.4259646463635,969.8456378517193,959.4875218232614,963.9974975585938,822269,0.0,0.0
