,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,276.11404480798666,299.1274526801306,275.5492924346981,294.04473876953125,128449327,0.0,0.0
2019-11-01,294.04474144535135,296.4919826022059,290.46802425614027,295.1271667480469,44894016,0.0,0.0
2019-11-04,297.4331956304031,300.256928500312,293.9976597169132,295.83306884765625,31535656,0.0,0.0
2019-11-05,295.45660844275227,303.0806937509525,294.4212338682685,300.4452209472656,50080853,0.0,0.0
2019-11-06,300.209916032388,300.209916032388,295.5507447135057,298.89215087890625,32157080,0.0,0.0
2019-11-07,299.5510393674367,304.3043122415189,298.18622345632383,299.4569091796875,33926772,0.0,0.0
2019-11-08,297.62148790705146,302.13944949379453,296.0213609526429,297.4332275390625,25423362,0.0,0.0
2019-11-11,296.20955896086093,300.8687004804763,294.7035625074981,299.55096435546875,20491942,0.0,0.0
2019-11-13,297.4802525389873,299.8804427630016,287.6913174647145,288.77374267578125,32675829,0.0,0.0
2019-11-14,288.914976128304,291.3151378257602,282.0909543214001,288.0207824707031,43617772,0.0,0.0
2019-11-15,293.6682286977299,304.68079876369364,291.8327907785702,302.9865417480469,95199897,0.0,0.0
2019-11-18,304.9631910703559,310.4694766540262,304.72787996613494,305.9985656738281,39009263,0.0,0.0
2019-11-19,306.6573919094566,312.3048579020764,303.1748051153728,310.98712158203125,41372145,0.0,0.0
2019-11-20,312.4931028228947,312.96372496570024,305.9985229970771,309.4811096191406,29972583,0.0,0.0
2019-11-21,309.90469828398835,313.2931836456604,307.3633270816099,311.8813171386719,34116162,0.0,0.0
2019-11-22,311.97541931605116,314.1873203322062,308.9634262150176,309.95172119140625,28974967,0.0,0.0
2019-11-25,309.6694230852172,317.6700008852912,309.05761993952353,316.3522644042969,27561300,0.0,0.0
2019-11-26,318.1405864323305,320.02307510944485,313.0578727490212,315.7874755859375,36464072,0.0,0.0
2019-11-27,316.21103765417024,325.2469600568558,314.4226504843293,323.3644714355469,33971305,0.0,0.0
2019-11-28,326.47061040971215,330.37676873965455,324.25868042966096,328.7766418457031,42538227,0.0,0.0
2019-11-29,328.35308396282994,328.35308396282994,320.5878183893803,321.7643737792969,23081823,0.0,0.0
2019-12-02,323.6939196973665,324.11749113613035,316.44635558311046,318.6112060546875,20648850,0.0,0.0
2019-12-03,320.9643497509584,322.79978787423175,313.7638356260789,316.4934387207031,26482178,0.0,0.0
2019-12-04,314.46973036181384,322.79974826732285,312.3519306599639,321.7643737792969,26789483,0.0,0.0
2019-12-05,322.8467999479331,324.35279659637973,315.45802633250526,316.44635009765625,30429507,0.0,0.0
2019-12-06,316.91697272103045,317.8111375866283,299.31569252014157,301.19818115234375,47027528,0.0,0.0
2019-12-09,300.20993260759764,308.3987421912847,296.25669437788565,298.0921325683594,52435239,0.0,0.0
2019-12-10,298.5627384253413,303.6925032265768,293.9035671047377,294.9859924316406,52155809,0.0,0.0
2019-12-11,292.9152357227858,297.1978857698128,289.9032424928023,294.42120361328125,52557951,0.0,0.0
2019-12-12,295.5507101440769,303.9748581172815,295.12713871935847,302.9394836425781,37804216,0.0,0.0
2019-12-13,306.0926502514095,313.85791553364595,305.9043899062843,313.0107727050781,40955226,0.0,0.0
2019-12-16,316.2110670053059,317.43467323293476,311.3636353758928,312.3519592285156,35027613,0.0,0.0
2019-12-17,313.669681748132,316.0227926389657,311.2224406767653,313.3402404785156,26734601,0.0,0.0
2019-12-18,315.316842827618,315.8345157066408,306.6573837138967,307.7398376464844,26449075,0.0,0.0
2019-12-19,308.1163397499637,310.23413951019404,305.43378764210576,308.86932373046875,27516289,0.0,0.0
2019-12-20,310.9400574617377,319.55243698461226,310.9400574617377,317.9993896484375,51839714,0.0,0.0
2019-12-23,315.9757218015911,318.94063559044855,310.94005907078747,312.8695983886719,30150335,0.0,0.0
2019-12-24,313.6226108673486,314.5638551631996,309.85763368394464,311.9754333496094,21747782,0.0,0.0
2019-12-26,313.4343658362265,313.85793727985833,308.8222743060585,310.4694519042969,24616942,0.0,0.0
2019-12-27,313.810895486915,318.4700670279977,313.43440344989347,317.4346923828125,33477173,0.0,0.0
2019-12-30,317.90528003848283,317.99941021862696,312.9637471881437,314.7521057128906,22775554,0.0,0.0
2019-12-31,314.7521229418978,316.5875610194347,313.01081504965765,314.14031982421875,23801635,0.0,0.0
2020-01-01,315.03450543090395,316.2110609057363,312.6343150275467,314.7991943359375,17379320,0.0,0.0
2020-01-02,314.84620529687317,319.8818678380003,313.76378014164845,319.3641662597656,20324236,0.0,0.0
2020-01-03,318.0935503416839,318.0935503416839,312.4931347797769,314.09326171875,21853208,0.0,0.0
2020-01-06,312.21077315497644,312.21077315497644,299.0333518004016,300.2569580078125,35645325,0.0,0.0
2020-01-07,305.3867453430625,307.7869069810974,296.86846661546156,299.69219970703125,50966826,0.0,0.0
2020-01-08,293.76235427588534,302.6100450263121,292.7269797921713,301.0099182128906,44527485,0.0,0.0
2020-01-09,307.6927958499992,311.9283957495925,305.9044371928487,310.7989196777344,40348407,0.0,0.0
2020-01-10,311.55189907972397,318.09355920579,308.82229604114593,312.72845458984375,42377838,0.0,0.0
2020-01-13,314.3756336953184,315.74044958289744,309.7164623648244,311.31658935546875,23615129,0.0,0.0
2020-01-14,310.42237776860867,312.21076502834967,307.31628287710794,308.7281494140625,26296117,0.0,0.0
2020-01-15,309.6693970761854,309.8576574395874,303.4101277738005,305.198486328125,32625740,0.0,0.0
2020-01-16,304.9631427310864,307.69274536248406,303.4100954342994,304.30426025390625,26653623,0.0,0.0
2020-01-17,294.60951261700325,304.4925793341871,291.8799094590622,299.31573486328125,58396326,0.0,0.0
2020-01-20,302.1394305381046,302.563001977256,294.9859678708076,295.55072021484375,30682902,0.0,0.0
2020-01-21,295.3625035671262,298.32744663095104,293.66827500879924,295.2684020996094,30591772,0.0,0.0
2020-01-22,298.3744653149353,298.3744653149353,295.2683703834752,297.57440185546875,24994911,0.0,0.0
2020-01-23,297.4332338301693,305.71617315589305,295.69192592518766,304.210205078125,33293610,0.0,0.0
2020-01-24,304.49258094621916,308.0692983825258,302.280650733858,305.01025390625,22706879,0.0,0.0
2020-01-27,302.04532191948624,303.08069650337285,297.2449697392845,297.6214904785156,23309355,0.0,0.0
2020-01-28,299.2686421367492,301.1981814971666,292.7740333686189,296.5860900878906,26488426,0.0,0.0
2020-01-29,299.1745173286562,300.91582509158286,297.0096381255995,297.8567810058594,23914114,0.0,0.0
2020-01-30,298.1391270254114,298.1391270254114,287.69130972571486,292.4446105957031,35802330,0.0,0.0
2020-01-31,295.2683774649774,302.79833260619966,290.4680253175484,299.7392883300781,92656638,0.0,0.0
2020-02-03,285.197052745246,288.8208494243677,277.99653884162734,280.5849609375,56060158,0.0,0.0
2020-02-04,285.10289878116885,289.47967912423974,279.64369321500465,288.2560729980469,51141567,0.0,0.0
2020-02-05,288.86788220711384,295.22128150224614,286.70303171486785,292.72698974609375,35014841,0.0,0.0
2020-02-06,292.9152535952779,304.4925476257145,291.8798790640157,303.03363037109375,57757656,0.0,0.0
2020-02-07,302.6100750186933,305.90443042325137,299.6922116297562,301.71588134765625,37126803,0.0,0.0
2020-02-10,301.0099220441616,303.8336550041425,297.9038272779815,299.78631591796875,24816396,0.0,0.0
2020-02-11,302.1864488249788,306.657358921522,302.1864488249788,305.2925720214844,30188757,0.0,0.0
2020-02-12,310.5164968016313,310.5164968016313,300.4922504940283,301.3864440917969,38930849,0.0,0.0
