,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2091.9835193641984,2124.4789512993743,2079.896503474539,2110.25341796875,4879261,0.0,0.0
2019-11-01,2104.999893731324,2115.227366713234,2040.8457450266148,2046.331298828125,4172620,0.0,0.0
2019-11-04,2052.003423054278,2072.6442820467223,2027.7363230394722,2039.869873046875,2646411,0.0,0.0
2019-11-05,2042.7054887591203,2055.7222738490736,2016.6719185792133,2047.2149658203125,2693475,0.0,0.0
2019-11-06,2045.4950950993832,2055.5366618742755,2025.969914646162,2034.802734375,2540719,0.0,0.0
2019-11-07,2049.6784217558015,2049.6784217558015,2022.436109286126,2031.8734130859375,1915598,0.0,0.0
2019-11-08,2035.8253193698906,2035.8253193698906,1974.8322915084636,1980.3643798828125,2788759,0.0,0.0
2019-11-11,1985.0598513205116,1988.7789330091682,1944.149952745288,1953.401123046875,2983768,0.0,0.0
2019-11-13,1969.2532482042452,2030.4321716635384,1969.2532482042452,2025.597412109375,3823365,0.0,0.0
2019-11-14,2033.8728647836824,2045.4949954395893,1995.9381849238548,2042.519775390625,2995915,0.0,0.0
2019-11-15,2041.7759791757683,2056.187421651736,2016.4397335325352,2021.7393798828125,2724180,0.0,0.0
2019-11-18,2025.4120931411665,2034.1055386580545,1997.8444868890388,2001.4241943359375,1611089,0.0,0.0
2019-11-19,2001.7958838896482,2003.3299144147475,1957.1668999478447,1960.7000732421875,2975313,0.0,0.0
2019-11-20,1972.9256254623933,1985.0591707103972,1947.4034815236191,1960.466796875,2894129,0.0,0.0
2019-11-21,1963.6752331617208,1977.2499728252249,1959.398198200687,1969.346923828125,2052574,0.0,0.0
2019-11-22,1949.72868271181,1959.026387445772,1915.792060432849,1926.2054443359375,3742049,0.0,0.0
2019-11-25,1928.8551579575656,1938.5246789649418,1908.0746994820204,1935.3170166015625,2737010,0.0,0.0
2019-11-26,1943.0809481643191,1950.5654190085518,1892.129479943789,1902.914794921875,6561580,0.0,0.0
2019-11-27,1907.8890703368138,1926.2055038294986,1902.8218664992457,1910.027587890625,2907521,0.0,0.0
2019-11-28,1921.881694779829,1947.3107756365744,1915.3267689338106,1931.4583740234375,2924429,0.0,0.0
2019-11-29,1938.571482757899,1938.571482757899,1902.12452474001,1909.05126953125,2064271,0.0,0.0
2019-12-02,1915.3270612127894,1922.4862480329396,1874.417162817953,1879.112548828125,3809860,0.0,0.0
2019-12-03,1885.2956519111924,1917.1868263813765,1868.8387589847557,1906.9593505859375,4664774,0.0,0.0
2019-12-04,1908.8184450033452,1935.7817839731927,1901.845167683557,1932.527587890625,3334301,0.0,0.0
2019-12-05,1936.7111699541194,1977.4351468192012,1923.0901284236932,1972.3214111328125,3902721,0.0,0.0
2019-12-06,1974.832754942192,1978.551837343213,1953.4480311363207,1974.4609375,1829461,0.0,0.0
2019-12-09,1978.5048628710294,1978.5048628710294,1909.283502494134,1915.745361328125,2244747,0.0,0.0
2019-12-10,1915.3268523094448,1916.117247876484,1862.5623868392695,1871.4881591796875,4520045,0.0,0.0
2019-12-11,1883.1570787000285,1904.169868020705,1865.8168372317139,1898.498291015625,4943024,0.0,0.0
2019-12-12,1907.0517849319199,1937.3156239319828,1844.6641125064352,1878.97265625,7137306,0.0,0.0
2019-12-13,1880.9254451993436,1931.504862171523,1866.0491193846183,1925.786865234375,5711133,0.0,0.0
2019-12-16,1948.798480295639,1985.9892909883038,1934.2011324977068,1977.388916015625,5574177,0.0,0.0
2019-12-17,1977.1563860600938,2016.671620674509,1970.1831093634323,2012.906005859375,6059673,0.0,0.0
2019-12-18,2021.3207081480293,2048.702399112914,2001.7955311144005,2015.5096435546875,8251081,0.0,0.0
2019-12-19,2026.713449053566,2079.4313823624025,2015.3237622957124,2072.504638671875,6251505,0.0,0.0
2019-12-20,2064.090133792451,2088.914956218851,2053.1653324086396,2066.786376953125,5548338,0.0,0.0
2019-12-23,2054.792292301874,2084.4984069658517,2054.792292301874,2074.96826171875,2247329,0.0,0.0
2019-12-24,2081.755309419248,2085.9858088860037,2055.861120645803,2059.998779296875,1805896,0.0,0.0
2019-12-26,2060.743120912872,2072.458319303059,2041.032032902567,2047.3079833984375,1880367,0.0,0.0
2019-12-27,2052.933283701956,2070.0409702682377,2023.1806274164203,2044.1004638671875,2720261,0.0,0.0
2019-12-30,2052.0030906736647,2068.738956388266,2024.2030489789588,2029.87451171875,2288830,0.0,0.0
2019-12-31,2035.2676682903932,2042.7058324504312,2005.9333629852922,2009.8848876953125,1909289,0.0,0.0
2020-01-01,2015.7419344956181,2030.5251909110618,2002.7251507857754,2015.3701171875,1354908,0.0,0.0
2020-01-02,2026.852943933501,2026.852943933501,1998.2625040509474,2006.1190185546875,2380752,0.0,0.0
2020-01-03,2012.0226468965243,2066.8790868997107,2012.0226468965243,2046.0986328125,4655761,0.0,0.0
2020-01-06,2050.143586355907,2069.622229453181,2034.2444228475074,2045.9130859375,3023209,0.0,0.0
2020-01-07,2045.9594761554913,2059.115634658954,2030.432358068042,2050.933837890625,2429317,0.0,0.0
2020-01-08,2050.1440210472438,2101.281400257039,2047.4012433794885,2096.864990234375,5197454,0.0,0.0
2020-01-09,2090.8211688881715,2093.796388743453,2054.792566200271,2058.837158203125,3734173,0.0,0.0
2020-01-10,2071.528643990797,2077.107266909982,2052.9332342601792,2058.093505859375,1915807,0.0,0.0
2020-01-13,2062.091762120896,2063.1143735573078,2031.2697313394785,2036.5230712890625,2843893,0.0,0.0
2020-01-14,2040.845736726367,2073.2017874273915,2040.845736726367,2051.909912109375,2948452,0.0,0.0
2020-01-15,2057.5818974580825,2074.3177646764493,2040.1021685199541,2070.505615234375,2620681,0.0,0.0
2020-01-16,2070.5519552008327,2091.0534360218644,2059.441245348346,2081.56982421875,3117214,0.0,0.0
2020-01-17,2083.3833477420044,2095.2844561114343,2057.582215130227,2063.25390625,3281059,0.0,0.0
2020-01-20,2040.7530509032142,2084.7312381776287,2004.7709802222341,2017.9273681640625,5817599,0.0,0.0
2020-01-21,2017.5554087438732,2032.989689517933,2006.4912308239213,2018.5782470703125,1902980,0.0,0.0
2020-01-22,2027.8289529841488,2054.7922907358866,2021.0415846339104,2051.909912109375,1773686,0.0,0.0
2020-01-23,2059.271868545396,2066.6802812718024,2034.949669395158,2041.705810546875,2069866,5.0,0.0
2020-01-24,2041.7060399918041,2041.7060399918041,2022.1831650752538,2034.6702880859375,1319430,0.0,0.0
2020-01-27,2040.5414334583684,2044.0359900396816,2017.5239996114908,2021.4844970703125,1549101,0.0,0.0
2020-01-28,2025.911221916142,2038.7712374561095,2005.409820406411,2034.9970703125,1743024,0.0,0.0
2020-01-29,2036.1618814532226,2037.979005593665,2003.5460160752532,2007.832763671875,2306761,0.0,0.0
2020-01-30,2012.8648473831383,2017.5242567520809,1980.2489818005413,1992.2237548828125,2098567,0.0,0.0
2020-01-31,1993.667509907604,1998.2805060806973,1930.4861160805458,1937.4285888671875,3287223,0.0,0.0
2020-02-03,2005.4095185233352,2045.200823597945,1950.614826325585,1959.2813720703125,4728073,0.0,0.0
2020-02-04,1983.976316013818,1991.1517602409026,1944.4646194185625,1964.173828125,3509339,0.0,0.0
2020-02-05,1970.9297756358455,2009.789196632162,1960.9586870483759,2000.3306884765625,2439322,0.0,0.0
2020-02-06,1998.8858534374003,2026.0967482245908,1971.3953486931562,1983.3701171875,2640065,0.0,0.0
2020-02-07,1993.295149845583,2004.4777313313928,1974.6575140359002,1991.0120849609375,2083442,0.0,0.0
2020-02-10,1995.0656057834092,2019.3878111721654,1974.6574858670135,2014.6817626953125,2383032,0.0,0.0
2020-02-11,2015.660144704402,2026.6563944170314,2001.3092573319393,2006.7139892578125,1335820,0.0,0.0
2020-02-12,2004.5706967652345,2036.1613935140863,2003.5455359520759,2022.882080078125,1620407,0.0,0.0
2020-02-13,2024.9319460593345,2047.3437425897116,2023.1148225590641,2042.6376953125,1645948,0.0,0.0
2020-02-14,2038.9578230909285,2061.3229911687085,2023.1158290358346,2035.4166259765625,1500115,0.0,0.0
2020-02-17,2047.2975565289635,2065.981831039728,2041.0073547429834,2053.16845703125,1774724,0.0,0.0
2020-02-18,2050.093118042598,2069.7092734983216,2037.140053305281,2064.81689453125,2486223,0.0,0.0
2020-02-19,2064.8174325135474,2078.0967503126303,2041.287413255523,2046.739013671875,1760463,0.0,0.0
2020-02-20,2054.333406316301,2063.558945034393,2004.7107009924891,2009.8826904296875,2317278,0.0,0.0
2020-02-24,2009.1371291552148,2030.5237706263247,1963.1953116367774,1971.2562255859375,3092877,0.0,0.0
2020-02-25,1971.3959512386784,2028.380432401103,1967.2024831315764,2009.27685546875,2674567,0.0,0.0
2020-02-26,2007.2735762507148,2016.4991158895596,1969.0197794463986,1978.9444580078125,2686842,0.0,0.0
2020-02-27,1975.54254925653,1975.54254925653,1944.0915421228233,1962.076904296875,2349001,0.0,0.0
2020-02-28,1927.1314748179595,1928.529297454433,1854.444697721344,1863.9033203125,4298076,0.0,0.0
2020-03-02,1896.3792206603982,1914.0383330116872,1850.437408289293,1864.974853515625,2667076,0.0,0.0
2020-03-03,1882.401240966275,1919.6765130646172,1874.9461865466067,1897.4976806640625,2757585,0.0,0.0
2020-03-04,1915.9487618758092,1951.7795674895929,1887.060429376709,1941.2958984375,3237002,0.0,0.0
2020-03-05,1943.6258911400746,2001.4492043069986,1942.0883771216447,1980.2955322265625,3937056,0.0,0.0
2020-03-06,1955.0881967761138,1978.990876147289,1930.4866059904573,1972.2813720703125,2595027,0.0,0.0
2020-03-09,1933.6543758557564,1938.2205048235915,1803.1909480871752,1837.9967041015625,4940975,0.0,0.0
2020-03-11,1801.3272822812785,1851.9285028623995,1789.2128204759724,1820.6171875,6796449,0.0,0.0
2020-03-12,1774.3025905033248,1778.4028923500416,1638.5740108684804,1649.2906494140625,8728786,0.0,0.0
2020-03-13,1572.9231202200676,1696.0246681637957,1403.4604584075764,1683.2579345703125,8029720,0.0,0.0
2020-03-16,1635.4522340183707,1716.7589049118765,1561.6937814539335,1580.843994140625,7844271,0.0,0.0
2020-03-17,1612.155294936011,1613.0871766093844,1512.5837608870788,1545.059814453125,5713248,0.0,0.0
2020-03-18,1562.5793742850362,1596.8260288250976,1516.8705286417724,1541.7052001953125,7258778,0.0,0.0
2020-03-19,1464.075126763697,1582.1154248686028,1451.919133946424,1536.0257568359375,5135111,12.0,0.0
2020-03-20,1530.0651394832223,1754.4121139227868,1527.2490686743577,1687.248779296875,8547498,0.0,0.0
2020-03-23,1520.6784322653405,1642.7081830026825,1518.566378887194,1567.331298828125,7003490,0.0,0.0
2020-03-24,1551.7021058314572,1661.481894797274,1532.7404922916417,1598.73046875,6350865,0.0,0.0
2020-03-25,1595.7736947724784,1699.0296397283446,1576.9998865986845,1642.9898681640625,2765520,0.0,0.0
2020-03-26,1719.3052471369595,1719.7277265523358,1616.9411317330873,1681.1474609375,4556067,0.0,0.0
2020-03-27,1708.416518224171,1736.577230063031,1643.083689675262,1712.640625,4331250,0.0,0.0
2020-03-30,1657.7275494952735,1788.205538951583,1655.427803429285,1669.461181640625,8513547,0.0,0.0
2020-03-31,1724.7497030349984,1741.2706305749605,1670.8688530584525,1714.1424560546875,3927593,0.0,0.0
2020-04-01,1713.954652823631,1722.2620391153644,1597.650900980706,1603.987060546875,4941878,0.0,0.0
2020-04-03,1633.3212984881197,1633.3212984881197,1548.8391623594239,1552.7816162109375,5735369,0.0,0.0
2020-04-07,1605.1605906794996,1676.3602348985341,1600.467138659969,1666.3631591796875,5427577,0.0,0.0
2020-04-08,1652.0950084911324,1695.2747643948778,1596.71227809285,1600.889404296875,6285615,0.0,0.0
2020-04-09,1643.130776205353,1669.7427441374984,1625.0609836809924,1657.8682861328125,5307397,0.0,0.0
2020-04-13,1653.0335771247069,1677.439524316781,1638.9532229754334,1651.390869140625,2990438,0.0,0.0
2020-04-15,1675.5626216156647,1700.9072663123723,1621.869568314917,1628.7689208984375,4761399,0.0,0.0
2020-04-16,1605.1134968812628,1656.69459968208,1572.3532957692944,1610.839599609375,6245533,0.0,0.0
2020-04-17,1689.6425682210322,1738.4074842860346,1645.5241233841498,1695.46240234375,9895823,0.0,0.0
2020-04-20,1717.8035277792935,1717.8035277792935,1691.9895403399871,1707.1494140625,3244282,0.0,0.0
2020-04-21,1656.788639329633,1684.5738536498686,1621.7754398141215,1631.115478515625,5122541,0.0,0.0
2020-04-22,1631.1153085314222,1680.2557254046428,1613.749537067743,1661.0125732421875,3829836,0.0,0.0
2020-04-23,1670.868884558432,1783.5117307084388,1652.8929407764144,1763.09521484375,5934366,0.0,0.0
2020-04-24,1727.8473199693904,1738.4075866425549,1696.9644984341846,1707.055419921875,2987102,0.0,0.0
2020-04-27,1719.9628446503816,1760.0448877256856,1713.110357386334,1723.9991455078125,3374741,0.0,0.0
2020-04-28,1750.6577945147715,1753.4738660340981,1720.2441991887943,1745.0726318359375,2678505,0.0,0.0
2020-04-29,1759.105854846092,1795.2924165313414,1736.6242650223335,1788.8154296875,4241510,0.0,0.0
2020-04-30,1858.6071058624657,1907.419009652793,1823.1245607342325,1890.9449462890625,5915544,0.0,0.0
2020-05-04,1845.4654627226616,1845.4654627226616,1796.3250395699545,1812.094970703125,3729348,0.0,0.0
2020-05-05,1835.2334907030922,1855.7908324011082,1808.856314636791,1814.2537841796875,2905528,0.0,0.0
2020-05-06,1820.87177623891,1833.9194817926352,1777.5042088044772,1786.89111328125,3517431,0.0,0.0
2020-05-07,1792.8985286063592,1815.8494613186901,1767.882408418246,1775.673583984375,3166754,0.0,0.0
2020-05-08,1820.214386195465,1820.5898852426897,1770.6046254390428,1777.3162841796875,2686530,0.0,0.0
2020-05-11,1791.9598591596382,1831.7603524950957,1791.9598591596382,1816.6474609375,2449841,0.0,0.0
2020-05-12,1814.8641573006632,1836.5478839976997,1793.1334502461568,1829.97705078125,3256595,0.0,0.0
2020-05-13,1871.7488198534231,1871.7488198534231,1807.5893483689754,1830.117919921875,2656665,0.0,0.0
2020-05-14,1792.8989009340382,1805.195723881834,1775.1576271122585,1785.7178955078125,2263146,0.0,0.0
2020-05-15,1798.5307707918873,1799.8449602431147,1750.8452535814943,1776.8470458984375,3173682,0.0,0.0
2020-05-18,1790.082613105305,1833.2153916400773,1757.3222948564512,1826.3160400390625,3727694,0.0,0.0
2020-05-19,1786.3280757455473,1845.8879439447087,1786.3280757455473,1829.1793212890625,3198693,0.0,0.0
2020-05-20,1830.4462989656702,1842.5554281683817,1813.268218633192,1833.8255615234375,2778505,0.0,0.0
2020-05-21,1826.6912413077316,1875.503134703416,1822.138616475569,1869.1199951171875,3400908,0.0,0.0
2020-05-22,1855.8849133637218,1907.4190433073343,1841.0066922669828,1896.4832763671875,3663418,0.0,0.0
2020-05-26,1891.4615783848471,1899.9097938714294,1806.9794235190227,1823.8758544921875,4575317,0.0,0.0
2020-05-27,1838.8943059706644,1886.7675114859803,1822.232553070726,1882.355712890625,3482160,0.0,0.0
2020-05-28,1866.5860031100126,1890.522610140088,1850.4405728301044,1881.4173583984375,3475681,0.0,0.0
2020-05-29,1860.4842881855852,1879.8682669812522,1842.0859800995822,1851.4259033203125,7237735,0.0,0.0
2020-06-01,1867.9939220593064,1933.7022509759656,1859.6395544655134,1919.8565673828125,3747773,0.0,0.0
2020-06-02,1933.8897323817382,1953.4145366799178,1914.9752142890127,1921.639892578125,2443886,0.0,0.0
2020-06-03,1931.7136221809376,1942.9167814596308,1901.7283578672098,1926.3472900390625,3699799,6.0,0.0
2020-06-04,1926.9120005144164,1977.0441925395257,1926.9120005144164,1969.0889892578125,4048593,0.0,0.0
2020-06-05,1969.136152447412,1975.161338185036,1920.8397401059835,1928.32421875,3573289,0.0,0.0
2020-06-08,1956.5677871455525,1972.3370692024216,1941.3634668321506,1950.4483642578125,2957841,0.0,0.0
2020-06-09,1942.3047848394556,1972.8076603044356,1939.6215615090496,1950.730712890625,2909439,0.0,0.0
2020-06-10,1955.437833519694,2007.1704403156489,1952.0956416484512,1985.28173828125,5168397,0.0,0.0
2020-06-11,1977.0441206580067,1981.7513685643353,1941.080792622874,1946.588134765625,2269513,0.0,0.0
