,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,4024.0773133118346,4066.3413037693304,3993.5257832784914,4044.0869140625,763791,0.0,0.0
2019-11-01,4043.8918895871493,4078.8352977031486,4032.9110100897187,4063.16943359375,255083,0.0,0.0
2019-11-04,4072.198129724043,4193.915268297338,4072.198129724043,4137.302734375,875545,0.0,0.0
2019-11-05,4148.331488866977,4148.331488866977,4035.4481637900435,4048.185791015625,386308,0.0,0.0
2019-11-06,4060.484882130191,4076.980506643719,4017.586059141471,4036.71728515625,417808,0.0,0.0
2019-11-07,4060.485046575857,4133.934926324615,4060.485046575857,4087.2294921875,615076,0.0,0.0
2019-11-08,4070.2458165991015,4094.501453536135,4027.5423982594825,4048.0400390625,371096,0.0,0.0
2019-11-11,4034.1310584445673,4080.006732227992,4009.7291043044474,4038.083984375,275634,0.0,0.0
2019-11-13,4038.083806566801,4072.588263521735,4006.8983965093094,4017.147216796875,519389,0.0,0.0
2019-11-14,4031.2024386498633,4033.154594794488,3897.577445870432,3907.630859375,573058,0.0,0.0
2019-11-15,3947.113367354842,3996.063586856619,3918.9534199387704,3979.860595703125,621773,0.0,0.0
2019-11-18,3978.3965626569925,4046.1362862881692,3972.6866488523806,4027.639892578125,498006,0.0,0.0
2019-11-19,4031.2024319804427,4031.2024319804427,3987.522938316732,4002.06640625,561897,0.0,0.0
2019-11-20,3999.967926695558,4031.2024249030396,3977.5181311089314,4015.6337890625,836453,0.0,0.0
2019-11-21,4011.680912619183,4011.680912619183,3966.7813208964376,3979.71435546875,213325,0.0,0.0
2019-11-22,3987.08382409744,3999.821690814129,3933.6435487449266,3983.52099609375,222219,0.0,0.0
2019-11-25,4019.489548624902,4030.226407545464,3997.088604264338,4015.048583984375,413582,0.0,0.0
2019-11-26,4017.0007889935705,4050.5777801605486,3991.085629596196,4014.462890625,674879,0.0,0.0
2019-11-27,4025.003974145852,4148.331525524807,4025.003974145852,4133.3486328125,640193,0.0,0.0
2019-11-28,4148.2833947756235,4197.135914018299,4107.532133284864,4191.962890625,782062,0.0,0.0
2019-11-29,4198.697181808984,4233.738286369134,4138.32666273972,4157.2138671875,463936,0.0,0.0
2019-12-02,4167.853613252704,4216.657519731073,4153.212441309193,4173.9541015625,467324,0.0,0.0
2019-12-03,4186.301681271349,4193.23193178601,4071.90560261227,4110.94873046875,312478,0.0,0.0
2019-12-04,4109.289282405762,4131.007022675009,4064.4382978161875,4096.74658203125,271645,0.0,0.0
2019-12-05,4101.626485202769,4167.853479488539,4047.1615179611817,4061.412353515625,483794,0.0,0.0
2019-12-06,4080.006264035803,4095.8189191443203,4025.5412992853303,4058.38623046875,227870,0.0,0.0
2019-12-09,4073.954121941144,4091.7189319903036,4022.4173947356967,4052.13916015625,234928,0.0,0.0
2019-12-10,4060.484766637791,4065.6091764995335,3934.765863702982,3942.03759765625,550870,0.0,0.0
2019-12-11,3954.0924033069105,3966.781418671756,3875.030076802872,3905.434814453125,474277,0.0,0.0
2019-12-12,3916.220589753597,3937.3528240552614,3888.012027374395,3896.6015625,398279,0.0,0.0
2019-12-13,3937.4990327304868,3993.623523157359,3903.8243384743632,3984.9365234375,548283,0.0,0.0
2019-12-16,3984.350543075754,3987.2299256219835,3935.5466412742385,3964.096923828125,509129,0.0,0.0
2019-12-17,3965.024263284394,4045.843574630685,3956.874154431487,4021.002197265625,447766,0.0,0.0
2019-12-18,4014.9017494832615,4021.3930499531743,3953.604237101665,3968.147705078125,819336,0.0,0.0
2019-12-19,3953.1160888840304,3985.91240657119,3927.7380596714415,3941.2568359375,375655,0.0,0.0
2019-12-20,3938.4750411853415,4047.5517663036717,3928.7142604141263,4021.881103515625,1567317,0.0,0.0
2019-12-23,4016.560962607529,4068.293096512316,3970.8804646315452,3984.252685546875,457733,0.0,0.0
2019-12-24,4016.561423559649,4024.3700484414176,3976.10303355105,3999.333740234375,231713,0.0,0.0
2019-12-26,3998.9917078420176,4026.3218928114043,3951.895942671557,3965.56103515625,362984,0.0,0.0
2019-12-27,3989.231031153995,3994.1114214539143,3948.235752634673,3958.582275390625,417948,0.0,0.0
2019-12-30,3976.4443974603146,3992.1593498789853,3946.820570692623,3955.01953125,326955,0.0,0.0
2019-12-31,3955.019507508671,3974.589920568388,3933.5946414269656,3949.2607421875,276631,0.0,0.0
2020-01-01,3962.877177746387,3974.5412636513643,3948.2360059074226,3967.757568359375,163949,0.0,0.0
2020-01-02,3972.5399060832506,4154.480756796593,3970.8317695190954,4143.255859375,1458328,0.0,0.0
2020-01-03,4135.643533409976,4156.141176601293,4085.7172263855527,4118.26953125,635983,0.0,0.0
2020-01-06,4090.7434947222378,4099.284178468079,4032.178806179328,4057.654541015625,462841,0.0,0.0
2020-01-07,4099.088683727665,4152.236328073518,4064.437910420986,4140.62109375,524372,0.0,0.0
2020-01-08,4123.783287889883,4228.369951646146,4083.7149995022246,4215.63232421875,1032268,0.0,0.0
2020-01-09,4233.25126054011,4294.744188696445,4227.980533446848,4283.03125,698429,0.0,0.0
2020-01-10,4283.12844234982,4357.261288714794,4262.435395813612,4338.27685546875,735887,0.0,0.0
2020-01-13,4350.917128193484,4384.543212347865,4343.596541797088,4361.80078125,403937,0.0,0.0
2020-01-14,4358.188256265276,4395.230606888773,4316.900347635628,4376.05029296875,438651,0.0,0.0
2020-01-15,4344.57159915299,4416.996774190752,4304.503789664928,4398.6953125,416924,0.0,0.0
2020-01-16,4411.873310542108,4445.93834321709,4327.198529637345,4365.36328125,467980,0.0,0.0
2020-01-17,4333.786322226556,4414.21505414776,4305.772692971929,4379.41796875,360682,0.0,0.0
2020-01-20,4392.3511218397625,4401.575249835865,4345.499376540138,4360.77490234375,204026,0.0,0.0
2020-01-21,4348.428081822548,4411.873160457445,4333.78690982988,4376.294921875,283173,0.0,0.0
