,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,16375.2998046875,16416.94921875,16296.7998046875,16381.0498046875,667100,0.0,0.0
2019-11-04,16431.25,16485.69921875,16335.400390625,16373.5,708900,0.0,0.0
2019-11-05,16382.599609375,16422.400390625,16190.0498046875,16274.7998046875,536500,0.0,0.0
2019-11-06,16247.75,16294.150390625,16159.400390625,16209.099609375,550200,0.0,0.0
2019-11-07,16255.599609375,16277.150390625,16108.900390625,16194.650390625,681700,0.0,0.0
2019-11-08,16167.349609375,16169.75,15888.0498046875,15911.0,1022400,0.0,0.0
2019-11-11,15921.75,15982.25,15830.650390625,15934.650390625,964800,0.0,0.0
2019-11-13,15923.75,16072.7998046875,15899.349609375,15962.650390625,857500,0.0,0.0
2019-11-14,15976.349609375,15998.099609375,15829.75,15905.0,866800,0.0,0.0
2019-11-15,15935.9501953125,15979.5498046875,15807.2998046875,15856.650390625,639200,0.0,0.0
2019-11-18,15906.75,15982.400390625,15853.400390625,15883.2001953125,735500,0.0,0.0
2019-11-19,15933.5,16144.650390625,15891.349609375,16114.4501953125,631800,0.0,0.0
2019-11-20,16348.7001953125,16424.349609375,16280.5498046875,16337.400390625,1021400,0.0,0.0
2019-11-21,16364.900390625,16364.900390625,16056.2998046875,16085.4501953125,926300,0.0,0.0
2019-11-22,16122.75,16316.150390625,16120.599609375,16221.400390625,768900,0.0,0.0
2019-11-25,16243.599609375,16341.4501953125,16223.25,16274.0498046875,618900,0.0,0.0
2019-11-26,16322.25,16381.099609375,16142.099609375,16176.0498046875,1301100,0.0,0.0
2019-11-27,16175.9501953125,16303.2998046875,16144.849609375,16271.849609375,606700,0.0,0.0
2019-11-28,16302.4501953125,16402.0,16215.150390625,16367.0498046875,693100,0.0,0.0
2019-11-29,16381.5498046875,16387.69921875,16194.650390625,16232.150390625,792800,0.0,0.0
2019-12-02,16431.5,16431.5,16213.2998046875,16258.5,815200,0.0,0.0
2019-12-03,16296.4501953125,16300.25,16096.599609375,16111.650390625,515600,0.0,0.0
2019-12-04,16062.5498046875,16128.7998046875,15905.150390625,16031.5,522700,0.0,0.0
2019-12-05,16086.400390625,16120.0,15895.900390625,15930.099609375,541300,0.0,0.0
2019-12-06,15963.400390625,16008.0498046875,15751.349609375,15811.75,596900,0.0,0.0
2019-12-09,15836.0,15988.150390625,15760.0,15950.5,531900,0.0,0.0
