,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,32396.099609375,32591.30078125,32338.25,32449.849609375,32900,0.0,0.0
2019-11-04,32541.099609375,32644.900390625,32228.30078125,32255.69921875,23800,0.0,0.0
2019-11-05,32257.0,32390.05078125,32064.75,32361.44921875,30800,0.0,0.0
2019-11-06,32360.599609375,32543.05078125,32181.900390625,32393.0,29100,0.0,0.0
2019-11-07,32587.80078125,32608.05078125,32340.75,32535.900390625,31000,0.0,0.0
2019-11-08,32489.55078125,32551.44921875,31907.400390625,31947.5,29000,0.0,0.0
2019-11-11,31928.400390625,32061.30078125,31751.650390625,31802.55078125,18400,0.0,0.0
2019-11-13,31913.900390625,31999.94921875,31525.150390625,31582.44921875,24500,0.0,0.0
2019-11-14,31587.0,31602.349609375,31347.650390625,31439.44921875,24700,0.0,0.0
2019-11-15,31447.150390625,31624.19921875,31235.30078125,31289.69921875,27800,0.0,0.0
2019-11-18,31342.94921875,31422.349609375,31076.650390625,31165.25,18800,0.0,0.0
2019-11-19,31241.099609375,31248.599609375,30924.75,30972.94921875,21800,0.0,0.0
2019-11-20,31009.30078125,31210.900390625,30786.30078125,31089.349609375,20600,0.0,0.0
2019-11-21,31128.75,31128.75,30839.44921875,30893.55078125,22300,0.0,0.0
2019-11-22,30964.150390625,31066.849609375,30745.150390625,30809.55078125,25000,0.0,0.0
2019-11-25,30798.900390625,31127.849609375,30783.150390625,31085.599609375,19200,0.0,0.0
2019-11-26,31137.80078125,31281.0,30912.099609375,31055.349609375,51000,0.0,0.0
2019-11-27,31120.400390625,31256.099609375,31096.349609375,31221.94921875,19300,0.0,0.0
2019-11-28,31277.599609375,31290.30078125,31101.099609375,31263.400390625,26000,0.0,0.0
2019-11-29,31243.25,31260.599609375,30892.099609375,30975.5,25100,0.0,0.0
2019-12-02,30977.0,31018.55078125,30823.05078125,30889.5,22600,0.0,0.0
2019-12-03,30898.19921875,30983.849609375,30603.19921875,30677.5,20500,0.0,0.0
2019-12-04,30629.849609375,30771.44921875,30543.099609375,30705.55078125,24100,0.0,0.0
2019-12-05,30739.599609375,30833.80078125,30665.05078125,30795.099609375,22900,0.0,0.0
2019-12-06,30854.75,30883.5,30482.5,30536.44921875,21200,0.0,0.0
2019-12-09,30562.0,30574.5,30298.69921875,30375.0,16200,0.0,0.0
2019-12-10,30424.0,30431.75,30024.25,30059.0,26700,0.0,0.0
2019-12-11,30072.80078125,30250.150390625,29985.400390625,30102.44921875,25500,0.0,0.0
2019-12-12,30155.599609375,30351.80078125,30135.150390625,30227.94921875,23600,0.0,0.0
2019-12-13,30380.0,30489.25,30245.849609375,30426.25,20900,0.0,0.0
2019-12-16,30459.80078125,30523.349609375,30008.25,30043.099609375,22300,0.0,0.0
2019-12-17,30115.650390625,30334.80078125,30084.349609375,30182.05078125,28700,0.0,0.0
2019-12-18,30186.849609375,30331.900390625,29964.80078125,30291.05078125,34700,0.0,0.0
