,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,15575.349609375,15636.2998046875,15411.7998046875,15471.2001953125,0,0.0,0.0
2019-11-04,15474.0,15803.349609375,15428.5,15591.2998046875,0,0.0,0.0
2019-11-05,15613.099609375,15613.099609375,15422.7998046875,15533.4501953125,0,0.0,0.0
2019-11-06,15554.0498046875,15647.0498046875,15440.400390625,15561.2998046875,0,0.0,0.0
2019-11-07,15635.5,15639.7001953125,15532.150390625,15624.400390625,24300,0.0,0.0
2019-11-08,15646.400390625,15658.150390625,15355.7001953125,15383.2998046875,0,0.0,0.0
2019-11-11,15343.25,15354.0498046875,15228.7998046875,15308.5498046875,0,0.0,0.0
2019-11-13,15307.900390625,15374.0498046875,15192.2998046875,15240.9501953125,0,0.0,0.0
2019-11-14,15292.900390625,15410.2998046875,15217.2998046875,15388.75,0,0.0,0.0
2019-11-15,15425.0498046875,15471.150390625,15287.099609375,15310.650390625,0,0.0,0.0
2019-11-18,15326.7998046875,15373.849609375,15251.0,15295.25,0,0.0,0.0
2019-11-19,15318.650390625,15371.7998046875,15256.849609375,15304.849609375,0,0.0,0.0
2019-11-20,15349.0498046875,15349.0498046875,15235.0,15318.5,0,0.0,0.0
2019-11-21,15353.7001953125,15435.400390625,15279.400390625,15293.9501953125,0,0.0,0.0
2019-11-22,15216.5498046875,15220.0498046875,14931.349609375,14995.900390625,0,0.0,0.0
2019-11-25,15002.2001953125,15112.900390625,14950.9501953125,15100.599609375,0,0.0,0.0
2019-11-26,15174.650390625,15212.650390625,14867.4501953125,14922.150390625,0,0.0,0.0
2019-11-27,14957.5,15049.0,14946.5498046875,15022.150390625,0,0.0,0.0
2019-11-28,15069.150390625,15136.2001953125,15042.650390625,15121.7998046875,14700,0.0,0.0
2019-11-29,15132.9501953125,15147.25,14964.25,14998.0498046875,0,0.0,0.0
2019-12-02,15056.849609375,15070.650390625,14819.400390625,14852.0,0,0.0,0.0
2019-12-03,14870.900390625,14956.4501953125,14808.400390625,14920.75,0,0.0,0.0
2019-12-04,14918.5,15188.5498046875,14896.599609375,15175.150390625,27200,0.0,0.0
2019-12-05,15164.150390625,15385.4501953125,15101.7998046875,15367.5,28800,0.0,0.0
2019-12-06,15383.4501953125,15390.0498046875,15269.25,15289.599609375,16900,0.0,0.0
2019-12-09,15309.7001953125,15322.5498046875,15136.25,15157.150390625,18200,0.0,0.0
2019-12-10,15120.0498046875,15123.349609375,14903.25,14946.5498046875,20100,0.0,0.0
2019-12-11,14972.0,15147.349609375,14963.650390625,15130.2998046875,23000,0.0,0.0
2019-12-12,15151.099609375,15184.150390625,14890.599609375,14972.650390625,27100,0.0,0.0
2019-12-13,14987.900390625,15221.4501953125,14965.150390625,15200.5498046875,30100,0.0,0.0
2019-12-16,15263.75,15446.25,15223.099609375,15348.75,28600,0.0,0.0
2019-12-17,15417.5498046875,15670.349609375,15387.2001953125,15637.150390625,35700,0.0,0.0
2019-12-18,15680.5,15835.7998046875,15649.150390625,15710.650390625,46700,0.0,0.0
2019-12-19,15741.2001953125,15835.5,15654.7001953125,15812.9501953125,25100,0.0,0.0
2019-12-20,15811.9501953125,15890.9501953125,15781.25,15844.5498046875,30000,0.0,0.0
2019-12-23,15811.400390625,15936.0,15809.0498046875,15865.5,15900,0.0,0.0
2019-12-24,15877.400390625,15880.150390625,15739.4501953125,15778.2001953125,16000,0.0,0.0
2019-12-26,15784.4501953125,15806.849609375,15690.9501953125,15706.4501953125,17800,0.0,0.0
2019-12-27,15740.400390625,15824.150390625,15657.5,15780.7001953125,16700,0.0,0.0
2019-12-30,15801.5,15868.9501953125,15715.099609375,15775.0,0,0.0,0.0
2019-12-31,15754.0498046875,15775.25,15634.5,15652.400390625,19600,0.0,0.0
2020-01-02,15754.900390625,15762.099609375,15679.650390625,15709.650390625,15200,0.0,0.0
2020-01-03,15727.599609375,16004.4501953125,15722.650390625,15936.599609375,26000,0.0,0.0
2020-01-06,15934.599609375,16067.650390625,15831.849609375,15879.7998046875,24000,0.0,0.0
2020-01-07,15893.349609375,15988.7001953125,15799.7998046875,15895.2001953125,24200,0.0,0.0
2020-01-08,15840.900390625,15974.849609375,15816.7998046875,15953.4501953125,27400,0.0,0.0
2020-01-09,15970.650390625,16017.25,15857.25,15925.150390625,27900,0.0,0.0
2020-01-10,16040.650390625,16059.349609375,15930.650390625,15959.900390625,20200,0.0,0.0
2020-01-13,16135.5,16275.2001953125,16075.75,16225.900390625,61100,0.0,0.0
2020-01-14,16238.150390625,16385.94921875,16226.900390625,16362.349609375,34500,0.0,0.0
2020-01-15,16354.2001953125,16366.75,16217.099609375,16346.849609375,35200,0.0,0.0
2020-01-16,16372.150390625,16423.849609375,16277.25,16381.650390625,26200,0.0,0.0
2020-01-17,16396.5,16447.349609375,16310.75,16356.599609375,20000,0.0,0.0
2020-01-20,16389.599609375,16465.05078125,16162.5,16207.150390625,27100,0.0,0.0
2020-01-21,16190.7998046875,16221.5,16133.599609375,16175.2001953125,17500,0.0,0.0
2020-01-22,16245.9501953125,16404.599609375,16211.7998046875,16334.5498046875,26800,0.0,0.0
2020-01-23,16380.599609375,16501.19921875,16367.75,16474.400390625,30000,0.0,0.0
2020-01-24,16410.5,16498.75,16356.9501953125,16472.75,21200,0.0,0.0
2020-01-27,16456.19921875,16483.900390625,16385.650390625,16393.55078125,13600,0.0,0.0
2020-01-28,16442.849609375,16448.05078125,16320.599609375,16429.75,19700,0.0,0.0
2020-01-29,16513.19921875,16577.94921875,16452.0,16479.30078125,22200,0.0,0.0
2020-01-30,16509.0,16514.099609375,16287.75,16327.900390625,18900,0.0,0.0
2020-01-31,16333.150390625,16365.7998046875,16098.4501953125,16144.150390625,26300,0.0,0.0
2020-02-03,16282.0,16418.900390625,16034.2998046875,16059.900390625,29000,0.0,0.0
2020-02-04,16174.7998046875,16377.4501953125,16155.7998046875,16350.849609375,25200,0.0,0.0
2020-02-05,16354.4501953125,16463.599609375,16283.25,16448.55078125,21900,0.0,0.0
2020-02-06,16480.75,16621.349609375,16330.650390625,16371.150390625,24000,0.0,0.0
2020-02-07,16453.0,16493.25,16382.400390625,16470.150390625,15700,0.0,0.0
2020-02-10,16481.5,16522.400390625,16306.25,16431.94921875,18000,0.0,0.0
2020-02-11,16482.400390625,16512.099609375,16409.150390625,16452.30078125,17000,0.0,0.0
2020-02-12,16462.25,16599.05078125,16419.44921875,16538.099609375,18600,0.0,0.0
2020-02-13,16578.75,16696.849609375,16513.75,16673.05078125,18900,0.0,0.0
2020-02-14,16682.30078125,16828.19921875,16624.25,16642.75,19600,0.0,0.0
2020-02-17,16707.650390625,16737.650390625,16596.19921875,16647.69921875,0,0.0,0.0
2020-02-18,16586.900390625,16773.19921875,16526.400390625,16748.75,20800,0.0,0.0
2020-02-19,16796.400390625,16882.44921875,16754.25,16772.5,16900,0.0,0.0
2020-02-20,16826.30078125,16843.650390625,16623.900390625,16649.400390625,20300,0.0,0.0
2020-02-24,16642.75,16749.25,16416.849609375,16461.80078125,23400,0.0,0.0
2020-02-25,16490.400390625,16642.400390625,16443.25,16562.5,25300,0.0,0.0
2020-02-26,16497.150390625,16539.25,16297.25,16332.25,26800,0.0,0.0
2020-02-27,16244.9501953125,16258.650390625,16053.7001953125,16123.7998046875,24500,0.0,0.0
2020-02-28,15726.150390625,15788.4501953125,15156.7998046875,15212.9501953125,42900,0.0,0.0
2020-03-02,15355.0498046875,15722.0,15298.0,15427.650390625,36500,0.0,0.0
2020-03-03,15615.0498046875,15793.099609375,15495.7001953125,15723.2001953125,29600,0.0,0.0
2020-03-04,15824.900390625,15919.9501953125,15612.75,15864.2998046875,32100,0.0,0.0
2020-03-05,15912.0498046875,16150.599609375,15841.099609375,15871.349609375,26900,0.0,0.0
2020-03-06,15607.349609375,15699.9501953125,15443.0,15663.5,26000,0.0,0.0
2020-03-09,15333.5498046875,15371.0,14705.400390625,14854.900390625,36800,0.0,0.0
2020-03-11,14524.150390625,14823.7998046875,14356.099609375,14681.400390625,43300,0.0,0.0
2020-03-12,14177.400390625,14231.9501953125,13317.650390625,13384.849609375,42900,0.0,0.0
2020-03-13,12561.9501953125,13835.349609375,11624.849609375,13539.099609375,47400,0.0,0.0
2020-03-16,12963.7001953125,13078.650390625,12355.150390625,12451.349609375,49500,0.0,0.0
2020-03-17,12517.5,12677.2001953125,11999.5498046875,12099.25,44100,0.0,0.0
2020-03-18,12287.7998046875,12451.099609375,11643.900390625,11753.0,45500,0.0,0.0
2020-03-19,11183.9501953125,11698.2998046875,10991.25,11340.0,52500,0.0,0.0
2020-03-20,11382.400390625,12710.5498046875,11363.5,12363.4501953125,66400,0.0,0.0
2020-03-23,11328.25,11602.4501953125,11108.650390625,11179.599609375,44700,0.0,0.0
2020-03-24,11159.75,12053.7998046875,11159.2998046875,11865.0498046875,51300,0.0,0.0
2020-03-25,11856.900390625,12514.25,11657.25,12233.349609375,47600,0.0,0.0
2020-03-26,12496.9501953125,12751.5498046875,12306.349609375,12535.599609375,47100,0.0,0.0
2020-03-27,12778.150390625,12949.599609375,12403.849609375,12569.099609375,43300,0.0,0.0
2020-03-30,12152.9501953125,12774.599609375,12152.9501953125,12318.7998046875,40800,0.0,0.0
2020-03-31,12681.75,12930.7998046875,12466.599609375,12763.650390625,38800,0.0,0.0
2020-04-01,12680.5,12690.599609375,11989.599609375,12045.849609375,40900,0.0,0.0
2020-04-03,12129.849609375,12146.9501953125,11621.2001953125,11680.0498046875,40600,0.0,0.0
2020-04-07,12147.0,12647.400390625,12132.2998046875,12588.9501953125,39400,0.0,0.0
2020-04-08,12468.599609375,12897.5,12437.75,12491.5498046875,40400,0.0,0.0
2020-04-09,12810.7998046875,12867.349609375,12648.7998046875,12728.5498046875,36100,0.0,0.0
2020-04-13,12698.849609375,12795.7001953125,12527.150390625,12603.099609375,28500,0.0,0.0
2020-04-15,12792.4501953125,12951.400390625,12661.0,12702.599609375,47900,0.0,0.0
2020-04-16,12430.2998046875,12605.400390625,12205.900390625,12463.599609375,69400,0.0,0.0
2020-04-17,12878.349609375,12992.0498046875,12596.650390625,12649.25,46500,0.0,0.0
2020-04-20,12812.599609375,12937.9501953125,12742.5498046875,12847.650390625,39200,0.0,0.0
2020-04-21,12513.650390625,12632.5,12375.7998046875,12408.849609375,37300,0.0,0.0
2020-04-22,12393.900390625,12619.4501953125,12322.9501953125,12571.2998046875,27600,0.0,0.0
2020-04-23,12639.7998046875,13199.75,12596.599609375,13128.2001953125,39800,0.0,0.0
2020-04-24,13001.900390625,13101.400390625,12792.900390625,12816.2001953125,32500,0.0,0.0
2020-04-27,12957.349609375,13248.9501953125,12928.0498046875,13121.150390625,40200,0.0,0.0
2020-04-28,13301.9501953125,13317.2001953125,13067.75,13133.650390625,38800,0.0,0.0
2020-04-29,13250.599609375,13470.7998046875,13144.7998046875,13424.9501953125,37600,0.0,0.0
2020-04-30,13841.599609375,14212.099609375,13750.25,14108.400390625,61200,0.0,0.0
2020-05-04,13646.099609375,13700.25,13424.349609375,13454.25,48700,0.0,0.0
2020-05-05,13637.7998046875,13667.849609375,13351.4501953125,13388.0498046875,35400,0.0,0.0
2020-05-06,13437.2998046875,13580.0498046875,13262.25,13394.7001953125,39800,0.0,0.0
