,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,1794.0999755859375,1934.8499755859375,1793.1500244140625,1924.8499755859375,2235300,0.0,0.0
2019-11-04,1915.800048828125,1919.8499755859375,1858.25,1865.949951171875,1210800,0.0,0.0
2019-11-05,1868.699951171875,1877.0,1827.0999755859375,1839.0,803800,0.0,0.0
2019-11-06,1840.050048828125,1879.9000244140625,1825.699951171875,1832.800048828125,796000,0.0,0.0
2019-11-07,1840.8499755859375,1852.9000244140625,1820.0,1839.199951171875,444600,0.0,0.0
2019-11-08,1842.050048828125,1854.9000244140625,1820.199951171875,1825.8499755859375,531200,0.0,0.0
2019-11-11,1825.449951171875,1885.75,1818.0,1878.9000244140625,879700,0.0,0.0
2019-11-13,1865.75,1866.300048828125,1789.550048828125,1793.8499755859375,1194100,0.0,0.0
2019-11-14,1800.949951171875,1815.5999755859375,1785.4000244140625,1791.949951171875,769800,0.0,0.0
2019-11-15,1800.449951171875,1812.699951171875,1781.0999755859375,1801.0,589700,0.0,0.0
2019-11-18,1816.4000244140625,1825.5999755859375,1801.199951171875,1815.699951171875,726700,0.0,0.0
2019-11-19,1817.949951171875,1818.550048828125,1796.4000244140625,1804.8499755859375,706300,0.0,0.0
2019-11-20,1817.800048828125,1873.6500244140625,1798.9000244140625,1863.199951171875,2026200,0.0,0.0
2019-11-21,1939.6500244140625,1996.199951171875,1888.6500244140625,1939.1500244140625,2789800,0.0,0.0
2019-11-22,1949.8499755859375,1993.75,1932.25,1978.550048828125,1407300,0.0,0.0
2019-11-25,1978.949951171875,1982.300048828125,1944.949951171875,1960.449951171875,893900,0.0,0.0
2019-11-26,1958.199951171875,1961.5999755859375,1880.300048828125,1889.3499755859375,1353400,0.0,0.0
2019-11-27,1878.0,1917.5999755859375,1872.699951171875,1881.9000244140625,988300,0.0,0.0
2019-11-28,1875.5,1899.1500244140625,1857.050048828125,1881.199951171875,1523300,0.0,0.0
2019-11-29,1887.800048828125,1917.0,1811.199951171875,1834.9000244140625,1436500,0.0,0.0
2019-12-02,1837.3499755859375,1868.050048828125,1815.050048828125,1826.3499755859375,1275400,0.0,0.0
2019-12-03,1837.300048828125,1841.800048828125,1763.3499755859375,1783.300048828125,1326800,0.0,0.0
2019-12-04,1783.0,1812.800048828125,1770.1500244140625,1797.5999755859375,1451000,0.0,0.0
2019-12-05,1809.0999755859375,1858.4000244140625,1798.3499755859375,1850.6500244140625,1584200,0.0,0.0
2019-12-06,1849.8499755859375,1859.5999755859375,1774.550048828125,1787.4000244140625,1961000,0.0,0.0
2019-12-09,1795.199951171875,1817.550048828125,1772.050048828125,1775.800048828125,1472400,0.0,0.0
2019-12-10,1780.0,1784.949951171875,1736.550048828125,1741.3499755859375,859000,0.0,0.0
2019-12-11,1750.8499755859375,1760.0999755859375,1723.949951171875,1752.6500244140625,1154300,0.0,0.0
2019-12-12,1755.3499755859375,1764.75,1737.449951171875,1758.0999755859375,585900,0.0,0.0
2019-12-13,1760.9000244140625,1775.050048828125,1758.5999755859375,1765.699951171875,573500,0.0,0.0
2019-12-16,1777.9000244140625,1777.9000244140625,1751.5999755859375,1755.0,605000,0.0,0.0
2019-12-17,1756.9000244140625,1785.800048828125,1755.25,1772.0999755859375,516700,0.0,0.0
2019-12-18,1774.3499755859375,1778.949951171875,1754.9000244140625,1766.0,405700,0.0,0.0
2019-12-19,1768.6500244140625,1775.5999755859375,1757.449951171875,1766.449951171875,530300,0.0,0.0
2019-12-20,1770.1500244140625,1798.449951171875,1764.699951171875,1787.800048828125,1716200,0.0,0.0
2019-12-23,1789.449951171875,1810.050048828125,1782.8499755859375,1803.199951171875,846700,0.0,0.0
2019-12-24,1805.0999755859375,1822.5999755859375,1792.5999755859375,1797.300048828125,784600,0.0,0.0
2019-12-26,1797.1500244140625,1803.199951171875,1787.25,1797.8499755859375,753000,0.0,0.0
2019-12-27,1803.5999755859375,1825.6500244140625,1800.0999755859375,1815.550048828125,430900,0.0,0.0
2019-12-30,1817.3499755859375,1839.550048828125,1814.949951171875,1830.300048828125,349400,0.0,0.0
2019-12-31,1830.6500244140625,1835.9000244140625,1799.0999755859375,1803.5999755859375,446900,0.0,0.0
2020-01-01,1809.5999755859375,1817.5999755859375,1789.9000244140625,1794.199951171875,589500,0.0,0.0
2020-01-02,1777.949951171875,1807.6500244140625,1760.800048828125,1800.6500244140625,573300,0.0,0.0
2020-01-03,1799.300048828125,1799.5,1755.0999755859375,1760.5,764900,0.0,0.0
2020-01-06,1763.050048828125,1763.9000244140625,1712.949951171875,1717.3499755859375,556900,0.0,0.0
2020-01-07,1728.0999755859375,1753.75,1721.699951171875,1735.1500244140625,632800,0.0,0.0
2020-01-08,1716.199951171875,1729.699951171875,1706.3499755859375,1726.5999755859375,603100,0.0,0.0
2020-01-09,1749.0999755859375,1772.449951171875,1747.75,1767.949951171875,471900,0.0,0.0
2020-01-10,1773.5999755859375,1796.3499755859375,1760.8499755859375,1770.6500244140625,992600,0.0,0.0
2020-01-13,1777.25,1789.050048828125,1758.949951171875,1784.800048828125,545600,0.0,0.0
2020-01-14,1788.5999755859375,1836.25,1777.550048828125,1822.199951171875,806400,0.0,0.0
2020-01-15,1831.199951171875,1841.949951171875,1806.25,1837.0,456500,0.0,0.0
2020-01-16,1839.800048828125,1868.75,1836.6500244140625,1863.5,610600,0.0,0.0
2020-01-17,1862.199951171875,1875.800048828125,1852.949951171875,1870.0999755859375,567300,0.0,0.0
2020-01-20,1873.3499755859375,1883.4000244140625,1830.25,1835.699951171875,451900,0.0,0.0
2020-01-21,1828.5999755859375,1882.300048828125,1824.0999755859375,1876.5,800,0.0,0.0
2020-01-22,1867.949951171875,1918.5,1842.300048828125,1909.0,1300,0.0,0.0
2020-01-23,1896.75,1902.25,1866.6500244140625,1871.8499755859375,731300,0.0,0.0
2020-01-24,1871.800048828125,1907.699951171875,1870.1500244140625,1889.9000244140625,615400,0.0,0.0
2020-01-27,1886.5,1904.449951171875,1875.8499755859375,1882.449951171875,362400,0.0,0.0
2020-01-28,1884.0999755859375,1893.9000244140625,1854.3499755859375,1861.0,967300,0.0,0.0
2020-01-29,1870.0,1880.699951171875,1859.75,1868.050048828125,688800,0.0,0.0
2020-01-30,1868.199951171875,1870.6500244140625,1839.4000244140625,1845.0,711000,0.0,0.0
2020-01-31,1853.199951171875,1861.1500244140625,1824.25,1835.300048828125,247300,0.0,0.0
2020-02-03,1760.550048828125,1787.8499755859375,1757.050048828125,1779.199951171875,297800,0.0,0.0
2020-02-04,1792.949951171875,1827.300048828125,1768.550048828125,1782.199951171875,408900,0.0,0.0
2020-02-05,1794.8499755859375,1797.8499755859375,1745.199951171875,1764.699951171875,698800,0.0,0.0
