,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,197.0632301543821,200.43013357019314,194.29047816532923,198.49911499023438,3522957,0.0,0.0
2019-11-04,198.99424906256448,201.91553513555462,196.32052986203593,198.94473266601562,3965499,0.0,0.0
2019-11-05,198.05347918265238,199.5388802765223,195.77586114999562,198.59812927246094,2326138,0.0,0.0
2019-11-06,197.06322424567512,207.65908302979315,196.6671233063796,205.53001403808594,6220311,0.0,0.0
2019-11-07,205.87659137933693,208.35225993902245,203.4999556061515,207.1144256591797,3959490,0.0,0.0
2019-11-08,206.66879897783159,209.93668435062872,204.19313053030058,206.02513122558594,4057743,0.0,0.0
2019-11-11,204.93584522764436,210.18426572118383,204.04461056905254,208.7978973388672,2907157,0.0,0.0
2019-11-13,206.9659031498006,208.69887123837546,192.40897422782805,196.27101135253906,9836594,0.0,0.0
2019-11-14,194.339979599384,201.17281869787394,192.16139431510328,200.3311004638672,4141184,0.0,0.0
2019-11-15,200.0340200537655,203.0048223317917,198.84570216461137,201.6184539794922,3314555,0.0,0.0
2019-11-18,201.81650906496188,203.59899349465928,198.15252252686741,199.19229125976562,2041767,0.0,0.0
2019-11-19,200.03404230543265,200.62820887124533,194.340003972481,197.7564239501953,2954848,0.0,0.0
2019-11-20,196.5680758978262,205.43096597040747,196.1719749879884,203.697998046875,3488019,0.0,0.0
2019-11-21,204.88632256352545,206.96589018364602,199.98450187070594,203.4999542236328,4409698,0.0,0.0
2019-11-22,202.75726037494545,204.29217794440683,198.15252277684343,201.46990966796875,2545651,0.0,0.0
2019-11-25,199.93498538026344,214.1453288534984,199.63791724348965,213.1055450439453,6805228,0.0,0.0
2019-11-26,212.65992721137596,215.58121306137346,205.13388881892126,208.55032348632812,5247790,0.0,0.0
2019-11-27,207.8571183669272,213.10553853704687,206.47075007004182,211.4716033935547,4051404,0.0,0.0
2019-11-28,210.7289177176232,214.09582102484927,208.4512995461316,211.0260009765625,4234343,0.0,0.0
2019-11-29,210.3327879417801,219.34422724988332,209.63960378968324,212.80845642089844,7969827,0.0,0.0
2019-12-02,209.9366989500785,211.62015058941424,204.04461065726244,206.9658966064453,3169460,0.0,0.0
2019-12-03,205.97563673966854,207.9066553120464,201.56894945647736,205.8271026611328,2382612,0.0,0.0
2019-12-04,203.7970367048012,211.42209276611288,203.301902998089,210.38230895996094,2917279,0.0,0.0
2019-12-05,210.9269866189788,211.62017087689057,205.33198104620382,206.3717498779297,2309030,0.0,0.0
2019-12-06,206.42125293662994,208.00568694684466,203.05434955277687,204.490234375,1958477,0.0,0.0
2019-12-09,203.8960668900312,207.6590863139806,200.430130730393,205.4309844970703,2550809,0.0,0.0
2019-12-10,205.43096976835406,206.17367032074168,201.32136608925526,202.2126007080078,2139886,0.0,0.0
2019-12-11,201.12331228146743,205.77756597686846,200.67767986923064,204.14361572265625,2155584,0.0,0.0
2019-12-12,204.88631334149798,210.28328261025234,204.58924521795046,208.3522491455078,2958155,0.0,0.0
2019-12-13,208.4512835827292,211.17451887894063,206.47074882184816,210.13473510742188,2867800,0.0,0.0
2019-12-16,210.03574325166636,211.17454483503403,207.36200890761543,208.45130920410156,2184582,0.0,0.0
2019-12-17,208.45128606234587,211.1250049992841,207.95615236623578,209.14447021484375,1968218,0.0,0.0
2019-12-18,209.73863044793978,210.38229818960096,203.59897582107962,206.1241455078125,2542320,0.0,0.0
2019-12-19,205.62900907734388,208.94641074224532,204.7377745069157,208.50079345703125,2180662,0.0,0.0
2019-12-20,207.95616055119098,218.65105183016573,207.4610268355929,216.67051696777344,6997898,0.0,0.0
2019-12-23,215.63073634982035,218.65105508194313,210.33279947001733,212.46188354492188,3709426,0.0,0.0
2019-12-24,212.4618788142695,214.83851458745494,205.57952324040005,207.1144256591797,2984621,0.0,0.0
2019-12-26,206.91636657714844,209.04545051595787,203.59897991152798,206.91636657714844,3299177,0.0,0.0
2019-12-27,207.01539449864714,209.14446327718335,205.08437616992907,207.06491088867188,2240503,0.0,0.0
2019-12-30,207.8571428505186,209.5406096939659,205.97564063879662,206.6193084716797,1938731,0.0,0.0
2019-12-31,206.66881965858929,208.69887101076236,205.62903578452188,206.32223510742188,1600059,0.0,0.0
2020-01-01,206.96590422399387,208.40178905420908,204.63876959171628,205.8271026611328,1553127,0.0,0.0
2020-01-02,205.97561758179546,211.1250049992841,205.48048388568537,209.14447021484375,2991937,0.0,0.0
2020-01-03,208.20372351074624,210.28329112143467,203.7970365464871,206.272705078125,2512421,0.0,0.0
2020-01-06,205.72805410718345,205.72805410718345,195.82538002260182,197.6078643798828,4353179,0.0,0.0
2020-01-07,198.59812066107392,203.6979914847799,198.59812066107392,202.06405639648438,2966120,0.0,0.0
2020-01-08,199.04374569876316,201.56893056923656,192.65652404541135,199.53887939453125,5762654,0.0,0.0
2020-01-09,199.93499416276103,206.8668663839008,199.93499416276103,205.9756317138672,3496063,0.0,0.0
2020-01-10,205.97561074925105,210.92694754610804,203.8960432504588,207.06491088867188,2769132,0.0,0.0
2020-01-13,208.59981730826345,214.14532067387267,207.56004864870764,211.5211181640625,3527267,0.0,0.0
2020-01-14,211.37257473156242,213.4026259353705,209.7881559485592,212.26382446289062,1775182,0.0,0.0
2020-01-15,212.41234537443842,215.87828107984882,210.43181068563246,214.49191284179688,1982079,0.0,0.0
2020-01-16,215.58122276501962,220.33450958945534,214.88803856589578,217.8588409423828,4280379,0.0,0.0
2020-01-17,213.89776798115392,227.01881161888673,211.62014983707596,226.1770782470703,10810744,0.0,0.0
2020-01-20,227.31589510958466,229.9896141900607,221.96844183835051,224.3450927734375,4546367,0.0,0.0
2020-01-21,222.1665071537687,224.79070983682587,218.35397144942777,222.06747436523438,2813526,0.0,0.0
2020-01-22,222.61211567744905,225.78096835155495,218.9976305828452,223.70140075683594,2939366,0.0,0.0
2020-01-23,223.8004335197307,228.9498210034381,223.55286666849204,227.3654022216797,2650092,0.0,0.0
2020-01-24,223.3053248491588,230.13816466517503,216.86858599541367,227.5139617919922,7154795,0.0,0.0
2020-01-27,227.26638373984278,234.14873961535451,223.84996399979704,228.30616760253906,5293975,0.0,0.0
2020-01-28,229.98961008516383,232.21771179750664,226.8702737319966,227.6624755859375,2161711,0.0,0.0
2020-01-29,229.44497226139865,236.03026007437433,228.75178804694926,230.0391387939453,3738186,0.0,0.0
2020-01-30,230.03911940568503,230.48473671239603,225.9790170328042,229.2469024658203,2192123,0.0,0.0
2020-01-31,228.75179080462598,232.2672434256281,224.9392549137691,227.2168731689453,2720308,0.0,0.0
2020-02-03,219.5422932855375,222.46357927614412,213.50167083399683,218.7500762939453,2720614,0.0,0.0
2020-02-04,220.48303132939668,224.93923464482802,219.88887995350802,223.2557830810547,2028088,0.0,0.0
2020-02-05,224.54312823260273,236.97098686356372,220.38400826203738,233.95066833496094,8985919,0.0,0.0
2020-02-06,235.08946149447542,241.229131117406,231.82159134648526,234.19822692871094,8852675,0.0,0.0
2020-02-07,234.0992170127521,239.7932547986107,232.96041549969317,237.16905212402344,5052443,0.0,0.0
2020-02-10,237.169024695648,242.7640290462349,235.23800643103803,242.120361328125,5588211,0.0,0.0
2020-02-11,242.81356487156089,246.1804831173313,241.2786473705686,242.91259765625,3533751,0.0,0.0
2020-02-12,243.50674109061757,248.95321164466807,242.6155064986126,247.26976013183594,4490312,0.0,0.0
2020-02-13,247.36881133822703,250.29009728547686,245.83389377297578,249.00274658203125,2563148,0.0,0.0
2020-02-14,250.04252758347118,256.08316498702624,249.10177654135214,253.65699768066406,4968325,0.0,0.0
2020-02-17,254.39969689596887,254.89483061130574,249.2007928849318,250.0425262451172,2411524,0.0,0.0
2020-02-18,249.2008022037688,249.2008022037688,242.86309645457183,247.022216796875,2430446,0.0,0.0
2020-02-19,247.56686893973765,253.01334005641186,247.46783614804875,251.52793884277344,2101729,0.0,0.0
2020-02-20,250.73573541663026,258.4598251678408,250.1910852534153,256.1326904296875,3108173,0.0,0.0
2020-02-24,252.32013450252103,253.35991828617261,241.72427643022496,244.84361267089844,3309214,0.0,0.0
2020-02-25,247.3688088188732,249.29982729923393,240.04082071789043,244.05140686035156,3309962,0.0,0.0
2020-02-26,241.62526865492205,243.90288691429961,238.65446617145992,240.43695068359375,2897390,0.0,0.0
2020-02-27,239.10006415506567,239.10006415506567,229.79155650497682,231.87110900878906,3568055,0.0,0.0
2020-02-28,218.84909179322074,224.59264564061942,214.88802225850182,216.52195739746094,3364181,0.0,0.0
2020-03-02,220.82962836543194,224.49361469293666,214.04629068767278,216.4724578857422,3162614,0.0,0.0
2020-03-03,218.84910142461325,226.42464119904486,217.11613342690706,223.55287170410156,2992170,0.0,0.0
2020-03-04,223.89947253861482,224.79070718377696,211.47161323833643,218.94813537597656,5216787,0.0,0.0
2020-03-05,221.57233168334272,224.64216668038654,217.2151611491013,219.591796875,3159080,0.0,0.0
2020-03-06,213.00651172386335,214.64044679723878,205.48047386586873,212.659912109375,4375226,0.0,0.0
2020-03-09,204.9853799862602,206.47078129050846,195.3302715086465,197.7564239501953,2763988,0.0,0.0
2020-03-11,195.47879922895015,203.00483830282667,190.37892762789477,193.84486389160156,3763186,0.0,0.0
2020-03-12,178.34718258929732,182.11018699674955,158.88841717047424,160.57186889648438,4834390,0.0,0.0
2020-03-13,144.5295248530586,159.77965196840026,128.48719590130975,147.30227661132812,7463176,0.0,0.0
2020-03-16,139.62772677228799,140.91507762983397,127.39791629102723,133.3890380859375,6582749,0.0,0.0
2020-03-17,134.37928742591836,141.1626253754742,129.2298998044267,132.10166931152344,6388061,0.0,0.0
2020-03-18,134.57733684514494,135.66663705539585,125.86298804912374,128.9328155517578,4255688,0.0,0.0
2020-03-19,119.82236993035885,131.65606377332523,117.0496178520625,127.64547729492188,5517080,0.0,0.0
2020-03-20,136.65691603798496,140.22188510917604,127.4474251959772,136.35983276367188,4496351,0.0,0.0
2020-03-23,122.74380303160586,134.66406337508886,117.90586577758071,120.59915161132812,1456143,1.0,0.0
2020-03-24,124.6889419613519,132.61915562593026,116.1103442764927,130.025634765625,5125923,0.0,0.0
2020-03-25,125.68643915808855,134.56428472457935,124.68892773619895,131.97076416015625,2771318,0.0,0.0
2020-03-26,134.66405042352523,151.62174566204322,131.7213945880635,139.90098571777344,7980255,0.0,0.0
2020-03-27,145.63668859004974,150.6242464184761,125.93583516776562,127.68148040771484,4378366,0.0,0.0
2020-03-30,123.69142910122648,129.47699899044744,120.6988945261968,128.37973022460938,2397592,0.0,0.0
2020-03-31,131.37227144901937,138.1054745836358,129.12787040414722,137.25759887695312,2200227,0.0,0.0
2020-04-01,138.60422643709333,138.60422643709333,131.47202496305297,133.61666870117188,1997603,0.0,0.0
2020-04-03,133.66654562898074,134.26505863803476,127.68147642171296,128.72886657714844,1761897,0.0,0.0
2020-04-07,130.67401194504228,141.14788313147696,130.67401194504228,137.80621337890625,2463474,0.0,0.0
2020-04-08,136.5094431296375,146.78379851984968,134.5642836951799,137.75633239746094,3237290,0.0,0.0
2020-04-09,139.65160472226592,145.8860513616528,139.65160472226592,142.0955047607422,2359428,0.0,0.0
2020-04-13,141.6466419794788,148.62922292212917,136.2102070040076,145.63668823242188,2204560,0.0,0.0
2020-04-15,147.68156958130794,150.57434662677213,142.84363307957273,144.88853454589844,3413325,0.0,0.0
2020-04-16,141.64663711948995,144.48955106549704,140.20024844658832,142.9434051513672,2685695,0.0,0.0
2020-04-17,146.5843137936299,148.1803383027836,141.1977577116672,143.54190063476562,2383979,0.0,0.0
2020-04-20,145.6366906171759,155.06317199994578,142.24515733496645,146.33494567871094,6835058,0.0,0.0
2020-04-21,142.6441539194886,142.6441539194886,133.8161704732068,135.6116943359375,3576177,0.0,0.0
2020-04-22,135.66157426782766,138.45460972338785,131.77128521171008,137.25759887695312,6012030,0.0,0.0
2020-04-23,140.15036010742188,142.14538302710048,137.15782572790397,140.15036010742188,3371195,0.0,0.0
2020-04-24,136.80868951802574,140.20023758643708,133.7662917668675,134.31491088867188,1823167,0.0,0.0
2020-04-27,136.06056903422478,138.00572872912704,133.76630465089505,134.2650604248047,2996533,0.0,0.0
2020-04-28,135.61168429525912,141.54687462858413,134.7139300407727,138.95335388183594,5721109,0.0,0.0
2020-04-29,139.65161832857302,140.3498733760522,135.31243695646498,139.15286254882812,4774187,0.0,0.0
2020-04-30,141.0979895778773,147.08305819387056,139.95085751480525,141.04811096191406,4899422,0.0,0.0
2020-05-04,136.55931838868392,137.15783137756762,129.6764951206094,131.22264099121094,6012691,0.0,0.0
2020-05-05,134.66404561216666,136.01069215661502,131.47201201959717,132.36976623535156,3112486,0.0,0.0
2020-05-06,133.31740977820255,135.06305495415785,126.98322070079837,132.9184112548828,6685480,0.0,0.0
2020-05-07,130.77375403619467,135.31241884781613,129.67648537927423,134.5642852783203,2423478,0.0,0.0
2020-05-08,136.55933790943274,139.00325361271027,135.86108280313334,136.8087158203125,2431204,0.0,0.0
2020-05-11,137.5069699957625,142.94340477020987,137.15783487321258,139.7014923095703,2900696,0.0,0.0
2020-05-12,138.15533938754993,140.34986158997572,132.86852552205787,139.55184936523438,2901801,0.0,0.0
2020-05-13,144.6391617838179,144.6391617838179,140.3997380763612,140.79873657226562,3115038,0.0,0.0
2020-05-14,139.2027308100276,141.99576601287552,137.0580719842616,140.5493621826172,1587450,0.0,0.0
