,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,1758.6651010937555,1766.8503132492767,1736.709426174409,1742.58349609375,1297114,0.0,0.0
2019-11-01,1748.7464719789073,1753.561302573563,1696.746301556627,1700.9351806640625,1527660,0.0,0.0
2019-11-04,1709.26487616996,1723.7093680812554,1700.7907272288362,1719.76123046875,821893,0.0,0.0
2019-11-05,1714.0796908164486,1731.220534744443,1702.1388874379245,1727.416748046875,1251974,0.0,0.0
2019-11-06,1722.7463471090027,1747.7834656248406,1714.657408386279,1731.02783203125,1136777,0.0,0.0
2019-11-07,1742.9686649551854,1763.0946802317098,1731.6056177991838,1759.2908935546875,1380635,0.0,0.0
2019-11-08,1758.3760554608725,1759.1464753418004,1724.479696592298,1728.379638671875,1077136,0.0,0.0
2019-11-11,1723.6612428449216,1727.5131075112304,1702.5241825083858,1708.2537841796875,860384,0.0,0.0
2019-11-13,1708.061135961007,1720.8204369061702,1691.6425167815523,1704.88330078125,983760,0.0,0.0
2019-11-14,1712.1539552717722,1733.3392123111307,1701.0316483062738,1706.231689453125,1116800,0.0,0.0
2019-11-15,1714.8982988812056,1717.9316658594278,1691.25754968178,1695.4945068359375,729613,0.0,0.0
2019-11-18,1695.494463087225,1700.0685523261689,1670.2647968311978,1674.59814453125,1273055,0.0,0.0
2019-11-19,1683.2168074167655,1683.2650027490374,1654.8574984120257,1657.6019287109375,1187377,0.0,0.0
2019-11-20,1665.8351258605778,1684.0832869392184,1651.920194801919,1659.672119140625,1374382,0.0,0.0
2019-11-21,1663.9092354033614,1670.6018031312926,1647.6350839456481,1656.6387939453125,913095,0.0,0.0
2019-11-22,1646.6721017667787,1650.4757710054146,1613.9312529597198,1620.4312744140625,1275334,0.0,0.0
2019-11-25,1621.6349213439594,1654.375768924538,1604.4459998740704,1647.3460693359375,1320689,0.0,0.0
2019-11-26,1654.3757293135327,1664.8238877960819,1625.1015369030765,1646.9609375,2714721,0.0,0.0
2019-11-27,1650.5239938067828,1666.8944184828126,1641.4720884171797,1651.823974609375,883771,0.0,0.0
2019-11-28,1654.6165344155202,1663.5721663444522,1638.7275934477586,1651.1016845703125,691147,0.0,0.0
2019-11-29,1651.48694860426,1656.6869893284402,1615.2312495171138,1642.9647216796875,1890290,0.0,0.0
2019-12-02,1643.0128632122608,1677.9685828621639,1635.4536021451513,1673.8759765625,1476972,0.0,0.0
2019-12-03,1675.5610327678078,1686.1054646610858,1661.1165411060163,1672.1424560546875,1374317,0.0,0.0
2019-12-04,1667.0869351322026,1670.1684973110287,1646.912841511966,1656.5906982421875,853421,0.0,0.0
2019-12-05,1653.798064451581,1673.7796117612,1643.783193133471,1652.305419921875,971984,0.0,0.0
2019-12-06,1659.0945889153638,1682.8798084609193,1649.4167310055595,1653.0760498046875,1031777,0.0,0.0
2019-12-09,1661.1166451554875,1668.7241014171304,1647.6351187600228,1662.4166259765625,751290,0.0,0.0
2019-12-10,1662.0797815325145,1667.85757915082,1645.7093549473161,1649.7056884765625,686580,0.0,0.0
2019-12-11,1654.375768417259,1677.1017449857186,1649.8016794184337,1673.82763671875,827804,0.0,0.0
2019-12-12,1675.8979310479817,1689.0424410575731,1664.1015970098088,1685.8165283203125,802332,0.0,0.0
