,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,744.7550014679604,746.7463250012971,728.8741841355252,733.155517578125,8775411,0.0,0.0
2019-11-01,732.8071430138643,746.7464093211934,724.9413898608632,745.0537719726562,8484197,0.0,0.0
2019-11-04,751.674815437742,751.674815437742,732.3589540758786,739.3783569335938,7851370,0.0,0.0
2019-11-05,738.5819374496822,742.36544027066,727.4305127375562,734.8482055664062,7306253,0.0,0.0
2019-11-06,733.7530563034244,747.6425520939526,725.588616492079,744.0083618164062,7821243,0.0,0.0
2019-11-07,746.7463422932971,752.7203130316434,729.32226097312,731.5625,9871570,0.0,0.0
2019-11-08,732.7075685226737,732.7075685226737,719.6643620248317,722.3526611328125,7427196,0.0,0.0
2019-11-11,720.2617852468318,732.3092689665476,718.0713170876904,730.51708984375,6355142,0.0,0.0
2019-11-13,730.5170755821479,734.2010364000959,704.7791815628626,708.1146850585938,9290616,0.0,0.0
2019-11-14,707.9156049812325,718.6687412572513,704.1818728874497,712.7943725585938,8000528,0.0,0.0
2019-11-15,713.6406044472483,720.3613216848053,707.5172599893245,713.7899780273438,9315652,0.0,0.0
2019-11-18,714.6859774516718,722.3525849247261,709.110296073288,719.8136596679688,7907958,0.0,0.0
2019-11-19,721.8548305148036,746.945520915738,721.8548305148036,744.555908203125,14424251,0.0,0.0
2019-11-20,744.7550236722664,750.5796208727838,738.0343065468816,745.5017700195312,8798051,0.0,0.0
2019-11-21,745.750702599548,745.750702599548,731.1144617028651,734.2010498046875,5529542,0.0,0.0
2019-11-22,734.2010676166846,736.7897641013226,724.3439910590705,728.9240112304688,4889776,0.0,0.0
2019-11-25,728.7746321955691,753.5168024472011,726.8330796233231,751.4757080078125,6888402,0.0,0.0
2019-11-26,753.5168826043575,758.6943364243208,740.7724229654785,748.9866333007812,14624880,0.0,0.0
2019-11-27,751.7247157272894,760.436757134725,745.1533716595466,749.6338500976562,8436862,0.0,0.0
2019-11-28,749.036387275743,752.3718908894903,742.5148144022156,747.34375,9235443,0.0,0.0
2019-11-29,746.6468395166862,753.0688097803627,733.3049465276524,735.8438720703125,12674173,0.0,0.0
2019-12-02,736.0430257471928,742.7637432633153,734.1512439159853,741.0711059570312,8285491,0.0,0.0
2019-12-03,741.7182033555573,741.7182033555573,727.4802530501622,730.2183227539062,5408215,0.0,0.0
2019-12-04,729.6707480470851,743.7593872543641,726.1361607034988,736.640380859375,8016237,0.0,0.0
2019-12-05,739.7767144413407,741.7680380333766,722.1534884977482,726.0863647460938,8151690,0.0,0.0
2019-12-06,729.6208865018771,732.0602698373195,711.8981202770261,714.48681640625,7458610,0.0,0.0
2019-12-09,710.3549480137971,730.7162446844204,706.9199025305243,728.824462890625,8977174,0.0,0.0
2019-12-10,727.8287670105541,731.6122696507888,710.9025166149597,712.5951538085938,7625748,0.0,0.0
2019-12-11,708.4133872318931,719.2661254133076,705.9740036108917,713.4414672851562,8266375,0.0,0.0
2019-12-12,715.8808189851546,722.1534760377651,712.0475454447738,718.9673461914062,5519774,0.0,0.0
2019-12-13,722.452234057561,751.5753439765206,721.8548612391695,748.7377319335938,14834140,0.0,0.0
2019-12-16,748.9866713635217,751.4260551956843,742.962928965588,744.0083618164062,7286003,0.0,0.0
2019-12-17,744.3567751954809,753.2181899739129,738.1338886292721,742.415283203125,9788065,0.0,0.0
2019-12-18,742.5645903008241,745.3026603688731,734.4001510347481,738.6317138671875,6678420,0.0,0.0
2019-12-19,739.8762761648345,746.746367049843,737.4369533154382,739.3286743164062,8400708,0.0,0.0
2019-12-20,741.4693771986867,743.7593872543641,734.1014553461159,736.640380859375,7019925,0.0,0.0
2019-12-23,733.7032002140674,745.3523945860973,731.811418497557,739.9260864257812,10250382,0.0,0.0
2019-12-24,741.2702243792858,741.4693688971967,734.5992780367068,737.4369506835938,3642916,0.0,0.0
2019-12-26,734.3005934622688,737.4369525085965,730.7162352125013,733.304931640625,7919368,0.0,0.0
2019-12-27,735.7940841788112,758.6943060138757,733.1057851136635,756.8523559570312,10736285,0.0,0.0
2019-12-30,757.5990396356535,762.4279747496878,747.7917350685876,750.8284912109375,10034206,0.0,0.0
2019-12-31,750.5795757768044,762.5275166151932,748.1402531385957,750.8284912109375,11660781,0.0,0.0
2020-01-01,751.625203425178,756.653283938397,743.95859453087,745.4520874023438,4917748,0.0,0.0
2020-01-02,746.7463371851453,755.707293231367,744.3567245980038,753.6661987304688,5156046,0.0,0.0
2020-01-03,749.8826909812782,752.9692181790534,737.287545205407,739.7269287109375,8489729,0.0,0.0
2020-01-06,736.2420983395124,736.3914111408341,718.5691021534395,720.1123657226562,6356198,0.0,0.0
2020-01-07,724.8418628089476,734.798481803576,717.9220004536049,722.6016235351562,9103360,0.0,0.0
2020-01-08,712.1470624609105,722.6015107738634,706.0237184266043,721.35693359375,8973215,0.0,0.0
2020-01-09,730.3676770565596,741.7680164432176,727.8287517046873,739.6273193359375,7559853,0.0,0.0
2020-01-10,739.7768144588126,748.538627294289,731.6123744735623,736.839599609375,8550490,0.0,0.0
2020-01-13,736.7897462265228,743.5104635062917,732.1598944589765,734.2010498046875,6423758,0.0,0.0
2020-01-14,736.7897647008706,748.1403340327913,731.0149381586418,744.655517578125,7237665,0.0,0.0
2020-01-15,743.8091853648694,745.7507381590118,734.7984576253014,743.0624389648438,7911661,0.0,0.0
2020-01-16,743.2614794398937,747.1445844845659,731.9109114403666,734.1013793945312,6487613,0.0,0.0
2020-01-17,731.6620448718448,739.2291109670115,727.6793976966118,736.690185546875,7678864,0.0,0.0
2020-01-20,739.7268994031233,742.9628000472574,721.8547590760627,724.0452270507812,10677371,0.0,0.0
2020-01-21,723.1988563397101,726.4347568864239,712.9435529149678,714.48681640625,8242803,0.0,0.0
2020-01-22,713.8895423802068,719.6145979850689,703.5346348910881,709.5086059570312,13321307,0.0,0.0
2020-01-23,721.9045588430662,734.350331048382,716.2791062684867,719.8634643554688,20643257,0.0,0.0
2020-01-24,720.2617843355371,738.4823834732803,717.274798877862,734.2010498046875,9541490,0.0,0.0
2020-01-27,729.2724854964907,745.2030740328805,727.8287637563059,737.0386352539062,9170435,0.0,0.0
2020-01-28,735.1967257354199,743.2615623177908,731.8114511769273,733.9521484375,7836737,0.0,0.0
