,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,814.9062706336504,840.9457953938885,809.1696017720304,836.531005859375,6564390,0.0,0.0
2019-11-04,846.0339211797804,872.971321972061,843.0658430425341,868.641357421875,5528120,0.0,0.0
2019-11-05,877.9597039290405,886.7143832887455,863.5332077814033,882.5241088867188,5984200,0.0,0.0
2019-11-06,877.959769817059,885.4423814916362,870.0830544416528,875.2510375976562,3203030,0.0,0.0
2019-11-07,877.7601667565715,883.915844527936,874.1735310124908,881.2420654296875,2133830,0.0,0.0
2019-11-08,877.460851984704,892.92491475419,872.9712853742082,879.84033203125,2949040,0.0,0.0
2019-11-11,877.8600574399641,890.4308211457372,875.4655972609349,888.265869140625,1749780,0.0,0.0
2019-11-13,886.7393916701413,900.6071902327095,883.5019197577793,895.7534790039062,3606730,0.0,0.0
2019-11-14,895.9130311480636,906.9922651824354,887.9365720938363,904.0840454101562,3486340,0.0,0.0
2019-11-15,904.9171194903406,911.8809170734903,901.2655709954896,903.6849365234375,2959190,0.0,0.0
2019-11-18,904.4481929951314,910.4841541673496,899.4547919878553,908.314208984375,2117600,0.0,0.0
2019-11-19,904.8971873602122,916.7696224448903,904.5280500494295,913.1580200195312,2376530,0.0,0.0
2019-11-20,911.3820941332639,916.3705018734569,903.8994825229743,905.8200073242188,2439930,0.0,0.0
2019-11-21,906.3935801970845,909.5861729554833,901.1058807907335,903.4105224609375,1733280,0.0,0.0
2019-11-22,903.8795245798648,905.8948608267028,896.0177889778503,901.8342895507812,1557720,0.0,0.0
2019-11-25,903.0015274189799,919.8623696142712,899.4298713890669,915.372802734375,1484370,0.0,0.0
2019-11-26,914.8739016074181,919.3634681910968,906.8525645662907,910.0151977539062,2950940,0.0,0.0
2019-11-27,911.980663183166,923.883057435105,910.0152597959318,920.7053833007812,1473510,0.0,0.0
2019-11-28,923.3044006811257,926.3223508273283,916.8743357976838,921.8677368164062,1646350,0.0,0.0
2019-11-29,920.8601156192514,921.438787996732,907.421373713436,908.9129028320312,1488770,0.0,0.0
2019-12-02,908.8878642129283,908.8878642129283,887.9365523046171,892.75537109375,3207500,0.0,0.0
2019-12-03,895.41918239378,910.6138527661493,890.5804512809221,906.8675537109375,1808800,0.0,0.0
2019-12-04,904.7873645948264,906.6929094128021,893.4287512951536,900.9313354492188,2164590,0.0,0.0
2019-12-05,899.4099103245098,900.9313990338771,891.433451265836,894.4713745117188,1192460,0.0,0.0
2019-12-06,899.1106206557575,901.4551479293686,880.3791252883598,883.2574462890625,1670270,0.0,0.0
2019-12-09,887.6073421522921,897.3896026038642,880.0598786665308,890.8298950195312,1498330,0.0,0.0
2019-12-10,888.9342245529361,897.214968899223,885.8414362323769,890.6502075195312,1439350,0.0,0.0
2019-12-11,892.9249511787978,907.8901738242525,891.4334221932926,905.8049926757812,2258810,0.0,0.0
2019-12-12,907.890140245235,916.2706889741872,906.0144942048851,914.799072265625,1919850,0.0,0.0
2019-12-13,917.8670121104116,925.3396370638484,912.0954512242051,918.8946533203125,2153570,0.0,0.0
2019-12-16,922.8553302969852,927.8437374877798,912.8785159153962,926.656494140625,1970750,0.0,0.0
2019-12-17,926.0280574491289,936.8030060531877,923.9928090007605,934.0045166015625,2209980,0.0,0.0
2019-12-18,934.3286672007064,939.9156588991211,930.5025369621613,934.0892333984375,2284240,0.0,0.0
2019-12-19,932.8322119332576,933.7101765336276,923.5138398358213,924.9255981445312,1358430,0.0,0.0
2019-12-20,926.8460817416815,931.136099865955,923.8530373442379,925.8533935546875,1676700,0.0,0.0
2019-12-23,926.023114446033,934.8276668164984,923.9280074264241,928.2479858398438,1697040,0.0,0.0
2019-12-24,926.8510884301345,930.6272860396728,923.0848164847368,927.3299560546875,1001600,0.0,0.0
2019-12-26,930.3379728476754,937.0224508902965,926.8460876948959,932.8421630859375,1650070,0.0,0.0
2019-12-27,933.8298862235636,944.3055419985074,932.6376495209871,942.1256103515625,1334070,0.0,0.0
2019-12-30,942.2104348763111,946.0016124053027,938.0750255644224,941.7315063476562,1249650,0.0,0.0
2019-12-31,940.0553985947982,942.3051752291123,935.7254950231118,937.1571655273438,1167320,0.0,0.0
2020-01-01,939.815989194601,941.0580978120129,933.026773777349,935.6705932617188,636680,0.0,0.0
2020-01-02,935.6756463560214,950.8852971864295,935.6706530766245,948.356201171875,1578910,0.0,0.0
2020-01-03,944.3055045633098,948.2563450778063,930.2382202949431,932.4181518554688,1824790,0.0,0.0
2020-01-06,931.7347693822835,931.7347693822835,900.1082539191696,902.1734619140625,2442890,0.0,0.0
2020-01-07,910.3844307591714,924.3519727105449,904.4033346307716,907.4562377929688,2426760,0.0,0.0
2020-01-08,895.0200716757262,914.5596862635969,894.0822486065267,912.4296264648438,2697180,0.0,0.0
2020-01-09,947.7874435762727,947.7874435762727,918.7649226844968,937.3467407226562,2141970,0.0,0.0
2020-01-10,935.3414296086792,941.2975592118694,931.6649755458585,935.0520629882812,1393930,0.0,0.0
2020-01-13,937.8006976229567,944.6048932008844,934.3287852640567,943.3328857421875,1507130,0.0,0.0
2020-01-14,942.4098809065705,955.7588636866293,938.3493709587565,953.2696533203125,1628990,0.0,0.0
2020-01-15,951.7732704950047,959.6699593635775,947.9571261805029,956.6918334960938,1372300,0.0,0.0
2020-01-16,956.7765580451953,961.7649655428241,954.2873475753703,959.984130859375,1357820,0.0,0.0
2020-01-17,959.1710603957822,971.7717831632217,957.8740256741543,969.2476196289062,2841290,0.0,0.0
2020-01-20,970.2452798375209,974.1711541896009,952.785853208054,955.0556030273438,1841980,0.0,0.0
2020-01-21,956.1729365990669,960.2683994818001,948.6154874062347,951.2194213867188,1745070,0.0,0.0
2020-01-22,956.7765844784099,957.7742660054989,947.2986099710637,952.5364379882812,1395250,0.0,0.0
2020-01-23,952.5363449727681,957.3750755491872,946.2160111941284,951.2094116210938,1812800,0.0,0.0
2020-01-24,949.7129597839476,962.7626509002571,945.8120518983748,961.1414184570312,1239780,0.0,0.0
2020-01-27,956.7766068985002,962.6529658452306,951.289358370928,953.5441284179688,1131280,0.0,0.0
2020-01-28,953.5440649898976,968.7487210646542,950.7904543507883,960.89697265625,1904690,0.0,0.0
2020-01-29,962.6628798016175,990.5979611079047,962.6628798016175,987.1309814453125,5019130,0.0,0.0
2020-01-30,990.0991115638412,992.6930590188953,958.108452909562,961.7300415039062,4128250,0.0,0.0
2020-01-31,968.5492124729724,968.5492124729724,938.8183152011244,941.9510498046875,3295410,0.0,0.0
2020-02-03,893.4237787527538,921.3588606121364,886.4400082879082,906.5083618164062,5025510,0.0,0.0
2020-02-04,915.8715911811435,960.258430121874,914.005931700229,951.279296875,4636970,0.0,0.0
2020-02-05,951.7882228889787,966.1548619315556,943.5773230097726,956.9163208007812,3245400,0.0,0.0
2020-02-06,957.7742207369166,968.6489732256583,953.7834948171794,959.7396240234375,2713430,0.0,0.0
2020-02-07,958.7719434774874,965.1221766275675,953.8882729370745,960.098876953125,1426260,0.0,0.0
2020-02-10,958.2730451457904,963.555751441793,950.8901779626391,960.4679565429688,1435280,0.0,0.0
2020-02-11,962.1141755646063,978.7255976808698,962.1141755646063,970.9037475585938,1955790,0.0,0.0
2020-02-12,971.5422110128753,981.8133247777682,966.2794777530715,974.9193725585938,1885280,0.0,0.0
2020-02-13,973.5375985987133,977.2290323391115,966.6536327631402,969.467041015625,1366300,0.0,0.0
2020-02-14,971.242917405554,977.2290062647561,963.0669103981229,966.80322265625,1392370,0.0,0.0
2020-02-17,967.7311178982663,976.2563504764591,949.2491039591437,950.67578125,1754010,0.0,0.0
2020-02-18,950.4911802101552,954.2773644643104,939.4168789892304,950.7406005859375,2663840,0.0,0.0
2020-02-19,955.7788472916782,975.7324766714627,955.7788472916782,973.6024169921875,2211320,0.0,0.0
2020-02-20,973.5376299005478,980.4765220283072,967.1275382154125,968.7188110351562,1670200,0.0,0.0
2020-02-24,965.7557078660365,965.7557078660365,942.639444181489,944.4951171875,1993290,0.0,0.0
2020-02-25,947.7974831088009,952.7858909146366,932.9419900485459,950.2916870117188,2220180,0.0,0.0
