,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,128.41548090328206,129.65621018737176,127.79511626123723,128.75668334960938,6655719,0.0,0.0
2019-11-01,127.17473913807811,129.0358328815622,125.22059449382475,128.47750854492188,7118433,0.0,0.0
2019-11-04,127.79509149595748,133.75059469188238,127.67102048479475,133.3783721923828,8489492,0.0,0.0
2019-11-05,134.6190801280481,134.96028245475435,130.02838717275824,130.9899444580078,12681517,0.0,0.0
2019-11-06,131.14506208573206,133.28532735607638,130.98997094822954,131.7654266357422,4344694,0.0,0.0
2019-11-07,132.4478334314683,132.6029245713178,130.83488179062877,131.8274688720703,3529240,0.0,0.0
2019-11-08,131.88947327495103,133.99870841733872,129.09783351625646,129.81124877929688,6324778,0.0,0.0
2019-11-11,129.62518362632704,130.7728619435344,127.64001876354732,130.1835174560547,3485203,0.0,0.0
2019-11-13,133.9366745729004,133.99871480134198,127.91914158844949,128.57052612304688,12228149,0.0,0.0
2019-11-14,129.34600750987278,129.34600750987278,125.15854683509272,125.53076934814453,4889669,0.0,0.0
2019-11-15,125.90297391590809,126.8645407881895,124.38308277766257,124.78631591796875,4544919,0.0,0.0
2019-11-18,125.31365114630222,125.31365114630222,122.98728386017036,124.259033203125,5894876,0.0,0.0
2019-11-19,124.66223148698813,124.87936282593292,122.98724940344711,123.82474517822266,3836452,0.0,0.0
2019-11-20,124.01085777343387,126.5543559690195,123.73169564611615,125.96501159667969,4456738,0.0,0.0
2019-11-21,125.93398222250232,126.33721532498804,121.46736011569443,121.96365356445312,4650473,0.0,0.0
2019-11-22,122.18081104983904,123.66969183004747,121.77757782983153,123.45256042480469,4335573,0.0,0.0
2019-11-25,123.51459396398704,125.09651609962928,123.11135129987214,124.50717163085938,3884393,0.0,0.0
2019-11-26,124.69324733574983,125.37565197822002,121.71549625244043,122.67706298828125,8027053,0.0,0.0
2019-11-27,122.52198451787086,125.127513434669,121.71550880252576,124.6932601928711,4378518,0.0,0.0
2019-11-28,124.41410774079112,128.0122238893712,123.94883434569917,127.70204162597656,7855291,0.0,0.0
2019-11-29,128.0432571591832,129.53213796606536,126.46133490926479,127.32984161376953,5422867,0.0,0.0
2019-12-02,127.29879900395666,128.0432345429015,125.4687255431306,127.70204162597656,3284647,0.0,0.0
2019-12-03,128.10527558515153,128.22934659808496,126.55436425845478,127.54695129394531,2619997,0.0,0.0
2019-12-04,126.92658593656401,127.17472796081468,124.78632074685333,125.7789077758789,5343182,0.0,0.0
2019-12-05,125.62381159745698,125.99603408489091,121.37431097429906,121.83958435058594,6745934,0.0,0.0
2019-12-06,121.83959320036593,122.21181571483612,118.42758819309893,119.10999298095703,5644775,0.0,0.0
2019-12-09,119.07897166796906,120.1025788395059,118.48962724763602,118.89286041259766,3992473,0.0,0.0
2019-12-10,119.10998416330034,119.38914629548087,115.72899952686721,116.13223266601562,4431410,0.0,0.0
2019-12-11,116.81463639729195,117.46602101077717,114.76743166891453,116.10121154785156,8520046,0.0,0.0
2019-12-12,116.81464209792605,118.39657353187208,115.54289292687096,117.96231079101562,8081188,0.0,0.0
2019-12-13,118.92387581411512,122.14976940384479,118.67573379414026,121.74653625488281,5851149,0.0,0.0
2019-12-16,122.21180830588308,122.3979195518354,119.10998576004849,119.48220825195312,3154315,0.0,0.0
2019-12-17,120.00951273186512,121.90162638317776,119.14100620307138,121.71551513671875,3652710,0.0,0.0
2019-12-18,121.49837438693427,123.14233629923554,120.84698985839631,122.67706298828125,3623918,0.0,0.0
2019-12-19,122.45995491024523,122.89421765573762,121.12617495198016,122.14977264404297,2015809,0.0,0.0
2019-12-20,122.11875314666366,125.74787971880984,121.68449043261963,124.5691909790039,5806708,0.0,0.0
2019-12-23,124.4451379616366,125.53077597163987,121.77756838671183,122.36691284179688,6665480,0.0,0.0
2019-12-24,122.70812377975189,123.8868127718323,122.45997225204194,123.42153930664062,3113553,0.0,0.0
2019-12-26,123.08031397690613,124.94140749147232,121.09514945457109,122.39791870117188,8630191,0.0,0.0
2019-12-27,123.14234875578259,127.48490009729633,122.61503516362308,126.24417114257812,5046833,0.0,0.0
2019-12-30,126.27518524148894,127.95016735732828,124.81732500277104,127.67100524902344,4696784,0.0,0.0
2019-12-31,127.17472572805755,131.79643947716764,126.83352335119466,131.11404418945312,10534842,0.0,0.0
2020-01-01,131.11403881646658,131.8894944293721,129.28395599720088,131.4862518310547,6447592,0.0,0.0
2020-01-02,131.82742967838,132.01354088406896,129.2219011967621,130.95892333984375,5958343,0.0,0.0
