,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,487.2574875424754,493.3922451463763,485.53978964752156,487.8359375,3601190,0.0,0.0
2019-11-01,487.9761138971555,495.8899765071974,479.5364363422904,483.1734924316406,15004275,0.0,0.0
2019-11-04,484.6896257654628,492.53336170791107,481.7625001543097,490.39495849609375,4044245,0.0,0.0
2019-11-05,489.6938914452588,499.4569328737941,489.3784024614572,493.5325012207031,4218310,0.0,0.0
2019-11-06,494.30369876393223,504.80288044500855,494.30369876393223,501.7705383300781,4502345,0.0,0.0
2019-11-07,501.6479818192072,505.3638840786186,495.86374892317656,503.2342529296875,2205775,0.0,0.0
2019-11-08,501.2973785117357,501.2973785117357,492.9365988331221,494.654296875,1594930,0.0,0.0
2019-11-11,492.94532578673363,495.57450788424467,489.90426416955233,493.54132080078125,1533320,0.0,0.0
2019-11-13,494.2861891987113,494.96102965919033,482.89306781647156,484.32159423828125,2283415,0.0,0.0
2019-11-14,486.39858448576757,486.81046391774913,477.62587352957166,479.2209167480469,3242840,0.0,0.0
2019-11-15,481.66607283289363,481.66607283289363,475.40866095173084,478.6512756347656,1894225,0.0,0.0
2019-11-18,479.03690967720195,483.5941688963772,478.86167368060563,479.7380676269531,2113865,0.0,0.0
2019-11-19,480.4391778808785,483.84836321109344,477.5470885212159,480.7897033691406,2384625,0.0,0.0
2019-11-20,481.37694636313825,501.9896967351676,481.14030286760857,497.5551452636719,4989880,0.0,0.0
2019-11-21,495.68837955987624,506.5556855599198,492.56841934554217,504.6714172363281,4794695,0.0,0.0
2019-11-22,500.4209760799582,509.14110711437166,498.31760907487785,503.2692565917969,2747755,0.0,0.0
2019-11-25,501.2973460004643,514.6185449140297,499.55333057553594,511.9280090332031,2343975,0.0,0.0
2019-11-26,511.8578172715282,521.4543406248929,509.5616696643459,519.8505249023438,5280840,0.0,0.0
2019-11-27,518.825161187639,524.4253307483939,515.7227462034542,520.9285278320312,2792575,0.0,0.0
2019-11-28,520.2449640062348,522.7865278169573,515.8542218283641,521.7611083984375,1282180,0.0,0.0
2019-11-29,521.4018137945968,521.4018137945968,507.48467372166823,510.7361145019531,2802065,0.0,0.0
2019-12-02,511.4635389040102,511.4635389040102,499.8951804013406,503.3481750488281,2990275,0.0,0.0
2019-12-03,504.6276289920766,506.0911919206546,499.833779730019,501.00811767578125,1906680,0.0,0.0
2019-12-04,501.29738384556157,505.8370984901565,500.98189483339195,504.4261169433594,2380810,0.0,0.0
2019-12-05,504.76786528385395,504.80290178421984,499.3867937360608,503.33056640625,2168805,0.0,0.0
2019-12-06,506.15259334496096,516.8971928071506,503.33940271770587,506.6959533691406,4942595,0.0,0.0
2019-12-09,508.13324507391525,515.6702657845664,506.88878053566344,509.84222412109375,2646785,0.0,0.0
2019-12-10,509.8421867048051,509.8421867048051,504.36472444970406,507.87030029296875,1742585,0.0,0.0
2019-12-11,508.3085084314347,511.0778898724348,503.9265385311637,506.17010498046875,2032640,0.0,0.0
2019-12-12,508.308437750821,511.60368721615316,506.5556500344388,509.29876708984375,2019050,0.0,0.0
