,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,2160.254605482513,2173.2094444528375,2136.874698003511,2159.593505859375,1376540,0.0,0.0
2019-11-01,2164.279221042792,2193.121040371199,2098.455821630589,2105.747802734375,1870250,0.0,0.0
2019-11-04,2131.029463364983,2134.862250169596,2065.872087686557,2083.186767578125,1570140,0.0,0.0
2019-11-05,2084.078082928777,2102.9832874674134,2034.2998049303744,2039.72802734375,1494120,0.0,0.0
2019-11-06,2047.6663148630005,2084.0777888755388,2015.4853166422665,2070.236572265625,1444450,0.0,0.0
2019-11-07,2076.412843622689,2079.287434546024,2028.613178195099,2052.83642578125,1055860,0.0,0.0
2019-11-08,2036.1682035542,2113.370185366693,2031.377219545837,2078.29541015625,1874110,0.0,0.0
2019-11-11,2073.537850369199,2090.560113386059,2041.922035043114,2048.32763671875,944160,0.0,0.0
2019-11-13,2047.6668002155534,2091.1688464309605,2031.3774527173484,2045.961181640625,1589070,0.0,0.0
2019-11-14,2060.12296638656,2081.682392778978,2046.229113822558,2065.69482421875,980830,0.0,0.0
2019-11-15,2093.660129493604,2098.4511137716213,2035.3345746043262,2043.2637939453125,1195330,0.0,0.0
2019-11-18,2053.3200065426804,2067.7888730466243,2036.1683759147713,2057.957763671875,694660,0.0,0.0
2019-11-19,2069.7050859844526,2088.8643432704825,2052.859911397732,2083.82421875,906060,0.0,0.0
2019-11-20,2083.7907927760516,2083.7907927760516,2050.062308017226,2059.14599609375,735750,0.0,0.0
2019-11-21,2064.9142534242583,2107.841519957575,2055.3322847308746,2103.682861328125,1303740,0.0,0.0
2019-11-22,2085.6399619947224,2200.4991342542703,2069.70526017384,2180.20458984375,2512270,0.0,0.0
2019-11-25,2180.8560838839658,2243.7138923536563,2180.8560838839658,2228.890380859375,1971380,0.0,0.0
2019-11-26,2237.3702650823484,2246.9714153886835,2177.6937424471043,2185.23486328125,1997340,0.0,0.0
2019-11-27,2202.9710024845667,2242.1803376322478,2191.625869038329,2205.927001953125,1340190,0.0,0.0
2019-11-28,2219.7108440279853,2219.7108440279853,2194.749770598771,2212.629638671875,943210,0.0,0.0
2019-11-29,2208.8354204518114,2211.5137398306647,2170.3159523233608,2192.488525390625,1115780,0.0,0.0
2019-12-02,2176.5441677387757,2179.897856749159,2073.5810492765772,2080.54248046875,2399780,0.0,0.0
2019-12-03,2080.532593462986,2107.261509791881,2033.4850407439699,2047.9298095703125,2054080,0.0,0.0
2019-12-04,2043.426598670413,2085.893948524012,2025.1490405608938,2051.307861328125,1597410,0.0,0.0
2019-12-05,2078.3289568538867,2078.3289568538867,2043.354772010564,2052.175048828125,911910,0.0,0.0
2019-12-06,2060.1231445545905,2073.0253488368876,1980.1137108009586,2004.5477294921875,1432060,0.0,0.0
2019-12-09,2012.2133094926733,2031.281332518244,1999.6704289803188,2011.9403076171875,984820,0.0,0.0
2019-12-10,2024.4783834628988,2047.2355590100656,2007.7050256924692,2037.0498046875,979760,0.0,0.0
2019-12-11,2037.026145308125,2072.0482909884868,2012.42439156937,2064.128662109375,1075180,0.0,0.0
2019-12-12,2067.9516685579783,2117.711000558142,2067.9516685579783,2103.582275390625,1254760,0.0,0.0
2019-12-13,2108.8426137320894,2152.014105167118,2092.3904494922417,2111.36279296875,1401330,0.0,0.0
2019-12-16,2124.5572332093907,2124.5572332093907,2069.705143630367,2074.592041015625,890300,0.0,0.0
2019-12-17,2076.029523063067,2101.1246440433915,2072.2014141110185,2079.76171875,1160650,0.0,0.0
2019-12-18,2084.0782981789066,2105.3935009241554,2052.0746146681463,2082.722412109375,1014430,0.0,0.0
2019-12-19,2085.0458104814948,2156.5128807751694,2080.154234573669,2148.96240234375,1809760,0.0,0.0
2019-12-20,2141.6656765591265,2165.4287691115737,2116.7284654644395,2129.223388671875,1326790,0.0,0.0
