,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,721.3368123443363,755.2545482198936,717.1945131796502,749.2604370117188,3871916,0.0,0.0
2019-11-01,749.2116331627152,777.7688107177851,744.2409582356509,756.0341796875,4575847,0.0,0.0
2019-11-04,764.5622676464869,775.7219924167284,760.2250888180168,763.9287719726562,2514667,0.0,0.0
2019-11-05,765.0984527669668,774.8449226444958,740.2936328781551,749.1141967773438,2753700,0.0,0.0
2019-11-06,750.4787031019126,762.7592752086289,741.7068744148737,753.6463012695312,1911261,0.0,0.0
2019-11-07,758.2759658646875,762.1745302340926,751.84329882058,758.1297607421875,1138289,0.0,0.0
2019-11-08,755.7417808820368,765.9756008236307,750.4786956668173,754.3773193359375,1351460,0.0,0.0
2019-11-11,750.4786744874798,752.1843409584304,736.1026158291544,747.6522216796875,1634062,0.0,0.0
2019-11-13,740.732276051876,749.3579001273378,717.5843868261006,720.8007202148438,2169582,0.0,0.0
2019-11-14,695.0213354702457,737.6621662515104,693.9492243138177,715.3427124023438,4280246,0.0,0.0
2019-11-15,716.3660431364938,748.5294355160759,706.4246331182342,736.0051879882812,4591327,0.0,0.0
2019-11-18,730.985744502182,765.9755882576568,730.985744502182,749.9913330078125,4195366,0.0,0.0
2019-11-19,755.3519231371163,773.3828700806934,752.4279405981431,766.21923828125,3872595,0.0,0.0
2019-11-20,770.946280718142,780.6928100906403,761.1998110699525,769.6305541992188,3170178,0.0,0.0
2019-11-21,775.137364872349,776.7942367495167,755.6443645881016,759.2018432617188,1801943,0.0,0.0
2019-11-22,758.6657804406061,776.6967286729017,750.7223875434055,773.0905151367188,1463703,0.0,0.0
2019-11-25,773.8702984989238,803.9868797293866,772.1158968536519,802.03759765625,3733959,0.0,0.0
2019-11-26,802.0376033250509,804.328030680684,764.1725688481445,770.9950561523438,3934814,0.0,0.0
2019-11-27,767.0477009697153,782.4471358364221,765.0984190250376,768.1198120117188,1871064,0.0,0.0
2019-11-28,771.8235156843594,782.3496862405303,763.1978323634614,779.8643188476562,2156790,0.0,0.0
2019-11-29,775.8195907114172,788.4899840767083,764.5623940192482,767.0964965820312,2208357,0.0,0.0
2019-12-02,789.4646704228118,801.1604225250563,781.9110979111855,786.7843627929688,5108844,0.0,0.0
2019-12-03,784.5914323724907,784.5914323724907,759.2993205535522,762.4669189453125,2460349,0.0,0.0
2019-12-04,761.2485718860229,770.6052212887122,755.888016384195,765.48828125,1618761,0.0,0.0
2019-12-05,760.2251478749008,769.8254121352064,747.4572855507674,749.7964477539062,1757155,0.0,0.0
2019-12-06,755.3519656209016,759.88402533503,744.7282653205785,748.5294189453125,1713845,0.0,0.0
2019-12-09,751.4533520948972,754.3773348379004,743.0226685701958,746.8724975585938,1214194,0.0,0.0
2019-12-10,746.5801408823905,762.1744565772858,745.3130896674877,750.6736450195312,2108475,0.0,0.0
2019-12-11,750.67368382867,754.9621283320134,740.2449230778578,747.9446411132812,1345699,0.0,0.0
2019-12-12,752.5254525332689,759.2505291330485,750.0400851541527,754.5722045898438,997387,0.0,0.0
2019-12-13,756.3753973590765,767.6325345061801,755.1083460575098,762.4669189453125,1460681,0.0,0.0
2019-12-16,760.2252092046743,763.3440724856989,742.0967902543323,743.753662109375,1549248,0.0,0.0
2019-12-17,746.3851591994894,753.3538509071645,737.6620660133136,749.30908203125,1832318,0.0,0.0
2019-12-18,753.9873385479426,756.7163210006858,732.4475904786714,735.0791625976562,1680699,0.0,0.0
2019-12-19,735.7614568957152,741.3169520639041,717.8767150086817,724.1144409179688,3585881,0.0,0.0
2019-12-20,724.6505745761553,729.0852239995937,722.1652071637359,726.6973266601562,1613335,0.0,0.0
2019-12-23,725.1379220378444,733.9097514990913,716.3660925765976,723.52978515625,2498865,0.0,0.0
2019-12-24,727.0872431530256,730.0112262796272,718.4616183506173,719.7774047851562,1487197,0.0,0.0
2019-12-26,720.8494342671476,726.8922802825106,715.3914087005184,718.0717163085938,1303525,0.0,0.0
2019-12-27,718.8027091872744,725.1379059410302,716.9508971452382,720.9956665039062,1058946,0.0,0.0
2019-12-30,723.1885966134616,726.9896906329891,714.2218275273614,718.0717163085938,1313072,0.0,0.0
2019-12-31,718.3153511274328,727.1846503777418,714.3193168506477,724.7967529296875,1690403,0.0,0.0
2020-01-01,727.8669374562986,728.4516981936969,719.8748092164449,723.6759033203125,688037,0.0,0.0
2020-01-02,723.1885556802914,749.0166906540163,722.2139147118779,746.9212036132812,2423328,0.0,0.0
2020-01-03,750.429965935665,750.429965935665,732.4476932885577,737.4671630859375,1417070,0.0,0.0
2020-01-06,736.2488451863551,736.6387254724008,716.3660256355759,718.3153076171875,961348,0.0,0.0
2020-01-07,719.4848634129371,736.8335799420666,716.8533507477279,723.48095703125,1108401,0.0,0.0
2020-01-08,716.7558598244067,730.8882428686481,715.0014583743414,723.822021484375,1317705,0.0,0.0
2020-01-09,733.8609985018603,741.9993319642564,731.0345454059964,738.1007080078125,1477783,0.0,0.0
2020-01-10,737.6133558934434,747.0674151758022,731.960390448328,737.0772705078125,1266475,0.0,0.0
2020-01-13,737.8083035156493,745.6054314094347,737.8083035156493,740.3423461914062,835989,0.0,0.0
2020-01-14,743.4612798173355,748.4320150178788,734.0072195423078,740.6348266601562,1190936,0.0,0.0
2020-01-15,738.7829019612014,749.5040119221134,728.5490826034373,746.9699096679688,1522089,0.0,0.0
2020-01-16,747.8958448067356,751.4533231633147,734.0071363472805,736.88232421875,1041500,0.0,0.0
2020-01-17,696.8730667155621,752.4279599704212,692.9744431379909,748.7730712890625,4938472,0.0,0.0
2020-01-20,748.139558703105,757.7885585446029,743.1201484958185,753.207763671875,1581541,0.0,0.0
2020-01-21,759.250484807135,761.2972367442181,744.0947256866766,752.0868530273438,1667878,0.0,0.0
2020-01-22,751.3070812372937,778.7434112932829,747.6521927148488,772.798095703125,3093985,0.0,0.0
2020-01-23,765.0984837160362,791.3652363281946,763.1492016065417,788.392578125,2597472,0.0,0.0
2020-01-24,787.5152468824407,803.4995014779481,775.7707609616176,801.1603393554688,1933519,0.0,0.0
2020-01-27,794.3377736638766,815.6825827154911,789.4645691316542,792.4859619140625,2820058,0.0,0.0
2020-01-28,796.7745270304132,802.9635186315672,777.0379112920797,788.392578125,1790691,0.0,0.0
2020-01-29,793.3631786280689,801.9888019144765,779.7180857003078,781.9597778320312,1840396,0.0,0.0
2020-01-30,788.489923213603,788.489923213603,767.2913775099537,771.18994140625,1330496,0.0,0.0
2020-01-31,772.9931721179585,777.7201724592801,755.8880686427178,759.1531372070312,1304458,0.0,0.0
2020-02-03,739.7575906692606,763.1491536873416,731.2294371824831,760.6150512695312,1541064,0.0,0.0
2020-02-04,760.2738723070861,776.1606571633966,760.2738723070861,773.5778198242188,1075827,0.0,0.0
2020-02-05,773.5778196333233,781.7648872281178,768.0710594445092,779.62060546875,1062607,0.0,0.0
2020-02-06,782.0572716132959,786.1995704861611,773.1879728861888,780.6928100585938,1222421,0.0,0.0
2020-02-07,780.6928109944765,783.2268536878959,765.6344613200907,767.6812133789062,1086833,0.0,0.0
2020-02-10,767.047744671135,769.679317253395,732.9350697985265,738.3443603515625,4260702,0.0,0.0
2020-02-11,740.732218559091,749.5040470701572,734.9817830470058,740.0499877929688,3394755,0.0,0.0
2020-02-12,742.7790059741171,754.8159032328585,735.3716983666556,736.2001342773438,1852945,0.0,0.0
2020-02-13,736.200103956006,745.556752947906,726.4048993703032,733.1787109375,1884479,0.0,0.0
2020-02-14,735.3717014552277,751.3071628718853,718.4128042498616,724.2119750976562,3412990,0.0,0.0
2020-02-17,724.1632256717593,730.9857724483952,714.9040465142807,718.7052001953125,1522461,0.0,0.0
2020-02-18,718.6564940289747,722.4089128241615,697.4091519843893,705.5474853515625,1757880,0.0,0.0
2020-02-19,711.4927770532506,740.4885089935719,707.8865638013839,737.9544067382812,2076090,0.0,0.0
2020-02-20,730.9857564179632,748.3344734743234,726.9896626782082,732.2528076171875,2137038,0.0,0.0
2020-02-24,729.0364240596614,729.0364240596614,703.8905211280974,706.5220336914062,2367336,0.0,0.0
2020-02-25,708.5688357875496,714.3192713673495,696.9705542810489,702.1361694335938,2281107,0.0,0.0
2020-02-26,699.7969748388075,703.8905384675234,682.2533184206998,684.9823608398438,2852422,0.0,0.0
2020-02-27,684.9823833831015,699.3097072443655,668.6083075022722,694.777587890625,3363958,0.0,0.0
2020-02-28,669.5828919078926,689.5631795145737,666.6589095061378,669.77783203125,4407386,0.0,0.0
2020-03-02,683.2280120159191,683.7153623870041,640.6359188311876,651.5032348632812,2254276,0.0,0.0
2020-03-03,653.9885610466254,686.7367121881291,653.9885610466254,682.3020629882812,3363570,0.0,0.0
2020-03-04,684.6899848991909,690.8302410630431,664.709695262313,672.0195922851562,2853717,0.0,0.0
2020-03-05,675.2359590311981,677.867471921779,660.8111641361261,663.0528564453125,2171130,0.0,0.0
2020-03-06,633.5210426066049,653.8911540352517,628.6477776305095,648.189453125,1701571,0.0,0.0
2020-03-09,631.5716869775819,637.4195928762186,609.4472340867203,618.5114135742188,2786900,0.0,0.0
2020-03-11,618.9012933536554,624.2618488710891,600.3829943686178,609.3984985351562,3001659,0.0,0.0
2020-03-12,594.291370605662,594.5350457762974,540.9294347275239,545.656494140625,4778932,0.0,0.0
2020-03-13,523.9705860185541,615.6362363694877,492.1971027663125,589.6131591796875,6209514,0.0,0.0
2020-03-16,565.2956238249963,584.301271349605,544.8279850371699,562.2742309570312,2988394,0.0,0.0
2020-03-17,556.8162164217356,570.8023947175622,539.223824794738,541.5629272460938,3007242,0.0,0.0
2020-03-18,553.5998986763815,553.5998986763815,479.9165489147696,513.6881103515625,6864942,0.0,0.0
2020-03-19,468.80553401758084,505.6471898194464,468.80553401758084,478.6007385253906,3915320,0.0,0.0
2020-03-20,482.45063083159647,550.3835415222389,475.67681884679433,515.978515625,3046590,0.0,0.0
2020-03-23,469.09791293228216,487.32383049986396,386.98385860177626,422.2660827636719,4492684,0.0,0.0
2020-03-24,424.94638915423474,446.2912010847846,383.0365557650613,389.95654296875,2996993,0.0,0.0
2020-03-25,380.1125651751071,447.07085773028274,375.2880656389627,439.9071960449219,4213471,0.0,0.0
2020-03-26,428.7962475781968,471.72948685030036,413.2019014053666,459.4489440917969,3976225,0.0,0.0
2020-03-27,460.0824345236876,481.28104106665995,435.521319429512,449.2151184082031,2028451,0.0,0.0
2020-03-30,436.64213362190605,464.4196098469063,427.09060449294185,439.0787658691406,1999573,0.0,0.0
2020-03-31,451.65174218473146,467.5872331338358,442.1001826777168,464.0297546386719,1808450,0.0,0.0
2020-04-01,465.7841279093399,472.0218841245785,441.1255431308032,464.0784912109375,2128750,0.0,0.0
2020-04-03,461.49569088846005,465.58919513976355,439.76102879523734,443.17230224609375,1475994,0.0,0.0
2020-04-07,465.8815990132308,509.6433029658077,451.2618643837747,505.4035339355469,2642753,0.0,0.0
2020-04-08,499.5069299101762,518.9998687056203,487.7136786464527,499.6043701171875,2411598,0.0,0.0
2020-04-09,515.5886387597476,533.5709124420011,499.99429238612385,517.099365234375,2500431,0.0,0.0
2020-04-13,517.0993195037958,546.7773428761004,497.0702954170985,530.6956176757812,3275888,0.0,0.0
2020-04-15,544.7306282159219,558.3269273197659,516.7094746429265,521.8263549804688,2133786,0.0,0.0
2020-04-16,516.5633021559224,542.8787907956148,509.78948983286415,529.9647216796875,3609311,0.0,0.0
2020-04-17,545.8027650447565,548.726688271969,519.8283623826075,531.7190551757812,2741854,0.0,0.0
2020-04-20,534.3505940490381,538.8827135850206,506.23203058035205,508.42498779296875,3118395,0.0,0.0
