,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,2015.757461847232,2033.633053319287,1998.3471544531408,2029.0245361328125,1609685,0.0,0.0
2019-11-04,2029.0243616120397,2036.0070316880665,2001.5125960524026,2009.2864990234375,1523698,0.0,0.0
2019-11-05,2004.9575609584488,2025.6728178571373,1995.3213842449327,2022.321044921875,2167085,0.0,0.0
2019-11-06,2016.5953427720112,2033.3537528227482,2006.3540921854499,2029.1175537109375,1093243,0.0,0.0
2019-11-07,2038.9397018041916,2038.9397018041916,1981.2162947211505,1990.75927734375,1970785,0.0,0.0
2019-11-08,1987.7337628456426,1997.183553748808,1939.3205751791445,1942.4859619140625,1537851,0.0,0.0
2019-11-11,1937.7378272273509,1955.1945049807434,1925.4017749482869,1937.784423828125,1050170,0.0,0.0
2019-11-13,1940.2517604745785,1950.399819357238,1929.4984003151078,1946.7689208984375,868433,0.0,0.0
2019-11-14,1946.396473749872,1946.396473749872,1919.25702111611,1926.3328857421875,1291198,0.0,0.0
2019-11-15,1920.0017019812562,1954.2167886816133,1909.1087810632796,1915.7655029296875,958290,0.0,0.0
2019-11-18,1917.7209138085534,1932.1983646006363,1897.4245701981492,1914.369140625,1200573,0.0,0.0
2019-11-19,1917.953503630729,1917.953503630729,1889.9762239199945,1897.191650390625,1413218,0.0,0.0
2019-11-20,1903.0106730354057,1911.250316037974,1877.9196531147302,1886.7177734375,989673,0.0,0.0
2019-11-21,1887.183290252846,1917.8604472662698,1877.8730618845539,1907.33984375,1397175,0.0,0.0
2019-11-22,1908.5968530912794,1911.5760807677118,1869.4938931742875,1888.440185546875,835864,0.0,0.0
2019-11-25,1882.6212062713582,1924.3775566784998,1882.6212062713582,1920.141357421875,862520,0.0,0.0
2019-11-26,1916.9760456111858,1937.2257925718675,1892.1177810092079,1916.3709716796875,3188224,0.0,0.0
2019-11-27,1920.281049887809,1955.0546137889085,1914.0432428208558,1948.8634033203125,1259986,0.0,0.0
2019-11-28,1953.239296101793,1953.611841613206,1924.4241850417934,1943.1842041015625,1026831,0.0,0.0
2019-11-29,1940.251656882689,1940.717168316682,1890.9074448794345,1894.910888671875,1298616,0.0,0.0
2019-12-02,1897.4247174704296,1919.769267627098,1889.2782668924776,1902.2659912109375,1600494,0.0,0.0
2019-12-03,1900.2174622084217,1911.4829285782569,1880.8056603000348,1888.5330810546875,1199012,0.0,0.0
2019-12-04,1887.1832619309425,1910.458832502365,1882.528147816658,1906.7347412109375,1046309,0.0,0.0
2019-12-05,1906.5485303910084,1906.5485303910084,1887.4625630401522,1896.912353515625,961085,0.0,0.0
2019-12-06,1903.0106422679887,1907.665756363556,1882.5281402474916,1886.298828125,657658,0.0,0.0
2019-12-09,1889.9764947101244,1891.8851371230132,1853.8527605826557,1869.6336669921875,964222,0.0,0.0
2019-12-10,1875.9180729054797,1900.7763389941804,1872.287060848075,1885.647216796875,1610623,0.0,0.0
2019-12-11,1888.0211966488425,1889.976321837936,1860.183591641476,1871.7747802734375,967708,0.0,0.0
2019-12-12,1871.3560273581993,1894.1660883881873,1863.907844164734,1868.8887939453125,955318,0.0,0.0
2019-12-13,1879.2230230579644,1884.3902453271385,1862.0456969635754,1867.8179931640625,1212988,0.0,0.0
2019-12-16,1862.0456802285098,1872.2869314697666,1832.3926255009208,1838.537353515625,1683941,0.0,0.0
2019-12-17,1842.4940983840613,1857.3438664000762,1815.494437518403,1826.0615234375,2189167,0.0,0.0
2019-12-18,1824.804793209965,1830.9495213141934,1775.7864172337393,1795.524169921875,3986106,0.0,0.0
2019-12-19,1798.6432042011409,1830.7634949826268,1796.920834526968,1816.518798828125,2035095,0.0,0.0
2019-12-20,1815.4947598218985,1824.7119097941236,1798.2242385696413,1809.0706787109375,2169685,0.0,0.0
2019-12-23,1814.7962443789545,1826.6667854156772,1810.2808064009173,1815.866943359375,807062,0.0,0.0
2019-12-24,1817.3567721208067,1829.2739111685885,1806.5569287870262,1812.14306640625,790621,0.0,0.0
2019-12-26,1816.2394212724848,1819.4514046449422,1804.7877947571806,1810.7928466796875,862164,0.0,0.0
2019-12-27,1812.6082988079052,1819.6374527064065,1800.5980820455977,1815.4013671875,937907,0.0,0.0
2019-12-30,1815.401485267555,1819.4514119513403,1794.5465506133855,1803.6240234375,1117498,0.0,0.0
2019-12-31,1806.1844451317115,1812.3291736067474,1787.657066495412,1790.3570556640625,706593,0.0,0.0
2020-01-01,1796.8739234420505,1806.0910714788736,1785.701650342929,1802.97216796875,543035,0.0,0.0
2020-01-02,1806.184223405326,1817.9150878994565,1796.8739954496286,1804.3687744140625,663275,0.0,0.0
2020-01-03,1804.2291345290923,1806.1842597090376,1786.4000249055237,1794.4998779296875,1598825,0.0,0.0
2020-01-06,1794.4068311410538,1796.3154734052807,1779.4173862874654,1783.32763671875,683129,0.0,0.0
2020-01-07,1786.8655164959216,1797.8050344424253,1785.7017379909744,1788.2154541015625,808935,0.0,0.0
2020-01-08,1778.253530554908,1802.5067197170758,1774.9483541872348,1796.268798828125,1889685,0.0,0.0
2020-01-09,1807.627454169954,1812.9808355405507,1797.8051176733684,1801.5758056640625,1544334,0.0,0.0
2020-01-10,1807.022372717257,1822.47733015609,1798.410410876162,1819.21875,1003336,0.0,0.0
2020-01-13,1825.7357546847163,1860.0439229593237,1822.0116633952014,1857.2508544921875,2040089,0.0,0.0
2020-01-14,1857.8559987518297,1875.9643467649082,1845.6596227930042,1870.2386474609375,1610737,0.0,0.0
2020-01-15,1872.4266525225244,1887.1833421621186,1859.5784915607774,1882.202392578125,1559491,0.0,0.0
2020-01-16,1882.52818711781,1912.9725886007132,1877.0351296182273,1907.8985595703125,2468958,0.0,0.0
2020-01-17,1913.2518131022566,1921.5378249249393,1899.333067999882,1918.186279296875,994719,0.0,0.0
2020-01-20,1918.372430360424,1932.7100901937135,1908.5966912103224,1920.5604248046875,829399,0.0,0.0
2020-01-21,1917.6743078801812,1931.8724062878389,1910.5984433273127,1913.624267578125,750000,0.0,0.0
2020-01-22,1920.70016925751,1921.1656806897101,1887.3695052518838,1910.1795654296875,983169,0.0,0.0
