,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,212.661702600183,214.9928070247774,209.55358000821127,210.73956298828125,16654994,0.0,0.0
2019-11-01,212.13004312870922,215.11548112546686,211.6392803848462,213.72499084472656,12571588,0.0,0.0
2019-11-04,215.07458622904704,216.7104453372011,212.70257055324038,213.27513122558594,7895272,0.0,0.0
2019-11-05,213.47964527406447,215.93343430020312,211.51661904540006,215.03370666503906,10278362,0.0,0.0
2019-11-06,215.0746073241212,215.7698275442924,212.6617049184386,213.7659149169922,8857419,0.0,0.0
2019-11-07,215.03367678788226,217.81463230553535,214.2975451745666,217.4465789794922,14782434,0.0,0.0
2019-11-08,216.6286777622726,217.1194405557727,212.6617138765595,213.0706787109375,11899353,0.0,0.0
2019-11-11,213.1524671119881,214.58384396812605,211.68017879750735,212.21185302734375,7245151,0.0,0.0
2019-11-13,211.76197380906757,212.0482541685616,207.0588784899963,207.63143920898438,10269356,0.0,0.0
2019-11-14,207.83588286543807,209.3081459237328,207.14063782521083,207.6722869873047,8880734,0.0,0.0
2019-11-15,207.95860495581616,209.18549938033425,204.48240408634825,205.01405334472656,16741465,0.0,0.0
2019-11-18,205.6683886591466,206.32273481374722,203.45998130790733,205.09584045410156,7864919,0.0,0.0
2019-11-19,205.91377609119772,205.95467506718,203.5008862756265,203.90985107421875,12152981,0.0,0.0
2019-11-20,203.9098352854776,205.54569435318203,201.7832135052162,205.054931640625,9978073,0.0,0.0
2019-11-21,205.6274977674708,205.6274977674708,200.43365226250586,200.96530151367188,10393219,0.0,0.0
2019-11-22,202.15130739303544,206.64992045441133,201.742342569274,202.56027221679688,16370384,0.0,0.0
2019-11-25,202.64207458496094,203.1737238751775,201.41518008696923,202.64207458496094,10586688,0.0,0.0
2019-11-26,203.37819035075788,204.80956715289042,202.60115972572328,203.7871551513672,19778030,0.0,0.0
2019-11-27,204.27790666959547,204.52328803258877,201.70143355970225,201.98770141601562,8841620,0.0,0.0
2019-11-28,202.27399640411178,202.80564566192703,200.92440505020193,201.78323364257812,10992718,0.0,0.0
2019-11-29,201.82412213967368,202.3557713698828,200.39274538691,201.537841796875,9807979,0.0,0.0
2019-12-02,201.21066566631634,201.9467972557767,200.02467033635725,200.35183715820312,9972664,0.0,0.0
2019-12-03,200.35186962378424,201.04711483363403,198.47062889179333,199.61573791503906,8129241,0.0,0.0
2019-12-04,199.16588855103188,199.61575239706525,197.93899396036844,198.87960815429688,11946661,0.0,0.0
2019-12-05,198.87956660620117,202.43756516806758,198.8386801128811,201.98770141601562,11265857,0.0,0.0
2019-12-06,202.02863604675792,202.15132050960034,198.3479523940842,199.04319763183594,10374270,0.0,0.0
2019-12-09,198.75689863797058,199.00228002130106,197.12103938992144,197.48910522460938,6722758,0.0,0.0
2019-12-10,197.61178570972237,197.6935711769486,192.2134456482077,192.70420837402344,15380232,0.0,0.0
2019-12-11,192.70421347662054,195.3215856288422,192.70421347662054,194.34007263183594,13799825,0.0,0.0
2019-12-12,194.70814640054238,196.4666900719992,194.34008057170433,195.1171112060547,10307052,0.0,0.0
2019-12-13,196.30310876345834,198.34793281307768,195.64876257145704,197.61180114746094,8205457,0.0,0.0
2019-12-16,198.7569082897158,199.08407516296677,193.31768101806676,193.7675323486328,12014269,0.0,0.0
2019-12-17,194.25828882035603,197.6935908002139,194.25828882035603,197.1619415283203,15921196,0.0,0.0
2019-12-18,196.79385712234546,202.31488165217993,196.09861200412044,200.5154266357422,17134732,0.0,0.0
2019-12-19,201.25157704262756,202.7647392876909,198.96137170671503,199.86109924316406,9339714,0.0,0.0
2019-12-20,199.86108256017363,200.47452969819673,196.42576860275307,197.2436981201172,13958336,0.0,0.0
2019-12-23,197.93896816348428,198.5933143560156,195.19889894252867,195.40338134765625,19082124,0.0,0.0
2019-12-24,195.48516781791966,196.4666808087486,194.83082166382877,195.2806854248047,7896150,0.0,0.0
2019-12-26,195.4033900302825,195.81235485870974,193.31767938979652,193.6857452392578,14460325,0.0,0.0
2019-12-27,194.25829513912552,195.03532582355876,193.3994664960714,193.7675323486328,8712539,0.0,0.0
2019-12-30,194.667257629795,197.039248633878,194.25829280284165,194.83084106445312,13173134,0.0,0.0
2019-12-31,195.11712019364188,195.44428706087572,194.17649360926666,194.421875,7142051,0.0,0.0
2020-01-01,195.1580034877717,195.1580034877717,193.93110911332374,194.74903869628906,4208837,0.0,0.0
2020-01-02,194.83082859096308,197.08013499520104,194.7490431191781,196.180419921875,8402979,0.0,0.0
2020-01-03,197.12102631702865,197.12102631702865,194.66723760768804,195.07620239257812,9284478,0.0,0.0
2020-01-06,194.258283653028,194.912629841456,192.21345961457507,192.29525756835938,7636617,0.0,0.0
2020-01-07,193.07228883709865,194.585451142124,191.88629338704757,192.49974060058594,8416741,0.0,0.0
2020-01-08,191.39554436838287,192.8678202827245,190.7820971107919,191.5591278076172,7043211,0.0,0.0
2020-01-09,192.70421443135348,193.52214401301353,192.25435066531747,192.8677978515625,9452653,0.0,0.0
2020-01-10,194.34008472775378,195.2806988083014,193.68573852881747,194.66725158691406,9973746,0.0,0.0
2020-01-13,195.07623472781762,196.71209413853308,194.8717523014782,195.68968200683594,12243639,0.0,0.0
2020-01-14,196.50757607502166,199.41122849857987,194.91261593494772,198.96136474609375,11843444,0.0,0.0
2020-01-15,198.38882546747516,198.75689128855316,197.20283005261712,198.26612854003906,5476729,0.0,0.0
2020-01-16,198.34794184129186,199.4930383689539,196.38491565655232,196.91656494140625,9369668,0.0,0.0
2020-01-17,196.9165379044032,198.02074778209422,195.8123280267122,196.26219177246094,7392403,0.0,0.0
2020-01-20,196.34403050934324,198.96140310025297,196.34403050934324,197.85719299316406,8020816,0.0,0.0
2020-01-21,197.48911306618444,197.48911306618444,194.6672582473772,195.0353240966797,9571070,0.0,0.0
2020-01-22,195.97593852661558,195.97593852661558,193.93111451227531,194.70814514160156,7654918,0.0,0.0
2020-01-23,194.74906039685334,195.2807096927756,193.7675348034332,194.58546447753906,6120434,0.0,0.0
2020-01-24,194.1764850415186,195.566975367449,193.8493181887205,194.78993225097656,6801874,0.0,0.0
2020-01-27,193.849317575718,194.17648442748148,191.64091012477593,191.88629150390625,6837613,0.0,0.0
2020-01-28,192.0089773754645,192.94959144171364,188.5327765071121,188.7372589111328,14582907,0.0,0.0
2020-01-29,189.3507165537845,194.3809789775457,189.06443618013924,193.56304931640625,20469708,0.0,0.0
2020-01-30,193.80842281316478,193.84932179067835,190.57760327944328,191.43643188476562,10394149,0.0,0.0
2020-01-31,192.82692920025517,194.99443794027002,191.43645118888995,192.33616638183594,18455880,0.0,0.0
2020-02-03,175.85485893191125,177.40892013487755,167.6755631676363,169.80218505859375,79764370,0.0,0.0
2020-02-04,172.41953932234262,177.98146236124663,171.06994817285843,176.38648986816406,35767812,0.0,0.0
2020-02-05,176.91820908328188,177.89972229637976,172.99214375027273,177.0408935546875,21253607,0.0,0.0
2020-02-06,178.30866882840584,179.8627302158564,173.23750734867536,174.66888427734375,27388582,0.0,0.0
2020-02-07,174.8733524267864,176.42741368743202,174.0145238435389,174.54617309570312,17133407,0.0,0.0
2020-02-10,175.03692713864916,175.07782611307553,171.8061078488017,172.21507263183594,9617387,0.0,0.0
2020-02-11,177.0817662930632,177.44983213334592,173.23749949783578,173.891845703125,29803784,0.0,0.0
2020-02-12,174.54618610823766,175.69129513147473,173.23750612818768,174.25991821289062,9928416,0.0,0.0
2020-02-13,174.25990141798403,174.58706826131063,172.74672668621469,173.31927490234375,9153131,0.0,0.0
2020-02-14,173.60553867970847,174.13718786952091,169.14782534165263,169.8839569091797,13731692,0.0,0.0
2020-02-17,170.1293657700812,170.66101504586635,166.85764719757964,167.51199340820312,15561953,0.0,0.0
