,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,219.09090272423592,219.8345318844444,211.05044877481967,211.93350219726562,6994856,0.0,0.0
2019-11-01,211.65464082497866,222.62313200252206,211.46873707963994,220.85702514648438,9208037,0.0,0.0
2019-11-04,221.87949425994327,236.89145869009997,221.87949425994327,232.56912231445312,17613567,0.0,0.0
2019-11-05,235.4971558271566,236.2407707685496,227.0384011251256,228.71156311035156,10394354,0.0,0.0
2019-11-06,228.61861748048662,233.59162424639155,227.08489384500766,230.7565460205078,7121343,0.0,0.0
2019-11-07,232.56911344595628,236.8449701781285,225.9694388001806,234.84646606445312,12103874,0.0,0.0
2019-11-08,234.9394245300293,238.42517266845704,230.98890997314453,232.38320922851562,7150985,0.0,0.0
2019-11-11,231.54664184027476,235.40419754819905,230.57062949744275,234.14932250976562,5599046,0.0,0.0
2019-11-13,233.77751357495487,236.7520158811477,229.91995789117215,231.22129821777344,6493201,0.0,0.0
2019-11-14,230.52414235360504,232.10434533141662,227.03839423333883,228.4326934814453,4522524,0.0,0.0
2019-11-15,228.66510527224048,232.38323706528504,225.13287723213872,227.50318908691406,5246862,0.0,0.0
2019-11-18,228.57214558837168,233.452193551464,227.54966785861396,232.0114288330078,4846338,0.0,0.0
2019-11-19,231.82549745731083,233.1733314967684,229.22281670805307,230.4311981201172,4461546,0.0,0.0
2019-11-20,230.24530228170946,234.52115940262405,228.6186196658143,231.17483520507812,4799567,0.0,0.0
2019-11-21,230.52415673181065,231.40721014064664,226.9454494317088,227.9679412841797,3840421,0.0,0.0
2019-11-22,227.73556989223803,235.17183339892335,227.08489967211247,233.54515075683594,4927891,0.0,0.0
2019-11-25,235.0788347231054,242.60805592523752,234.5211235644385,241.8179473876953,11369913,0.0,0.0
2019-11-26,242.8404684716363,244.2812331099898,233.4057152742908,235.40420532226562,12880492,0.0,0.0
2019-11-27,236.19432232789106,239.7265361022145,234.1493385424867,235.12535095214844,4739906,0.0,0.0
2019-11-28,235.72953390024006,246.23324364552937,234.47465889280681,245.35020446777344,9945852,0.0,0.0
2019-11-29,244.09533499608094,250.50910606419487,241.72500918004226,243.1193084716797,12038238,0.0,0.0
2019-12-02,248.6500382864124,250.46263869739295,244.69952365943203,249.207763671875,10547869,0.0,0.0
2019-12-03,248.41767422126497,248.650057452529,236.56612942679862,239.12234497070312,9848751,0.0,0.0
2019-12-04,236.10135066719323,245.39667943361817,230.29177018817765,241.4926300048828,15220113,0.0,0.0
2019-12-05,242.37570752812044,243.35170574179904,232.47618765916334,233.73104858398438,6962695,0.0,0.0
2019-12-06,235.07885464098837,238.61109652955,232.4761739795991,236.19430541992188,7854850,0.0,0.0
2019-12-09,235.1718156702956,241.21377931399883,234.10285854521263,240.60958862304688,6291970,0.0,0.0
2019-12-10,238.23925687325192,240.8884311554382,232.66207398570688,233.312744140625,5357914,0.0,0.0
2019-12-11,233.49866234430866,236.84498646777368,229.1763400197506,232.3367462158203,6247501,0.0,0.0
2019-12-12,234.24228377502433,239.4941388291015,232.56912176849352,237.58860778808594,6112551,0.0,0.0
2019-12-13,244.46716511253297,245.7685055651884,237.5421474926326,239.44769287109375,12372614,0.0,0.0
2019-12-16,240.93492657826675,241.86445943023986,234.38170295160148,235.2647705078125,5733217,0.0,0.0
2019-12-17,236.42668834153253,243.16580156875418,235.68305921768166,240.70254516601562,11197549,0.0,0.0
2019-12-18,239.72650002109998,247.5810634157011,238.23924188893363,245.76846313476562,13485427,0.0,0.0
2019-12-19,244.74597471889697,248.3711753299876,243.81644191955886,246.186767578125,7841049,0.0,0.0
2019-12-20,245.8614606067314,247.95290970452024,244.23477797511788,246.04737854003906,7162934,0.0,0.0
2019-12-23,245.76849965506358,251.53161513592747,243.90943380537763,245.1178436279297,8467465,0.0,0.0
2019-12-24,245.1178170923552,248.9288789779646,244.4206674741939,247.952880859375,5683009,0.0,0.0
