,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,577.1174627920994,577.8281985837153,550.583326571773,558.875244140625,7558094,0.0,0.0
2019-11-04,560.0598402635919,563.4239783283429,551.4362685663623,555.70068359375,3128961,0.0,0.0
2019-11-05,552.763010292328,559.680828416766,546.887581725331,549.7779541015625,2653917,0.0,0.0
2019-11-06,559.3490356487217,559.3964064641242,546.8874456872427,549.4461059570312,2763550,0.0,0.0
2019-11-07,549.4461514991323,552.9524597268914,542.054510649155,549.9673461914062,3279435,0.0,0.0
2019-11-08,547.7404465247845,565.2719314049031,546.6506283827897,549.6357421875,8374614,0.0,0.0
2019-11-11,551.2466507387355,556.221800911757,540.1591616423234,544.8973999023438,3492576,0.0,0.0
2019-11-13,543.9497332433435,550.4885249496186,542.0544380055619,544.6130981445312,3342543,0.0,0.0
2019-11-14,545.0870148310177,549.3040590215855,538.0270272993698,548.1668701171875,2193683,0.0,0.0
2019-11-15,553.1893659598118,559.9176417503298,549.3987750153334,552.5260009765625,3063043,0.0,0.0
2019-11-18,549.730376541671,552.0994956576752,541.8649126445017,543.6654663085938,3212994,0.0,0.0
2019-11-19,543.7129302480271,544.8974900089161,530.3511192811326,531.2987670898438,3208662,0.0,0.0
2019-11-20,532.8148850416552,538.6903119715728,528.3135587562876,531.109130859375,2876499,0.0,0.0
2019-11-21,531.1565338313188,533.1939995145055,521.39577412638,522.9119873046875,3346254,0.0,0.0
2019-11-22,525.7076288859049,525.9445408412388,510.9717168321035,517.4157104492188,2798026,0.0,0.0
2019-11-25,518.8371771852409,523.9070698446341,517.6526174199778,519.1214599609375,3054435,0.0,0.0
2019-11-26,521.2062217786049,523.9544231748216,508.8394311752773,510.40301513671875,4408905,0.0,0.0
2019-11-27,513.6250698436824,525.4706664729187,506.9915357313101,511.6824035644531,6630809,0.0,0.0
2019-11-28,513.530326935472,514.8569990507663,508.17609413637933,513.5776977539062,2426425,0.0,0.0
2019-11-29,514.5727629846818,515.3308696678899,500.59495772865233,502.7745361328125,3328894,0.0,0.0
2019-12-02,497.5150056893013,509.3606010628561,496.0935342444747,506.1860046386719,4087250,0.0,0.0
2019-12-03,509.12374629312706,509.12374629312706,494.6721183155185,495.5250244140625,3052238,0.0,0.0
2019-12-04,495.43022361511265,501.5425630655014,491.97134409097123,498.0362548828125,2612985,0.0,0.0
2019-12-05,498.03624380917677,503.34310570384787,494.6721059972755,497.27813720703125,2332044,0.0,0.0
2019-12-06,500.1684761203869,500.26327560027687,481.49983260181546,483.4898986816406,3409528,0.0,0.0
2019-12-09,483.4898811227777,491.355345676539,483.3477108280206,486.75927734375,2566094,0.0,0.0
2019-12-10,487.6595172593854,487.8964292008911,477.3775621339701,479.2728576660156,2462096,0.0,0.0
2019-12-11,481.07338129514795,484.6270604078176,476.33514247825514,481.16815185546875,2148791,0.0,0.0
2019-12-12,484.2480138982263,487.3278691725301,481.5946116914075,485.10089111328125,2994158,0.0,0.0
2019-12-13,487.61210890292085,495.43020237077593,486.8540023164272,489.1757507324219,4066433,0.0,0.0
2019-12-16,488.98621608244264,492.58726579570475,481.0259811395017,482.2105407714844,2346317,0.0,0.0
2019-12-17,483.20557652259106,485.90637836378846,478.5621083836435,479.36761474609375,3521314,0.0,0.0
2019-12-18,480.3626651675813,497.42035452767897,479.9836118306716,495.28814697265625,10092679,0.0,0.0
2019-12-19,497.04125222269874,510.592603680061,497.04125222269874,507.3706359863281,10732682,0.0,0.0
2019-12-20,505.5699784317898,511.39803412133534,500.8317405833194,502.82177734375,4746509,0.0,0.0
2019-12-23,502.20588131832034,507.84439637720766,497.23073117927066,498.367919921875,2963573,0.0,0.0
2019-12-24,501.30565740937874,504.7645948166602,498.6522552897333,499.8841857910156,2372038,0.0,0.0
2019-12-26,502.2533392880206,508.12876727784686,499.4577666806208,500.689697265625,4623580,0.0,0.0
2019-12-27,502.15853485447224,504.859307639278,497.5624088468692,502.39544677734375,3017840,0.0,0.0
2019-12-30,503.53259262509897,511.5875982409242,503.53259262509897,508.7920837402344,4697710,0.0,0.0
2019-12-31,510.45044008798374,510.45044008798374,502.82183007999936,503.72210693359375,2502181,0.0,0.0
2020-01-01,505.0015314243614,509.83451202697466,501.82687661769256,508.5077819824219,2611808,0.0,0.0
2020-01-02,508.8868430085489,512.6774340179236,505.57007587534605,511.5876159667969,2776519,0.0,0.0
2020-01-03,510.73480303910685,510.7821738620366,502.6324257638073,504.859375,1930883,0.0,0.0
2020-01-06,502.1586117366377,502.2533533843616,493.2506989369061,497.0412902832031,2059404,0.0,0.0
2020-01-07,501.21091224653657,504.14859710123295,495.66713827000416,499.0787048339844,2111349,0.0,0.0
2020-01-08,493.6297619138522,498.88919563330654,491.82920795880256,497.1834411621094,1612378,0.0,0.0
2020-01-09,502.11115970566146,514.0515565947145,498.1784560707989,512.9143676757812,2897598,0.0,0.0
2020-01-10,515.6150727258957,518.9318395619855,511.0190046746723,517.9841918945312,2355888,0.0,0.0
2020-01-13,520.1639585357862,527.8398834354472,517.9843220809687,525.897216796875,3442869,0.0,0.0
2020-01-14,525.8971506630182,534.2364396158854,525.8971506630182,533.0518798828125,2793249,0.0,0.0
2020-01-15,532.5780924336332,541.1069230953817,527.5555703896815,539.92236328125,2564513,0.0,0.0
2020-01-16,539.4484299998462,539.9696246444419,534.5206506040394,537.74267578125,2243200,0.0,0.0
2020-01-17,537.1267302470997,543.9498055784182,535.5631461718948,539.495849609375,2646260,0.0,0.0
2020-01-20,539.211613896689,543.9498530346211,534.8050283624787,537.505859375,1847978,0.0,0.0
2020-01-21,534.4732845869113,535.3261906237773,521.3009588698507,523.859619140625,3101684,0.0,0.0
2020-01-22,524.5230562076924,527.365999601772,520.2586411165729,524.6177978515625,1862669,0.0,0.0
2020-01-23,524.5229278322037,537.6952521368164,520.7797083781747,536.8423461914062,2113303,0.0,0.0
2020-01-24,536.4633965679251,542.0545417251486,534.5681009674876,538.0270385742188,2284717,0.0,0.0
2020-01-27,535.4210148807366,552.0048516248302,533.5257192528402,548.0247192382812,3654906,0.0,0.0
2020-01-28,550.8201759038533,558.8751806267484,538.7376688195108,542.5282592773438,3689004,0.0,0.0
2020-01-29,547.2665670701097,550.2990513906715,542.1966748227937,547.5034790039062,1934080,0.0,0.0
2020-01-30,547.7403510491683,556.7903746931753,534.3311134368623,538.1217041015625,2901951,0.0,0.0
2020-01-31,540.9173760090791,546.7928041905317,535.7053128842127,537.45849609375,2352196,0.0,0.0
2020-02-03,516.4680200149862,536.1317106852815,507.18108370011356,529.4508056640625,3818209,0.0,0.0
2020-02-04,532.5779642887749,548.4984327920766,529.545480326284,546.6979370117188,2793702,0.0,0.0
2020-02-05,549.8726019663693,558.9699971481928,547.1718290392171,553.7579345703125,3320830,0.0,0.0
2020-02-06,554.3740232955132,558.3067852291857,545.8925629950759,549.7779541015625,2207104,0.0,0.0
