,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,648.979829622028,652.0128354990334,642.7353497115491,649.8272705078125,13904301,0.0,0.0
2019-11-04,653.8415709838258,656.1163402360509,644.5640853707462,650.1618041992188,14063434,0.0,0.0
2019-11-05,652.5927890627363,655.2020449864306,642.7354147542991,645.54541015625,12685356,0.0,0.0
2019-11-06,643.493613458832,645.1662239995362,637.1599289772081,640.0145263671875,14625505,0.0,0.0
2019-11-07,640.0591055770535,652.5480047666905,638.8101858836252,650.5855102539062,14084039,0.0,0.0
2019-11-08,646.3036275081416,651.0538459082555,642.8691427867354,644.7424926757812,12019353,0.0,0.0
2019-11-11,641.8878797854051,644.1849800399815,634.5060148765765,636.8477172851562,11357841,0.0,0.0
2019-11-13,637.8289211944709,658.3019039757861,637.8289211944709,656.6961669921875,25225749,0.0,0.0
2019-11-14,658.3464568702483,660.8442366862253,649.3365848541097,652.4365234375,14258133,0.0,0.0
2019-11-15,653.7301279927444,663.1637513795549,652.615014612059,656.0494995117188,15691605,0.0,0.0
2019-11-18,656.8522874369414,662.8068233100022,649.1582081720387,650.8531494140625,14076051,0.0,0.0
2019-11-19,654.3321621448982,675.697246472493,653.440119168307,673.400146484375,30176255,0.0,0.0
2019-11-20,693.6055488760516,701.3442304928083,688.3200451122741,690.3048706054688,43538120,0.0,0.0
2019-11-21,689.1228215268584,694.0291767892367,681.7855599323021,685.8221435546875,14897371,0.0,0.0
2019-11-22,687.8293769173326,700.050723846962,685.8222205303653,689.7919311523438,22352865,0.0,0.0
2019-11-25,691.8660178588525,697.9543604496129,691.7990848567104,696.5047607421875,15146156,0.0,0.0
2019-11-26,699.4262849659617,703.1060517797032,694.0292459999938,695.9249267578125,35330983,0.0,0.0
2019-11-27,695.7911160850274,702.7269590066435,694.0738439432129,700.2068481445312,9642739,0.0,0.0
2019-11-28,701.4557672371049,706.5851936940082,697.5753202144476,704.8679809570312,13747479,0.0,0.0
2019-11-29,705.6037858258505,705.6037858258505,690.3940363477241,691.865966796875,18559594,0.0,0.0
2019-12-02,713.6547697116008,720.0999292948466,703.3959774097734,707.63330078125,31225364,0.0,0.0
2019-12-03,710.4210143455537,710.9785114412296,701.4334132286799,704.243408203125,12990426,0.0,0.0
2019-12-04,701.611847950833,703.6190043070081,684.1049974106228,692.557373046875,20987607,0.0,0.0
2019-12-05,702.0579052860764,704.6226184384835,688.6769019280977,691.7322387695312,19942460,0.0,0.0
2019-12-06,692.6911334009799,699.3816342933226,687.3832991060516,693.53857421875,13085234,0.0,0.0
2019-12-09,694.0961486392392,703.5743733669188,689.791892345275,701.4334106445312,12642677,0.0,0.0
2019-12-10,701.1880414836664,701.8794045473824,693.2040188507875,696.68310546875,10173333,0.0,0.0
2019-12-11,693.8509064730654,702.2809521223174,691.6207391321963,696.8839721679688,12364641,0.0,0.0
2019-12-12,700.3852601074367,701.990997104665,694.3191888781892,699.4708862304688,10326606,0.0,0.0
2019-12-13,704.7340659403909,709.1944597640895,701.3442428570158,706.027587890625,12668303,0.0,0.0
2019-12-16,710.0865075534288,710.9339484427124,697.7536849876062,698.7572631835938,11892718,0.0,0.0
2019-12-17,698.8241782712939,704.2880910974327,693.8286178442353,697.0177612304688,20324601,0.0,0.0
2019-12-18,697.1514706488284,704.7340145433508,696.7054491636677,702.8829956054688,14742077,0.0,0.0
2019-12-19,701.9240473452147,720.3006691995936,701.076606489958,718.0927734375,20507816,0.0,0.0
2019-12-20,720.3452775352777,721.4826621515653,711.9152328648712,713.2533569335938,21271510,0.0,0.0
2019-12-23,695.8579717638862,703.6412553581297,694.8321223141522,700.898193359375,25107772,0.0,0.0
2019-12-24,699.7831662311091,701.1881639032202,688.0078398905729,689.7697143554688,18048449,0.0,0.0
2019-12-26,687.6286802075374,692.6688423533232,673.5785858420443,675.9202880859375,29761019,0.0,0.0
2019-12-27,681.0943395912118,689.6581917957642,678.5519571334116,687.9409790039062,17677571,0.0,0.0
2019-12-30,689.5466196464647,690.3048561973438,681.5625965914803,688.7660522460938,17123749,0.0,0.0
2019-12-31,687.7847436615151,688.5430397594139,672.6419266890892,675.318115234375,22203005,0.0,0.0
2020-01-01,677.079951766712,681.1388666399424,671.5045637466428,673.333251953125,14004468,0.0,0.0
2020-01-02,674.403787330249,687.3164976853981,674.403787330249,684.79638671875,17710316,0.0,0.0
2020-01-03,683.7705032898608,687.6287385394457,679.3101687269676,685.62158203125,20984698,0.0,0.0
2020-01-06,677.9720339010092,681.4956633025301,668.1592631491397,669.7203979492188,24519177,0.0,0.0
2020-01-07,677.525903358549,684.4394743043208,675.072725737019,680.0237426757812,16683622,0.0,0.0
2020-01-08,675.7418565492118,684.4171830195982,673.5116895326387,674.9166870117188,16047902,0.0,0.0
2020-01-09,686.2683379663672,691.3531026567103,682.9899903004485,690.4610595703125,14982742,0.0,0.0
2020-01-10,692.2004917966982,694.8990112545486,686.73657942899,690.3048706054688,12478359,0.0,0.0
2020-01-13,689.1452496636128,695.2335924541461,686.1791171492941,688.5430908203125,18282382,0.0,0.0
2020-01-14,686.8927421991965,691.3530765607002,678.7972430744292,682.164794921875,15816535,0.0,0.0
2020-01-15,685.041706855852,686.8481237692816,677.1914899821552,679.6892700195312,15817859,0.0,0.0
2020-01-16,681.9864034541479,688.3869613906877,681.5403223676362,685.9560546875,12847975,0.0,0.0
2020-01-17,692.9142262506799,706.9419906224803,692.7804197899133,705.18017578125,29463471,0.0,0.0
2020-01-20,717.6690594163983,717.6690594163983,680.8266126067098,683.4805297851562,32545850,0.0,0.0
2020-01-21,681.8079016251098,689.50198051765,678.8640407817154,684.171875,18922720,0.0,0.0
2020-01-22,688.6767911328329,689.9033799325322,682.9229356040368,683.926513671875,10322817,0.0,0.0
2020-01-23,685.3315403824859,687.7624467871806,678.2842223073401,681.02734375,11247739,0.0,0.0
2020-01-24,681.0942992972175,685.2647495364978,677.3253279897879,678.6634521484375,14628445,0.0,0.0
2020-01-27,675.6973291459135,679.9569242037055,671.2815372247114,671.972900390625,13387750,0.0,0.0
2020-01-28,672.887268052797,673.5117577559254,652.8157628704982,656.450927734375,24532236,0.0,0.0
2020-01-29,657.4767986668771,666.553605245152,653.0164640367881,660.0638427734375,24746565,0.0,0.0
2020-01-30,659.6845560924096,659.9967711140744,642.2892427796766,643.9618530273438,22402689,0.0,0.0
2020-01-31,648.0877218977358,648.1992570510273,627.659400556675,629.6442260742188,34750310,0.0,0.0
2020-02-03,611.0223540950126,624.4256884096225,607.9670172295553,617.98046875,30712290,0.0,0.0
2020-02-04,624.4478811254843,638.943996160745,623.4666338632056,636.2232055664062,25383901,0.0,0.0
2020-02-05,640.014555605261,647.9985796899123,637.962856438283,646.0806274414062,18472100,0.0,0.0
2020-02-06,648.5783582080581,654.3321544371554,642.3338787986854,650.2286376953125,15538577,0.0,0.0
2020-02-07,647.1956516005014,647.7978103952516,637.0706658851337,639.4569702148438,12209212,0.0,0.0
2020-02-10,636.9368995417972,644.7425144178881,629.1090133639444,640.3267822265625,15142476,0.0,0.0
2020-02-11,645.5900136637313,653.9754572796763,644.5418332117382,647.976318359375,13999816,0.0,0.0
2020-02-12,649.4927243654819,657.8335641957449,648.9797698915665,655.8040771484375,13533565,0.0,0.0
2020-02-13,659.127038166948,659.127038166948,652.3696042374778,657.5213012695312,13565659,0.0,0.0
2020-02-14,658.9040364996894,669.6980543467301,648.1322899527748,663.5205078125,21227841,0.0,0.0
2020-02-17,664.1449778542413,671.7944553206271,657.5882828830536,659.35009765625,13149130,0.0,0.0
2020-02-18,658.301860762874,658.301860762874,650.050225180662,654.5105590820312,11127161,0.0,0.0
2020-02-19,659.840783217214,671.9283248004217,657.9451618106162,670.746337890625,14084409,0.0,0.0
