,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,276.11404480798666,299.1274526801306,275.5492924346981,294.04473876953125,128449327,0.0,0.0
2019-11-01,294.04471103970127,296.4919519434992,290.4679942203401,295.12713623046875,44894016,0.0,0.0
2019-11-04,297.4332263130472,300.256959474247,293.99769004515394,295.8330993652344,31535656,0.0,0.0
2019-11-05,295.45660844275227,303.0806937509525,294.4212338682685,300.4452209472656,50080853,0.0,0.0
2019-11-06,300.209916032388,300.209916032388,295.5507447135057,298.89215087890625,32157080,0.0,0.0
2019-11-07,299.5510088402658,304.3042812299432,298.186193068241,299.4568786621094,33926772,0.0,0.0
2019-11-08,297.62148790705146,302.13944949379453,296.0213609526429,297.4332275390625,25423362,0.0,0.0
2019-11-11,296.2095891380242,300.86873113230246,294.70359253123377,299.5509948730469,20491942,0.0,0.0
2019-11-13,297.48028397666843,299.8804744543346,287.691347867902,288.7737731933594,32675829,0.0,0.0
2019-11-14,288.914976128304,291.3151378257602,282.0909543214001,288.0207824707031,43617772,0.0,0.0
2019-11-15,293.6682582767437,304.6808294519216,291.83282017271404,302.986572265625,95199897,0.0,0.0
2019-11-18,304.9631910703559,310.4694766540262,304.72787996613494,305.9985656738281,39009263,0.0,0.0
2019-11-19,306.6573919094566,312.3048579020764,303.1748051153728,310.98712158203125,41372145,0.0,0.0
2019-11-20,312.4931028228947,312.96372496570024,305.9985229970771,309.4811096191406,29972583,0.0,0.0
2019-11-21,309.90472860815436,313.29321430138964,307.3633571571028,311.88134765625,34116162,0.0,0.0
2019-11-22,311.9754807497105,314.1873822014293,308.9634870555605,309.9517822265625,28974967,0.0,0.0
2019-11-25,309.6694230852172,317.6700008852912,309.05761993952353,316.3522644042969,27561300,0.0,0.0
2019-11-26,318.1406171773123,320.02310603634965,313.05790300281154,315.7875061035156,36464072,0.0,0.0
2019-11-27,316.2110674966419,325.2469907520942,314.4226801580216,323.364501953125,33971305,0.0,0.0
2019-11-28,326.4706407132407,330.376799405759,324.2587105278746,328.77667236328125,42538227,0.0,0.0
2019-11-29,328.35311510531096,328.35311510531096,320.5878487953686,321.764404296875,23081823,0.0,0.0
2019-12-02,323.6939196973665,324.11749113613035,316.44635558311046,318.6112060546875,20648850,0.0,0.0
2019-12-03,320.964318802277,322.79975674856996,313.7638053717002,316.493408203125,26482178,0.0,0.0
2019-12-04,314.4697601875352,322.79977888310054,312.35196028482363,321.764404296875,26789483,0.0,0.0
2019-12-05,322.8467999479331,324.35279659637973,315.45802633250526,316.44635009765625,30429507,0.0,0.0
2019-12-06,316.9170048312459,317.81116978744103,299.3157228469849,301.1982116699219,47027528,0.0,0.0
2019-12-09,300.20990187320695,308.39871061855376,296.25666404821294,298.09210205078125,52435239,0.0,0.0
2019-12-10,298.5627384253413,303.6925032265768,293.9035671047377,294.9859924316406,52155809,0.0,0.0
2019-12-11,292.91526608426614,297.19791657520176,289.9032725420812,294.4212341308594,52557951,0.0,0.0
2019-12-12,295.55073991732326,303.9748887391614,295.127168449935,302.93951416015625,37804216,0.0,0.0
2019-12-13,306.0926800944922,313.8579461338179,305.9044197310121,313.01080322265625,40955226,0.0,0.0
2019-12-16,316.2110670053059,317.43467323293476,311.3636353758928,312.3519592285156,35027613,0.0,0.0
2019-12-17,313.669681748132,316.0227926389657,311.2224406767653,313.3402404785156,26734601,0.0,0.0
2019-12-18,315.316842827618,315.8345157066408,306.6573837138967,307.7398376464844,26449075,0.0,0.0
2019-12-19,308.1163397499637,310.23413951019404,305.43378764210576,308.86932373046875,27516289,0.0,0.0
2019-12-20,310.94008730185,319.5524676512323,310.94008730185,317.9994201660156,51839714,0.0,0.0
2019-12-23,315.9757834426954,318.9406978099535,310.94011972952575,312.8696594238281,30150335,0.0,0.0
2019-12-24,313.6226108673486,314.5638551631996,309.85763368394464,311.9754333496094,21747782,0.0,0.0
2019-12-26,313.4343658362265,313.85793727985833,308.8222743060585,310.4694519042969,24616942,0.0,0.0
2019-12-27,313.8108653177219,318.47003641088054,313.4343733168956,317.4346618652344,33477173,0.0,0.0
2019-12-30,317.90528003848283,317.99941021862696,312.9637471881437,314.7521057128906,22775554,0.0,0.0
2019-12-31,314.7520923648853,316.5875302641161,313.01078464180677,314.1402893066406,23801635,0.0,0.0
2020-01-01,315.03453597129385,316.21109156018497,312.63434533525486,314.7992248535156,17379320,0.0,0.0
2020-01-02,314.8462353827271,319.8818984050485,313.76381012406875,319.36419677734375,20324236,0.0,0.0
2020-01-03,318.0935194354342,318.0935194354342,312.49310441766846,314.0932312011719,21853208,0.0,0.0
2020-01-06,312.21077315497644,312.21077315497644,299.0333518004016,300.2569580078125,35645325,0.0,0.0
2020-01-07,305.38671424561034,307.7868756392374,296.8684363854234,299.6921691894531,50966826,0.0,0.0
2020-01-08,293.76235427588534,302.6100450263121,292.7269797921713,301.0099182128906,44527485,0.0,0.0
2020-01-09,307.6927958499992,311.9283957495925,305.9044371928487,310.7989196777344,40348407,0.0,0.0
2020-01-10,311.5518686769599,318.0935281646586,308.82226590474994,312.7284240722656,42377838,0.0,0.0
2020-01-13,314.3756336953184,315.74044958289744,309.7164623648244,311.31658935546875,23615129,0.0,0.0
2020-01-14,310.42237776860867,312.21076502834967,307.31628287710794,308.7281494140625,26296117,0.0,0.0
2020-01-15,309.6693970761854,309.8576574395874,303.4101277738005,305.198486328125,32625740,0.0,0.0
2020-01-16,304.96320389839656,307.6928070772783,303.41015629011054,304.3043212890625,26653623,0.0,0.0
2020-01-17,294.6094825792613,304.4925482887892,291.8798796996246,299.3157043457031,58396326,0.0,0.0
2020-01-20,302.1394617360109,302.5630332188989,294.9859983300713,295.5507507324219,30682902,0.0,0.0
2020-01-21,295.36247303982225,298.3274157972042,293.66824465660284,295.26837158203125,30591772,0.0,0.0
2020-01-22,298.3744653149353,298.3744653149353,295.2683703834752,297.57440185546875,24994911,0.0,0.0
2020-01-23,297.43320399243936,305.7161424872401,295.6918962621412,304.2101745605469,33293610,0.0,0.0
2020-01-24,304.49252001465373,308.0692367352286,302.2805902449187,305.01019287109375,22706879,0.0,0.0
2020-01-27,302.0452909482963,303.08066542601745,297.24493926031414,297.6214599609375,23309355,0.0,0.0
2020-01-28,299.2686421367492,301.1981814971666,292.7740333686189,296.5860900878906,26488426,0.0,0.0
2020-01-29,299.1745173286562,300.91582509158286,297.0096381255995,297.8567810058594,23914114,0.0,0.0
2020-01-30,298.1391270254114,298.1391270254114,287.69130972571486,292.4446105957031,35802330,0.0,0.0
