,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,649.6878437743105,653.4743232419651,633.8963403200809,635.9617309570312,4178139,0.0,0.0
2019-11-01,637.5968138170833,657.4759747666245,636.8222792242175,654.4209594726562,4136257,0.0,0.0
2019-11-04,654.4208923531642,669.179645930766,648.3968984378021,662.2090454101562,4936914,0.0,0.0
2019-11-05,664.36050500879,667.4155201420954,658.1643861669082,665.4362182617188,3303839,0.0,0.0
2019-11-06,674.6873584722156,674.6873584722156,660.5739794533333,664.2744750976562,9486591,0.0,0.0
2019-11-07,666.9421779725496,666.9421779725496,658.3794904729227,662.3811645507812,2060900,0.0,0.0
2019-11-08,664.3606004780263,669.3949182151446,662.8976197387993,663.8012084960938,2368591,0.0,0.0
2019-11-11,662.5963752848132,666.511961194825,660.9612700575248,662.983642578125,1345883,0.0,0.0
2019-11-13,660.9181922499822,665.9094910093584,641.9856398678213,651.4949340820312,2434874,0.0,0.0
2019-11-14,650.5914493956686,657.0457296476098,643.9650444986623,652.61376953125,2564424,0.0,0.0
2019-11-15,652.6136379223317,656.8304545132452,644.8254851605957,647.1060180664062,1787358,0.0,0.0
2019-11-18,647.1490533258761,652.5706372835681,643.2764858525165,646.9769287109375,2216434,0.0,0.0
2019-11-19,648.8703247503689,659.1971734201361,647.1491833054077,656.7445678710938,2725437,0.0,0.0
2019-11-20,658.250407864028,665.2210080247698,650.5482912505801,663.8441162109375,2343750,0.0,0.0
2019-11-21,666.9422368851594,671.245090026354,656.4432647156322,658.4656372070312,2102137,0.0,0.0
2019-11-22,658.3363865747584,658.3363865747584,639.2317123024807,649.042236328125,1819912,0.0,0.0
2019-11-25,649.0424301111478,658.9389931255612,646.1594867614742,657.0887451171875,1837243,0.0,0.0
2019-11-26,659.1970431679069,660.789077679895,650.8494983042417,657.1316528320312,2968850,0.0,0.0
2019-11-27,656.4862525524848,662.2520860015472,651.7531143148316,660.5309448242188,1369944,0.0,0.0
2019-11-28,658.4655638345984,664.4464870143579,655.7547456476856,659.4121704101562,1096867,0.0,0.0
2019-11-29,659.1970798671999,664.6616821693906,652.6567643145734,655.281494140625,1236902,0.0,0.0
2019-12-02,652.3985296812853,653.9475987310707,630.1958194267196,644.0940551757812,4333335,0.0,0.0
2019-12-03,643.7497610456131,651.1937169850022,639.6620511133018,642.2007446289062,1838085,0.0,0.0
2019-12-04,642.7600975340157,655.3244052390172,639.8771549782085,653.0008544921875,1870954,0.0,0.0
2019-12-05,649.7307578876107,659.8424617355305,647.2350823108671,658.2504272460938,2475102,0.0,0.0
2019-12-06,656.7874033732038,663.8010212972121,650.2040181658006,651.8821411132812,1092422,0.0,0.0
2019-12-09,653.560411693944,653.560411693944,642.4160109125511,645.7291870117188,1435556,0.0,0.0
2019-12-10,645.3848839296764,645.3848839296764,634.4986456400723,641.08203125,1582428,0.0,0.0
2019-12-11,637.6827886337958,654.0336293679957,637.6827886337958,652.2694702148438,1644499,0.0,0.0
2019-12-12,654.8942234011747,659.1970763801575,647.579373336904,650.9786376953125,1184008,0.0,0.0
2019-12-13,653.1299874320628,657.4328399053946,643.9218726341215,655.6256103515625,2019424,0.0,0.0
2019-12-16,656.3571001138243,674.6872404003016,653.1729789079451,665.4791259765625,5810893,0.0,0.0
2019-12-17,667.4154002030698,672.9660900956981,664.8767068773659,668.9644165039062,2421510,0.0,0.0
2019-12-18,671.3311159577808,683.2930685199815,671.3311159577808,676.9678955078125,5676894,0.0,0.0
2019-12-19,679.8507085146518,679.8507085146518,669.6098983510543,673.611572265625,2099931,0.0,0.0
2019-12-20,674.7302784970669,677.8713817784457,669.5238375659926,674.1278686523438,2092547,0.0,0.0
2019-12-23,670.0402461933038,677.6133094712376,666.8991950275131,667.759765625,1887292,0.0,0.0
2019-12-24,667.8027063544473,669.4808293303232,660.573893162238,664.4034423828125,1413973,0.0,0.0
2019-12-26,663.4999639524984,670.4275471048368,660.9612700575248,662.983642578125,1276520,0.0,0.0
2019-12-27,663.4997948414576,672.4497482332561,661.8646900309203,671.4170532226562,1363474,0.0,0.0
2019-12-30,673.568603515625,675.4187987477117,670.4705179123839,673.568603515625,1055528,0.0,0.0
2019-12-31,671.2880671741757,672.0626017024499,654.0336376337191,656.012939453125,3004887,0.0,0.0
2020-01-01,659.1970665963173,659.8855125577244,654.3348217922081,655.8408203125,746371,0.0,0.0
2020-01-02,655.840726413105,661.9077901748253,654.8941199173322,659.239990234375,1133488,0.0,0.0
2020-01-03,659.1971480493554,671.1591016414786,657.0887393554113,667.0283203125,2121704,0.0,0.0
