,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-01,1300.9999175555702,1302.51399963261,1257.2848370809597,1271.7913818359375,2491686,0.0,0.0
2019-11-04,1280.6807446025618,1280.6807446025618,1252.4490857271737,1268.762939453125,1706003,0.0,0.0
2019-11-05,1265.050795434772,1276.0406189472362,1247.9555144153833,1254.10986328125,2881634,0.0,0.0
2019-11-06,1138.0572320880738,1171.270919548155,1123.4041346792146,1129.363037109375,18294122,0.0,0.0
2019-11-07,1134.1498543878486,1151.7335730605284,1129.7050333578093,1140.2064208984375,6500446,0.0,0.0
2019-11-08,1140.2063238701655,1145.823344634835,1127.3116456397233,1129.998046875,2796511,0.0,0.0
2019-11-11,1129.99805458023,1136.8361668621073,1111.339800631979,1128.9722900390625,2357413,0.0,0.0
2019-11-13,1128.9723743116597,1140.0110898038513,1123.5019079272556,1132.2449951171875,2336007,0.0,0.0
2019-11-14,1137.0805917805153,1149.0961818152348,1135.126845059243,1142.0626220703125,2571355,0.0,0.0
2019-11-15,1145.8721203175294,1147.6305395565394,1129.1676145357424,1131.6585693359375,1506407,0.0,0.0
2019-11-18,1133.3193652038653,1137.5687393933777,1126.139371677144,1132.0006103515625,1132129,0.0,0.0
2019-11-19,1132.0005599492538,1140.792417569424,1126.4323119081587,1136.2987060546875,1109428,0.0,0.0
2019-11-20,1139.034083426035,1140.4993931388474,1129.6561251134788,1135.9569091796875,920219,0.0,0.0
2019-11-21,1136.1034588555274,1142.9415708176846,1117.5428692439582,1121.694580078125,1417102,0.0,0.0
2019-11-22,1121.4504094719514,1124.0879193563185,1097.2239069342988,1109.337158203125,2320184,0.0,0.0
2019-11-25,1123.3065813522107,1139.962198825028,1116.6637955099882,1136.689697265625,2270744,0.0,0.0
2019-11-26,1139.9133822109777,1157.3505453070763,1135.3220065369294,1139.1318359375,4025257,0.0,0.0
2019-11-27,1142.9415352086794,1155.152449046379,1134.1496772455357,1140.157470703125,1587451,0.0,0.0
2019-11-28,1144.8953078238565,1144.8953078238565,1133.5147120152442,1142.453125,1031591,0.0,0.0
2019-11-29,1145.8720980537169,1151.2937912293214,1128.288382994069,1132.879638671875,1244953,0.0,0.0
2019-12-02,1133.1730218061284,1134.1498951007889,1116.0777391495706,1127.116455078125,1016807,0.0,0.0
2019-12-03,1128.28854822075,1142.941646249591,1123.5018456818852,1131.36572265625,1315825,0.0,0.0
2019-12-04,1127.9953189292894,1150.756509818988,1126.33468236103,1147.4840087890625,1388528,0.0,0.0
2019-12-05,1152.7104711743984,1176.7415300290972,1147.826104771117,1156.8621826171875,3637705,0.0,0.0
2019-12-06,1162.283652406046,1162.283652406046,1141.866980936518,1144.895263671875,1026657,0.0,0.0
2019-12-09,1145.8721629961124,1158.5715134811503,1138.8874963799003,1150.805419921875,1092070,0.0,0.0
2019-12-10,1147.923672343822,1164.5305167275217,1145.7745990048181,1152.026611328125,1641867,0.0,0.0
2019-12-11,1150.8542143616744,1161.502155362887,1148.5585863481197,1152.270751953125,1005638,0.0,0.0
2019-12-12,1154.7616932873398,1164.4327610414036,1150.2681007770577,1160.5252685546875,1065673,0.0,0.0
2019-12-13,1165.4095742682805,1175.6667415187558,1155.2500704755123,1158.718017578125,1624478,0.0,0.0
2019-12-16,1161.0626807009635,1164.6770638145022,1135.9569681041687,1138.6922607421875,1239589,0.0,0.0
2019-12-17,1143.9184486759905,1143.9184486759905,1125.3578589878232,1130.5841064453125,1706196,0.0,0.0
2019-12-18,1137.080526283031,1140.3530280032141,1123.7461818289773,1132.2938232421875,1391631,0.0,0.0
2019-12-19,1132.1961037554959,1135.6151601516513,1126.334864219229,1132.2449951171875,1338696,0.0,0.0
2019-12-20,1133.1729901538347,1178.5487057244668,1133.1729901538347,1174.10400390625,6754831,0.0,0.0
2019-12-23,1178.2068313512943,1200.5772531645046,1173.3224649836602,1181.137451171875,3980835,0.0,0.0
2019-12-24,1178.157903867997,1193.7389828271266,1172.8827650371584,1176.2529296875,2236779,0.0,0.0
2019-12-26,1181.9676539039463,1185.6798196788604,1163.0651817609805,1164.9212646484375,1800229,0.0,0.0
2019-12-27,1168.779751151735,1171.4661521269861,1157.4480472510252,1163.8953857421875,1332568,0.0,0.0
2019-12-30,1167.3634254335732,1170.2940449116493,1155.7386109877632,1166.142333984375,1109808,0.0,0.0
2019-12-31,1167.3634440116543,1175.8621929344436,1156.8131660237932,1160.4764404296875,1753530,0.0,0.0
2020-01-01,1166.8261293084056,1171.270950003552,1125.5532372002738,1128.0443115234375,3137636,0.0,0.0
2020-01-02,1130.2424023218289,1133.0753587267916,1113.6355563067286,1128.874755859375,3286436,0.0,0.0
2020-01-03,1129.2654890706526,1129.2654890706526,1105.8205308200506,1113.3424072265625,2695237,0.0,0.0
2020-01-06,1135.126813103984,1144.3094462849085,1123.5019965902193,1131.805419921875,4494752,0.0,0.0
2020-01-07,1143.8696286640186,1146.7025848004532,1125.4068205362285,1133.1240234375,2363578,0.0,0.0
2020-01-08,1118.5197675314978,1129.558481931785,1111.6816554155846,1116.859130859375,2370166,0.0,0.0
2020-01-09,1128.2885598776707,1140.9879116338695,1121.938883999571,1136.5430908203125,1764131,0.0,0.0
2020-01-10,1140.0109328581048,1143.6253157089861,1124.1367446327883,1127.3604736328125,1517311,0.0,0.0
2020-01-13,1128.2884934651117,1135.5661507673658,1121.9388179607627,1132.1470947265625,1135936,0.0,0.0
2020-01-14,1135.1264917685949,1141.6227214444214,1130.3886812935273,1140.1085205078125,1324743,0.0,0.0
2020-01-15,1146.3606337889519,1163.9443503702907,1143.5276778236275,1157.4481201171875,2665214,0.0,0.0
2020-01-16,1157.4480138670012,1167.8517357387054,1146.9466285393632,1165.3118896484375,1644541,0.0,0.0
2020-01-17,1167.168310095384,1169.1708288867767,1156.6180303627762,1161.2581787109375,1034774,0.0,0.0
2020-01-20,1162.479085368241,1167.3634512731496,1151.8311438460973,1160.3787841796875,1139858,0.0,0.0
2020-01-21,1156.0806222141289,1156.5202867334056,1134.1498650293759,1148.998291015625,925998,0.0,0.0
2020-01-22,1154.4685977162978,1158.5225254041495,1144.895194297187,1150.41455078125,902471,0.0,0.0
2020-01-23,1148.8028181707862,1178.7440039053768,1147.8259450260832,1176.2529296875,2101116,0.0,0.0
2020-01-24,1180.9420359014823,1201.5540365820232,1178.1579711295772,1199.4537353515625,2841654,0.0,0.0
2020-01-27,1199.6001882646365,1211.664547416065,1180.8930442154656,1185.7286376953125,2332864,0.0,0.0
2020-01-28,1186.900866137389,1195.2042878346463,1160.818400975476,1167.3634033203125,1703068,0.0,0.0
2020-01-29,1170.7825560981132,1179.9651882306796,1154.2733748034811,1158.7669677734375,1380266,0.0,0.0
2020-01-30,1163.4559206353017,1163.9443572098758,1148.9981503290267,1151.9776611328125,1859283,0.0,0.0
2020-01-31,1158.083041419734,1167.1680088024646,1152.710239456167,1160.281005859375,1809101,0.0,0.0
2020-02-03,1142.941657820582,1164.7259781428872,1135.6640000914665,1158.96240234375,3595537,0.0,0.0
2020-02-04,1167.3636310663671,1258.017523922548,1157.594897752004,1246.2950439453125,7875930,0.0,0.0
2020-02-05,1255.037678461726,1267.6881370372798,1225.975704588026,1250.2509765625,5459816,0.0,0.0
2020-02-06,1255.233216775017,1264.2692942071221,1223.0941827115764,1230.176513671875,2463971,0.0,0.0
2020-02-07,1234.8165920319511,1249.909234978171,1229.2972347103498,1245.5133056640625,2277867,0.0,0.0
2020-02-10,1241.5082350493476,1245.5133915177248,1224.364061843685,1228.125,1021943,0.0,0.0
2020-02-11,1233.790868098925,1249.323176036075,1229.4438299996807,1241.312744140625,1351413,0.0,0.0
2020-02-12,1247.4181939056766,1259.1406723889804,1236.5749251580642,1239.652099609375,1195516,0.0,0.0
2020-02-13,1240.6289879617661,1277.7501702787324,1240.6289879617661,1268.0791015625,4458645,0.0,0.0
2020-02-14,1276.7244095886285,1280.3876841705392,1260.16645617728,1263.53662109375,1416212,0.0,0.0
2020-02-17,1263.1458102902432,1291.035465760971,1258.5544351696074,1285.6138916015625,2347399,0.0,0.0
2020-02-18,1283.611283431064,1288.3979855824934,1271.1561511146667,1280.6806640625,1761012,0.0,0.0
2020-02-19,1286.5421283513906,1302.074437577288,1281.7066532444055,1298.8507080078125,1445826,0.0,0.0
2020-02-20,1299.2413812322786,1310.0358780008028,1289.4726490425621,1292.2567138671875,1513648,0.0,0.0
