,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31,4024.077070379185,4066.341058285213,3993.5255421902307,4044.086669921875,763791,0.0,0.0
2019-11-01,4043.89140362253,4078.834807539293,4032.9105254446995,4063.1689453125,255083,0.0,0.0
2019-11-04,4072.197649126388,4193.914773334721,4072.197649126388,4137.30224609375,875545,0.0,0.0
2019-11-05,4148.331739047255,4148.331739047255,4035.4484071624797,4048.18603515625,386308,0.0,0.0
2019-11-06,4060.4846365521025,4076.9802600679745,4017.5858161579026,4036.717041015625,417808,0.0,0.0
2019-11-07,4060.4848040327456,4133.934679394155,4060.4848040327456,4087.229248046875,615076,0.0,0.0
2019-11-08,4070.245571119228,4094.5012065933843,4027.5421553550873,4048.039794921875,371096,0.0,0.0
2019-11-11,4034.1305706413013,4080.0062388774836,4009.728619451843,4038.08349609375,275634,0.0,0.0
2019-11-13,4038.0835611537623,4072.588016011701,4006.8981529915523,4017.14697265625,519389,0.0,0.0
2019-11-14,4031.2024386498633,4033.154594794488,3897.577445870432,3907.630859375,573058,0.0,0.0
2019-11-15,3947.1136094866206,3996.0638319912005,3918.9536603431043,3979.86083984375,621773,0.0,0.0
2019-11-18,3978.3968038126695,4046.1365315499775,3972.6868896619435,4027.64013671875,498006,0.0,0.0
2019-11-19,4031.202186062414,4031.202186062414,3987.5226950633114,4002.066162109375,561897,0.0,0.0
2019-11-20,3999.968169883737,4031.202669990199,3977.518372932218,4015.634033203125,836453,0.0,0.0
2019-11-21,4011.680912619183,4011.680912619183,3966.7813208964376,3979.71435546875,213325,0.0,0.0
2019-11-22,3987.08382409744,3999.821690814129,3933.6435487449266,3983.52099609375,222219,0.0,0.0
2019-11-25,4019.489548624902,4030.226407545464,3997.088604264338,4015.048583984375,413582,0.0,0.0
2019-11-26,4017.0005446986024,4050.5775338235867,3991.085386877265,4014.462646484375,674879,0.0,0.0
2019-11-27,4025.0049251103833,4148.33250562723,4025.0049251103833,4133.349609375,640193,0.0,0.0
2019-11-28,4148.282911582176,4197.135425134494,4107.531654838137,4191.96240234375,782062,0.0,0.0
2019-11-29,4198.697674962614,4233.73878363848,4138.327148802592,4157.21435546875,463936,0.0,0.0
